hidden_dim,target_relative_update_norm,seed,step,delta_loss_Adam,delta_loss_Muon,relative_update_fro_norm_Adam,relative_update_fro_norm_Muon,update_grad_cosine_Adam,update_grad_cosine_Muon,update_grad_inner_Adam,update_grad_inner_Muon,delta_loss_ratio,delta_loss_muon_higher,update_grad_inner_ratio,update_grad_inner_muon_higher,update_grad_cosine_ratio,update_grad_cosine_muon_higher
64,0.0001,0,0,0.0037807097078936813,0.004099449017092027,0.03807737875262815,0.03807737875262822,0.5097779236262326,0.5450245189044085,0.003969027404529084,0.004243450238653222,1.084306739693041,True,1.0691410781923534,True,1.0691410781923514,True
64,0.0001,0,1,0.004572495693302425,0.004646632779040427,0.038046432661158605,0.03804643266115855,0.47823850139657936,0.4929597419647724,0.004538365592718083,0.004606542853494419,1.016213702693388,True,1.01502242588956,True,1.030782215411773,True
64,0.0001,0,2,0.0043749506646961756,0.004554744202997618,0.03799525663759145,0.037995256637591436,0.45110048585950396,0.5062506498015926,0.00424301855852908,0.0044582275626366035,1.0410961293237644,True,1.0507207312763038,True,1.1222569375801232,True
64,0.0001,0,3,0.005163558438303628,0.005175553607037031,0.03792696510568115,0.0379269651056812,0.46475713485595466,0.5142119397115436,0.004942568474705739,0.00504970337181152,1.0023230430868026,True,1.0216759560649606,True,1.1064099959883709,True
64,0.0001,0,4,0.006174824191768291,0.005829801946981128,0.037841829828230866,0.03784182982823086,0.43507328908658854,0.49080255392539485,0.0059927811576360466,0.005641139169674192,0.9441243614276313,False,0.9413224046211349,False,1.1280916715337932,True
64,0.0001,1,0,0.004676058291646967,0.004726176261271586,0.03798576355129492,0.037985763551294974,0.49401001045961807,0.4910338740377783,0.004972369864757259,0.004942414093125039,1.0107179950502643,True,0.9939755544243525,False,0.993975554424351,False
64,0.0001,1,1,0.004284737492605384,0.004536293126709445,0.03797323327275946,0.03797323327275946,0.49877548057898796,0.5268822423586255,0.004453732777888051,0.004599414220526824,1.0587096956437114,True,1.0327099648551108,True,1.0563515306466362,True
64,0.0001,1,2,0.004031003550904355,0.004469261246212053,0.037928883284282906,0.03792888328428293,0.48835202954415824,0.5524692760369719,0.004033338719600743,0.004422131870799413,1.1087217338742792,True,1.0963948674355712,True,1.1312930890297774,True
64,0.0001,1,3,0.0047828055784315815,0.005059211337222536,0.037861118368788416,0.03786111836878852,0.4759658335775957,0.5327128105215018,0.004700518043679928,0.004951817121857684,1.0577915523134427,True,1.0534619962826524,True,1.1192248958656708,True
64,0.0001,1,4,0.006047711103218667,0.005951591604901996,0.03778243620762585,0.03778243620762587,0.4397646716894097,0.49403502775254293,0.005830632372318789,0.005803392822031126,0.9841064666158549,False,0.9953281996620155,False,1.1234077213493459,True
64,0.0001,2,0,0.00464791736022141,0.004561869314609002,0.03829770184820385,0.03829770184820394,0.5271720036784735,0.51371819498505,0.004883738800487692,0.004759102273752713,0.9814867522497627,False,0.974479280766913,False,0.9744792807669106,False
64,0.0001,2,1,0.004068759237681352,0.004426951938143908,0.03826494617566114,0.038264946175661084,0.5321863264602568,0.5663787676989688,0.004225208377389474,0.004474459189990477,1.0880348724361184,True,1.05899136571224,True,1.0642490036640682,True
64,0.0001,2,2,0.005192581934813756,0.005149140950700737,0.038212540287611035,0.038212540287611,0.4628003731813224,0.5033934327796545,0.005068796381482891,0.005095792235162563,0.9916340301109612,False,1.0053258903392317,True,1.0877118125884224,True
64,0.0001,2,3,0.005233176317854582,0.0052973854812941035,0.038154523588281704,0.0381545235882817,0.44409533973477594,0.5101054564116156,0.0051008969264165534,0.00518127370760625,1.0122696350246125,True,1.015757381956385,True,1.1486395167223833,True
64,0.0001,2,4,0.005695238631845623,0.005447424843573856,0.038084138560280804,0.03808413856028088,0.47935074939362904,0.5495638466664172,0.00548700964179906,0.0052989804581005506,0.9564875496373259,False,0.9657319385287504,False,1.1464754094191083,True
64,0.0003,0,0,0.0037807097078936813,0.004099449017092027,0.03807737875262815,0.03807737875262822,0.5097779236262326,0.5450245189044085,0.003969027404529084,0.004243450238653222,1.084306739693041,True,1.0691410781923534,True,1.0691410781923514,True
64,0.0003,0,1,0.004572495693302425,0.004646632779040427,0.038046432661158605,0.03804643266115855,0.47823850139657936,0.4929597419647724,0.004538365592718083,0.004606542853494419,1.016213702693388,True,1.01502242588956,True,1.030782215411773,True
64,0.0003,0,2,0.0043749506646961756,0.004554744202997618,0.03799525663759145,0.037995256637591436,0.45110048585950396,0.5062506498015926,0.00424301855852908,0.0044582275626366035,1.0410961293237644,True,1.0507207312763038,True,1.1222569375801232,True
64,0.0003,0,3,0.005163558438303628,0.005175553607037031,0.03792696510568115,0.0379269651056812,0.46475713485595466,0.5142119397115436,0.004942568474705739,0.00504970337181152,1.0023230430868026,True,1.0216759560649606,True,1.1064099959883709,True
64,0.0003,0,4,0.006174824191768291,0.005829801946981128,0.037841829828230866,0.03784182982823086,0.43507328908658854,0.49080255392539485,0.0059927811576360466,0.005641139169674192,0.9441243614276313,False,0.9413224046211349,False,1.1280916715337932,True
64,0.0003,1,0,0.004676058291646967,0.004726176261271586,0.03798576355129492,0.037985763551294974,0.49401001045961807,0.4910338740377783,0.004972369864757259,0.004942414093125039,1.0107179950502643,True,0.9939755544243525,False,0.993975554424351,False
64,0.0003,1,1,0.004284737492605384,0.004536293126709445,0.03797323327275946,0.03797323327275946,0.49877548057898796,0.5268822423586255,0.004453732777888051,0.004599414220526824,1.0587096956437114,True,1.0327099648551108,True,1.0563515306466362,True
64,0.0003,1,2,0.004031003550904355,0.004469261246212053,0.037928883284282906,0.03792888328428293,0.48835202954415824,0.5524692760369719,0.004033338719600743,0.004422131870799413,1.1087217338742792,True,1.0963948674355712,True,1.1312930890297774,True
64,0.0003,1,3,0.0047828055784315815,0.005059211337222536,0.037861118368788416,0.03786111836878852,0.4759658335775957,0.5327128105215018,0.004700518043679928,0.004951817121857684,1.0577915523134427,True,1.0534619962826524,True,1.1192248958656708,True
64,0.0003,1,4,0.006047711103218667,0.005951591604901996,0.03778243620762585,0.03778243620762587,0.4397646716894097,0.49403502775254293,0.005830632372318789,0.005803392822031126,0.9841064666158549,False,0.9953281996620155,False,1.1234077213493459,True
64,0.0003,2,0,0.00464791736022141,0.004561869314609002,0.03829770184820385,0.03829770184820394,0.5271720036784735,0.51371819498505,0.004883738800487692,0.004759102273752713,0.9814867522497627,False,0.974479280766913,False,0.9744792807669106,False
64,0.0003,2,1,0.004068759237681352,0.004426951938143908,0.03826494617566114,0.038264946175661084,0.5321863264602568,0.5663787676989688,0.004225208377389474,0.004474459189990477,1.0880348724361184,True,1.05899136571224,True,1.0642490036640682,True
64,0.0003,2,2,0.005192581934813756,0.005149140950700737,0.038212540287611035,0.038212540287611,0.4628003731813224,0.5033934327796545,0.005068796381482891,0.005095792235162563,0.9916340301109612,False,1.0053258903392317,True,1.0877118125884224,True
64,0.0003,2,3,0.005233176317854582,0.0052973854812941035,0.038154523588281704,0.0381545235882817,0.44409533973477594,0.5101054564116156,0.0051008969264165534,0.00518127370760625,1.0122696350246125,True,1.015757381956385,True,1.1486395167223833,True
64,0.0003,2,4,0.005695238631845623,0.005447424843573856,0.038084138560280804,0.03808413856028088,0.47935074939362904,0.5495638466664172,0.00548700964179906,0.0052989804581005506,0.9564875496373259,False,0.9657319385287504,False,1.1464754094191083,True
64,0.001,0,0,0.0037807097078936813,0.004099449017092027,0.03807737875262815,0.03807737875262822,0.5097779236262326,0.5450245189044085,0.003969027404529084,0.004243450238653222,1.084306739693041,True,1.0691410781923534,True,1.0691410781923514,True
64,0.001,0,1,0.004572495693302425,0.004646632779040427,0.038046432661158605,0.03804643266115855,0.47823850139657936,0.4929597419647724,0.004538365592718083,0.004606542853494419,1.016213702693388,True,1.01502242588956,True,1.030782215411773,True
64,0.001,0,2,0.0043749506646961756,0.004554744202997618,0.03799525663759145,0.037995256637591436,0.45110048585950396,0.5062506498015926,0.00424301855852908,0.0044582275626366035,1.0410961293237644,True,1.0507207312763038,True,1.1222569375801232,True
64,0.001,0,3,0.005163558438303628,0.005175553607037031,0.03792696510568115,0.0379269651056812,0.46475713485595466,0.5142119397115436,0.004942568474705739,0.00504970337181152,1.0023230430868026,True,1.0216759560649606,True,1.1064099959883709,True
64,0.001,0,4,0.006174824191768291,0.005829801946981128,0.037841829828230866,0.03784182982823086,0.43507328908658854,0.49080255392539485,0.0059927811576360466,0.005641139169674192,0.9441243614276313,False,0.9413224046211349,False,1.1280916715337932,True
