group_type,hidden_dim,target_relative_update_norm,metric,n_pairs,muon_win_rate,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,ratio_ci95_above_one,ratio_ci95_below_one
target_hidden,64,0.0001,delta_loss,15,0.6666666666666666,1.021439667405212,0.9947126103441519,1.0488848570924365,False,False
target_hidden,64,0.0001,update_grad_inner,15,0.6666666666666666,1.018524819838887,0.9954748229388578,1.0421085342623015,False,False
target_hidden,64,0.0001,update_grad_cosine,15,0.8666666666666667,1.0855332554504267,1.0553090808876604,1.116623053880688,True,False
target_hidden,64,0.0003,delta_loss,15,0.6666666666666666,1.021439667405212,0.9947126103441519,1.0488848570924365,False,False
target_hidden,64,0.0003,update_grad_inner,15,0.6666666666666666,1.018524819838887,0.9954748229388578,1.0421085342623015,False,False
target_hidden,64,0.0003,update_grad_cosine,15,0.8666666666666667,1.0855332554504267,1.0553090808876604,1.116623053880688,True,False
target_hidden,64,0.001,delta_loss,15,0.6666666666666666,1.021439667405212,0.9947126103441519,1.0488848570924365,False,False
target_hidden,64,0.001,update_grad_inner,15,0.6666666666666666,1.018524819838887,0.9954748229388578,1.0421085342623015,False,False
target_hidden,64,0.001,update_grad_cosine,15,0.8666666666666667,1.0855332554504267,1.0553090808876604,1.116623053880688,True,False
target_hidden,128,0.0001,delta_loss,15,0.0,0.7482011325891468,0.7129740349099017,0.7851687542568423,False,True
target_hidden,128,0.0001,update_grad_inner,15,0.0,0.7545830611724678,0.7248321557571978,0.7855550994610492,False,True
target_hidden,128,0.0001,update_grad_cosine,15,0.0,0.8383096644659558,0.8167642574087401,0.8604234173598685,False,True
target_hidden,128,0.0003,delta_loss,15,0.0,0.7482011325891468,0.7129740349099017,0.7851687542568423,False,True
target_hidden,128,0.0003,update_grad_inner,15,0.0,0.7545830611724678,0.7248321557571978,0.7855550994610492,False,True
target_hidden,128,0.0003,update_grad_cosine,15,0.0,0.8383096644659558,0.8167642574087401,0.8604234173598685,False,True
target_hidden,128,0.001,delta_loss,15,0.0,0.7482011325891468,0.7129740349099017,0.7851687542568423,False,True
target_hidden,128,0.001,update_grad_inner,15,0.0,0.7545830611724678,0.7248321557571978,0.7855550994610492,False,True
target_hidden,128,0.001,update_grad_cosine,15,0.0,0.8383096644659558,0.8167642574087401,0.8604234173598685,False,True
hidden_all_targets,64,,delta_loss,45,0.6666666666666666,1.021439667405212,1.0071850469812031,1.0358960324878033,True,False
hidden_all_targets,64,,update_grad_inner,45,0.6666666666666666,1.018524819838887,1.0062417219096205,1.0309578563877266,True,False
hidden_all_targets,64,,update_grad_cosine,45,0.8666666666666667,1.0855332554504267,1.069406998029997,1.1019026907992495,True,False
hidden_all_targets,128,,delta_loss,45,0.0,0.7482011325891468,0.7293179137744583,0.7675732684399711,False,True
hidden_all_targets,128,,update_grad_inner,45,0.0,0.7545830611724678,0.7386649332737147,0.7708442225419962,False,True
hidden_all_targets,128,,update_grad_cosine,45,0.0,0.8383096644659558,0.8268199079898043,0.8499590863089006,False,True
all,All,,delta_loss,90,0.3333333333333333,0.8742095378249204,0.8434957463485749,0.9060416953285234,False,True
all,All,,update_grad_inner,90,0.3333333333333333,0.8766764377090122,0.8475411674301426,0.9068132687460414,False,True
all,All,,update_grad_cosine,90,0.43333333333333335,0.9539460252777847,0.9266899786654427,0.9820037338202622,False,True
