run_id,problem_family,setting,kappa,lr,algo,seed,step,num_samples,train_batch_size,loss,recovery_error,diagnostic_A_definition,sigma_update,update_rank_ceiling,nrUpdate,stUpdate,nrUpdateFrac,stUpdateFrac,update_flatness,update_grad_inner,update_grad_cosine,update_grad_per_update_norm,layer,nrG,stA,condition_score,delta_gd_pred,delta_spec_pred,hidden_dim,target_relative_update_norm
0,MNISTMLP,MNIST MLP hidden=64 target=1e-04,1.0,0.01,Adam,0,0,1024,128,2.3029479206211203,0.8857421875,full_layer_input_activation,"[[0.03699227167056734,0.027467157391212357,0.025352905516039363,0.024229023845770355,0.02213162948462197,0.018554951304652508,0.01528058463028733,0.013729623443191527,0.013179066675409724,0.011850056111448426,0.011228837375474728,0.010471321452002235,0.01003403225775919,0.009805454994411891,0.009394941341261284,0.009307149307964564,0.00884040877584541,0.008678079723345165,0.008526507020471474,0.008304008038857722,0.00815954914550428,0.007940548227913383,0.007769609862132069,0.0075997823423072704,0.007476103202904885,0.00739862703603938,0.007174930546463034,0.006959938056939375,0.0069069168104476915,0.0066823065374250045,0.006602728949023982,0.006546721502194895,0.0064062408387243405,0.006320467039249912,0.006180295132930719,0.006096993941009172,0.005925712328137608,0.0058940860474864624,0.00576295138051641,0.005665201332112682,0.005615595247842813,0.00541776294924237,0.005368637333545746,0.005310516135784462,0.005307576486251327,0.005142792879364759,0.005026590225201624,0.004969712110120971,0.004864207890038701,0.004805070864261111,0.00474974177195452,0.00457661118374599,0.004511334708528303,0.004494922696613942,0.004328207661783401,0.004200982726579691,0.004130330875229805,0.004077608191784729,0.0038130833425275507,0.0036644131099749966,0.0035756552920110504,0.0030369306728488337,0.002988752674981149,0.0024444724350788376]]",64.0,41.04969205259643,5.292467683201724,0.6414014383218192,0.08269480755002694,0.12892831635425073,0.00339200932229714,0.6388427792383649,0.039858130787378196,1,15.833838177177547,2.2911742156899897,6.910796249690323,9.756975151459917e-08,6.742846728503087e-07,64,0.0001
0,MNISTMLP,MNIST MLP hidden=64 target=1e-04,1.0,0.01,Adam,0,0,1024,128,2.3029479206211203,0.8857421875,full_layer_input_activation,"[[0.0059893889966111434,0.0054542181544742635,0.004677847953543198,0.004127556906295584,0.003934287550522699,0.003400542198592538,0.002980934691811009,0.0025970391203814927,0.0023541612335578072,0.0022097375983768422]]",10.0,9.028457632525786,4.394367157023336,0.9028457632525786,0.43943671570233356,0.4867240159816727,0.0005770180822319437,0.700926289306052,0.0459577472695929,2,7.2118367112957085,1.774400160358026,4.064380105691917,2.6617004164630357e-05,0.00010818162219984254,64,0.0001
1,MNISTMLP,MNIST MLP hidden=64 target=1e-04,1.0,0.01,Muon,0,0,1024,128,2.3029479206211203,0.8857421875,full_layer_input_activation,"[[0.010000000000000009,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999995,0.009999999999999993,0.009999999999999993]]",64.0,63.99999999999997,63.999999999999886,0.9999999999999996,0.9999999999999982,0.9999999999999987,0.002482653091660834,0.49739694562632675,0.031033163645760423,1,15.833838177177547,2.2911742156899897,6.910796249690323,9.756975151459917e-08,6.742846728503087e-07,64,0.0001
1,MNISTMLP,MNIST MLP hidden=64 target=1e-04,1.0,0.01,Muon,0,0,1024,128,2.3029479206211203,0.8857421875,full_layer_input_activation,"[[0.010000000000000012,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.010000000000000005,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000002]]",10.0,10.000000000000002,9.999999999999986,1.0000000000000002,0.9999999999999986,0.9999999999999984,0.0017607971469923882,0.8492253358971168,0.055681294820222466,2,7.2118367112957085,1.774400160358026,4.064380105691917,2.6617004164630357e-05,0.00010818162219984254,64,0.0001
0,MNISTMLP,MNIST MLP hidden=64 target=1e-04,1.0,0.01,Adam,0,1,1024,128,2.2994861547193373,0.7333984375,full_layer_input_activation,"[[0.04019948221794195,0.02957747079330972,0.027144089806856633,0.025661389287751496,0.022240820303851907,0.017947032383483504,0.0164792117248863,0.013499368856140058,0.013146029338303515,0.011666367416068364,0.010505820480853231,0.00972120404111323,0.009102192710121748,0.008630017896441295,0.008622513507368989,0.00838709922746035,0.00799919740985694,0.007848734545595162,0.007558337726233913,0.007380335326938856,0.007260940092200416,0.00698656409717315,0.006887238015805248,0.006630099616165881,0.00647103613070884,0.00637984602855677,0.00633935169266764,0.005910729503256282,0.005792038261937423,0.00569303961293525,0.005601236364426256,0.005470620394067647,0.005373445319479517,0.00532413677123697,0.005136999812995082,0.005067090657660802,0.004920112409216082,0.004840041222990224,0.004808970002752401,0.004761888627985705,0.004634011088531888,0.00450330431596243,0.004406553837779454,0.0043796592745214075,0.004355877238322488,0.004254382680444898,0.00419827766186366,0.004122489421837921,0.0040954621025813785,0.004025251531959078,0.003975000557163356,0.0038822000964458003,0.003719904051204198,0.003690998669846987,0.0035325369950203415,0.0034658766816275184,0.0033764263249607828,0.003286725629136138,0.0032491420802146244,0.0031074165326811713,0.003045710726798358,0.0029196975920738793,0.0028563282034946374,0.0027375219869560327]]",64.0,35.785182572121116,4.4764931066363225,0.5591434776893924,0.06994520479119254,0.12509348241033677,0.003869427853942985,0.6456057564619115,0.04549433636656992,1,14.193666180515484,2.2911742156899897,6.194931002329321,1.2446556198855311e-07,7.710555686852296e-07,64,0.0001
0,MNISTMLP,MNIST MLP hidden=64 target=1e-04,1.0,0.01,Adam,0,1,1024,128,2.2994861547193373,0.7333984375,full_layer_input_activation,"[[0.006430436446019054,0.005915187170743416,0.004977177909800172,0.00367149089200692,0.0036475548336151,0.0031674083405428604,0.0029346741088022666,0.002381956415304464,0.0023299025451132627,0.0020865268973969146]]",10.0,8.700302248216413,3.9176611575562976,0.8700302248216414,0.39176611575562975,0.45029023656729045,0.0006689377387750978,0.6189392703384557,0.05255715063775312,2,5.621509471653866,1.789523963098084,3.1413435011631363,4.351739087404106e-05,0.00013670307300974482,64,0.0001
1,MNISTMLP,MNIST MLP hidden=64 target=1e-04,1.0,0.01,Muon,0,1,1024,128,2.299530891291578,0.7373046875,full_layer_input_activation,"[[0.010000000000000005,0.010000000000000005,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.00999999999999999]]",64.0,64.00000000000001,63.999999999999936,1.0000000000000002,0.999999999999999,0.9999999999999988,0.0026213716052952084,0.46913388767397957,0.03276714506619006,1,14.085542692102583,2.2911742156899897,6.147739702919408,1.2227929364881714e-07,7.51741268409774e-07,64,0.0001
1,MNISTMLP,MNIST MLP hidden=64 target=1e-04,1.0,0.01,Muon,0,1,1024,128,2.299530891291578,0.7373046875,full_layer_input_activation,"[[0.010000000000000005,0.010000000000000004,0.01,0.01,0.01,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999997]]",10.0,9.999999999999998,9.99999999999999,0.9999999999999998,0.9999999999999989,0.9999999999999991,0.0019851712481992103,0.7545453014893112,0.0627766268978894,2,5.693386119995958,1.8009749064902738,3.1612800930642537,4.33373522202878e-05,0.00013700150886010974,64,0.0001
0,MNISTMLP,MNIST MLP hidden=64 target=1e-04,1.0,0.01,Adam,0,2,1024,128,2.2965248451612075,0.5712890625,full_layer_input_activation,"[[0.04137164013673328,0.030131809652890078,0.028119746190085882,0.025492921484488573,0.021239879559942873,0.018791830561032334,0.017612826926989615,0.014377183015720812,0.012447748684535834,0.012347636376035375,0.010575044004754628,0.009353737326033458,0.00879629733094419,0.008283781426145649,0.007914191411422777,0.007885703274289502,0.00765631795271973,0.007439892063335336,0.006988473223553058,0.006836662710775989,0.006690179945686514,0.006570445890908543,0.006415603790892785,0.006254540580835631,0.006013713190423897,0.005913355647489354,0.005812456126470915,0.005691832420483855,0.005531941127901119,0.005463919854783718,0.00519463702515805,0.005164296093245092,0.004995287247084425,0.00488303437905778,0.004724737151868973,0.004652475218112843,0.004637083613330048,0.004496660680557197,0.004410072441104058,0.004377669240606344,0.004187818037297846,0.004166093323315063,0.004148518117462541,0.003962818429887627,0.0039036468664616067,0.0038412463856804975,0.0038121655953799382,0.003697778498061623,0.003655909024650424,0.003509178737149364,0.0034760547055019196,0.0034040058746546437,0.0033669887582487997,0.0032814239233608586,0.003178539204074696,0.003102594758261895,0.00306099030272244,0.002970982439068899,0.002896222780449824,0.0028420415792316488,0.0027583396440412035,0.0026170422728217274,0.0025569471284798387,0.0024648177228568354]]",64.0,33.49088623880869,4.229979315946959,0.5232950974813858,0.06609342681167124,0.12630240017492664,0.0035943860320834945,0.609221345112701,0.04224281562146653,1,14.189150051150994,2.2911742156899897,6.192959904132788,1.2051048015825432e-07,7.46316571647859e-07,64,0.0001
0,MNISTMLP,MNIST MLP hidden=64 target=1e-04,1.0,0.01,Adam,0,2,1024,128,2.2965248451612075,0.5712890625,full_layer_input_activation,"[[0.006431617088589935,0.005603680541078569,0.004876779960662215,0.004111803182660897,0.003456909778015441,0.003351919565375909,0.0028601659023383495,0.002551505183096569,0.002309976226278145,0.0018926635806008677]]",10.0,8.75050099277108,3.8740147452171967,0.875050099277108,0.3874014745217197,0.44271919384016734,0.0006486325264455856,0.6060817088777936,0.0512386770432612,2,5.4973699908892195,1.7787125563319819,3.090645518478693,3.492604587539317e-05,0.00010794402716296515,64,0.0001
