warmup_steps,layer_index,parameter,shape,seeds,mean_gradient_nuclear_rank,mean_alignment_ratio_spectral_over_fro,mean_step_size_ratio_spectral_over_fro,mean_tail_accuracy_before,geomean_jvp_tail_drift_sq_ratio_spectral_over_fro,jvp_tail_drift_sq_ratio_ci95_low,jvp_tail_drift_sq_ratio_ci95_high,geomean_scaled_jvp_tail_drift_sq_ratio_spectral_over_fro,scaled_jvp_tail_drift_sq_ratio_ci95_low,scaled_jvp_tail_drift_sq_ratio_ci95_high,geomean_observed_tail_drift_sq_ratio_spectral_over_fro,observed_tail_drift_sq_ratio_ci95_low,observed_tail_drift_sq_ratio_ci95_high,spectral_less_observed_tail_drift_fraction
2000,1,conv1.weight,64x3x3x3,2,5.635994839792298,2.373149906744358,0.42169305972068505,0.34400000000000003,1.1990271846797103,1.1741921518644955,1.224387496814799,0.2130591824142585,0.10895116975076564,0.4166473413261659,0.66841082528945,0.5845849973272254,0.7642567520665252,1.0
2000,2,layer1.0.conv1.weight,128x64x1x1,2,17.807338323833932,4.217624961061124,0.23735381037775227,0.34400000000000003,1.3697709469244208,0.7789013882924145,2.4088703335753148,0.0770861222872239,0.05906112389823804,0.10061221082618296,0.885271392459037,0.8474072214527558,0.9248274247212737,1.0
2000,3,layer1.0.conv2.weight,128x4x3x3,2,16.912447154634435,4.112243062053863,0.2432049587695978,0.34400000000000003,1.44835159128587,1.1102252714552923,1.8894564787113879,0.0856579403017021,0.08479979504350223,0.08652476969980812,0.800852758629717,0.7046900466869217,0.910137930882075,1.0
2000,4,layer1.0.conv3.weight,256x128x1x1,2,56.62218506888918,7.5241387574332155,0.1329297685778891,0.34400000000000003,1.316284102586367,1.2634538160798987,1.3713234442532487,0.023254934445137987,0.01719529173904978,0.03145000295746943,0.9341829070339587,0.8423068508092019,1.036080500777145,1.0
2000,5,layer1.0.downsample.0.weight,256x64x1x1,2,18.175291229511558,4.263077620313859,0.23459187103201884,0.34400000000000003,1.3047141961608413,0.9599083477098757,1.7733767371904656,0.07179680453293605,0.0666162356486615,0.07738025259078415,0.9299990577800145,0.5378246705088672,1.60814163964138,1.0
2000,6,layer1.1.conv1.weight,128x256x1x1,2,52.714119337938335,7.260085048263095,0.13775576595204272,0.34400000000000003,1.2437987613039547,1.0225311915605158,1.5129468630294542,0.02360033487256885,0.014711841072278261,0.037859014610136514,0.8670510873090205,0.8062273580423875,0.9324635048718228,1.0
2000,7,layer1.1.conv2.weight,128x4x3x3,2,19.404444432977467,4.404480949265102,0.22710184383584842,0.34400000000000003,1.302821308115074,1.2113765116087056,1.4011691200984273,0.06717547860765892,0.047743226419439504,0.09451696637600258,0.8127702374999264,0.7427032222744258,0.8894474120399055,1.0
2000,8,layer1.1.conv3.weight,256x128x1x1,2,63.48888828038538,7.96788560011314,0.12550858264716735,0.34400000000000003,1.2700470695215067,1.13201454534371,1.424910629845671,0.02000553332108867,0.019189298554736462,0.020856487396846674,0.8921612334098842,0.6649592411882463,1.1969931645391123,1.0
2000,9,layer1.2.conv1.weight,128x256x1x1,2,54.12935749451188,7.357251696980736,0.1359224562064934,0.34400000000000003,1.1978084643949545,1.1846931203360052,1.2110690040719352,0.022129059390324765,0.019788903517081083,0.024745952653608773,0.7629902703687395,0.6974921125239294,0.8346390478464225,1.0
2000,10,layer1.2.conv2.weight,128x4x3x3,2,19.934800514884717,4.463225036147287,0.22421653248285817,0.34400000000000003,1.276993379090964,0.910466016864023,1.7910740873766227,0.06415159429593947,0.04531231028413487,0.09082359793408598,0.7161504941106337,0.4553477202231591,1.126329412527978,1.0
2000,11,layer1.2.conv3.weight,256x128x1x1,2,61.940166507540795,7.8699197705163915,0.12707729052578853,0.34400000000000003,1.2277208373274726,1.191568937304747,1.2649695768483893,0.019824275417763364,0.016091655086197233,0.02442271436556193,0.82062133282492,0.6358554220831659,1.0590762435918477,1.0
2000,12,layer2.0.conv1.weight,256x256x1x1,2,72.65161728787771,8.523676623308154,0.11732413640300735,0.34400000000000003,1.25119401092666,1.2498776937472207,1.2525117143944742,0.01722205892046106,0.014867202938212493,0.019949906831331177,0.7603253150364521,0.6077139635091642,0.9512609869076384,1.0
2000,13,layer2.0.conv2.weight,256x8x3x3,2,39.30290281788215,6.268378630314709,0.15957405907687147,0.34400000000000003,1.2866002725496757,1.2154265669689808,1.3619418122914424,0.032752970317084865,0.020369864773827795,0.05266392666338038,0.7640957915078511,0.6815679685733966,0.8566165159170573,1.0
2000,14,layer2.0.conv3.weight,512x256x1x1,2,114.39936542286426,10.693678590101044,0.09355366232165452,0.34400000000000003,1.209036467185597,0.9496175096346781,1.539324163838321,0.010577257499838809,0.004896652173440572,0.02284793206769399,0.8322681584830413,0.5003082455391393,1.3844870513343652,1.0
2000,15,layer2.0.downsample.0.weight,512x256x1x1,2,80.86627367743154,8.989576334795263,0.11131517323737944,0.34400000000000003,1.100173872717986,1.035723048059333,1.1686353340105962,0.013623116647498506,0.007473520205894887,0.024832917029509544,0.6752347416355561,0.22760700480902654,2.003198261381252,1.0
2000,16,layer2.1.conv1.weight,256x512x1x1,2,103.21654404065632,10.15519077447117,0.09856115973793589,0.34400000000000003,1.1674315712595784,1.0785383921256368,1.263651329914686,0.011330500627640272,0.004869157727144676,0.02636600653892559,0.7611651546193998,0.47462094488771445,1.220705488974665,1.0
2000,17,layer2.1.conv2.weight,256x8x3x3,2,42.782440145752815,6.539008524765849,0.15301495148215133,0.34400000000000003,1.3012666543283464,0.9274338713838753,1.8257850590902287,0.030450073275352995,0.011856233893525147,0.07820417265728265,0.7096139913335164,0.21183018899786996,2.377149447293121,1.0
2000,18,layer2.1.conv3.weight,512x256x1x1,2,110.73781554766283,10.52137361130279,0.09508159630278266,0.34400000000000003,1.2008134392837222,1.0907379793430556,1.3219975312795842,0.010851745070652149,0.0059715434989143475,0.019720256764408153,0.7083232388257653,0.10771740386725785,4.657759959373913,1.0
2000,19,layer2.2.conv1.weight,256x512x1x1,2,93.3905374363645,9.65872460242861,0.10364736814426015,0.34400000000000003,1.154813181834928,1.1336410830826207,1.1763806947727895,0.01239225158265217,0.005432318503747099,0.028269310641822146,0.6027371282728609,0.11898505097428654,3.0532578910028367,1.0
2000,20,layer2.2.conv2.weight,256x8x3x3,2,40.246571360702575,6.3427266601689585,0.1577264938950784,0.34400000000000003,1.282877744420399,0.9818481940220785,1.6762013895318755,0.03190171000699202,0.014540430984401833,0.06999236146865022,0.6451557015861651,0.26355938817860186,1.5792489205775515,1.0
