seed,geometry,parameter,shape,gradient_nuclear_rank,update_nuclear_rank
1,spectral,layer3.0.conv1.weight,256x128x3x3,68.07960987631944,255.9999999119771
1,spectral,layer3.0.conv2.weight,256x256x3x3,69.3230982555055,255.9999998954234
1,spectral,layer3.0.downsample.0.weight,256x128x1x1,25.51007106303359,127.99999994547358
1,spectral,layer3.1.conv1.weight,256x256x3x3,58.27032750047325,255.99999988785802
1,spectral,layer3.1.conv2.weight,256x256x3x3,38.75618308032906,255.99999988654673
1,spectral,layer4.0.conv1.weight,512x256x3x3,42.64711130200518,511.9999995136997
1,spectral,layer4.0.conv2.weight,512x512x3x3,42.976729452767906,511.99999950678534
1,spectral,layer4.0.downsample.0.weight,512x256x1x1,17.731694408206884,255.9999999062976
1,spectral,layer4.1.conv1.weight,512x512x3x3,27.82617581633706,511.9999995067961
1,spectral,layer4.1.conv2.weight,512x512x3x3,18.60379083197134,511.99999949348523
1,spectral,fc.weight,100x512,24.934489525722434,99.99999999522626
2,frobenius,conv1.weight,64x3x3x3,5.34009781134096,5.340096071536466
2,frobenius,layer1.0.conv1.weight,64x64x3x3,20.34231371023245,20.342402486016994
2,frobenius,layer1.0.conv2.weight,64x64x3x3,24.66267584242774,24.662613071147362
2,frobenius,layer1.1.conv1.weight,64x64x3x3,26.047102661997485,26.047161153035216
2,frobenius,layer1.1.conv2.weight,64x64x3x3,31.074576898820954,31.074551717251307
2,frobenius,layer2.0.conv1.weight,128x64x3x3,44.427420836542154,44.427203280780176
2,frobenius,layer2.0.conv2.weight,128x128x3x3,53.30401292350208,53.3038014349147
2,frobenius,layer2.0.downsample.0.weight,128x64x1x1,19.336386802589324,19.336504249096322
2,frobenius,layer2.1.conv1.weight,128x128x3x3,49.42805927399839,49.42788402009416
2,frobenius,layer2.1.conv2.weight,128x128x3x3,42.316872868771156,42.31644602854006
2,frobenius,layer3.0.conv1.weight,256x128x3x3,58.22601012429952,58.22579207616919
2,frobenius,layer3.0.conv2.weight,256x256x3x3,61.05657057029407,61.056080504097636
2,frobenius,layer3.0.downsample.0.weight,256x128x1x1,23.173618685860404,23.173761513723385
2,frobenius,layer3.1.conv1.weight,256x256x3x3,59.94022080320427,59.93862945634467
2,frobenius,layer3.1.conv2.weight,256x256x3x3,41.2327609346531,41.23270429144883
2,frobenius,layer4.0.conv1.weight,512x256x3x3,47.446709803611,47.44117229432509
2,frobenius,layer4.0.conv2.weight,512x512x3x3,44.35228248990918,44.35358042479176
2,frobenius,layer4.0.downsample.0.weight,512x256x1x1,17.851266234536187,17.851107374036403
2,frobenius,layer4.1.conv1.weight,512x512x3x3,29.155133913378343,29.1548896110385
2,frobenius,layer4.1.conv2.weight,512x512x3x3,18.471980316007333,18.471607591714406
2,frobenius,fc.weight,100x512,25.00499725002354,25.004904656710334
2,spectral,conv1.weight,64x3x3x3,5.34009781134096,26.99999999983291
2,spectral,layer1.0.conv1.weight,64x64x3x3,20.34231371023245,63.99999999826515
2,spectral,layer1.0.conv2.weight,64x64x3x3,24.66267584242774,63.99999999822679
2,spectral,layer1.1.conv1.weight,64x64x3x3,26.047102661997485,63.999999997970534
2,spectral,layer1.1.conv2.weight,64x64x3x3,31.074576898820954,63.999999997994685
2,spectral,layer2.0.conv1.weight,128x64x3x3,44.427420836542154,127.99999994659774
2,spectral,layer2.0.conv2.weight,128x128x3x3,53.30401292350208,127.9999999471895
2,spectral,layer2.0.downsample.0.weight,128x64x1x1,19.336386802589324,63.999999998015184
2,spectral,layer2.1.conv1.weight,128x128x3x3,49.42805927399839,127.9999999479032
2,spectral,layer2.1.conv2.weight,128x128x3x3,42.316872868771156,127.99999994958283
2,spectral,layer3.0.conv1.weight,256x128x3x3,58.22601012429952,255.9999999021655
2,spectral,layer3.0.conv2.weight,256x256x3x3,61.05657057029407,255.99999989387098
2,spectral,layer3.0.downsample.0.weight,256x128x1x1,23.173618685860404,127.99999994976567
2,spectral,layer3.1.conv1.weight,256x256x3x3,59.94022080320427,255.99999989465996
2,spectral,layer3.1.conv2.weight,256x256x3x3,41.2327609346531,255.99999989373984
2,spectral,layer4.0.conv1.weight,512x256x3x3,47.446709803611,511.9999994913878
2,spectral,layer4.0.conv2.weight,512x512x3x3,44.35228248990918,511.99999952232406
2,spectral,layer4.0.downsample.0.weight,512x256x1x1,17.851266234536187,255.99999990021843
2,spectral,layer4.1.conv1.weight,512x512x3x3,29.155133913378343,511.99999956082996
2,spectral,layer4.1.conv2.weight,512x512x3x3,18.471980316007333,511.9999995057922
2,spectral,fc.weight,100x512,25.00499725002354,99.99999999584388
