target,feature_set,evaluation,held_out_setting,train_rows,test_rows,test_positive_rate,auc,accuracy,balanced_accuracy,brier,baseline_brier
delta_loss_muon_higher,family_only,leave_setting_out,Matrix sensing kappa=1e+02,1350,150,0.88,0.5,0.88,0.5,0.10976541653641836,0.10559999999999999
delta_loss_muon_higher,family_only,leave_setting_out,Matrix sensing kappa=1e+05,1350,150,0.8666666666666667,0.5,0.8666666666666667,0.5,0.12237270976100385,0.11555555555555552
delta_loss_muon_higher,family_only,leave_setting_out,Small MLP digits hidden=16,1200,300,0.5366666666666666,0.5,0.4633333333333333,0.5,0.5198764798539529,0.2486555555555555
delta_loss_muon_higher,family_only,leave_setting_out,Small MLP digits hidden=64,1200,300,0.0,,0.0,,0.42175652461492247,0.0
delta_loss_muon_higher,state_only,in_sample,None,1500,1500,0.30666666666666664,0.8904389632107024,0.762,0.7489548494983278,0.13446385100025415,0.21262222222222218
delta_loss_muon_higher,state_only,leave_setting_out,MF input kappa=1e+02,1200,300,0.06333333333333334,0.5191983517512643,0.9366666666666666,0.5,0.06174538919812663,0.059322222222222235
delta_loss_muon_higher,state_only,leave_setting_out,MF input kappa=1e+05,1200,300,0.06,0.19247438928289995,0.94,0.5,0.06071402829276977,0.05639999999999999
delta_loss_muon_higher,state_only,leave_setting_out,Matrix sensing kappa=1e+02,1350,150,0.88,0.17845117845117844,0.88,0.5,0.11310604797265554,0.10559999999999999
delta_loss_muon_higher,state_only,leave_setting_out,Matrix sensing kappa=1e+05,1350,150,0.8666666666666667,0.1703846153846154,0.8666666666666667,0.5,0.12347219739341789,0.11555555555555552
delta_loss_muon_higher,state_only,leave_setting_out,Small MLP digits hidden=16,1200,300,0.5366666666666666,0.34956879217123193,0.4633333333333333,0.5,0.5364266681745282,0.2486555555555555
delta_loss_muon_higher,state_only,leave_setting_out,Small MLP digits hidden=64,1200,300,0.0,,0.0,,0.96414238218193,0.0
delta_loss_muon_higher,update_spectrum_only,in_sample,None,1500,1500,0.30666666666666664,0.9250919732441472,0.858,0.8721362876254181,0.1021432690138993,0.21262222222222218
delta_loss_muon_higher,update_spectrum_only,leave_setting_out,MF input kappa=1e+02,1200,300,0.06333333333333334,0.4075669601048885,0.9366666666666666,0.5,0.06887168134501577,0.059322222222222235
delta_loss_muon_higher,update_spectrum_only,leave_setting_out,MF input kappa=1e+05,1200,300,0.06,0.7972813238770686,0.8533333333333334,0.4799054373522459,0.08865579114020315,0.05639999999999999
delta_loss_muon_higher,update_spectrum_only,leave_setting_out,Matrix sensing kappa=1e+02,1350,150,0.88,0.16666666666666666,0.88,0.5,0.11945020106080426,0.10559999999999999
delta_loss_muon_higher,update_spectrum_only,leave_setting_out,Matrix sensing kappa=1e+05,1350,150,0.8666666666666667,0.1634615384615385,0.8666666666666667,0.5,0.13386270800193428,0.11555555555555552
delta_loss_muon_higher,update_spectrum_only,leave_setting_out,Small MLP digits hidden=16,1200,300,0.5366666666666666,0.7365387193350909,0.6366666666666667,0.6098797980249341,0.22803634103189063,0.2486555555555555
delta_loss_muon_higher,update_spectrum_only,leave_setting_out,Small MLP digits hidden=64,1200,300,0.0,,0.9866666666666667,,0.05769345995199359,0.0
delta_loss_muon_higher,state_plus_update_spectrum,in_sample,None,1500,1500,0.30666666666666664,0.9581040969899666,0.8926666666666667,0.9038043478260869,0.08072622585758674,0.21262222222222218
delta_loss_muon_higher,state_plus_update_spectrum,leave_setting_out,MF input kappa=1e+02,1200,300,0.06333333333333334,0.8572766435662109,0.9133333333333333,0.6592994942873197,0.07004253957847183,0.059322222222222235
delta_loss_muon_higher,state_plus_update_spectrum,leave_setting_out,MF input kappa=1e+05,1200,300,0.06,0.9678881008668243,0.93,0.8847517730496455,0.04921335940908835,0.05639999999999999
delta_loss_muon_higher,state_plus_update_spectrum,leave_setting_out,Matrix sensing kappa=1e+02,1350,150,0.88,0.29503367003367004,0.88,0.5,0.11288829479528076,0.10559999999999999
delta_loss_muon_higher,state_plus_update_spectrum,leave_setting_out,Matrix sensing kappa=1e+05,1350,150,0.8666666666666667,0.3026923076923077,0.8666666666666667,0.5,0.12320759586706158,0.11555555555555552
delta_loss_muon_higher,state_plus_update_spectrum,leave_setting_out,Small MLP digits hidden=16,1200,300,0.5366666666666666,0.4321462084990393,0.4633333333333333,0.5,0.5361691985176964,0.2486555555555555
delta_loss_muon_higher,state_plus_update_spectrum,leave_setting_out,Small MLP digits hidden=64,1200,300,0.0,,0.07333333333333333,,0.7784956457390854,0.0
