problem_family,base_setting,seed,step,eval_algo,vector_source,source_algo,target_relative_op_norm,loss_before,loss_after,delta_loss,update_grad_inner,update_grad_cosine,update_fro_norm
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Adam,own_vectors,Adam,0.001,0.0001532792239327137,0.00015326817299385283,1.1050938860860228e-08,1.103756032826167e-08,0.06792766450117677,0.006331555641509775
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Adam,other_vectors,Muon,0.001,0.0001532792239327137,0.00015326817299385283,1.1050938860860228e-08,1.103756032826167e-08,0.06792766450117677,0.006331555641509775
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Muon,own_vectors,Muon,0.001,0.0001532792239327137,0.00015326817299385283,1.1050938860860228e-08,1.103756032826167e-08,0.06792766450117677,0.006331555641509775
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Muon,other_vectors,Adam,0.001,0.0001532792239327137,0.00015326817299385283,1.1050938860860228e-08,1.103756032826167e-08,0.06792766450117677,0.006331555641509775
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Adam,own_vectors,Adam,0.001,0.00014960484497871958,0.00014953027575912947,7.456921959010957e-08,7.437231368357561e-08,0.1675007079378441,0.006481001288883693
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Adam,other_vectors,Muon,0.001,0.00014960484497871958,0.00014956435088599222,4.0494092727350614e-08,4.031784149270187e-08,0.09080350816146171,0.006481001288883693
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Muon,own_vectors,Muon,0.001,0.00015276069255121483,0.00015274760164595165,1.309090526317681e-08,1.3041949494512471e-08,0.07112993206045005,0.0063950239668645005
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Muon,other_vectors,Adam,0.001,0.00015276069255121483,0.0001527537908509197,6.9017002951186814e-09,6.887210445852933e-09,0.03756239136684786,0.006395023966864501
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Adam,own_vectors,Adam,0.001,0.00011891317213957395,0.00011858786592727823,3.253062122957214e-07,3.24238660320352e-07,0.28488360627672155,0.0067594972771831095
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Adam,other_vectors,Muon,0.001,0.00011891317213957395,0.00011860245449031328,3.1071764926067123e-07,3.0980355963926723e-07,0.2722005920583308,0.0067594972771831095
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Muon,own_vectors,Muon,0.001,0.0001513786363547434,0.00015135316640885784,2.5469945885551494e-08,2.5350787614274998e-08,0.09325612278558913,0.006521577135013967
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Muon,other_vectors,Adam,0.001,0.0001513786363547434,0.00015135555946780955,2.307688693384117e-08,2.2961306037233525e-08,0.08446610841865858,0.006521577135013966
MatrixFactorizationInput,MF input kappa=1e+02,0,10,Adam,own_vectors,Adam,0.001,1.5386980753242767e-05,1.4971022914411287e-05,4.159578388314794e-07,4.259250194805751e-07,0.4201434396776415,0.00730330430611026
MatrixFactorizationInput,MF input kappa=1e+02,0,10,Adam,other_vectors,Muon,0.001,1.5386980753242767e-05,1.5219875798372412e-05,1.6710495487035476e-07,1.7836035706208022e-07,0.1759392627593982,0.00730330430611026
MatrixFactorizationInput,MF input kappa=1e+02,0,10,Muon,own_vectors,Muon,0.001,0.00013824134428778065,0.00013808898347442822,1.5236081335242972e-07,1.5173602543311393e-07,0.17195630849943577,0.006968287683056494
