problem_family,base_setting,eval_algo,step,vector_source,points,mean_delta_loss,mean_update_grad_inner,mean_update_grad_cosine
SmallMLPDigits,Small MLP digits hidden=16,Muon,3,own_vectors,5,1.1873420972552395e-05,1.1862204091823991e-05,0.6471870229260654
SmallMLPDigits,Small MLP digits hidden=16,Muon,10,other_vectors,5,3.057308565317385e-05,3.055490744996245e-05,0.49390306435176673
SmallMLPDigits,Small MLP digits hidden=16,Muon,10,own_vectors,5,4.403120442777464e-05,4.4000419410529234e-05,0.7115732215247486
SmallMLPDigits,Small MLP digits hidden=64,Adam,0,other_vectors,5,2.3024706113705662e-05,2.3030970119645404e-05,0.39832219332974506
SmallMLPDigits,Small MLP digits hidden=64,Adam,0,own_vectors,5,2.3024706113705662e-05,2.3030970119645404e-05,0.39832219332974506
SmallMLPDigits,Small MLP digits hidden=64,Adam,1,other_vectors,5,3.936660652250623e-05,3.935035038138029e-05,0.1525529189031257
SmallMLPDigits,Small MLP digits hidden=64,Adam,1,own_vectors,5,7.683700168197305e-05,7.681619164779196e-05,0.29854011755260246
SmallMLPDigits,Small MLP digits hidden=64,Adam,3,other_vectors,5,0.00018064729744136088,0.00018052362128467126,0.17001337779408768
SmallMLPDigits,Small MLP digits hidden=64,Adam,3,own_vectors,5,0.000285138742899349,0.000285052679278813,0.2697140616238477
SmallMLPDigits,Small MLP digits hidden=64,Adam,10,other_vectors,5,0.0014112180938547602,0.0014107638835431774,0.18648994663102142
SmallMLPDigits,Small MLP digits hidden=64,Adam,10,own_vectors,5,0.0020196164319009834,0.002020953855164913,0.26626432794321125
SmallMLPDigits,Small MLP digits hidden=64,Muon,0,other_vectors,5,2.3024706113705662e-05,2.3030970119645404e-05,0.39832219332974506
SmallMLPDigits,Small MLP digits hidden=64,Muon,0,own_vectors,5,2.3024706113705662e-05,2.3030970119645404e-05,0.39832219332974506
SmallMLPDigits,Small MLP digits hidden=64,Muon,1,other_vectors,5,1.1379838296843302e-05,1.13719108519625e-05,0.1917347117077371
SmallMLPDigits,Small MLP digits hidden=64,Muon,1,own_vectors,5,2.3633898644348506e-05,2.3637418604125197e-05,0.3989751605739989
SmallMLPDigits,Small MLP digits hidden=64,Muon,3,other_vectors,5,1.6959093960089432e-05,1.694545960322725e-05,0.23935419615777193
SmallMLPDigits,Small MLP digits hidden=64,Muon,3,own_vectors,5,2.855547173794548e-05,2.854080512126404e-05,0.40340213653353196
SmallMLPDigits,Small MLP digits hidden=64,Muon,10,other_vectors,5,4.544928663046122e-05,4.542339382163057e-05,0.292849562256439
SmallMLPDigits,Small MLP digits hidden=64,Muon,10,own_vectors,5,6.716066289635947e-05,6.71402487221719e-05,0.4305252898188446
