group_type,group,points,median_cosine_sq,median_gradient_rank_fraction,median_abs_identity_error,max_abs_identity_error,mean_abs_identity_error
All,All,8175,0.24884353725092115,0.2488435372509214,5.551115123125783e-16,1.559863349598345e-14,1.3515097977216346e-15
family,MatrixFactorizationInput,7500,0.24575941132497903,0.2457594113249806,6.106226635438361e-16,1.559863349598345e-14,1.4313883411887218e-15
family,MatrixSensing,375,0.6724605561656618,0.6724605561656635,5.551115123125783e-16,2.3314683517128287e-15,6.409687595502571e-16
family,SmallMLPDigits,300,0.34501263227180706,0.34501263227180723,1.6653345369377348e-16,1.3322676295501878e-15,2.4272250875867483e-16
