row_type,held_out_family,feature,test_pairs,train_min,train_max,test_min,test_max,frac_test_outside_train_range,mean_feature_outside_fraction,frac_pairs_with_any_feature_outside,median_min_standardized_distance,p90_min_standardized_distance
feature,MatrixFactorizationInput,muon_grad_rank_fraction,750,0.32627636214117517,0.7313306688025314,0.20111511334289847,0.6749134868787469,0.7253333333333334,,,,
feature,MatrixFactorizationInput,adam_grad_rank_fraction,750,0.17600999383635382,0.7316065837221052,0.20100088629085616,0.5404944880218656,0.0,,,,
feature,MatrixFactorizationInput,pair_mean_grad_rank_fraction,750,0.2945756932989003,0.7263583017373546,0.20202766670954134,0.5659250232138183,0.712,,,,
feature,MatrixFactorizationInput,delta_mean_grad_rank_fraction,750,-0.022899305200756115,0.23713139892509297,-0.1853603504103835,0.3974250442929871,0.11066666666666666,,,,
feature,MatrixFactorizationInput,condition_score_Muon,750,0.1378425669098813,6.3132168911277695,0.24913661870537682,0.9592757951876697,0.0,,,,
feature,MatrixFactorizationInput,condition_score_Adam,750,0.13865116043500958,6.3132168911277695,0.2590750982667983,1.55583682617719,0.0,,,,
feature,MatrixFactorizationInput,delta_condition_score,750,-0.18948148009084065,2.5987685190349556,-0.944439980723605,0.22588912633778002,0.632,,,,
feature,MatrixFactorizationInput,nrG_Muon,750,6.332591696712349,43.87984012815188,1.005575566714492,3.3745674343937346,1.0,,,,
feature,MatrixFactorizationInput,nrG_Adam,750,3.725765507423098,43.89639502332631,1.005004431454281,2.7024724401093283,1.0,,,,
feature,MatrixFactorizationInput,delta_nrG,750,-1.3739583120453673,3.7177547460927762,-0.9268017520519178,1.987125221464936,0.0,,,,
feature,MatrixFactorizationInput,stA_Muon,750,1.3335063120966568,307.1963497151438,4.539093515890373,7.134628794876224,0.0,,,,
feature,MatrixFactorizationInput,stA_Adam,750,1.2400951891156635,307.1963497151438,4.424369051811703,6.997997066623599,0.0,,,,
feature,MatrixFactorizationInput,delta_stA,750,-0.04650692661562039,0.15935601644403619,-0.28437041427555965,2.246406889759335,0.864,,,,
family_summary,MatrixFactorizationInput,ALL,750,,,,,,0.388,1.0,35.28618596040193,56.5282825603488
feature,MatrixSensing,muon_grad_rank_fraction,375,0.20111511334289847,0.6749134868787469,0.6993497642979053,0.7313306688025314,1.0,,,,
feature,MatrixSensing,adam_grad_rank_fraction,375,0.17600999383635382,0.5404944880218656,0.7023936474359815,0.7316065837221052,1.0,,,,
feature,MatrixSensing,pair_mean_grad_rank_fraction,375,0.20202766670954134,0.5659250232138183,0.7052295819518162,0.7263583017373546,1.0,,,,
feature,MatrixSensing,delta_mean_grad_rank_fraction,375,-0.1853603504103835,0.3974250442929871,-0.022899305200756115,0.015491708489217548,0.0,,,,
feature,MatrixSensing,condition_score_Muon,375,0.24913661870537682,6.3132168911277695,0.1378425669098813,0.146301606000667,1.0,,,,
feature,MatrixSensing,condition_score_Adam,375,0.2590750982667983,6.3132168911277695,0.13865116043500958,0.1452733532984033,1.0,,,,
feature,MatrixSensing,delta_condition_score,375,-0.944439980723605,2.5987685190349556,-0.004513476904498437,0.003056285068475134,0.0,,,,
feature,MatrixSensing,nrG_Muon,375,1.005575566714492,8.580757325016801,41.96098585787432,43.87984012815188,1.0,,,,
feature,MatrixSensing,nrG_Adam,375,1.005004431454281,8.580757325016801,42.143618846158894,43.89639502332631,1.0,,,,
feature,MatrixSensing,delta_nrG,375,-0.9268017520519178,3.7177547460927762,-1.3739583120453673,0.9295025093530498,0.02666666666666667,,,,
feature,MatrixSensing,stA_Muon,375,1.3335063120966568,7.134628794876224,299.9272620968483,307.1963497151438,1.0,,,,
feature,MatrixSensing,stA_Adam,375,1.2400951891156635,6.997997066623599,299.9272620968483,307.1963497151438,1.0,,,,
feature,MatrixSensing,delta_stA,375,-0.28437041427555965,2.246406889759335,0.0,0.0,0.0,,,,
family_summary,MatrixSensing,ALL,375,,,,,,0.6943589743589743,1.0,249.94627188198007,252.49860448601703
feature,SmallMLPDigits,muon_grad_rank_fraction,150,0.20111511334289847,0.7313306688025314,0.32627636214117517,0.45406353150283785,0.0,,,,
feature,SmallMLPDigits,adam_grad_rank_fraction,150,0.20100088629085616,0.7316065837221052,0.17600999383635382,0.43698682957921076,0.006666666666666667,,,,
feature,SmallMLPDigits,pair_mean_grad_rank_fraction,150,0.20202766670954134,0.7263583017373546,0.2945756932989003,0.43698682957921076,0.0,,,,
feature,SmallMLPDigits,delta_mean_grad_rank_fraction,150,-0.1853603504103835,0.3974250442929871,-0.010666450132824024,0.23713139892509297,0.0,,,,
feature,SmallMLPDigits,condition_score_Muon,150,0.1378425669098813,0.9592757951876697,4.410806924550725,6.3132168911277695,1.0,,,,
feature,SmallMLPDigits,condition_score_Adam,150,0.13865116043500958,1.55583682617719,2.5955864518234324,6.3132168911277695,1.0,,,,
feature,SmallMLPDigits,delta_condition_score,150,-0.944439980723605,0.22588912633778002,-0.18948148009084065,2.5987685190349556,0.8733333333333333,,,,
feature,SmallMLPDigits,nrG_Muon,150,1.005575566714492,43.87984012815188,6.332591696712349,8.580757325016801,0.0,,,,
feature,SmallMLPDigits,nrG_Adam,150,1.005004431454281,43.89639502332631,3.725765507423098,8.580757325016801,0.0,,,,
feature,SmallMLPDigits,delta_nrG,150,-1.3739583120453673,1.987125221464936,-0.05286382668911749,3.7177547460927762,0.13333333333333333,,,,
feature,SmallMLPDigits,stA_Muon,150,4.539093515890373,307.1963497151438,1.3335063120966568,1.4678814613026745,1.0,,,,
feature,SmallMLPDigits,stA_Adam,150,4.424369051811703,307.1963497151438,1.2400951891156635,1.4963876081908576,1.0,,,,
feature,SmallMLPDigits,delta_stA,150,-0.28437041427555965,2.246406889759335,-0.04650692661562039,0.15935601644403619,0.0,,,,
family_summary,SmallMLPDigits,ALL,150,,,,,,0.38564102564102565,1.0,25.76074623517381,28.189681999127814
