problem_family,setting,kappa,lr,algo,runs,median_final_loss,median_recovery,median_nrG,median_stA,median_condition_score,median_relative_update_fro_norm,median_mean_relative_layer_update_norm,median_delta_loss
MatrixFactorizationInput,MF input kappa=1e+01 lr=1e-02,10.0,0.01,Adam,5,3.592327803653512e-05,0.4160669217689239,2.2379290105414884,5.192578692977055,1.0755586163686024,0.032739860491810824,0.055163018470146125,1.6570875942216444e-05
MatrixFactorizationInput,MF input kappa=1e+01 lr=1e-02,10.0,0.01,Muon,5,0.00018029142498177168,0.9514400111779534,2.633884558653218,6.7576688895709704,0.6854171721607254,0.0108690145850475,0.028733259144095403,1.7545734563158912e-06
MatrixFactorizationInput,MF input kappa=1e+01 lr=3e-02,10.0,0.03,Adam,5,2.0511228070338474e-05,0.3275806006389076,2.192636494842764,5.065486829705188,1.1556484453766651,0.049480985373085026,0.0595672442416748,8.75960213277591e-06
MatrixFactorizationInput,MF input kappa=1e+01 lr=3e-02,10.0,0.03,Muon,5,1.634257515446467e-05,0.3102856782822161,2.542228941686587,5.5799447543089356,1.0688820197477145,0.03029019607322894,0.057871514703100896,1.9553623613328214e-05
MatrixFactorizationInput,MF input kappa=1e+01 lr=3e-03,10.0,0.003,Adam,5,0.00013588546815287636,0.8540962997901348,1.4638450232644526,4.873030902248732,0.9346292540303441,0.011577241023002439,0.037190604511724276,5.5870867933713444e-06
MatrixFactorizationInput,MF input kappa=1e+01 lr=3e-03,10.0,0.003,Muon,5,0.0001985732236145576,0.9934446507709127,2.563716153267728,6.573585213867536,0.705370248308961,0.0033408633927629137,0.009924229203859531,2.390866067542751e-07
MatrixFactorizationInput,MF input kappa=1e+02 lr=1e-02,100.0,0.01,Adam,5,1.5735166391101975e-05,0.32979365202689376,1.5162363268058276,4.871241471885713,0.956393258077125,0.0295431404030293,0.05409712144566434,1.5092496527788973e-05
MatrixFactorizationInput,MF input kappa=1e+02 lr=1e-02,100.0,0.01,Muon,5,0.00013824134428778065,0.9559708072785972,1.5736094949882138,6.310539473121489,0.5090547547097292,0.010928895583390604,0.029918280983734988,1.2382959352606895e-06
MatrixFactorizationInput,MF input kappa=1e+02 lr=3e-02,100.0,0.03,Adam,5,9.85261517360939e-06,0.24992754505453663,1.3728226632708227,4.814321946842819,0.9227606584114774,0.047638797371794224,0.06088326972226829,6.53455378313946e-06
MatrixFactorizationInput,MF input kappa=1e+02 lr=3e-02,100.0,0.03,Muon,5,1.0478412456011958e-05,0.303071643419895,1.5116228819427346,5.12409515008615,0.9079171334821338,0.031153652952737552,0.06327500437167574,1.474165354581974e-05
MatrixFactorizationInput,MF input kappa=1e+02 lr=3e-03,100.0,0.003,Adam,5,8.976906823621946e-05,0.7730075001460998,1.1322413725791793,4.696638631696554,0.8547392842348689,0.011409616438923,0.03775779091875886,5.534657075379544e-06
MatrixFactorizationInput,MF input kappa=1e+02 lr=3e-03,100.0,0.003,Muon,5,0.0001513275557028384,0.9939688711974266,1.6636609715018646,6.434507894262507,0.43803221673809123,0.0033514915420713447,0.010069907844040996,1.6836923518332445e-07
MatrixFactorizationInput,MF input kappa=1e+03 lr=1e-02,1000.0,0.01,Adam,5,1.3979439631375422e-05,0.3141945535247523,1.205110892884819,4.672529798154022,0.8855912758945059,0.029295900292839065,0.054242926119097715,1.4401868698715155e-05
MatrixFactorizationInput,MF input kappa=1e+03 lr=1e-02,1000.0,0.01,Muon,5,0.00012920879205304112,0.9598483170593028,1.2246356773592326,5.817620931135835,0.4702453732861255,0.011094435986751383,0.03241636433917643,1.0683975028308329e-06
MatrixFactorizationInput,MF input kappa=1e+03 lr=3e-02,1000.0,0.03,Adam,5,9.642338226810317e-06,0.2663632014131074,1.301258933137679,4.65741991464114,1.0184011161427233,0.04603960246308281,0.05723403707416932,6.501270041063559e-06
MatrixFactorizationInput,MF input kappa=1e+03 lr=3e-02,1000.0,0.03,Muon,5,9.44637035583064e-06,0.29236343471827714,1.379276083168867,4.791154699681899,0.9207773189138392,0.03182847844647674,0.0681994003451112,1.2777623976906084e-05
MatrixFactorizationInput,MF input kappa=1e+03 lr=3e-03,1000.0,0.003,Adam,5,7.851777459533309e-05,0.7548741187151793,1.0397464535345828,4.617149417292955,0.8505510441394402,0.011347934378066898,0.03891034693901635,5.539438943863532e-06
MatrixFactorizationInput,MF input kappa=1e+03 lr=3e-03,1000.0,0.003,Muon,5,0.00014074240348491666,0.9946019956339502,1.2761290565175378,6.074862473625602,0.41392302885222476,0.003359367955870654,0.01041862901832238,1.45011122999541e-07
MatrixFactorizationInput,MF input kappa=1e+04 lr=1e-02,10000.0,0.01,Adam,5,1.1973626698936644e-05,0.29962905733295336,1.1540882280625793,4.598225759730511,0.912887487272708,0.029105277147664598,0.05473231391711626,1.4920015009951221e-05
MatrixFactorizationInput,MF input kappa=1e+04 lr=1e-02,10000.0,0.01,Muon,5,0.0001268737058394477,0.9617937477040828,1.092649012993308,5.46475128377304,0.49511358325425336,0.011172392425670755,0.033581603517489136,9.930216337390664e-07
MatrixFactorizationInput,MF input kappa=1e+04 lr=3e-02,10000.0,0.03,Adam,5,8.829834915819888e-06,0.2552013821444251,1.2565001400906994,4.58741529190605,1.0037472062656403,0.04698787647628091,0.060070775346324476,7.921621026523144e-06
MatrixFactorizationInput,MF input kappa=1e+04 lr=3e-02,10000.0,0.03,Muon,5,9.404027680300856e-06,0.29174481575756345,1.103359838826088,4.70275134595652,0.8546170479907789,0.032593795259445855,0.07343881513021464,1.2001065390457869e-05
MatrixFactorizationInput,MF input kappa=1e+04 lr=3e-03,10000.0,0.003,Adam,5,7.539735483823461e-05,0.7529110408877845,1.0173068669998107,4.565515833292542,0.8460040482989601,0.011258279089697301,0.03924340922630852,5.694892605639579e-06
MatrixFactorizationInput,MF input kappa=1e+04 lr=3e-03,10000.0,0.003,Muon,5,0.00013774292663825048,0.9949368575414088,1.1301736848707182,5.8880018502622535,0.423988975729921,0.0033651316347836696,0.01063199558023891,1.3351755150708337e-07
MatrixFactorizationInput,MF input kappa=1e+05 lr=1e-02,100000.0,0.01,Adam,5,1.1349280880470254e-05,0.29753080647442987,1.144563978380138,4.564160355655273,0.934971547743943,0.028923852520421043,0.05486185853220734,1.430873079963959e-05
MatrixFactorizationInput,MF input kappa=1e+05 lr=1e-02,100000.0,0.01,Muon,5,0.00012629519326430694,0.9628677085141639,1.0285677710866172,5.330817821713781,0.513646323431835,0.011207820788712896,0.0349048078037071,9.461986734743199e-07
MatrixFactorizationInput,MF input kappa=1e+05 lr=3e-02,100000.0,0.03,Adam,5,5.250845551566358e-06,0.20032017763500112,1.184332060030961,4.558841294097017,0.9433991152754583,0.047002286801049065,0.06026742522135585,7.842726764674829e-06
MatrixFactorizationInput,MF input kappa=1e+05 lr=3e-02,100000.0,0.03,Muon,5,8.72031415202218e-06,0.28541473251863075,1.0652327805118424,4.624318817009856,0.8567725617937553,0.03288430246890088,0.0752255985895442,1.1767365934022224e-05
MatrixFactorizationInput,MF input kappa=1e+05 lr=3e-03,100000.0,0.003,Adam,5,7.487514076042551e-05,0.7530653624862348,1.0096470023381514,4.5519745132819756,0.852268841136014,0.01120573622670648,0.039118709455853676,5.516448983597418e-06
MatrixFactorizationInput,MF input kappa=1e+05 lr=3e-03,100000.0,0.003,Muon,5,0.00013684569435434013,0.995130686170369,1.0616321356053515,5.785803050376322,0.41084958369429503,0.003368880037728987,0.010819880310154385,1.2966196064225074e-07
MatrixSensing,Matrix sensing kappa=1e+01 lr=1e-02,10.0,0.01,Adam,5,0.003187754456583168,1.1326790202381336,42.77947702233733,304.1282107289824,0.14067501169559418,0.23817256004312143,0.23817256004312143,0.0010771944000730546
MatrixSensing,Matrix sensing kappa=1e+01 lr=1e-02,10.0,0.01,Muon,5,0.00303088521815395,1.0850106929354495,37.51430342046247,304.1282107289824,0.12270525427003375,0.12726074515424396,0.12726074515424396,0.002490269122920467
MatrixSensing,Matrix sensing kappa=1e+01 lr=3e-02,10.0,0.03,Adam,5,0.024551925752342545,1.3630366549268182,42.131045776989964,304.1282107289824,0.13853054169491094,0.5119038238965261,0.5119038238965261,0.0029463929513153554
MatrixSensing,Matrix sensing kappa=1e+01 lr=3e-02,10.0,0.03,Muon,5,0.0006272792590631891,1.1117269317343976,47.1640730547726,304.1282107289824,0.1555131232282239,0.3350840819190986,0.3350840819190986,0.0016596288454863131
MatrixSensing,Matrix sensing kappa=1e+01 lr=3e-03,10.0,0.003,Adam,5,0.0010071412733574803,1.0694601579568446,42.39716371716713,304.1282107289824,0.13935517674073267,0.2332963709239171,0.2332963709239171,0.0022739190303666707
MatrixSensing,Matrix sensing kappa=1e+01 lr=3e-03,10.0,0.003,Muon,5,0.010560497529585735,1.0970622350267152,40.15897338678759,304.1282107289824,0.13204619620957964,0.03877222101386731,0.03877222101386731,0.0010197579843018115
MatrixSensing,Matrix sensing kappa=1e+02 lr=1e-02,100.0,0.01,Adam,5,0.0023680611365872245,1.1692985290849374,42.94287919161345,304.1282107289824,0.1403160766035695,0.22731826368539482,0.22731826368539482,0.0012708394912849747
MatrixSensing,Matrix sensing kappa=1e+02 lr=1e-02,100.0,0.01,Muon,5,0.001821901419614771,1.1308237562244943,36.88584837241008,304.1282107289824,0.1208073620616328,0.12817887216045862,0.12817887216045862,0.002111711274551251
MatrixSensing,Matrix sensing kappa=1e+02 lr=3e-02,100.0,0.03,Adam,5,0.026127488155013995,1.492159593045,41.979680932934635,304.1282107289824,0.13803284092689436,0.5463342502950236,0.5463342502950236,0.000635255856818645
MatrixSensing,Matrix sensing kappa=1e+02 lr=3e-02,100.0,0.03,Muon,5,0.0005535020397960881,1.1579839167899093,47.559385671310814,304.1282107289824,0.1560906701675197,0.3384158320624547,0.3384158320624547,0.0008566106684293135
MatrixSensing,Matrix sensing kappa=1e+02 lr=3e-03,100.0,0.003,Adam,5,0.001118901462272894,1.1185372691231616,41.92854785522343,304.1282107289824,0.1383056552619199,0.22812659136415947,0.22812659136415947,0.0016302703206813067
MatrixSensing,Matrix sensing kappa=1e+02 lr=3e-03,100.0,0.003,Muon,5,0.008060786823147582,1.1357316448713723,39.8343053464491,304.1282107289824,0.13100564825366162,0.038820675515492994,0.038820675515492994,0.0009104358004706232
MatrixSensing,Matrix sensing kappa=1e+03 lr=1e-02,1000.0,0.01,Adam,5,0.0022259714801388464,1.1912952822922125,42.812897369447704,304.1282107289824,0.14064111101304175,0.2290316920497524,0.2290316920497524,0.0011639710366232216
MatrixSensing,Matrix sensing kappa=1e+03 lr=1e-02,1000.0,0.01,Muon,5,0.001533258342234781,1.1460807907159805,36.586259856207924,304.1282107289824,0.11964854051267212,0.1283327787069153,0.1283327787069153,0.002007563311547554
MatrixSensing,Matrix sensing kappa=1e+03 lr=3e-02,1000.0,0.03,Adam,5,0.026627854316702275,1.5289910637813315,41.7594537163872,304.1282107289824,0.1376411282485767,0.5543913850363869,0.5543913850363869,-0.00020261480453374892
MatrixSensing,Matrix sensing kappa=1e+03 lr=3e-02,1000.0,0.03,Muon,5,0.000563636372488634,1.1755484474032227,47.42945793094252,304.1282107289824,0.15635322140778232,0.3399417366458781,0.3399417366458781,0.0007168708502256374
MatrixSensing,Matrix sensing kappa=1e+03 lr=3e-03,1000.0,0.003,Adam,5,0.00114227554512587,1.1371744512864825,41.925200312926464,304.1282107289824,0.13802921618429856,0.2255907916604243,0.2255907916604243,0.0014281307926685203
MatrixSensing,Matrix sensing kappa=1e+03 lr=3e-03,1000.0,0.003,Muon,5,0.007403853607550559,1.1486805488726717,39.586292334358845,304.1282107289824,0.13044597026667498,0.03883425278846404,0.03883425278846404,0.0008797221545627561
