condition,condition_label,problem_family,bin,bin_min,bin_max,n_pairs,muon_first_order_win_rate,muon_delta_loss_win_rate,geomean_first_order_ratio_muon_over_adam,first_order_ratio_ci95_low,first_order_ratio_ci95_high,geomean_delta_loss_ratio_muon_over_adam,delta_loss_ratio_ci95_low,delta_loss_ratio_ci95_high
muon_grad_rank_fraction,Muon mean nr(G_i)/r_i,All,middle,0.2647989122786051,0.5023166277595306,425,0.07058823529411765,0.14588235294117646,0.08035116094209742,0.07126148908740118,0.09060025474382485,0.10297650182308751,0.08904705124926653,0.11908490824739906
muon_grad_rank_fraction,Muon mean nr(G_i)/r_i,All,high,0.5030465691180194,0.7313306688025314,425,0.002352941176470588,0.13647058823529412,0.16419683168161023,0.1525149578926828,0.1767734778725761,0.2005999257885518,0.1791363719356965,0.22463517481987025
muon_grad_rank_fraction,Muon mean nr(G_i)/r_i,All,low,0.20111511334289847,0.264398350847869,425,0.16705882352941176,0.30823529411764705,0.1080976992537027,0.0910505857391067,0.12833648997521102,0.17383233473005133,0.14162532972190223,0.21336353219467544
muon_grad_rank_fraction,Muon mean nr(G_i)/r_i,MatrixFactorizationInput,high,0.29878099084570936,0.6749134868787469,250,0.108,0.212,0.1042786163464247,0.08682502724005,0.12524073038365763,0.14622898325168385,0.1184155470962884,0.1805752375187181
muon_grad_rank_fraction,Muon mean nr(G_i)/r_i,MatrixFactorizationInput,middle,0.2283652849994787,0.297228031134398,250,0.068,0.212,0.07288279554740651,0.06178213626534396,0.0859779575117203,0.1028072263965962,0.08306992076212619,0.1272340902987815
muon_grad_rank_fraction,Muon mean nr(G_i)/r_i,MatrixFactorizationInput,low,0.20111511334289847,0.22791772869326862,250,0.232,0.38,0.13933604821432566,0.10848876707301072,0.17895432730763086,0.25181399799055876,0.1882257729044495,0.33688420350479087
muon_grad_rank_fraction,Muon mean nr(G_i)/r_i,MatrixSensing,low,0.6993497642979053,0.7119355341479017,125,0.0,0.096,0.21207575359427677,0.19040733393243595,0.2362100468175228,0.2726367508666754,0.22388231317626986,0.33200835237312626
muon_grad_rank_fraction,Muon mean nr(G_i)/r_i,MatrixSensing,high,0.7166441412836364,0.7313306688025314,125,0.0,0.16,0.18318355726926216,0.16172742860916928,0.2074862374453071,0.2237180489985952,0.18062245150844153,0.277096036676253
muon_grad_rank_fraction,Muon mean nr(G_i)/r_i,MatrixSensing,middle,0.7120054579950779,0.7165881919651981,125,0.0,0.144,0.15214705857968572,0.13316921659362713,0.17382941813865188,0.16979884671018503,0.13790982730588597,0.20906159413977007
muon_grad_rank_fraction,Muon mean nr(G_i)/r_i,SmallMLPDigits,low,0.32627636214117517,0.3895766380732201,50,0.0,0.0,0.05793547579930233,0.051069420313658846,0.06572464178125444,0.057935692879113314,0.050952692171504076,0.06587570482213166
muon_grad_rank_fraction,Muon mean nr(G_i)/r_i,SmallMLPDigits,middle,0.3897420076922252,0.40732057893274265,50,0.0,0.0,0.05533060487239423,0.04858474444387809,0.06301310978555073,0.057273923517311726,0.04973534384192465,0.06595515506020744
muon_grad_rank_fraction,Muon mean nr(G_i)/r_i,SmallMLPDigits,high,0.4074228624109551,0.45406353150283785,50,0.0,0.0,0.05636924278193261,0.05018785303990093,0.06331196373915927,0.05882434089731514,0.05163630271395692,0.06701299086365933
adam_grad_rank_fraction,Adam mean nr(G_i)/r_i,All,high,0.3996397816167176,0.7316065837221052,425,0.02823529411764706,0.16,0.19025205136976295,0.17605316530781465,0.20559609358410244,0.22885659203027214,0.20342513277373586,0.2574673984554606
adam_grad_rank_fraction,Adam mean nr(G_i)/r_i,All,middle,0.23651213575187957,0.39913094732348864,425,0.1223529411764706,0.23294117647058823,0.11468034617533521,0.09995173727212033,0.13157932175895365,0.17065783083005082,0.1426313967455622,0.20419133436358503
adam_grad_rank_fraction,Adam mean nr(G_i)/r_i,All,low,0.17600999383635382,0.23651093127622697,425,0.08941176470588236,0.1976470588235294,0.06536647053864657,0.05644270447242997,0.07570111160720215,0.09194112596453484,0.07773946418482013,0.1087371868621276
adam_grad_rank_fraction,Adam mean nr(G_i)/r_i,MatrixFactorizationInput,high,0.25399774860257845,0.5404944880218656,250,0.208,0.368,0.199605910594354,0.16332362133299716,0.24394829859281136,0.32467637691800244,0.25387510826950505,0.4152228646878453
adam_grad_rank_fraction,Adam mean nr(G_i)/r_i,MatrixFactorizationInput,middle,0.21266281044011426,0.25390879120312515,250,0.152,0.336,0.1316422553640663,0.10724386186649816,0.16159137777890534,0.21841405416401666,0.16962877703808424,0.2812299887397736
adam_grad_rank_fraction,Adam mean nr(G_i)/r_i,MatrixFactorizationInput,low,0.20100088629085616,0.21263906943812816,250,0.048,0.1,0.04030092924428829,0.03462671105390339,0.04690497158175935,0.05338333476793982,0.04508388403223648,0.06321062375433857
adam_grad_rank_fraction,Adam mean nr(G_i)/r_i,MatrixSensing,low,0.7023936474359815,0.7144599758445122,125,0.0,0.16,0.1901221453723143,0.16772845366941952,0.21550565434898353,0.2382579661108953,0.1935436488849553,0.293302615416967
adam_grad_rank_fraction,Adam mean nr(G_i)/r_i,MatrixSensing,high,0.7191092175183781,0.7316065837221052,125,0.0,0.128,0.17303830878790022,0.15200909622740177,0.1969767405457358,0.19809456867356712,0.15981995843741467,0.24553540447411337
