metric,problem_family,layer_group,n_pairs,muon_higher_pairs,muon_lower_pairs,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,mean_delta_muon_minus_adam,delta_ci95_low,delta_ci95_high,ratio_ci95_above_one,ratio_ci95_below_one
relative_activation_delta_fro_norm,All,all_layers,7800,1059,6741,0.5244001365516828,0.5178113533158204,0.5310727573941393,-0.0696940984532793,-0.07800610490640618,-0.061382092000152426,False,True
relative_activation_delta_fro_norm,MatrixFactorizationInput,all_layers,7500,1004,6496,0.5268237361382421,0.5202967635284895,0.5334325877340554,-0.05416639285931064,-0.05946903215543022,-0.04886375356319105,False,True
relative_activation_delta_fro_norm,SmallMLPDigits,all_layers,300,55,245,0.467303840341031,0.4210157026039716,0.5186810797004601,-0.45788673830249554,-0.6228440654859184,-0.29292941111907267,False,True
relative_activation_delta_fro_norm,MatrixFactorizationInput,layer_1,750,30,720,0.35819300425341366,0.34211465178308187,0.375026990593306,-0.2714198067998376,-0.30557540180155246,-0.2372642117981228,False,True
relative_activation_delta_fro_norm,MatrixFactorizationInput,layer_2,750,93,657,0.544368377390689,0.5254334975439997,0.5639856074805287,-0.00945961782039559,-0.01034775774077804,-0.00857147790001314,False,True
relative_activation_delta_fro_norm,MatrixFactorizationInput,layer_3,750,89,661,0.5479429285109313,0.5290461032054503,0.5675147233596379,-0.009292939616170833,-0.010172985043737766,-0.0084128941886039,False,True
relative_activation_delta_fro_norm,MatrixFactorizationInput,layer_4,750,88,662,0.5517349222198573,0.5328320750631045,0.5713083702044398,-0.00910689780943008,-0.009981844932509016,-0.008231950686351143,False,True
relative_activation_delta_fro_norm,MatrixFactorizationInput,layer_5,750,97,653,0.5563533038093287,0.5372848632565653,0.5760984904422074,-0.008955416145251707,-0.009834365961528306,-0.008076466328975108,False,True
relative_activation_delta_fro_norm,MatrixFactorizationInput,layer_6,750,105,645,0.561223530395907,0.5420085427463294,0.5811197171802854,-0.008801374086278643,-0.009682383243629475,-0.00792036492892781,False,True
relative_activation_delta_fro_norm,MatrixFactorizationInput,layer_7,750,105,645,0.5633637890589592,0.5443042599447738,0.5830907126375777,-0.008796861428970019,-0.009678002717001356,-0.007915720140938682,False,True
relative_activation_delta_fro_norm,MatrixFactorizationInput,layer_8,750,97,653,0.5637082122923166,0.5451410162957336,0.5829077965276676,-0.008847904815351863,-0.009720644115232482,-0.007975165515471243,False,True
relative_activation_delta_fro_norm,MatrixFactorizationInput,layer_9,750,81,669,0.5598481402336924,0.5422790522145671,0.5779864422996506,-0.009126822246800882,-0.009983301294743705,-0.008270343198858058,False,True
relative_activation_delta_fro_norm,MatrixFactorizationInput,layer_10,750,219,531,0.5032426930475264,0.47581539879506474,0.5322509711687661,-0.19785628782461914,-0.23265451096209955,-0.16305806468713874,False,True
relative_activation_delta_fro_norm,SmallMLPDigits,layer_1,150,30,120,0.3859108900485147,0.32418957188707775,0.4593831139945222,-0.5300093155893818,-0.8016174318653386,-0.258401199313425,False,True
relative_activation_delta_fro_norm,SmallMLPDigits,layer_2,150,25,125,0.5658634799604206,0.5077677186084527,0.6306062126801516,-0.38576416101560934,-0.5733001126239088,-0.19822820940730987,False,True
relative_activation_delta_op_norm,All,all_layers,7800,744,7056,0.4256145045653184,0.4197769895890864,0.4315331973620191,-0.09804357298870008,-0.10897185579655898,-0.08711529018084117,False,True
relative_activation_delta_op_norm,MatrixFactorizationInput,all_layers,7500,653,6847,0.42303719419655555,0.4173160921402426,0.42883672842779585,-0.08233086551916884,-0.09065836462804469,-0.07400336641029298,False,True
relative_activation_delta_op_norm,SmallMLPDigits,all_layers,300,91,209,0.4954080877889044,0.44223145463146296,0.554979006753803,-0.49086125972698125,-0.6791416162710888,-0.3025809031828737,False,True
relative_activation_delta_op_norm,MatrixFactorizationInput,layer_1,750,23,727,0.2951554773490054,0.279764499489914,0.31139317521685755,-0.3748201457875095,-0.42834094098133524,-0.32129935059368375,False,True
relative_activation_delta_op_norm,MatrixFactorizationInput,layer_2,750,77,673,0.45576816453492863,0.4389827793940285,0.4731953724706028,-0.01336002635748255,-0.014490130947520063,-0.012229921767445036,False,True
relative_activation_delta_op_norm,MatrixFactorizationInput,layer_3,750,82,668,0.4560841497659943,0.4393390914291638,0.47346743261817975,-0.013322572547392005,-0.014451530897640799,-0.01219361419714321,False,True
relative_activation_delta_op_norm,MatrixFactorizationInput,layer_4,750,71,679,0.4561515662165578,0.4394500996018055,0.4734877783629107,-0.013285504949176132,-0.014415362458753191,-0.012155647439599073,False,True
relative_activation_delta_op_norm,MatrixFactorizationInput,layer_5,750,78,672,0.45659409414785457,0.43979922845914293,0.47403031501695175,-0.013307494775390888,-0.014447155247250463,-0.012167834303531314,False,True
relative_activation_delta_op_norm,MatrixFactorizationInput,layer_6,750,74,676,0.45678655048055605,0.43995257436585494,0.47426464773090177,-0.013350797798479093,-0.014500370456679637,-0.012201225140278549,False,True
