search_id,setting_id,phase,multiplicity_family,planned_family_size,dataset,model,partition_id,warmup_steps,target_head_gain_fraction_registered,seed,frobenius_tail_output_drift_fro,spectral_tail_output_drift_fro,tail_output_drift_sq_ratio_spectral_over_fro,log_tail_output_drift_sq_ratio_spectral_over_fro
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_mod5_01_vs_34_w2000_rho0p005_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_mod5_01_vs_34,2000,0.005,3,1.197029709815979,0.894720196723938,0.5586819272584225,-0.5821749708862678
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_mod5_01_vs_34_w2000_rho0p005_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_mod5_01_vs_34,2000,0.005,4,1.2715046405792236,0.8905511498451233,0.49054837156211634,-0.7122313879947667
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_mod5_01_vs_34_w5000_rho0p002_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_mod5_01_vs_34,5000,0.002,0,0.9632598161697388,0.870225727558136,0.8161630903649411,-0.2031410783451967
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_mod5_01_vs_34_w5000_rho0p002_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_mod5_01_vs_34,5000,0.002,1,0.9604792594909668,0.8870481848716736,0.8529399193073678,-0.15906616854627342
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_mod5_01_vs_34_w5000_rho0p002_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_mod5_01_vs_34,5000,0.002,2,1.0193634033203125,0.9110665917396544,0.7988075625498114,-0.2246352100969455
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_mod5_01_vs_34_w5000_rho0p002_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_mod5_01_vs_34,5000,0.002,3,0.9741408824920654,0.8746707439422607,0.8062053219945059,-0.2154168269880572
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_mod5_01_vs_34_w5000_rho0p002_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_mod5_01_vs_34,5000,0.002,4,0.99542635679245,0.8723940849304199,0.7680812315504589,-0.2638597811797498
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_mod5_01_vs_34_w5000_rho0p005_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_mod5_01_vs_34,5000,0.005,0,1.2467457056045532,0.9480197429656982,0.5782012173470074,-0.5478333439939318
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_mod5_01_vs_34_w5000_rho0p005_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_mod5_01_vs_34,5000,0.005,1,1.2175275087356567,0.961021900177002,0.6230300649713576,-0.47316050297809076
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_mod5_01_vs_34_w5000_rho0p005_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_mod5_01_vs_34,5000,0.005,2,1.2752673625946045,0.980097770690918,0.5906583019172957,-0.526517598125063
