search_id,setting_id,output_status,phase,multiplicity_family,planned_family_size,dataset_name,partition_id,warmup_steps,target_head_gain_fraction,seed_count,observed_seeds,metric_id,inference_source,estimate,raw_ci95_low,raw_ci95_high,log_ratio_mean,log_ratio_se,raw_one_sided_p,holm_adjusted_one_sided_p,bonferroni_simultaneous_ci95_low,raw_ci_worse,head_gain_gate,tail_quality_gate,quality_gate,adjustment_scope_status,adjusted_primary_decision,claim_status
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_decade_even_vs_odd_w5000_rho0p005_tail30,observed,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,cifar100_decade_even_vs_odd,5000,0.005,5,5,primary_tail_output_drift_ratio,paired_seed_log_ratio_t_test,0.6677839012381218,0.556030485895064,0.801998002024954,-0.40379065892380933,0.06596258511343073,0.9981964872876192,1.0,0.4490666635659787,False,False,True,False,incomplete_provisional,pending_phase_completion,not_ready
NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_a_w500_rho0p002_tail30,observed,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR10,cifar10_cross_a,500,0.002,5,5,primary_tail_output_drift_ratio,paired_seed_log_ratio_t_test,0.6616800794270941,0.6153739916277555,0.7114706397528198,-0.4129731035599639,0.026131248134467686,0.9999531649990611,1.0,0.5654328238525607,False,False,False,False,incomplete_provisional,pending_phase_completion,not_ready
NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_a_w500_rho0p005_tail30,observed,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR10,cifar10_cross_a,500,0.005,5,5,primary_tail_output_drift_ratio,paired_seed_log_ratio_t_test,0.34635206769360993,0.30874927113137957,0.3885345359879196,-1.0602994845772218,0.04139331512747829,0.9999931019218086,1.0,0.27000952351603136,False,True,False,False,incomplete_provisional,pending_phase_completion,not_ready
NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_a_w5000_rho0p002_tail30,observed,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR10,cifar10_cross_a,5000,0.002,5,5,primary_tail_output_drift_ratio,paired_seed_log_ratio_t_test,0.666706231538262,0.630554368046322,0.7049308064412566,-0.40540576256175304,0.020079681956959486,0.9999822368766472,1.0,0.590849663009124,False,False,False,False,incomplete_provisional,pending_phase_completion,not_ready
NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_a_w5000_rho0p005_tail30,observed,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR10,cifar10_cross_a,5000,0.005,5,5,primary_tail_output_drift_ratio,paired_seed_log_ratio_t_test,0.38952853835737217,0.3484126329545765,0.43549649996362944,-0.9428181471451935,0.040177141407042885,0.999990225688482,1.0,0.3058988143510638,False,False,False,False,incomplete_provisional,pending_phase_completion,not_ready
NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_b_w500_rho0p002_tail30,observed,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR10,cifar10_cross_b,500,0.002,5,5,primary_tail_output_drift_ratio,paired_seed_log_ratio_t_test,0.7143113347511576,0.6574553338254823,0.7760841789587198,-0.3364363686128569,0.02987348167443778,0.9998229225109406,1.0,0.5968209135999729,False,False,False,False,incomplete_provisional,pending_phase_completion,not_ready
NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_b_w500_rho0p005_tail30,observed,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR10,cifar10_cross_b,500,0.005,5,5,primary_tail_output_drift_ratio,paired_seed_log_ratio_t_test,0.4012649313649328,0.3601343332219367,0.44709301582772976,-0.9131333931058222,0.03895080655019193,0.9999901870334784,1.0,0.3174486458746416,False,True,False,False,incomplete_provisional,pending_phase_completion,not_ready
NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_b_w5000_rho0p002_tail30,observed,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR10,cifar10_cross_b,5000,0.002,5,5,primary_tail_output_drift_ratio,paired_seed_log_ratio_t_test,0.6809173244477917,0.6128891775378549,0.7564963124259152,-0.38431438336294943,0.037910622789076885,0.9997334631402889,1.0,0.542068415681802,False,False,False,False,incomplete_provisional,pending_phase_completion,not_ready
NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_b_w5000_rho0p005_tail30,observed,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR10,cifar10_cross_b,5000,0.005,5,5,primary_tail_output_drift_ratio,paired_seed_log_ratio_t_test,0.44592522634048937,0.399749097877886,0.49743528764024997,-0.8076039949626578,0.0393719972417415,0.9999833188092216,1.0,0.35188760310900136,False,False,False,False,incomplete_provisional,pending_phase_completion,not_ready
NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w2000_rho0p002_tail300,not_run,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,cifar100_tail_quality_mod5_12_vs_04,2000,0.002,5,0,primary_tail_output_drift_ratio,missing_output,,,,,,,,,False,False,False,False,missing_output,pending_output,not_ready
NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w2000_rho0p005_tail300,not_run,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,cifar100_tail_quality_mod5_12_vs_04,2000,0.005,5,0,primary_tail_output_drift_ratio,missing_output,,,,,,,,,False,False,False,False,missing_output,pending_output,not_ready
NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w5000_rho0p002_tail300,not_run,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,cifar100_tail_quality_mod5_12_vs_04,5000,0.002,5,0,primary_tail_output_drift_ratio,missing_output,,,,,,,,,False,False,False,False,missing_output,pending_output,not_ready
NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w5000_rho0p005_tail300,not_run,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,cifar100_tail_quality_mod5_12_vs_04,5000,0.005,5,0,primary_tail_output_drift_ratio,missing_output,,,,,,,,,False,False,False,False,missing_output,pending_output,not_ready
NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w10000_rho0p002_tail300,not_run,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,cifar100_tail_quality_mod5_12_vs_04,10000,0.002,5,0,primary_tail_output_drift_ratio,missing_output,,,,,,,,,False,False,False,False,missing_output,pending_output,not_ready
NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w10000_rho0p005_tail300,not_run,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,cifar100_tail_quality_mod5_12_vs_04,10000,0.005,5,0,primary_tail_output_drift_ratio,missing_output,,,,,,,,,False,False,False,False,missing_output,pending_output,not_ready
