seed,geometry,parameter,shape,gradient_nuclear_rank,update_nuclear_rank,tail_train_per_class,imbalance_ratio
1,frobenius,layer3.1.conv1.weight,256x256x3x3,60.340774316204666,60.342115924071926,10,30.0
1,frobenius,layer3.1.conv2.weight,256x256x3x3,39.02534938336854,39.02479299222987,10,30.0
1,frobenius,layer4.0.conv1.weight,512x256x3x3,46.3745700716148,46.375895466660886,10,30.0
1,frobenius,layer4.0.conv2.weight,512x512x3x3,44.55772856851306,44.55856177998532,10,30.0
1,frobenius,layer4.0.downsample.0.weight,512x256x1x1,18.543878215836948,18.543979456101443,10,30.0
1,frobenius,layer4.1.conv1.weight,512x512x3x3,27.16073190732184,27.16264603261868,10,30.0
1,frobenius,layer4.1.conv2.weight,512x512x3x3,17.561750793592203,17.56237823554027,10,30.0
1,frobenius,fc.weight,100x512,26.355207115566593,26.355240637623684,10,30.0
1,spectral,conv1.weight,64x3x3x3,5.272207496037636,26.999999999851994,10,30.0
1,spectral,layer1.0.conv1.weight,64x64x3x3,18.40065252525211,63.99999999769806,10,30.0
1,spectral,layer1.0.conv2.weight,64x64x3x3,25.305621128938977,63.99999999854312,10,30.0
1,spectral,layer1.1.conv1.weight,64x64x3x3,24.97940682785263,63.99999999827097,10,30.0
1,spectral,layer1.1.conv2.weight,64x64x3x3,28.019424486486116,63.9999999982346,10,30.0
1,spectral,layer2.0.conv1.weight,128x64x3x3,37.41541056004926,127.99999995019768,10,30.0
1,spectral,layer2.0.conv2.weight,128x128x3x3,47.39574105514347,127.99999994394001,10,30.0
1,spectral,layer2.0.downsample.0.weight,128x64x1x1,18.38191460122549,63.99999999843046,10,30.0
1,spectral,layer2.1.conv1.weight,128x128x3x3,49.753438534579516,127.9999999503456,10,30.0
1,spectral,layer2.1.conv2.weight,128x128x3x3,42.00961316320736,127.99999994843685,10,30.0
1,spectral,layer3.0.conv1.weight,256x128x3x3,59.36684751633802,255.9999999024276,10,30.0
1,spectral,layer3.0.conv2.weight,256x256x3x3,63.79571380379499,255.99999989191963,10,30.0
1,spectral,layer3.0.downsample.0.weight,256x128x1x1,24.122275239616812,127.99999994447272,10,30.0
1,spectral,layer3.1.conv1.weight,256x256x3x3,60.340774316204666,255.99999990108273,10,30.0
1,spectral,layer3.1.conv2.weight,256x256x3x3,39.02534938336854,255.99999991224024,10,30.0
1,spectral,layer4.0.conv1.weight,512x256x3x3,46.3745700716148,511.99999950981413,10,30.0
1,spectral,layer4.0.conv2.weight,512x512x3x3,44.55772856851306,511.99999948069257,10,30.0
1,spectral,layer4.0.downsample.0.weight,512x256x1x1,18.543878215836948,255.99999990070884,10,30.0
1,spectral,layer4.1.conv1.weight,512x512x3x3,27.16073190732184,511.9999994990138,10,30.0
1,spectral,layer4.1.conv2.weight,512x512x3x3,17.561750793592203,511.9999995467718,10,30.0
1,spectral,fc.weight,100x512,26.355207115566593,99.99999999426045,10,30.0
2,frobenius,conv1.weight,64x3x3x3,4.153575917139819,4.153578770146879,10,30.0
2,frobenius,layer1.0.conv1.weight,64x64x3x3,16.741794496320157,16.741840863374897,10,30.0
2,frobenius,layer1.0.conv2.weight,64x64x3x3,24.44940168063416,24.44948537195414,10,30.0
2,frobenius,layer1.1.conv1.weight,64x64x3x3,20.42401458980265,20.42399166754163,10,30.0
2,frobenius,layer1.1.conv2.weight,64x64x3x3,26.464109246635026,26.464135681093122,10,30.0
2,frobenius,layer2.0.conv1.weight,128x64x3x3,36.952333204481405,36.95278914871009,10,30.0
2,frobenius,layer2.0.conv2.weight,128x128x3x3,48.34377147526351,48.34399436501407,10,30.0
2,frobenius,layer2.0.downsample.0.weight,128x64x1x1,17.63170361112828,17.631770953742624,10,30.0
2,frobenius,layer2.1.conv1.weight,128x128x3x3,48.05361984958277,48.05412132604267,10,30.0
2,frobenius,layer2.1.conv2.weight,128x128x3x3,42.58405894031438,42.58426242872034,10,30.0
2,frobenius,layer3.0.conv1.weight,256x128x3x3,56.90040957180916,56.899702197284114,10,30.0
2,frobenius,layer3.0.conv2.weight,256x256x3x3,60.365891294036935,60.366636157731065,10,30.0
2,frobenius,layer3.0.downsample.0.weight,256x128x1x1,23.827851304916198,23.827907863383462,10,30.0
2,frobenius,layer3.1.conv1.weight,256x256x3x3,53.93061653006967,53.93147190347016,10,30.0
2,frobenius,layer3.1.conv2.weight,256x256x3x3,40.86523047252729,40.865326667364265,10,30.0
2,frobenius,layer4.0.conv1.weight,512x256x3x3,37.15301858983168,37.153598865765304,10,30.0
2,frobenius,layer4.0.conv2.weight,512x512x3x3,39.15981894924303,39.15953671013471,10,30.0
2,frobenius,layer4.0.downsample.0.weight,512x256x1x1,16.465534473030804,16.46550307812855,10,30.0
2,frobenius,layer4.1.conv1.weight,512x512x3x3,27.77271516658256,27.77278990297221,10,30.0
2,frobenius,layer4.1.conv2.weight,512x512x3x3,18.27908519879733,18.279510866117793,10,30.0
2,frobenius,fc.weight,100x512,17.438578637798358,17.438543165291666,10,30.0
2,spectral,conv1.weight,64x3x3x3,4.153575917139819,26.999999999858744,10,30.0
2,spectral,layer1.0.conv1.weight,64x64x3x3,16.741794496320157,63.999999998077726,10,30.0
2,spectral,layer1.0.conv2.weight,64x64x3x3,24.44940168063416,63.999999997889425,10,30.0
2,spectral,layer1.1.conv1.weight,64x64x3x3,20.42401458980265,63.99999999773057,10,30.0
2,spectral,layer1.1.conv2.weight,64x64x3x3,26.464109246635026,63.999999998387345,10,30.0
2,spectral,layer2.0.conv1.weight,128x64x3x3,36.952333204481405,127.999999953383,10,30.0
2,spectral,layer2.0.conv2.weight,128x128x3x3,48.34377147526351,127.99999994706141,10,30.0
2,spectral,layer2.0.downsample.0.weight,128x64x1x1,17.63170361112828,63.99999999830859,10,30.0
2,spectral,layer2.1.conv1.weight,128x128x3x3,48.05361984958277,127.99999994600317,10,30.0
2,spectral,layer2.1.conv2.weight,128x128x3x3,42.58405894031438,127.99999995484457,10,30.0
2,spectral,layer3.0.conv1.weight,256x128x3x3,56.90040957180916,255.99999991479905,10,30.0
2,spectral,layer3.0.conv2.weight,256x256x3x3,60.365891294036935,255.99999988763432,10,30.0
2,spectral,layer3.0.downsample.0.weight,256x128x1x1,23.827851304916198,127.99999995061701,10,30.0
2,spectral,layer3.1.conv1.weight,256x256x3x3,53.93061653006967,255.99999990076776,10,30.0
2,spectral,layer3.1.conv2.weight,256x256x3x3,40.86523047252729,255.99999990469212,10,30.0
2,spectral,layer4.0.conv1.weight,512x256x3x3,37.15301858983168,511.99999950622737,10,30.0
2,spectral,layer4.0.conv2.weight,512x512x3x3,39.15981894924303,511.9999994955886,10,30.0
2,spectral,layer4.0.downsample.0.weight,512x256x1x1,16.465534473030804,255.99999989634088,10,30.0
2,spectral,layer4.1.conv1.weight,512x512x3x3,27.77271516658256,511.9999995086603,10,30.0
2,spectral,layer4.1.conv2.weight,512x512x3x3,18.27908519879733,511.999999484023,10,30.0
2,spectral,fc.weight,100x512,17.438578637798358,99.99999999634997,10,30.0
0,frobenius,conv1.weight,64x3x3x3,5.498311425182695,5.498310376257083,30,10.0
0,frobenius,layer1.0.conv1.weight,64x64x3x3,22.08254947969452,22.08260713029015,30,10.0
0,frobenius,layer1.0.conv2.weight,64x64x3x3,29.988103662657448,29.98809528648762,30,10.0
0,frobenius,layer1.1.conv1.weight,64x64x3x3,26.94906631429025,26.94925635865342,30,10.0
0,frobenius,layer1.1.conv2.weight,64x64x3x3,28.21157303844583,28.211501261440414,30,10.0
0,frobenius,layer2.0.conv1.weight,128x64x3x3,40.25645011132552,40.25669768121192,30,10.0
0,frobenius,layer2.0.conv2.weight,128x128x3x3,49.332314390130314,49.33202414386196,30,10.0
0,frobenius,layer2.0.downsample.0.weight,128x64x1x1,19.07365426755289,19.07359242215161,30,10.0
0,frobenius,layer2.1.conv1.weight,128x128x3x3,53.77833421362586,53.77810083371467,30,10.0
0,frobenius,layer2.1.conv2.weight,128x128x3x3,45.57630558599542,45.576323600427145,30,10.0
0,frobenius,layer3.0.conv1.weight,256x128x3x3,67.37229236322133,67.37292054937232,30,10.0
0,frobenius,layer3.0.conv2.weight,256x256x3x3,67.67158720356701,67.67053219866595,30,10.0
0,frobenius,layer3.0.downsample.0.weight,256x128x1x1,26.06765308109117,26.06741062951382,30,10.0
0,frobenius,layer3.1.conv1.weight,256x256x3x3,58.957144919794366,58.957391196636536,30,10.0
0,frobenius,layer3.1.conv2.weight,256x256x3x3,41.05650171554845,41.05610812994147,30,10.0
0,frobenius,layer4.0.conv1.weight,512x256x3x3,37.74489723823362,37.744155237736216,30,10.0
0,frobenius,layer4.0.conv2.weight,512x512x3x3,38.650548216629666,38.65036920489636,30,10.0
0,frobenius,layer4.0.downsample.0.weight,512x256x1x1,16.011013326740816,16.011000576910757,30,10.0
0,frobenius,layer4.1.conv1.weight,512x512x3x3,27.21766346402152,27.21746020773133,30,10.0
0,frobenius,layer4.1.conv2.weight,512x512x3x3,18.698821199729167,18.698914327818866,30,10.0
0,frobenius,fc.weight,100x512,25.058018135549975,25.05800110354929,30,10.0
0,spectral,conv1.weight,64x3x3x3,5.498311425182695,26.999999999884285,30,10.0
0,spectral,layer1.0.conv1.weight,64x64x3x3,22.08254947969452,63.99999999810508,30,10.0
0,spectral,layer1.0.conv2.weight,64x64x3x3,29.988103662657448,63.999999997663366,30,10.0
