problem_family,base_setting,setting,target_relative_update_norm,seed,step,delta_loss_Adam,delta_loss_Muon,loss_Adam,loss_Muon,recovery_error_Adam,recovery_error_Muon,update_grad_cosine_Adam,update_grad_cosine_Muon,update_grad_inner_Adam,update_grad_inner_Muon,delta_loss_ratio,delta_loss_delta,delta_loss_muon_higher,update_grad_inner_ratio,update_grad_inner_delta,update_grad_inner_muon_higher,update_grad_cosine_ratio,update_grad_cosine_delta,update_grad_cosine_muon_higher
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,0,0,9.215486597946804e-07,4.6262341738036454e-07,0.0001532792239327137,0.0001532792239327137,0.9994330499176829,0.9994330499176829,0.5611767830741491,0.2782400827858175,9.115141698366011e-07,4.5194274910384193e-07,0.5020065001054164,-4.5892524241431584e-07,False,0.49581538505853134,-4.595714207327592e-07,False,0.495815385058532,-0.28293670028833157,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,0,1,1.607507186140322e-06,5.298057500234326e-07,0.000152357675272919,0.00015281660051533332,0.9967811930325144,0.998057523384873,0.6201627625046826,0.2728471837864918,1.2908741501058188e-06,4.872162718431896e-07,0.3295821969514885,-1.0777014361168893e-06,False,0.3774312715172507,-8.036578782626293e-07,False,0.4399606043493004,-0.3473155787181908,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,0,2,2.3501061498216558e-06,6.506460106434596e-07,0.00015075016808677869,0.0001522867947653099,0.9919715636068136,0.9965101808877381,0.6735785902791227,0.2792804788855056,1.9437641562474826e-06,5.850196524413178e-07,0.27685813710705603,-1.6994601391781962e-06,False,0.3009725488357201,-1.3587445038061649e-06,False,0.4146219652999589,-0.3942981113936171,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,0,3,3.2490791580454704e-06,8.091302794354586e-07,0.00014840006193695703,0.00015163614875466643,0.9848576449520041,0.9946295706969822,0.7153159611144377,0.2905206759655651,2.769353989684725e-06,7.269545934090804e-07,0.2490337231187074,-2.4399488786100117e-06,False,0.26249970069439915,-2.0423993962756445e-06,False,0.4061431475860595,-0.42479528514887266,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,0,4,4.291287757244916e-06,1.0004233964613072e-06,0.00014515098277891156,0.00015082701847523097,0.9749194043818441,0.9922864183691942,0.7443670190256665,0.30228631928592326,3.74624347029647e-06,9.036051691614493e-07,0.23312894707941867,-3.2908643607836084e-06,False,0.2412030014402507,-2.842638301135021e-06,False,0.40609848577332003,-0.44208069973974323,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,0,5,5.461419746283718e-06,1.2235977148779297e-06,0.00014085969502166664,0.00014982659507876967,0.9616228028915546,0.9893741521006583,0.7638086174558175,0.3129963258563289,4.85913671049568e-06,1.1115947378685166e-06,0.22404388816855544,-4.237822031405788e-06,False,0.22876383277455123,-3.747541972627163e-06,False,0.4097837058959788,-0.4508122915994886,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,0,6,6.740075089209298e-06,1.4807066523416694e-06,0.00013539827527538293,0.00014860299736389174,0.9444096880186604,0.9857896560562414,0.7775290905388419,0.3226938618868216,6.100104580674594e-06,1.3528367784677619e-06,0.2196869667983738,-5.259368436867629e-06,False,0.22177271890610034,-4.747267802206833e-06,False,0.41502480847782663,-0.4548352286520203,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,0,7,8.074499536569476e-06,1.7686554559543787e-06,0.00012865820018617363,0.00014712229071155007,0.9226965931693788,0.9814211189518234,0.7865589782296907,0.3313646892232388,7.432899784713532e-06,1.6238779579907344e-06,0.21904211498732812,-6.305844080615097e-06,False,0.2184716604588689,-5.809021826722797e-06,False,0.42128397029939413,-0.45519428900645187,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,0,8,9.34072589373362e-06,2.099220442458485e-06,0.00012058370064960415,0.0001453536352555957,0.8959535332250268,0.9761628421058789,0.7889126837958835,0.33903878316577385,8.763778157877802e-06,1.936064155781336e-06,0.22473846961581237,-7.2415054512751345e-06,False,0.22091660935540666,-6.8277140020964665e-06,False,0.42975450912320967,-0.4498739006301097,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,0,9,1.038313856465969e-05,2.471850358747702e-06,0.00011124297475587053,0.0001432544148131372,0.8639158339493135,0.9698669574345989,0.7846124397195909,0.3461122173305419,9.968764272261565e-06,2.2897981629095317e-06,0.23806389015754384,-7.911288205911989e-06,False,0.22969729250003185,-7.678966109352034e-06,False,0.44112506991889827,-0.438500222389049,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,1,0,1.043787967933737e-06,4.667261731437441e-07,0.0001604720091443568,0.0001604720091443568,0.9995233235792307,0.9995233235792307,0.5169067946931944,0.2543071523680643,9.276956923589606e-07,4.564065557078921e-07,0.44714653500716856,-5.77061794789993e-07,False,0.4919787377122919,-4.7128913665106846e-07,False,0.4919787377122912,-0.26259964232513017,False
