problem_family,base_setting,n_seed_pairs,muon_lower_final_loss_pairs,final_loss_ratio_muon_over_adam,final_loss_ratio_ci95_low,final_loss_ratio_ci95_high,final_loss_ratio_ci95_below_one,total_decrease_ratio_muon_over_adam,total_decrease_ratio_ci95_low,total_decrease_ratio_ci95_high,total_decrease_ratio_ci95_above_one,mean_best_target_adam,mean_best_target_muon
MatrixFactorizationInput,MF input kappa=1e+02,5,3,0.7287527571686083,0.43448601984369506,1.2223191468206576,False,1.0527489088222046,0.963628211724051,1.1501118912277288,False,0.03,0.03
MatrixFactorizationInput,MF input kappa=1e+05,5,0,1.3642030139609633,0.8601353699579198,2.1636708921657575,False,0.9304466336096389,0.8260241989852622,1.048069704324674,False,0.03,0.03
MatrixSensing,Matrix sensing kappa=1e+02,5,5,0.33785343857583533,0.32865967994850626,0.3473043787281717,True,1.2256000774459601,1.2102109273133035,1.2411849173847986,True,0.1,0.3
MatrixSensing,Matrix sensing kappa=1e+05,5,5,0.31969165187824905,0.3030119154811996,0.3372895488889933,True,1.2083941587548293,1.1959541702265928,1.2209635446449676,True,0.1,0.3
SmallMLPDigits,Small MLP digits hidden=16,5,0,1.031856514856308,1.0205412982141993,1.0432971885748543,False,0.7360329419076128,0.6812622688472872,0.7952069508998649,False,0.3,0.3
SmallMLPDigits,Small MLP digits hidden=64,5,0,1.3950080229701085,1.3542246931722357,1.437019568438385,False,0.21585285040872204,0.2045683834506117,0.22775979476231628,False,0.3,0.3
All,All,30,13,0.7325756488463712,0.5745183620874499,0.934116499484473,True,0.7830174686164457,0.622582017481638,0.9847961215432782,False,0.14333333333333328,0.20999999999999994
