run_id,problem_family,setting,kappa,lr,algo,seed,step,num_samples,train_batch_size,loss,recovery_error,diagnostic_A_definition,sigma_update,update_rank_ceiling,nrUpdate,stUpdate,nrUpdateFrac,stUpdateFrac,update_flatness,update_grad_inner,update_grad_cosine,update_grad_per_update_norm,layer,nrG,stA,condition_score,delta_gd_pred,delta_spec_pred,target_relative_update_norm,base_setting,hidden_dim
0,MatrixFactorizationInput,MF input kappa=1e+02 target=1e-04,100.0,0.01,Adam,0,0,1024,1024,0.0001532792239327137,0.9994330499176829,downstream_activation_product,"[[0.00032609445388101044,0.0001721034917736873,0.00012121234348331437,7.532685024810692e-05,1.214605173851267e-05]]",5.0,3.193453704570098,1.4714579641119512,0.6386907409140197,0.29429159282239026,0.4607732255539425,2.497725420847013e-09,0.7087532013887837,6.314331107789447e-06,1,1.48516859798945,3.5336703960042093,0.4202906416141255,9.242479433522629e-10,3.8845276112205843e-10,0.0001,MF input kappa=1e+02,
0,MatrixFactorizationInput,MF input kappa=1e+02 target=1e-04,100.0,0.01,Adam,0,0,1024,1024,0.0001532792239327137,0.9994330499176829,downstream_activation_product,"[[8.329196236440148e-05,3.670110761626379e-05,2.3830793469063427e-05,4.28207849875087e-06,1.3285673059104385e-07]]",5.0,2.4772042989113556,1.2786620042627599,0.49544085978227115,0.255732400852552,0.516171397258065,4.951593840750922e-11,0.7254492600427432,5.257315490543476e-07,2,1.4292912646610871,3.5336703960042093,0.4044778104594293,6.115582826352708e-12,2.4736175512864318e-12,0.0001,MF input kappa=1e+02,
0,MatrixFactorizationInput,MF input kappa=1e+02 target=1e-04,100.0,0.01,Adam,0,0,1024,1024,0.0001532792239327137,0.9994330499176829,downstream_activation_product,"[[8.329196236440148e-05,3.670110761626379e-05,2.3830793469063427e-05,4.28207849875087e-06,1.3285673059104385e-07]]",5.0,2.4772042989113556,1.2786620042627599,0.49544085978227115,0.255732400852552,0.516171397258065,4.951593840750922e-11,0.7254492600427432,5.257315490543476e-07,3,1.4292912646610871,3.5336703960042093,0.4044778104594293,6.115582826352708e-12,2.4736175512864318e-12,0.0001,MF input kappa=1e+02,
0,MatrixFactorizationInput,MF input kappa=1e+02 target=1e-04,100.0,0.01,Adam,0,0,1024,1024,0.0001532792239327137,0.9994330499176829,downstream_activation_product,"[[8.329196236440148e-05,3.670110761626379e-05,2.3830793469063427e-05,4.28207849875087e-06,1.3285673059104385e-07]]",5.0,2.4772042989113556,1.2786620042627599,0.49544085978227115,0.255732400852552,0.516171397258065,4.951593840750922e-11,0.7254492600427432,5.257315490543476e-07,4,1.4292912646610871,3.5336703960042093,0.4044778104594293,6.115582826352708e-12,2.4736175512864318e-12,0.0001,MF input kappa=1e+02,
0,MatrixFactorizationInput,MF input kappa=1e+02 target=1e-04,100.0,0.01,Adam,0,0,1024,1024,0.0001532792239327137,0.9994330499176829,downstream_activation_product,"[[8.329196236440148e-05,3.670110761626379e-05,2.3830793469063427e-05,4.28207849875087e-06,1.3285673059104385e-07]]",5.0,2.4772042989113556,1.2786620042627599,0.49544085978227115,0.255732400852552,0.516171397258065,4.951593840750922e-11,0.7254492600427432,5.257315490543476e-07,5,1.4292912646610871,3.5336703960042093,0.4044778104594293,6.115582826352708e-12,2.4736175512864318e-12,0.0001,MF input kappa=1e+02,
0,MatrixFactorizationInput,MF input kappa=1e+02 target=1e-04,100.0,0.01,Adam,0,0,1024,1024,0.0001532792239327137,0.9994330499176829,downstream_activation_product,"[[8.329196236440148e-05,3.670110761626379e-05,2.3830793469063427e-05,4.28207849875087e-06,1.3285673059104385e-07]]",5.0,2.4772042989113556,1.2786620042627599,0.49544085978227115,0.255732400852552,0.516171397258065,4.951593840750922e-11,0.7254492600427432,5.257315490543476e-07,6,1.4292912646610871,3.5336703960042093,0.4044778104594293,6.115582826352708e-12,2.4736175512864318e-12,0.0001,MF input kappa=1e+02,
0,MatrixFactorizationInput,MF input kappa=1e+02 target=1e-04,100.0,0.01,Adam,0,0,1024,1024,0.0001532792239327137,0.9994330499176829,downstream_activation_product,"[[8.329196236440148e-05,3.670110761626379e-05,2.3830793469063427e-05,4.28207849875087e-06,1.3285673059104385e-07]]",5.0,2.4772042989113556,1.2786620042627599,0.49544085978227115,0.255732400852552,0.516171397258065,4.951593840750922e-11,0.7254492600427432,5.257315490543476e-07,7,1.4292912646610871,3.5336703960042093,0.4044778104594293,6.115582826352708e-12,2.4736175512864318e-12,0.0001,MF input kappa=1e+02,
0,MatrixFactorizationInput,MF input kappa=1e+02 target=1e-04,100.0,0.01,Adam,0,0,1024,1024,0.0001532792239327137,0.9994330499176829,downstream_activation_product,"[[8.329196236440148e-05,3.670110761626379e-05,2.3830793469063427e-05,4.28207849875087e-06,1.3285673059104385e-07]]",5.0,2.4772042989113556,1.2786620042627599,0.49544085978227115,0.255732400852552,0.516171397258065,4.951593840750922e-11,0.7254492600427432,5.257315490543476e-07,8,1.4292912646610871,3.5336703960042093,0.4044778104594293,6.115582826352708e-12,2.4736175512864318e-12,0.0001,MF input kappa=1e+02,
0,MatrixFactorizationInput,MF input kappa=1e+02 target=1e-04,100.0,0.01,Adam,0,0,1024,1024,0.0001532792239327137,0.9994330499176829,downstream_activation_product,"[[8.329196236440148e-05,3.670110761626379e-05,2.3830793469063427e-05,4.28207849875087e-06,1.3285673059104385e-07]]",5.0,2.4772042989113556,1.2786620042627599,0.49544085978227115,0.255732400852552,0.516171397258065,4.951593840750922e-11,0.7254492600427432,5.257315490543476e-07,9,1.4292912646610871,3.5336703960042093,0.4044778104594293,6.115582826352708e-12,2.4736175512864318e-12,0.0001,MF input kappa=1e+02,
0,MatrixFactorizationInput,MF input kappa=1e+02 target=1e-04,100.0,0.01,Adam,0,0,1024,1024,0.0001532792239327137,0.9994330499176829,downstream_activation_product,"[[0.0003472254040717052,0.00018465880890621648,0.000113032591520256,6.968145391637133e-05,2.918840848829726e-05]]",5.0,3.195058520722721,1.4361340420556412,0.6390117041445442,0.28722680841112824,0.44948598992508854,6.22128877025905e-09,0.6234783868554169,1.495103918888228e-05,10,1.8598769009608245,35.34676045626529,0.05261802996803792,3.390396272578666e-11,1.7839597267406833e-12,0.0001,MF input kappa=1e+02,
