run_id,problem_family,base_setting,setting,target_relative_update_norm,algo,seed,final_step,final_loss,recovery_error,initial_loss,total_loss_decrease
32,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=3e-03,0.003,Adam,1,10,0.00015487819410141076,0.9828898593246848,0.0001604720091443568,5.593815042946056e-06
33,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=3e-03,0.003,Muon,1,10,0.0001587350117245716,0.9944915992756023,0.0001604720091443568,1.7369974197852043e-06
34,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=3e-03,0.003,Adam,2,10,0.00014475839183621008,0.9845605673447521,0.0001493490238905777,4.59063205436762e-06
35,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=3e-03,0.003,Muon,2,10,0.00014794913130442434,0.9946952204158296,0.0001493490238905777,1.3998925861533637e-06
36,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=3e-03,0.003,Adam,3,10,0.0001559975586415731,0.9840793422829982,0.00016144123210250178,5.443673460928675e-06
37,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=3e-03,0.003,Muon,3,10,0.00015997561294004114,0.9957855031155779,0.00016144123210250178,1.4656191624606418e-06
38,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=3e-03,0.003,Adam,4,10,0.00014327962548994622,0.9875890662120053,0.00014765915682122912,4.3795313312828925e-06
39,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=3e-03,0.003,Muon,4,10,0.00014630339687720547,0.9969070679217097,0.00014765915682122912,1.3557599440236468e-06
40,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,Adam,0,10,0.00010085983619121084,0.8266957486823056,0.0001532792239327137,5.2419387741502846e-05
41,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,Muon,0,10,0.0001407825644543895,0.9623804259470251,0.0001532792239327137,1.2496659478324187e-05
42,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,Adam,1,10,0.00010489982790646462,0.8182492493604634,0.0001604720091443568,5.5572181237892196e-05
43,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,Muon,1,10,0.0001475321048821405,0.9612817911018031,0.0001604720091443568,1.29399042622163e-05
44,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,Adam,2,10,0.00010373448665207769,0.8431745941332155,0.0001493490238905777,4.561453723850001e-05
45,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,Muon,2,10,0.00013828074165680808,0.9630340651710699,0.0001493490238905777,1.1068282233769622e-05
46,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,Adam,3,10,0.00010175710094621861,0.8131642887671386,0.00016144123210250178,5.9684131156283174e-05
47,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,Muon,3,10,0.00015006144883937978,0.9663942885858562,0.00016144123210250178,1.1379783263122006e-05
48,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,Adam,4,10,0.00010269530996352064,0.8547437392112484,0.00014765915682122912,4.496384685770848e-05
49,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,Muon,4,10,0.00013804915662368346,0.9708241149149369,0.00014765915682122912,9.610000197545659e-06
50,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=3e-02,0.03,Adam,0,10,2.5608995989285237e-05,0.41384981876354815,0.0001532792239327137,0.00012767022794342846
51,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=3e-02,0.03,Muon,0,10,1.4739272557428549e-05,0.364153423147758,0.0001532792239327137,0.00013853995137528513
52,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=3e-02,0.03,Adam,1,10,3.6357960940552734e-05,0.4641605419250428,0.0001604720091443568,0.00012411404820380408
53,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=3e-02,0.03,Muon,1,10,1.6307309230328394e-05,0.34854649390650727,0.0001604720091443568,0.0001441646999140284
54,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=3e-02,0.03,Adam,2,10,1.5183923522352972e-05,0.31537846783676,0.0001493490238905777,0.00013416510036822475
55,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=3e-02,0.03,Muon,2,10,1.7760805999569288e-05,0.3730434124161677,0.0001493490238905777,0.0001315882178910084
56,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=3e-02,0.03,Adam,3,10,2.3499054081953437e-05,0.3928586657531848,0.00016144123210250178,0.00013794217802054834
57,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=3e-02,0.03,Muon,3,10,1.4771009795164686e-05,0.3424073835499251,0.00016144123210250178,0.0001466702223073371
58,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=3e-02,0.03,Adam,4,10,2.4213668481231676e-05,0.39541954161502374,0.00014765915682122912,0.00012344548833999745
59,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=3e-02,0.03,Muon,4,10,2.6221461398995794e-05,0.46812484529732995,0.00014765915682122912,0.00012143769542223332
60,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=1e-03,0.001,Adam,0,5,0.012463771285125604,1.152249364638936,0.012595069754438687,0.00013129846931308337
61,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=1e-03,0.001,Muon,0,5,0.012458589904417599,1.1525270084211252,0.012595069754438687,0.00013647985002108835
62,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=1e-03,0.001,Adam,1,5,0.012629449260501635,1.1727937105872863,0.012757591945778827,0.00012814268527719212
63,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=1e-03,0.001,Muon,1,5,0.012625424314107238,1.1730710448563146,0.012757591945778827,0.00013216763167158904
64,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=1e-03,0.001,Adam,2,5,0.011968017057911463,1.1444288807626177,0.012096481701537817,0.0001284646436263536
