split_id,split_role,source_warmup_steps,target_warmup_steps,score_id,points,spearman_score_vs_target_residual,spearman_ci95_low,spearman_ci95_high
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,10000,10000,condition_score_v4_two_axis_amplitude_minus_direction,54,0.845931008195159,0.7445226806516179,0.9091821561162424
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,10000,10000,v4_direction_axis_scaled_jvp_ratio,54,-0.8397560510768056,-0.9054123533485731,-0.7348671302622308
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,10000,10000,v4_residual_amplitude_axis_scaled_jvp_fro,54,0.5207165999618829,0.2878353656835623,0.6954532525677781
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,10000,10000,early_layer_prior,54,0.361006289308176,0.09662217010141035,0.5778044334252533
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,2000,2000,condition_score_v4_two_axis_amplitude_minus_direction,21,-0.7233766233766233,-0.8874694989572616,-0.3965090077514765
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,2000,2000,v4_direction_axis_scaled_jvp_ratio,21,0.6311688311688312,0.2431924728693103,0.8450411492163759
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,2000,2000,v4_residual_amplitude_axis_scaled_jvp_fro,21,-0.6818181818181818,-0.8686850827245927,-0.3250753796351566
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,2000,2000,early_layer_prior,21,-0.8012987012987013,-0.9212796211123581,-0.542038835224187
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,2000,5000,condition_score_v4_two_axis_amplitude_minus_direction,21,-0.6623376623376622,-0.859690919493247,-0.2929359466035971
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,2000,5000,v4_direction_axis_scaled_jvp_ratio,21,0.5636363636363637,0.14198874537882897,0.8121588711104463
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,2000,5000,v4_residual_amplitude_axis_scaled_jvp_fro,21,-0.6688311688311688,-0.8627026323347962,-0.3035571342903369
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,2000,5000,early_layer_prior,21,-0.7857142857142857,-0.9146596422739907,-0.511633280003051
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,2000,10000,condition_score_v4_two_axis_amplitude_minus_direction,21,-0.7025974025974026,-0.8781449513109765,-0.36029047424497773
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,2000,10000,v4_direction_axis_scaled_jvp_ratio,21,0.6376623376623376,0.2533900971019324,0.8481198950136708
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,2000,10000,v4_residual_amplitude_axis_scaled_jvp_fro,21,-0.6753246753246753,-0.8657006557036533,-0.31426988227648955
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,2000,10000,early_layer_prior,21,-0.7909090909090909,-0.9168740140381018,-0.5216927602353248
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,5000,2000,condition_score_v4_two_axis_amplitude_minus_direction,21,-0.7376623376623377,-0.8938031302269469,-0.42201383028111134
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,5000,2000,v4_direction_axis_scaled_jvp_ratio,21,0.6532467532467533,0.278217883466899,0.8554513441044986
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,5000,2000,v4_residual_amplitude_axis_scaled_jvp_fro,21,-0.7103896103896103,-0.881657357945861,-0.3737525505460835
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,5000,2000,early_layer_prior,21,-0.8298701298701299,-0.9332383095270352,-0.5996029499032763
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,5000,5000,condition_score_v4_two_axis_amplitude_minus_direction,21,-0.7051948051948052,-0.8793178602092668,-0.36476204664228123
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,5000,5000,v4_direction_axis_scaled_jvp_ratio,21,0.587012987012987,0.17605087852404638,0.8237227156395783
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,5000,5000,v4_residual_amplitude_axis_scaled_jvp_fro,21,-0.7012987012987012,-0.877557704363342,-0.3580605715854538
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,5000,5000,early_layer_prior,21,-0.8207792207792207,-0.9294579587393473,-0.5810249460957208
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,5000,10000,condition_score_v4_two_axis_amplitude_minus_direction,21,-0.7116883116883117,-0.8822409198375902,-0.3760101040137896
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,5000,10000,v4_direction_axis_scaled_jvp_ratio,21,0.6454545454545455,0.2657410299866432,0.8517957225146943
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,5000,10000,v4_residual_amplitude_axis_scaled_jvp_fro,21,-0.6870129870129871,-0.871062897012437,-0.3337873693175276
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,5000,10000,early_layer_prior,21,-0.803896103896104,-0.9223762321385449,-0.5471732938179479
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,10000,2000,condition_score_v4_two_axis_amplitude_minus_direction,21,-0.6831168831168831,-0.8692803447025735,-0.32724771512079126
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,10000,2000,v4_direction_axis_scaled_jvp_ratio,21,0.6116883116883116,0.21310567691987958,0.8357190341220064
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,10000,2000,v4_residual_amplitude_axis_scaled_jvp_fro,21,-0.6610389610389611,-0.8590869259333354,-0.2908225930934512
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,10000,2000,early_layer_prior,21,-0.7779220779220779,-0.9113235101349247,-0.49668364269062637
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,10000,5000,condition_score_v4_two_axis_amplitude_minus_direction,21,-0.6584415584415585,-0.8578772817826754,-0.28660669587132975
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,10000,5000,v4_direction_axis_scaled_jvp_ratio,21,0.5610389610389611,0.13826471484056463,0.810861832272673
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,10000,5000,v4_residual_amplitude_axis_scaled_jvp_fro,21,-0.6584415584415585,-0.8578772817826754,-0.28660669587132975
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,10000,5000,early_layer_prior,21,-0.7753246753246753,-0.91020755907494,-0.49173723997038976
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,10000,10000,condition_score_v4_two_axis_amplitude_minus_direction,21,-0.6584415584415585,-0.8578772817826754,-0.28660669587132975
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,10000,10000,v4_direction_axis_scaled_jvp_ratio,21,0.6077922077922078,0.20717768289676725,0.8338389875998324
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,10000,10000,v4_residual_amplitude_axis_scaled_jvp_fro,21,-0.6454545454545455,-0.8517957225146943,-0.2657410299866432
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,10000,10000,early_layer_prior,21,-0.7597402597402596,-0.9034704668356189,-0.4624382664180067
