condition,condition_label,problem_family,bin,bin_min,bin_max,n_pairs,muon_first_order_win_rate,muon_delta_loss_win_rate,geomean_first_order_ratio_muon_over_adam,first_order_ratio_ci95_low,first_order_ratio_ci95_high,geomean_delta_loss_ratio_muon_over_adam,delta_loss_ratio_ci95_low,delta_loss_ratio_ci95_high
muon_grad_rank_fraction,Muon mean nr(G_i)/r_i,All,middle,0.264798912278605,0.5023166277595306,425,0.023529411764705882,0.0611764705882353,0.40320671111349754,0.3815054947716191,0.4261423599790777,0.43630608511766794,0.4040657735455452,0.4711188434504921
muon_grad_rank_fraction,Muon mean nr(G_i)/r_i,All,high,0.5030465691180193,0.7313306688025313,425,0.8305882352941176,0.8023529411764706,1.0780740106083724,1.0361671884677122,1.1216757153524142,1.0197816245229747,0.9761730161799372,1.0653383616199275
muon_grad_rank_fraction,Muon mean nr(G_i)/r_i,All,low,0.20111511334289767,0.264398350847869,425,0.10352941176470588,0.16470588235294117,0.33428700892271074,0.2972553408978529,0.37593203202661,0.3714482867415403,0.33042765654768536,0.41756138443367247
muon_grad_rank_fraction,Muon mean nr(G_i)/r_i,MatrixFactorizationInput,high,0.29878099084570936,0.6749134868787469,250,0.04,0.088,0.3899140999428009,0.3626542003139633,0.4192230648440963,0.4323757077272938,0.3888246067266375,0.48080483950469777
muon_grad_rank_fraction,Muon mean nr(G_i)/r_i,MatrixFactorizationInput,middle,0.22836528499947875,0.297228031134398,250,0.024,0.068,0.28624914072055646,0.2607912727911136,0.3141921494776684,0.3066979695615405,0.2749683896670038,0.3420889384670214
muon_grad_rank_fraction,Muon mean nr(G_i)/r_i,MatrixFactorizationInput,low,0.20111511334289767,0.22791772869326868,250,0.152,0.228,0.36215203641579324,0.3027983732638939,0.4331400333046143,0.42146160680211253,0.3535583729089894,0.5024061077856098
muon_grad_rank_fraction,Muon mean nr(G_i)/r_i,MatrixSensing,low,0.6993497642979057,0.7119355341479014,125,0.936,0.904,1.2371686871541991,1.1975944025404686,1.2780506966532217,1.1610989175176996,1.0917522655982617,1.2348503765385
muon_grad_rank_fraction,Muon mean nr(G_i)/r_i,MatrixSensing,high,0.7166441412836364,0.7313306688025313,125,0.952,0.944,1.2295764908994267,1.1966867134922226,1.263370212042029,1.1765830372585317,1.1322133801243037,1.2226914712953902
muon_grad_rank_fraction,Muon mean nr(G_i)/r_i,MatrixSensing,middle,0.7120054579950778,0.7165881919651977,125,0.936,0.88,1.2417532187597837,1.204235439403281,1.2804398590564203,1.1475791889486506,1.0869497224903493,1.2115905341884252
muon_grad_rank_fraction,Muon mean nr(G_i)/r_i,SmallMLPDigits,low,0.3262763621411751,0.3895766380732202,50,0.0,0.0,0.607695158524479,0.5603875811362803,0.6589964127065181,0.5988585745789525,0.5488862479858074,0.6533805386139098
muon_grad_rank_fraction,Muon mean nr(G_i)/r_i,SmallMLPDigits,middle,0.38974194470682244,0.40731973464982574,50,0.0,0.0,0.49639695196810674,0.4405725247143294,0.5592948268460476,0.4875072723178506,0.4311580870961853,0.5512208808686259
muon_grad_rank_fraction,Muon mean nr(G_i)/r_i,SmallMLPDigits,high,0.4074228645404074,0.45406660213378125,50,0.0,0.0,0.47471168815046866,0.42075034039554,0.5355935937088466,0.46188125351045983,0.40793560636437814,0.5229607051114783
adam_grad_rank_fraction,Adam mean nr(G_i)/r_i,All,high,0.42444641220364326,0.730687010009081,425,0.8305882352941176,0.8023529411764706,1.118912197990818,1.084924803090671,1.1539643146198884,1.0566946363206646,1.0184479297761089,1.096377656415219
