group_type,group,points,median_cosine_sq,median_gradient_rank_fraction,median_abs_identity_error,max_abs_identity_error,mean_abs_identity_error
All,All,8175,0.2570632824030962,0.2570632824030926,5.551115123125783e-16,1.432187701766452e-14,1.2941584603150042e-15
family,MatrixFactorizationInput,7500,0.2527670840283244,0.25276708402831877,6.106226635438361e-16,1.432187701766452e-14,1.364834171605859e-15
family,MatrixSensing,375,0.7145707484375572,0.7145707484375586,5.551115123125783e-16,2.4424906541753444e-15,7.108387952333336e-16
family,SmallMLPDigits,300,0.345377955519011,0.3453779555190108,2.220446049250313e-16,1.4432899320127035e-15,2.5641525939571844e-16
