problem_family,setting,kappa,lr,algo,runs,median_final_loss,median_recovery,median_nrG,median_stA,median_condition_score,median_relative_update_fro_norm,median_mean_relative_layer_update_norm,median_delta_loss
MatrixFactorizationInput,MF input kappa=1e+01 lr=1e-02,10.0,0.01,Adam,5,0.00014345305147314666,0.8684079181463088,1.471820033997835,4.903028243450902,0.9142705665392725,0.010869014585047502,0.03563298159795741,5.270655783593548e-06
MatrixFactorizationInput,MF input kappa=1e+01 lr=1e-02,10.0,0.01,Muon,5,0.00018029142498177168,0.9514400111779534,2.633884558653217,6.7576688895709704,0.6854171721607252,0.0108690145850475,0.028733259144095403,1.7545734563158912e-06
MatrixFactorizationInput,MF input kappa=1e+01 lr=3e-02,10.0,0.03,Adam,5,3.991199047523611e-05,0.4463100944706636,2.233185297159701,5.197992232948121,1.0895860008675426,0.030290196073228935,0.05317736082803324,1.595476026636821e-05
MatrixFactorizationInput,MF input kappa=1e+01 lr=3e-02,10.0,0.03,Muon,5,1.6342575154464657e-05,0.310285678282216,2.542228941686587,5.579944754308935,1.0688820197477114,0.03029019607322894,0.057871514703100924,1.9553623613328207e-05
MatrixFactorizationInput,MF input kappa=1e+01 lr=3e-03,10.0,0.003,Adam,5,0.0001948731246567175,0.9856989747669199,1.7909189254132643,5.823160073763876,0.6352491717842309,0.003340863392762914,0.015502556082953905,5.733663655042685e-07
MatrixFactorizationInput,MF input kappa=1e+01 lr=3e-03,10.0,0.003,Muon,5,0.0001985732236145576,0.9934446507709127,2.563716153267729,6.573585213867536,0.7053702483089613,0.0033408633927629154,0.009924229203859531,2.390866067542751e-07
MatrixFactorizationInput,MF input kappa=1e+02 lr=1e-02,100.0,0.01,Adam,5,9.397691351981228e-05,0.7916229586114326,1.1264510433774308,4.710382336298258,0.8518329415714969,0.010928895583390602,0.036764265928231774,5.726606817578058e-06
MatrixFactorizationInput,MF input kappa=1e+02 lr=1e-02,100.0,0.01,Muon,5,0.00013824134428778065,0.9559708072785974,1.5736094949882138,6.3105394731214925,0.5090547547097284,0.010928895583390604,0.029918280983734988,1.238295935260703e-06
MatrixFactorizationInput,MF input kappa=1e+02 lr=3e-02,100.0,0.03,Adam,5,2.4434049079296156e-05,0.3993658241727821,1.8049477732720067,4.922966019495718,1.0797826629910943,0.03115365295273755,0.05512705264820501,1.3468252054856737e-05
MatrixFactorizationInput,MF input kappa=1e+02 lr=3e-02,100.0,0.03,Muon,5,1.0478412456011965e-05,0.3030716434198952,1.5116228819427335,5.12409515008615,0.9079171334821309,0.031153652952737546,0.06327500437167574,1.4741653545819743e-05
MatrixFactorizationInput,MF input kappa=1e+02 lr=3e-03,100.0,0.003,Adam,5,0.00014686675775939722,0.9805905847345556,1.2328477778652505,5.4891386844586965,0.5348602982261883,0.0033514915420713373,0.01580796328782548,5.782177382048062e-07
MatrixFactorizationInput,MF input kappa=1e+02 lr=3e-03,100.0,0.003,Muon,5,0.0001513275557028384,0.9939688711974266,1.663660971501865,6.434507894262507,0.4380322167380914,0.0033514915420713447,0.010069907844040996,1.683692351833109e-07
MatrixFactorizationInput,MF input kappa=1e+03 lr=1e-02,1000.0,0.01,Adam,5,7.99375843132293e-05,0.7640210901396128,1.0404490662184753,4.619160210981553,0.8470732820655194,0.011094435986751382,0.03761115203307087,6.081802938874858e-06
MatrixFactorizationInput,MF input kappa=1e+03 lr=1e-02,1000.0,0.01,Muon,5,0.00012920879205304114,0.9598483170593032,1.2246356773592324,5.817620931135838,0.47024537328612503,0.011094435986751382,0.03241636433917643,1.0683975028308329e-06
MatrixFactorizationInput,MF input kappa=1e+03 lr=3e-02,1000.0,0.03,Adam,5,2.2568630789041753e-05,0.40191056040406586,1.6171381751110847,4.694489083194552,1.174828368474813,0.03182847844647661,0.05730273474803182,1.2355810724548651e-05
