group_type,group,predictor,outcome,points,spearman,spearman_ci95_low,spearman_ci95_high,ci95_excludes_zero
family,MatrixFactorizationInput,update_grad_per_update_norm,relative_loss_decrease,1500,0.8102968359476351,0.7921566068938184,0.8270066436307816,True
family,MatrixFactorizationInput,update_grad_per_update_norm,norm_rank_movement,1500,-0.43111494527778416,-0.4714733198672182,-0.38895453872595237,True
family,MatrixFactorizationInput,update_grad_per_update_norm,norm_condition_movement,1500,-0.03794492027907948,-0.08842928623298488,0.012733888849356476,False
family,MatrixSensing,nrUpdateFrac,delta_loss,750,0.22937479431261312,0.16030695269741696,0.29620745437272283,True
family,MatrixSensing,nrUpdateFrac,relative_loss_decrease,750,0.34486532625143196,0.2800869815206858,0.40651725570655856,True
family,MatrixSensing,nrUpdateFrac,norm_rank_movement,750,0.06434632948389024,-0.0073922183425194415,0.13542592616414081,False
family,MatrixSensing,nrUpdateFrac,norm_condition_movement,750,0.057008660021860315,-0.01475610032294678,0.12818909271111856,False
family,MatrixSensing,stUpdateFrac,delta_loss,750,0.21196351617971548,0.14242373467096553,0.279421112169399,True
family,MatrixSensing,stUpdateFrac,relative_loss_decrease,750,0.2707628967686647,0.2029996748388332,0.33594499826145097,True
family,MatrixSensing,stUpdateFrac,norm_rank_movement,750,0.08897514440375842,0.01738159673789019,0.1596609621012865,True
family,MatrixSensing,stUpdateFrac,norm_condition_movement,750,0.08996421500923334,0.018378329818693577,0.1606324425718644,True
family,MatrixSensing,update_flatness,delta_loss,750,0.17747269082192152,0.1071315613404684,0.24604605282301065,True
family,MatrixSensing,update_flatness,relative_loss_decrease,750,0.22108467135228543,0.15178646388957548,0.28822003121015866,True
family,MatrixSensing,update_flatness,norm_rank_movement,750,0.09420372136905314,0.022652292906707325,0.16479500069304145,True
family,MatrixSensing,update_flatness,norm_condition_movement,750,0.09865552072509139,0.027143091269347424,0.16916329373836844,True
family,MatrixSensing,relative_update_fro_norm,delta_loss,750,0.8573080710606119,0.8370600519471981,0.8752108537274386,True
family,MatrixSensing,relative_update_fro_norm,relative_loss_decrease,750,0.8866665167170553,0.8702935345261181,0.9010820301874957,True
family,MatrixSensing,relative_update_fro_norm,norm_rank_movement,750,-0.10340424692806512,-0.17381989248033217,-0.03193660151518326,True
family,MatrixSensing,relative_update_fro_norm,norm_condition_movement,750,-0.15659935941092673,-0.22576867318582583,-0.08585901838228803,True
family,MatrixSensing,update_grad_inner,delta_loss,750,0.9588440868339319,0.9526366336174137,0.9642528836119736,True
family,MatrixSensing,update_grad_inner,relative_loss_decrease,750,0.925336983710193,0.9142968433711193,0.9350032387528535,True
family,MatrixSensing,update_grad_inner,norm_rank_movement,750,-0.0015814712559488993,-0.07327760242519703,0.07013092222659638,False
family,MatrixSensing,update_grad_inner,norm_condition_movement,750,-0.04847722751507113,-0.11976535997323666,0.02330823340178503,False
family,MatrixSensing,update_grad_cosine,delta_loss,750,0.1157437170425614,0.04440783193147767,0.18590526704281074,True
family,MatrixSensing,update_grad_cosine,relative_loss_decrease,750,0.19233233207992,0.1223147440421737,0.26044495500899145,True
family,MatrixSensing,update_grad_cosine,norm_rank_movement,750,0.06947154582807816,-0.002244073581542183,0.14047621577069103,False
family,MatrixSensing,update_grad_cosine,norm_condition_movement,750,0.07234847916766643,0.0006473969330987983,0.14330947232127877,True
family,MatrixSensing,update_grad_per_update_norm,delta_loss,750,0.09557527631554143,0.024035555363917136,0.1661411234046261,True
family,MatrixSensing,update_grad_per_update_norm,relative_loss_decrease,750,-0.14147233670184525,-0.21103598728087683,-0.07048288810738265,True
family,MatrixSensing,update_grad_per_update_norm,norm_rank_movement,750,-0.05472055783983864,-0.12593088269460626,0.017050785185619647,False
family,MatrixSensing,update_grad_per_update_norm,norm_condition_movement,750,-0.0251376685251165,-0.09666786713019093,0.04665085957147281,False
family,SmallMLPDigits,nrUpdateFrac,delta_loss,300,-0.34793944055919257,-0.4440718022430091,-0.24388763716161832,True
family,SmallMLPDigits,nrUpdateFrac,relative_loss_decrease,300,-0.3472430632420909,-0.44343570007854494,-0.24314253127879762,True
family,SmallMLPDigits,nrUpdateFrac,norm_rank_movement,300,0.09038014739174065,-0.023562171690181558,0.20200448937366117,False
family,SmallMLPDigits,nrUpdateFrac,norm_condition_movement,300,0.06859383748111796,-0.04546090669809087,0.18088329330923975,False
family,SmallMLPDigits,stUpdateFrac,delta_loss,300,-0.31857061233425926,-0.41716060200399124,-0.21257003762099236,True
family,SmallMLPDigits,stUpdateFrac,relative_loss_decrease,300,-0.31795761072108175,-0.4165970492848006,-0.21191867215626434,True
family,SmallMLPDigits,stUpdateFrac,norm_rank_movement,300,0.1050395638498631,-0.008765308950014077,0.2161581714265078,False
family,SmallMLPDigits,stUpdateFrac,norm_condition_movement,300,0.08221104519866045,-0.03178626262852578,0.19409692991029764,False
family,SmallMLPDigits,update_flatness,delta_loss,300,-0.28157116207176824,-0.3830094211266973,-0.1734230597446512,True
family,SmallMLPDigits,update_flatness,relative_loss_decrease,300,-0.28101045844114486,-0.38248973947269876,-0.1728324288136157,True
family,SmallMLPDigits,update_flatness,norm_rank_movement,300,0.08903969202504908,-0.024912708550906444,0.20070794748620077,False
family,SmallMLPDigits,update_flatness,norm_condition_movement,300,0.07478838200096567,-0.039245529071686686,0.1868992812770343,False
family,SmallMLPDigits,relative_update_fro_norm,delta_loss,300,0.7903394321160637,0.7434466554403979,0.8294993625848156,True
family,SmallMLPDigits,relative_update_fro_norm,relative_loss_decrease,300,0.7895847558063098,0.7425474602322754,0.8288721698111503,True
family,SmallMLPDigits,relative_update_fro_norm,norm_rank_movement,300,-0.1382775446577071,-0.24807741472531963,-0.024969938035087874,True
family,SmallMLPDigits,relative_update_fro_norm,norm_condition_movement,300,-0.1775980470864039,-0.2855324974957742,-0.0652147352079656,True
family,SmallMLPDigits,update_grad_inner,delta_loss,300,0.9994631051456127,0.9993253990220947,0.9995727073612826,True
family,SmallMLPDigits,update_grad_inner,relative_loss_decrease,300,0.9994968832987032,0.9993678380663289,0.9995995913916185,True
family,SmallMLPDigits,update_grad_inner,norm_rank_movement,300,-0.3040833787042078,-0.4038216995321066,-0.197201294250707,True
family,SmallMLPDigits,update_grad_inner,norm_condition_movement,300,-0.2964344048267203,-0.3967618741828481,-0.18910803600650664,True
family,SmallMLPDigits,update_grad_cosine,delta_loss,300,0.12431293681040899,0.010764903757540516,0.23469583947027053,True
family,SmallMLPDigits,update_grad_cosine,relative_loss_decrease,300,0.12402804475605284,0.010475582998567918,0.2344224057154436,True
family,SmallMLPDigits,update_grad_cosine,norm_rank_movement,300,-0.08505161168457427,-0.19684820247614682,0.028928324889262662,False
family,SmallMLPDigits,update_grad_cosine,norm_condition_movement,300,-0.0638007088967655,-0.1762225521616891,0.05026410313468314,False
family,SmallMLPDigits,update_grad_per_update_norm,delta_loss,300,0.8341066011844576,0.7958867855399364,0.8657049923021164,True
family,SmallMLPDigits,update_grad_per_update_norm,relative_loss_decrease,300,0.8344901610017887,0.7963489009233731,0.8660208307285389,True
family,SmallMLPDigits,update_grad_per_update_norm,norm_rank_movement,300,-0.3370010777897532,-0.4340690068418511,-0.2321980415831549,True
family,SmallMLPDigits,update_grad_per_update_norm,norm_condition_movement,300,-0.2913076811964577,-0.39202337415364613,-0.18369168040351497,True
algo,Adam,nrUpdateFrac,delta_loss,1275,0.6029333026560028,0.5667596759256659,0.6367867812899949,True
algo,Adam,nrUpdateFrac,relative_loss_decrease,1275,0.3352051262329422,0.28551269607903923,0.38309999305580617,True
algo,Adam,nrUpdateFrac,norm_rank_movement,1275,0.40213738455509696,0.35503130824661167,0.4472065639054269,True
algo,Adam,nrUpdateFrac,norm_condition_movement,1275,0.3157629190792669,0.26541675458517555,0.3643917025096831,True
