run_id,problem_family,setting,kappa,lr,algo,seed,steps,median_relative_update_fro_norm,median_mean_relative_layer_update_norm,nrG_mean_abs_speed,nrG_std_speed,nrG_mean_rel_speed,nrG_path_length,stA_mean_abs_speed,stA_std_speed,stA_mean_rel_speed,stA_path_length,condition_score_mean_abs_speed,condition_score_std_speed,condition_score_mean_rel_speed,condition_score_path_length,delta_gd_pred_mean_abs_speed,delta_gd_pred_std_speed,delta_gd_pred_mean_rel_speed,delta_gd_pred_path_length,delta_spec_pred_mean_abs_speed,delta_spec_pred_std_speed,delta_spec_pred_mean_rel_speed,delta_spec_pred_path_length,loss_mean_abs_speed,loss_std_speed,loss_mean_rel_speed,loss_path_length,relative_update_fro_norm_mean_abs_speed,relative_update_fro_norm_std_speed,relative_update_fro_norm_mean_rel_speed,relative_update_fro_norm_path_length,mean_relative_layer_update_norm_mean_abs_speed,mean_relative_layer_update_norm_std_speed,mean_relative_layer_update_norm_mean_rel_speed,mean_relative_layer_update_norm_path_length,rank_plane_mean_speed,rank_plane_path_length,rank_plane_net_distance,rank_plane_tortuosity,norm_rank_plane_mean_speed,norm_rank_plane_path_length,norm_condition_mean_speed,norm_condition_path_length,per_update_rank_plane_mean_speed,per_update_condition_mean_speed,update_normalized_rank_plane_mean_speed,update_normalized_condition_mean_speed
0,MatrixFactorizationInput,MF input kappa=1e+01 lr=3e-03,10.0,0.003,Adam,0,10,0.0033476380271493297,0.015252456916856928,0.11808324100273064,0.1394485952999076,0.06298749686190178,1.1808324100273064,0.14088694434429475,0.10032099148477601,0.022352471925834637,1.4088694434429474,0.03795026184141379,0.04700535299221076,0.07461556690619445,0.3795026184141379,7.981070058385193e-10,1.0532838118163334e-09,0.24853093008015525,7.981070058385193e-09,5.47773311809273e-10,6.186318166828739e-10,0.24077396505502624,5.47773311809273e-09,1.2803814866127551e-05,1.547325947040636e-05,0.0630112292583487,0.0001280381486612755,3.5061659643434017e-06,2.6595036153843583e-06,0.0010490931869473119,3.1555493679090614e-05,0.0004362723448345871,0.00013400338605838402,0.02918274344072551,0.003926451103511284,0.20696846876103553,2.0696846876103554,1.4298424098815767,1.447491467106345,0.7148968679019372,7.148968679019372,0.3685043536322029,3.685043536322029,213.83675693663267,110.21495279945725,213.55261892239446,110.0789125477827
1,MatrixFactorizationInput,MF input kappa=1e+01 lr=3e-03,10.0,0.003,Muon,0,10,0.003347638027149329,0.010066952032332533,0.12947144969631122,0.15515932703397048,0.06423576324078224,1.2947144969631121,0.03026656307336788,0.032847307438127055,0.004505559886683718,0.3026656307336788,0.03351234658444977,0.042759127519534326,0.06633999002878033,0.3351234658444977,6.023338426161722e-10,7.060672497686093e-10,0.26326326507804854,6.023338426161722e-09,2.577874151378024e-10,2.7826984869867715e-10,0.19431891149126557,2.577874151378024e-09,1.2897764592563415e-05,1.575408527770003e-05,0.06294045585493059,0.00012897764592563414,3.5061659643441243e-06,2.6595036153851046e-06,0.001049093186947527,3.155549367909712e-05,7.708884279260042e-05,4.678128533611735e-05,0.007752050537748009,0.0006937995851334037,0.13729826085718122,1.3729826085718122,0.5505660529890057,2.49376546395829,0.39633279472073824,3.9633279472073824,0.32541134151871687,3.2541134151871685,118.59969412154382,97.38435238092693,118.39177100584983,97.20625075938091
2,MatrixFactorizationInput,MF input kappa=1e+01 lr=3e-03,10.0,0.003,Adam,1,10,0.003341907768831564,0.014788790193358829,0.1813300722920583,0.21112859702991146,0.08183415587770003,1.813300722920583,0.09392699663745771,0.02812402707992076,0.01479594459356863,0.9392699663745772,0.06147613843053603,0.07095748847717975,0.09952287062629653,0.6147613843053603,1.068205692564751e-09,1.261663816985483e-09,0.46061847653311716,1.068205692564751e-08,7.083303242186537e-10,8.432641918639169e-10,0.40832179182796996,7.0833032421865375e-09,1.6505079840115668e-05,1.8056892151987257e-05,0.0800371397121235,0.00016505079840115668,4.162316355103594e-06,2.6454929650703195e-06,0.0012471020407783787,3.746084719593234e-05,0.0004277718025473675,0.00010857785820885661,0.028998373262371313,0.0038499462229263075,0.22279351349146226,2.2279351349146226,1.2265015710853966,1.816495948670497,0.6898642463474935,6.8986424634749355,0.5969451475938631,5.969451475938631,206.50986660040698,178.637091966695,206.42827213292358,178.62406412328187
3,MatrixFactorizationInput,MF input kappa=1e+01 lr=3e-03,10.0,0.003,Muon,1,10,0.003341907768831563,0.00984671606311091,0.18963947735033382,0.2239840168074293,0.07810787156243246,1.8963947735033382,0.023270050452287007,0.024891504729803463,0.0034818486929637993,0.23270050452287006,0.058800603596648335,0.06912351512012589,0.09110098888679044,0.5880060359664834,4.4700152194009335e-10,5.755807330169295e-10,0.46694515093250716,4.4700152194009335e-09,2.7589225719117113e-10,3.8500890844801644e-10,0.42657616360747985,2.7589225719117115e-09,1.653872688819466e-05,1.820960516891922e-05,0.07977903432653524,0.00016538726888194662,4.1623163551038345e-06,2.6454929650701213e-06,0.0012471020407784496,3.746084719593451e-05,7.623574197283051e-05,3.829471218867399e-05,0.007812173938203774,0.0006861216777554746,0.19652230572674123,1.9652230572674123,0.2089693592369413,9.404359875742028,0.5524959481391619,5.524959481391619,0.5709651889126216,5.709651889126216,165.3698150580945,170.8879623580239,165.3235176901163,170.850073792506
4,MatrixFactorizationInput,MF input kappa=1e+01 lr=3e-03,10.0,0.003,Adam,2,10,0.0033370535633544932,0.015755743189217714,0.25924241161061856,0.4017191251432173,0.10514074368939166,2.592424116106186,0.03671892857836987,0.027692872120785524,0.005669914883304732,0.3671892857836987,0.07219218773330065,0.12266481917429536,0.10514959065987803,0.7219218773330065,8.988624334427508e-10,1.14305666319976e-09,0.5560009764610344,8.988624334427508e-09,6.594664914469145e-10,8.20472817774161e-10,0.4985616154800964,6.594664914469145e-09,2.294185096031916e-05,2.679357103693719e-05,0.12352360624479145,0.0002294185096031916,6.315263459550458e-06,3.5916956009873753e-06,0.0018957708675747694,5.683737113595412e-05,0.0005306660359859229,0.000181079595135671,0.03409031220897403,0.004775994323873305,0.2671966966979266,2.6719669669792663,0.5300285303369074,5.041175736862423,0.7561413573650049,7.561413573650049,0.7010000507802435,7.010000507802435,226.35434990940334,209.62076437184024,226.5895176716648,210.06556756481308
5,MatrixFactorizationInput,MF input kappa=1e+01 lr=3e-03,10.0,0.003,Muon,2,10,0.003337053563354493,0.01017978833661981,0.3162113735310184,0.4398631179699567,0.12269243265629919,3.162113735310184,0.014349902971226847,0.019056339453471013,0.0021779682553053382,0.14349902971226847,0.09915162590144058,0.1376507238418208,0.13879977623862114,0.9915162590144059,4.769348599421041e-10,5.816759686151637e-10,0.5568810436158371,4.769348599421041e-09,2.9032129046693425e-10,3.338844224247291e-10,0.446777673270703,2.9032129046693424e-09,2.3142700540563895e-05,2.7079746774984972e-05,0.12380621325359835,0.00023142700540563897,6.315263459549349e-06,3.5916956009853915e-06,0.0018957708675744383,5.6837371135944146e-05,0.00012546449300163882,6.213835366559897e-05,0.012422103818372332,0.0011291804370147495,0.31808146614411326,3.180814661441133,0.11224750425066438,28.337508995638146,0.8801252263116248,8.801252263116249,0.9627813891528916,9.627813891528916,263.9322692794316,288.79377166882716,263.7432122686398,288.51241697933034
6,MatrixFactorizationInput,MF input kappa=1e+01 lr=3e-03,10.0,0.003,Adam,3,10,0.003350288103708493,0.016445898642800567,0.24438022475064985,0.32068465510202226,0.1130078462563007,2.4438022475064987,0.0730464944660147,0.049709460461419955,0.011198861316993167,0.730464944660147,0.06635946686742424,0.09074335416938609,0.12259486078172208,0.6635946686742423,6.769733491101525e-10,5.655314338721052e-10,0.32205824870049066,6.769733491101525e-09,3.912663763612355e-10,3.277100416590409e-10,0.2616567943214787,3.912663763612355e-09,1.7642512015981915e-05,2.1873238832749207e-05,0.09308273277700937,0.00017642512015981915,3.0577255053535965e-06,2.914799583266871e-06,0.0009137221945257447,2.751952954818237e-05,0.0004031346866261096,0.0002383668337470648,0.02547721869793957,0.003628212179634986,0.2685509952465209,2.6855099524652086,0.9003536895662545,2.982727769748968,0.7911863011876407,7.911863011876407,0.6443632074936627,6.443632074936628,236.26391060523025,192.35538606238975,236.15470571377506,192.33068546564868
7,MatrixFactorizationInput,MF input kappa=1e+01 lr=3e-03,10.0,0.003,Muon,3,10,0.0033502881037084913,0.010376708404884357,0.40141997449723255,0.4608280623430511,0.1691672687716405,4.014199744972325,0.03644919314561399,0.016730792920858977,0.005458029671149806,0.3644919314561399,0.11430458393127893,0.1273570849297126,0.19232389321454818,1.1430458393127894,2.991627085233605e-10,3.335468290104026e-10,0.2532447778090336,2.991627085233605e-09,1.5439629407983128e-10,1.8030844757678297e-10,0.2010780939839024,1.5439629407983128e-09,1.7680178137493123e-05,2.1957357578021344e-05,0.09292838977513766,0.00017680178137493123,3.057725505353741e-06,2.9147995832667776e-06,0.0009137221945257874,2.751952954818367e-05,7.37924254525744e-05,5.375320843729247e-05,0.0071725022467056376,0.0006641318290731696,0.4037444290194235,4.037444290194235,0.43276731600077517,9.329365090470471,1.1175536942375843,11.175536942375842,1.1099195308536145,11.099195308536146,333.82137002203615,331.5553187143752,333.56943034258603,331.29077156827964
8,MatrixFactorizationInput,MF input kappa=1e+01 lr=3e-03,10.0,0.003,Adam,4,10,0.0033506642829764857,0.015895830603622305,0.20759751645788677,0.24176262039758406,0.09613542555800902,2.0759751645788675,0.07281994522806175,0.06685965426429534,0.011620820400915005,0.7281994522806174,0.06885343792955355,0.07884938842679196,0.11238891613674136,0.6885343792955355,4.998553654014637e-10,4.3919498302996787e-10,0.31383241590085886,4.998553654014637e-09,3.65122452389048e-10,3.738481374975089e-10,0.3187552897457368,3.65122452389048e-09,1.4046576063558777e-05,2.160516514974607e-05,0.07718256865040307,0.00014046576063558776,3.647111870660783e-06,3.1405881630210814e-06,0.001090127298663369,3.282400683594705e-05,0.00035279007077968324,0.0002503075459202841,0.023103760641930832,0.003175110637017149,0.22870867825799118,2.287086782579912,0.6777766326967709,3.3743960358738527,0.6751002527058463,6.751002527058462,0.6685801469727066,6.685801469727067,201.84417581809151,199.9305318108575,201.48251083696647,199.53659648014298
9,MatrixFactorizationInput,MF input kappa=1e+01 lr=3e-03,10.0,0.003,Muon,4,10,0.0033506642829764857,0.00991506127969979,0.35653545451533564,0.4295367972174728,0.15044488462572067,3.5653545451533564,0.009620697468573969,0.0130781668584071,0.0015002675193071966,0.09620697468573969,0.11093396986319977,0.13516413056919266,0.16575727090955464,1.1093396986319977,2.5656645745753975e-10,2.853680862008013e-10,0.3178978055698563,2.5656645745753977e-09,1.43862143600659e-10,1.7420173930329981e-10,0.2635178222524522,1.43862143600659e-09,1.3980605817550122e-05,2.1625076363729214e-05,0.07669963109963547,0.00013980605817550122,3.6471118706603976e-06,3.1405881630208374e-06,0.0010901272986632547,3.282400683594358e-05,6.837987988457104e-05,5.4074819587733256e-05,0.006972408986476784,0.0006154189189611393,0.35685438440195877,3.5685438440195876,0.36365183913438137,9.813077949815876,0.982632960681323,9.82632960681323,1.0771902189007343,10.771902189007342,293.5244630823786,321.77632579573674,293.26511929999253,321.48557059970125
