problem_family,setting,d,rank,kappa,num_factors,input_columns_multiplier,measurement_multiplier,hidden_dim,num_samples,loss,recovery_error,nrG,stA,condition_score,mean_grad_rank_fraction,nrG_std,stA_std,condition_score_std,mean_grad_rank_fraction_std,distance_to_MatrixFactorizationInput,distance_to_MatrixSensing,distance_to_SmallMLPDigits,inside_global_feature_fraction,nearest_current_family_distance,second_nearest_current_family_distance,bridge_score
SmallMLPDigits,scan MLP hidden=16 samples=128,64,10,1.0,10,10,2.0,16,128,2.302552471456631,0.8880208333333334,5.737475099125501,1.4834799033793438,3.9130392900586863,0.4636849129664489,0.250657352343953,0.1312927244645147,0.2627451309682905,0.02267617617378123,2.16547345256077,3.8429188986307046,1.091954730731727,1.0,1.091954730731727,2.16547345256077,0.3159085094177716
MatrixSensing,scan MS d=20 r=10 kappa=1e+01 measurement_mult=2,20,10,10.0,10,10,2.0,64,1024,0.060356806718215916,1.0065474823712859,12.746400339132414,101.26893956949743,0.1258861591175002,0.6373200169566208,0.34203585085660004,1.6402897211683736,0.003846259148268613,0.01710179254282997,2.0838125523156044,2.1873267311981586,3.483940691511317,1.0,2.0838125523156044,2.1873267311981586,0.31374254487681175
MatrixSensing,scan MS d=20 r=5 kappa=1e+00 measurement_mult=2,20,5,1.0,10,10,2.0,64,1024,0.11467690934694523,1.0078920973435241,13.832766638921976,70.32171270093522,0.19677286190842033,0.6916383319460988,0.32111402450514015,2.2567328435122813,0.004382305782079034,0.01605570122525706,2.3009232518286113,2.299791684762094,3.512918985431702,1.0,2.299791684762094,2.3009232518286113,0.30294554696054515
MatrixSensing,scan MS d=20 r=10 kappa=1e+01 measurement_mult=1,20,10,10.0,10,10,1.0,64,1024,0.05834592756460852,1.0065474823712859,13.67982761070077,70.32171270093522,0.19456734730190128,0.6839913805350385,0.33285312833035174,2.2567328435122813,0.0019182715060889859,0.016642656416517562,2.260610823342099,2.3044025197672977,3.497619611303522,1.0,2.260610823342099,2.3044025197672977,0.30262656986184056
MatrixSensing,scan MS d=20 r=10 kappa=1e+02 measurement_mult=1,20,10,100.0,10,10,1.0,64,1024,0.03826892330963563,1.010910316374054,13.320222177500606,70.32171270093522,0.18952288232886816,0.6660111088750303,0.16419824710934777,2.2567328435122813,0.005242465521288793,0.008209912355467332,2.1660218462362395,2.3181631249962886,3.4632827863952733,1.0,2.1660218462362395,2.3181631249962886,0.3013715608093012
MatrixSensing,scan MS d=20 r=5 kappa=1e+01 measurement_mult=2,20,5,10.0,10,10,2.0,64,1024,0.036372923937833604,1.017716068073117,13.194735870705571,70.32171270093522,0.1878196354765295,0.6597367935352786,0.17591094104301755,2.2567328435122813,0.008682514390881812,0.008795547052150852,2.133084376760491,2.3239190067559954,3.45184535978324,1.0,2.133084376760491,2.3239190067559954,0.3008496891673536
SmallMLPDigits,scan MLP hidden=16 samples=1024,64,10,1.0,10,10,2.0,16,1024,2.3025481379044064,0.8938802083333334,6.083058728372559,1.4949962607736438,4.136965245811796,0.4882929078638043,0.4126844238408272,0.1454953544302667,0.6527696505584798,0.03242215781448701,2.338202024266014,3.8693016094044816,0.9938995588205362,1.0,0.9938995588205362,2.338202024266014,0.29956245689470357
SmallMLPDigits,scan MLP hidden=16 samples=512,64,10,1.0,10,10,2.0,16,512,2.3025214753891334,0.888671875,6.081324715610773,1.4872004397718255,4.153719279756649,0.49017655180535114,0.4230310562911153,0.1369121336847567,0.6437133378029785,0.03465285851180621,2.351115443012139,3.8724022476969338,0.9877949382179813,1.0,0.9877949382179813,2.351115443012139,0.2984081023186576
MatrixSensing,scan MS d=20 r=5 kappa=1e+02 measurement_mult=2,20,5,100.0,10,10,2.0,64,1024,0.028298779689317155,1.0208430411810887,12.679132242692452,70.32171270093522,0.18052064220475553,0.6339566121346226,0.2994847045604245,2.2567328435122813,0.010229729808534203,0.014974235228021236,1.9982075531620824,2.3526413684322933,3.408210005382631,1.0,1.9982075531620824,2.3526413684322933,0.29827228447867166
MatrixSensing,scan MS d=20 r=10 kappa=1e+00 measurement_mult=1,20,10,1.0,10,10,1.0,64,1024,0.22935806778922216,1.0024246954541614,14.215287116907573,70.32171270093522,0.20220428722932504,0.7107643558453787,0.3432635036589953,2.2567328435122813,0.004008298027362432,0.017163175182949745,2.4019572145982764,2.2915392996410184,3.553080372145657,1.0,2.2915392996410184,2.4019572145982764,0.29394843524452907
