problem_family,setting,seed,d,rank,kappa,num_factors,input_columns_multiplier,measurement_multiplier,hidden_dim,num_samples,loss,recovery_error,nrG,stA,condition_score,mean_grad_rank_fraction,min_grad_rank_fraction,max_grad_rank_fraction
MatrixFactorizationInput,scan MF d=20 r=2 factors=2 kappa=1e+01 input_mult=10,1,20,2,10.0,2,10,2.0,64,1024,0.0012792677228509136,1.0002657921607372,1.2086807552237127,7.338396545818874,0.3470662292265136,0.6043403776118563,0.5643892174740355,0.6442915377496772
MatrixFactorizationInput,scan MF d=20 r=2 factors=2 kappa=1e+01 input_mult=10,2,20,2,10.0,2,10,2.0,64,1024,0.0013960434229121582,1.001089431337093,1.06435796219119,6.638272708853825,0.3922605625257633,0.532178981095595,0.5105881847384427,0.5537697774527474
MatrixFactorizationInput,scan MF d=20 r=2 factors=2 kappa=1e+02 input_mult=2,0,20,2,100.0,2,2,2.0,64,1024,0.0011804710666156399,1.0007231407507091,1.0183432074219239,4.863074243850509,0.34212916022838247,0.5091716037109619,0.5079868012496722,0.5103564061722516
MatrixFactorizationInput,scan MF d=20 r=2 factors=2 kappa=1e+02 input_mult=2,1,20,2,100.0,2,2,2.0,64,1024,0.0017437841535193504,1.0002452663264716,1.010850692768844,4.528383722081507,0.37692706417780064,0.505425346384422,0.5013109996460093,0.5095396931228349
MatrixFactorizationInput,scan MF d=20 r=2 factors=2 kappa=1e+02 input_mult=2,2,20,2,100.0,2,2,2.0,64,1024,0.001268984285513715,1.0010802175403295,1.0105111897124481,4.724410212343913,0.38100228872275593,0.5052555948562241,0.5043165040679971,0.5061946856444509
MatrixFactorizationInput,scan MF d=20 r=2 factors=2 kappa=1e+02 input_mult=10,0,20,2,100.0,2,10,2.0,64,1024,0.0012642390149966314,1.0007231407507091,1.0174660249149174,6.764498499534835,0.3631265251317015,0.5087330124574587,0.5084192227397646,0.5090468021751529
MatrixFactorizationInput,scan MF d=20 r=2 factors=2 kappa=1e+02 input_mult=10,1,20,2,100.0,2,10,2.0,64,1024,0.001265814078507755,1.0002452663264716,1.0260950576726842,7.338396545818874,0.3086315586346212,0.5130475288363421,0.5104171677636791,0.5156778899090051
MatrixFactorizationInput,scan MF d=20 r=2 factors=2 kappa=1e+02 input_mult=10,2,20,2,100.0,2,10,2.0,64,1024,0.001383994124428089,1.0010802175403295,1.0093588565078142,6.638272708853825,0.38357411151392035,0.5046794282539071,0.5037846759788106,0.5055741805290037
MatrixFactorizationInput,scan MF d=20 r=2 factors=5 kappa=1e+00 input_mult=2,0,20,2,1.0,5,2,2.0,64,1024,0.00272980285354259,0.9993421219981465,1.657637845625564,2.6369304373616322,1.004056970431552,0.828818922812782,0.7795429999085306,0.990916375592588
MatrixFactorizationInput,scan MF d=20 r=2 factors=5 kappa=1e+00 input_mult=2,1,20,2,1.0,5,2,2.0,64,1024,0.0030268139415475094,1.0004242161542605,1.5632708064758885,2.5332888664575384,0.947064823721514,0.7816354032379442,0.7298698518690646,0.9822590559371891
MatrixFactorizationInput,scan MF d=20 r=2 factors=5 kappa=1e+00 input_mult=2,2,20,2,1.0,5,2,2.0,64,1024,0.0024301657078997204,0.9999008191393018,1.7323316721994435,2.754145630893835,0.9714993475164879,0.8661658360997218,0.7801214526084703,0.9107619704300396
MatrixFactorizationInput,scan MF d=20 r=2 factors=5 kappa=1e+00 input_mult=10,0,20,2,1.0,5,10,2.0,64,1024,0.0025577510335196094,0.9993421219981465,1.6837327614560855,3.4864781228214605,0.9717126198986323,0.8418663807280428,0.7953362353595721,0.9878401798251992
MatrixFactorizationInput,scan MF d=20 r=2 factors=5 kappa=1e+00 input_mult=10,1,20,2,1.0,5,10,2.0,64,1024,0.0026152382658363345,1.0004242161542605,1.4676636337190012,3.6245152565341323,0.8407563803085895,0.7338318168595006,0.6662607273848494,0.9590793208548998
MatrixFactorizationInput,scan MF d=20 r=2 factors=5 kappa=1e+00 input_mult=10,2,20,2,1.0,5,10,2.0,64,1024,0.0025926352313782957,0.9999008191393018,1.8863637604833776,3.814939801029105,0.8662172862729394,0.9431818802416888,0.8739229721975029,0.9746862990161942
MatrixFactorizationInput,scan MF d=20 r=2 factors=5 kappa=1e+01 input_mult=2,0,20,2,10.0,5,2,2.0,64,1024,0.0011919736913003826,0.9989990320124253,1.0886038828927884,2.6369304373616322,0.6709899943818763,0.5443019414463942,0.5279031125931108,0.6046716246664012
MatrixFactorizationInput,scan MF d=20 r=2 factors=5 kappa=1e+01 input_mult=2,1,20,2,10.0,5,2,2.0,64,1024,0.0017555737697927064,1.0001853312193594,1.1445348609771222,2.5332888664575384,0.7244190529484762,0.5722674304885611,0.5520957568282148,0.5958951596352595
MatrixFactorizationInput,scan MF d=20 r=2 factors=5 kappa=1e+01 input_mult=2,2,20,2,10.0,5,2,2.0,64,1024,0.0012778728266766499,1.0000643411140597,1.194359220360947,2.754145630893835,0.6852891242404833,0.5971796101804735,0.5573960602137168,0.6436289138887014
