metric,problem_family,n_pairs,muon_higher_pairs,muon_lower_pairs,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,mean_delta_muon_minus_adam,delta_ci95_low,delta_ci95_high,ratio_ci95_above_one,delta_ci95_above_zero,source,expected_direction,ci_supports_expected,opposes_expected,ratio_ci95_below_one,delta_ci95_below_zero
per_update_rank_plane_mean_speed,MatrixSensing,75,47,28,1.178505188855418,1.0727327000196365,1.29470694809035,0.7282028402974962,0.3126390755633066,1.1437666050316857,,,equal_update:state_volatility,below_one,False,True,False,False
per_update_rank_plane_mean_speed,SmallMLPDigits,15,9,6,1.0016802843281811,0.911245532591989,1.1010900532568568,0.4292887128479797,-0.3841398614834639,1.2427172871794234,,,equal_update:state_volatility,below_one,False,False,False,False
per_update_condition_mean_speed,MatrixFactorizationInput,75,19,56,0.7046040061905827,0.6292705616372536,0.7889560322798156,2.319521214008743,-8.235508525673842,12.874550953691328,,,equal_update:state_volatility,below_one,True,False,True,False
per_update_condition_mean_speed,MatrixSensing,75,47,28,1.1785051888554188,1.0727327000196367,1.294706948090351,0.5794619469512554,0.2279445874465716,0.9309793064559392,,,equal_update:state_volatility,below_one,False,True,False,False
per_update_condition_mean_speed,SmallMLPDigits,15,8,7,0.9926329261769692,0.9059572799437164,1.0876010910711669,0.4478488002906458,-0.4639877531042001,1.3596853536854918,,,equal_update:state_volatility,below_one,False,False,False,False
delta_loss,MatrixFactorizationInput,750,96,654,0.3823344237189853,0.3536606161560478,0.4133330229115162,-2.023380524452781e-06,-2.914780051295186e-06,-1.1319809976103763e-06,False,False,equal_update:one_step_progress,above_one,False,True,,
delta_loss,MatrixSensing,375,341,34,1.161693311685079,1.1274113642000083,1.1970176931571468,0.0004982327908886,0.0003440765900374,0.0006523889917398,True,True,equal_update:one_step_progress,above_one,True,False,,
delta_loss,SmallMLPDigits,150,0,150,0.5127967163457747,0.4800055201382536,0.547828017101282,-0.0129133468133896,-0.0168866080958408,-0.0089400855309384,False,False,equal_update:one_step_progress,above_one,False,True,,
update_grad_inner,MatrixFactorizationInput,750,54,696,0.3431900498877144,0.319423930963796,0.3687244408600093,-5.229904657883646e-06,-6.229061786695637e-06,-4.230747529071655e-06,False,False,equal_update:one_step_progress,above_one,False,True,,
update_grad_inner,MatrixSensing,375,353,22,1.2361559253948544,1.21498899522218,1.2576916152309472,0.0013436672906872,0.0011429763034014,0.001544358277973,True,True,equal_update:one_step_progress,above_one,True,False,,
update_grad_inner,SmallMLPDigits,150,0,150,0.5231765493537704,0.4909171635790868,0.5575557794683277,-0.0119203813266822,-0.0156758055116743,-0.0081649571416902,False,False,equal_update:one_step_progress,above_one,False,True,,
update_grad_cosine,MatrixFactorizationInput,750,48,702,0.4757888609280556,0.4543335242839407,0.498257399209091,-0.341652644690211,-0.3559766732508349,-0.3273286161295872,False,False,equal_update:one_step_progress,above_one,False,True,,
update_grad_cosine,MatrixSensing,375,375,0,1.3346448302541754,1.310710333300949,1.3590163880360604,0.2021269547944559,0.1910472135015932,0.2132066960873185,True,True,equal_update:one_step_progress,above_one,True,False,,
update_grad_cosine,SmallMLPDigits,150,0,150,0.7646906061337295,0.7578005805481722,0.7716432767657385,-0.1383465859193448,-0.1435738850543208,-0.1331192867843687,False,False,equal_update:one_step_progress,above_one,False,True,,
