scan,claim_boundary,source_id,family,setting_id,setting_values,metric_id,metric_role,estimate,ci95_low,ci95_high,boundary_status,interpretation
secondary_outcome,secondary_outcome_tradeoff,cifar100_resnet_checkpoint_sweep,cifar100_lt_resnet18,cifar100_resnet_checkpoint_sweep::dataset=CIFAR100;model=resnet18_cifar_stem;warmup_steps=500,dataset=CIFAR100;model=resnet18_cifar_stem;warmup_steps=500,tail_loss_increase,secondary_tail_loss_tradeoff,0.0002089977264404,7.468460335573657e-05,0.0003433108495251,spectral_worse,diff_ci_strictly_above_zero
secondary_outcome,secondary_outcome_tradeoff,cifar100_resnet_checkpoint_sweep,cifar100_lt_resnet18,cifar100_resnet_checkpoint_sweep::dataset=CIFAR100;model=resnet18_cifar_stem;warmup_steps=250,dataset=CIFAR100;model=resnet18_cifar_stem;warmup_steps=250,tail_margin_drop,secondary_tail_margin_tradeoff,0.0016026973724365,0.0011541974516513,0.0020511972932217,spectral_worse,diff_ci_strictly_above_zero
secondary_outcome,secondary_outcome_tradeoff,cifar100_resnet_checkpoint_sweep,cifar100_lt_resnet18,cifar100_resnet_checkpoint_sweep::dataset=CIFAR100;model=resnet18_cifar_stem;warmup_steps=500,dataset=CIFAR100;model=resnet18_cifar_stem;warmup_steps=500,tail_margin_drop,secondary_tail_margin_tradeoff,0.0002595901489257,8.221885261261555e-05,0.0004369614452389,spectral_worse,diff_ci_strictly_above_zero
secondary_outcome,secondary_outcome_tradeoff,cifar100_resnet_fc_condition_scatter,cifar100_lt_resnet18_fc_only,cifar100_resnet_fc_condition_scatter::warmup_steps=250,warmup_steps=250,tail_loss_increase,secondary_tail_loss_tradeoff,0.0022366523742675,0.0018671627642354,0.0026061419842996,spectral_worse,diff_ci_strictly_above_zero
secondary_outcome,secondary_outcome_tradeoff,cifar100_resnet_fc_condition_scatter,cifar100_lt_resnet18_fc_only,cifar100_resnet_fc_condition_scatter::warmup_steps=500,warmup_steps=500,tail_loss_increase,secondary_tail_loss_tradeoff,0.0006772518157958,0.0004984515492091,0.0008560520823826,spectral_worse,diff_ci_strictly_above_zero
secondary_outcome,secondary_outcome_tradeoff,cifar100_resnet_fc_condition_scatter,cifar100_lt_resnet18_fc_only,cifar100_resnet_fc_condition_scatter::warmup_steps=250,warmup_steps=250,tail_margin_drop,secondary_tail_margin_tradeoff,0.0035547018051147,0.0029375828323275,0.0041718207779019,spectral_worse,diff_ci_strictly_above_zero
secondary_outcome,secondary_outcome_tradeoff,cifar100_resnet_fc_condition_scatter,cifar100_lt_resnet18_fc_only,cifar100_resnet_fc_condition_scatter::warmup_steps=500,warmup_steps=500,tail_margin_drop,secondary_tail_margin_tradeoff,0.001006269454956,0.0007544532208472,0.0012580856890648,spectral_worse,diff_ci_strictly_above_zero
secondary_outcome,secondary_outcome_tradeoff,cifar100_resnet_imbalance_sweep,cifar100_lt_resnet18,cifar100_resnet_imbalance_sweep::dataset=CIFAR100;model=resnet18_cifar_stem;tail_train_per_class=300;imbalance_ratio=1,dataset=CIFAR100;model=resnet18_cifar_stem;tail_train_per_class=300;imbalance_ratio=1,tail_loss_increase,secondary_tail_loss_tradeoff,0.000633955001831,0.0004146548300508,0.0008532551736112,spectral_worse,diff_ci_strictly_above_zero
secondary_outcome,secondary_outcome_tradeoff,cifar100_resnet_imbalance_sweep,cifar100_lt_resnet18,cifar100_resnet_imbalance_sweep::dataset=CIFAR100;model=resnet18_cifar_stem;tail_train_per_class=300;imbalance_ratio=1,dataset=CIFAR100;model=resnet18_cifar_stem;tail_train_per_class=300;imbalance_ratio=1,tail_margin_drop,secondary_tail_margin_tradeoff,0.0009500583012898,0.0006677243749619,0.0012323922276177,spectral_worse,diff_ci_strictly_above_zero
secondary_outcome,secondary_outcome_tradeoff,digits_checkpoint_sweep,sklearn_digits_mlp,digits_checkpoint_sweep::warmup_steps=20,warmup_steps=20,tail_loss_increase,secondary_tail_loss_tradeoff,0.0057366338678568,0.0049062370401363,0.0065670306955773,spectral_worse,diff_ci_strictly_above_zero
