source_id,family,natural_task,source_path,row_index,setting_id,setting_axes,setting_values,metric_id,metric_role,estimate_column,mean_diff_spectral_minus_fro,ci95_low,ci95_high,boundary_status,interpretation,positive_means,claim_boundary
digits_imbalance_ablation,sklearn_digits_mlp,digits long-tail imbalance sweep,results/e11_long_tail_imbalance_ablation/summary.csv,2,digits_imbalance_ablation::head_train_per_class=100;tail_train_per_class=20;imbalance_ratio=5,"head_train_per_class,tail_train_per_class,imbalance_ratio",head_train_per_class=100;tail_train_per_class=20;imbalance_ratio=5,tail_accuracy_drop,secondary_tail_accuracy_tradeoff,mean_tail_accuracy_drop_diff_spectral_minus_fro,0.0,0.0,0.0,mixed_or_uncertain,diff_ci_crosses_or_touches_zero,spectral_higher_accuracy_drop,secondary_outcome_tradeoff
digits_imbalance_ablation,sklearn_digits_mlp,digits long-tail imbalance sweep,results/e11_long_tail_imbalance_ablation/summary.csv,3,digits_imbalance_ablation::head_train_per_class=100;tail_train_per_class=10;imbalance_ratio=10,"head_train_per_class,tail_train_per_class,imbalance_ratio",head_train_per_class=100;tail_train_per_class=10;imbalance_ratio=10,tail_loss_increase,secondary_tail_loss_tradeoff,mean_tail_loss_increase_diff_spectral_minus_fro,0.0029015009943104,0.00191375241648,0.0038892495721408,spectral_worse,diff_ci_strictly_above_zero,spectral_higher_loss_increase,secondary_outcome_tradeoff
digits_imbalance_ablation,sklearn_digits_mlp,digits long-tail imbalance sweep,results/e11_long_tail_imbalance_ablation/summary.csv,3,digits_imbalance_ablation::head_train_per_class=100;tail_train_per_class=10;imbalance_ratio=10,"head_train_per_class,tail_train_per_class,imbalance_ratio",head_train_per_class=100;tail_train_per_class=10;imbalance_ratio=10,tail_margin_drop,secondary_tail_margin_tradeoff,mean_tail_margin_drop_diff_spectral_minus_fro,0.0031556958425039,0.0017396515686,0.0045717401164079,spectral_worse,diff_ci_strictly_above_zero,spectral_higher_margin_drop,secondary_outcome_tradeoff
digits_imbalance_ablation,sklearn_digits_mlp,digits long-tail imbalance sweep,results/e11_long_tail_imbalance_ablation/summary.csv,3,digits_imbalance_ablation::head_train_per_class=100;tail_train_per_class=10;imbalance_ratio=10,"head_train_per_class,tail_train_per_class,imbalance_ratio",head_train_per_class=100;tail_train_per_class=10;imbalance_ratio=10,tail_accuracy_drop,secondary_tail_accuracy_tradeoff,mean_tail_accuracy_drop_diff_spectral_minus_fro,0.0,0.0,0.0,mixed_or_uncertain,diff_ci_crosses_or_touches_zero,spectral_higher_accuracy_drop,secondary_outcome_tradeoff
digits_checkpoint_sweep,sklearn_digits_mlp,digits long-tail checkpoint sweep,results/e11_long_tail_checkpoint_sweep/summary.csv,0,digits_checkpoint_sweep::warmup_steps=20,warmup_steps,warmup_steps=20,tail_loss_increase,secondary_tail_loss_tradeoff,mean_tail_loss_increase_diff_spectral_minus_fro,0.0057366338678568,0.0049062370401363,0.0065670306955773,spectral_worse,diff_ci_strictly_above_zero,spectral_higher_loss_increase,secondary_outcome_tradeoff
digits_checkpoint_sweep,sklearn_digits_mlp,digits long-tail checkpoint sweep,results/e11_long_tail_checkpoint_sweep/summary.csv,0,digits_checkpoint_sweep::warmup_steps=20,warmup_steps,warmup_steps=20,tail_margin_drop,secondary_tail_margin_tradeoff,mean_tail_margin_drop_diff_spectral_minus_fro,0.0080724717894796,0.0059186714734218,0.0102262721055373,spectral_worse,diff_ci_strictly_above_zero,spectral_higher_margin_drop,secondary_outcome_tradeoff
digits_checkpoint_sweep,sklearn_digits_mlp,digits long-tail checkpoint sweep,results/e11_long_tail_checkpoint_sweep/summary.csv,0,digits_checkpoint_sweep::warmup_steps=20,warmup_steps,warmup_steps=20,tail_accuracy_drop,secondary_tail_accuracy_tradeoff,mean_tail_accuracy_drop_diff_spectral_minus_fro,0.0,0.0,0.0,mixed_or_uncertain,diff_ci_crosses_or_touches_zero,spectral_higher_accuracy_drop,secondary_outcome_tradeoff
digits_checkpoint_sweep,sklearn_digits_mlp,digits long-tail checkpoint sweep,results/e11_long_tail_checkpoint_sweep/summary.csv,1,digits_checkpoint_sweep::warmup_steps=40,warmup_steps,warmup_steps=40,tail_loss_increase,secondary_tail_loss_tradeoff,mean_tail_loss_increase_diff_spectral_minus_fro,0.0017377786170917,0.000946083709465,0.0025294735247183,spectral_worse,diff_ci_strictly_above_zero,spectral_higher_loss_increase,secondary_outcome_tradeoff
digits_checkpoint_sweep,sklearn_digits_mlp,digits long-tail checkpoint sweep,results/e11_long_tail_checkpoint_sweep/summary.csv,1,digits_checkpoint_sweep::warmup_steps=40,warmup_steps,warmup_steps=40,tail_margin_drop,secondary_tail_margin_tradeoff,mean_tail_margin_drop_diff_spectral_minus_fro,0.0013626335054333,-0.0004840001424794,0.003209267153346,mixed_or_uncertain,diff_ci_crosses_or_touches_zero,spectral_higher_margin_drop,secondary_outcome_tradeoff
digits_checkpoint_sweep,sklearn_digits_mlp,digits long-tail checkpoint sweep,results/e11_long_tail_checkpoint_sweep/summary.csv,1,digits_checkpoint_sweep::warmup_steps=40,warmup_steps,warmup_steps=40,tail_accuracy_drop,secondary_tail_accuracy_tradeoff,mean_tail_accuracy_drop_diff_spectral_minus_fro,-0.00025,-0.00074,0.00024,mixed_or_uncertain,diff_ci_crosses_or_touches_zero,spectral_higher_accuracy_drop,secondary_outcome_tradeoff
