run_id,problem_family,setting,kappa,lr,algo,seed,step,num_samples,train_batch_size,loss,recovery_error,diagnostic_A_definition,sigma_update,update_rank_ceiling,nrUpdate,stUpdate,nrUpdateFrac,stUpdateFrac,update_flatness,update_grad_inner,update_grad_cosine,update_grad_per_update_norm,layer,nrG,stA,condition_score,delta_gd_pred,delta_spec_pred
0,SmallMLPDigits,MLP width sweep hidden=8 samples=128 lr=3e-03,1.0,0.003,Adam,0,0,128,32,2.3025407266205056,0.9140625,full_layer_input_activation,"[[0.008814608630728249,0.004426221296431852,0.0031819755366980554,0.002539769698559323,0.0015412507436471995,0.0013557915031355988,0.0012034035730182592,1.4646244008508463e-20]]",8.0,4.4501037432123,1.538353641502034,0.5562629679015375,0.19229420518775425,0.3456893884436896,0.00018905652099917496,0.703531769355891,0.017292609543124896,1,2.434326803270686,1.4072141664345255,1.7298907737964062,4.3487155988847617e-07,7.522802992375262e-07
0,SmallMLPDigits,MLP width sweep hidden=8 samples=128 lr=3e-03,1.0,0.003,Adam,0,0,128,32,2.3025407266205056,0.9140625,full_layer_input_activation,"[[0.0031678737231143482,0.0022366615428132367,0.001926415363539203,0.0017018288392990036,0.0014853472660865156,0.0007145344218770465,0.000334431450603619,3.47943256162427e-20]]",8.0,5.466921259910947,2.4387646053984864,0.6833651574888684,0.3048455756748108,0.44609470110389193,4.463441287527083e-05,0.6739821359075109,0.00902229500354181,2,4.144667949804725,1.6053459550121376,2.5817911316027753,0.0007580213612276787,0.001957052827983085
1,SmallMLPDigits,MLP width sweep hidden=8 samples=128 lr=3e-03,1.0,0.003,Muon,0,0,128,32,2.3025407266205056,0.9140625,full_layer_input_activation,"[[0.003000000000000002,0.003000000000000001,0.003000000000000001,0.0030000000000000005,0.003,0.003,0.002999999999999999,0.002999999999999999]]",8.0,7.999999999999998,7.999999999999993,0.9999999999999998,0.9999999999999991,0.9999999999999993,0.0001150502368383662,0.5516256433568292,0.013558800440921183,1,2.434326803270686,1.4072141664345255,1.7298907737964062,4.3487155988847617e-07,7.522802992375262e-07
1,SmallMLPDigits,MLP width sweep hidden=8 samples=128 lr=3e-03,1.0,0.003,Muon,0,0,128,32,2.3025407266205056,0.9140625,full_layer_input_activation,"[[0.0030000000000000022,0.0030000000000000014,0.0030000000000000014,0.0030000000000000014,0.0030000000000000014,0.0030000000000000005,0.0030000000000000005,0.0029999999999999996]]",8.0,7.999999999999998,7.999999999999994,0.9999999999999998,0.9999999999999992,0.9999999999999994,8.175884803418937e-05,0.7197801704170453,0.00963537264449595,2,4.144667949804725,1.6053459550121376,2.5817911316027753,0.0007580213612276787,0.001957052827983085
0,SmallMLPDigits,MLP width sweep hidden=8 samples=128 lr=3e-03,1.0,0.003,Adam,0,1,128,32,2.302502839566923,0.8359375,full_layer_input_activation,"[[0.0074871484081055345,0.004580364714599077,0.0038955595309531506,0.0032697052669773373,0.0023724959963779065,0.002096778982227375,0.00157419230823634,0.0012520986088029617]]",8.0,6.016292285790398,2.086692545212381,0.7520365357237998,0.2608365681515476,0.3468402873545295,9.801944941881936e-05,0.663221626653926,0.009062887411895058,1,5.224188015786769,1.4072141664345255,3.7124327912526303,1.3440739786361553e-07,4.98978431215825e-07
0,SmallMLPDigits,MLP width sweep hidden=8 samples=128 lr=3e-03,1.0,0.003,Adam,0,1,128,32,2.302502839566923,0.8359375,full_layer_input_activation,"[[0.0030554659811281608,0.002450848248634208,0.0021010391330684992,0.001381622914513018,0.0013500407824257115,0.00112327193289821,0.0008757203368926193,0.0001977508600534839]]",8.0,6.149027869937825,2.737410847784207,0.7686284837422281,0.34217635597302587,0.4451778241512322,4.8416509486719325e-05,0.7328504629733322,0.009577364839715033,2,4.636075823555015,1.4770763757464191,3.1386838891199798,0.000483471095113922,0.0015174629370892606
1,SmallMLPDigits,MLP width sweep hidden=8 samples=128 lr=3e-03,1.0,0.003,Muon,0,1,128,32,2.3024806378122684,0.84375,full_layer_input_activation,"[[0.003000000000000001,0.0030000000000000005,0.003,0.003,0.003,0.003,0.0029999999999999983,0.0029999999999999983]]",8.0,8.000000000000002,7.999999999999994,1.0000000000000002,0.9999999999999992,0.999999999999999,9.455734603000732e-05,0.7361594868475367,0.011143690098136844,1,4.335446320605025,1.4072141664345255,3.080871713784544,1.6493832816659562e-07,5.08153829767377e-07
1,SmallMLPDigits,MLP width sweep hidden=8 samples=128 lr=3e-03,1.0,0.003,Muon,0,1,128,32,2.3024806378122684,0.84375,full_layer_input_activation,"[[0.0029999999999999996,0.002999999999999999,0.0029999999999999988,0.0029999999999999983,0.0029999999999999983,0.002999999999999998,0.002999999999999998,0.0029999999999999975]]",8.0,7.999999999999998,7.999999999999994,0.9999999999999998,0.9999999999999992,0.9999999999999994,7.611014649740562e-05,0.770659111719621,0.008969666784236184,2,4.751323731811804,1.559750937722022,3.0462066839664774,0.0005152226036784036,0.0015694745390557642
0,SmallMLPDigits,MLP width sweep hidden=8 samples=128 lr=3e-03,1.0,0.003,Adam,0,2,128,32,2.3025214361331416,0.796875,full_layer_input_activation,"[[0.0074414906913641,0.004524737826999625,0.003519401352177529,0.002838229793582007,0.002653908069597509,0.002119435148495559,0.0018585625561081327,0.0015623143502176853]]",8.0,6.183625119829201,2.053624834319173,0.7729531399786501,0.2567031042898966,0.3321069428568297,8.451927182836488e-05,0.540597683830915,0.007925656575956997,1,4.448348496420361,1.4072141664345255,3.161102696749559,1.547139597141603e-07,4.890667152772346e-07
0,SmallMLPDigits,MLP width sweep hidden=8 samples=128 lr=3e-03,1.0,0.003,Adam,0,2,128,32,2.3025214361331416,0.796875,full_layer_input_activation,"[[0.0029999183485527633,0.002488748920004337,0.0023075125539837736,0.001954944818479013,0.0015128495356399592,0.0013927852416513698,0.0008363687728137898,0.00015632895921122638]]",8.0,6.360290905461993,3.254879466820566,0.7950363631827492,0.40685993335257076,0.5117500936986059,4.499878893016501e-05,0.629431611109539,0.008314266404448808,2,4.079130255458917,1.3518083193412205,3.0175359901963086,0.00032936658703279254,0.0009938755303395765
1,SmallMLPDigits,MLP width sweep hidden=8 samples=128 lr=3e-03,1.0,0.003,Muon,0,2,128,32,2.3024735755854016,0.8046875,full_layer_input_activation,"[[0.0030000000000000014,0.0030000000000000014,0.0030000000000000014,0.0030000000000000005,0.0030000000000000005,0.0030000000000000005,0.0029999999999999996,0.0029999999999999996]]",8.0,7.999999999999998,7.999999999999997,0.9999999999999998,0.9999999999999997,0.9999999999999999,8.320397396817133e-05,0.7512870751502967,0.009805682369093821,1,4.515458154303099,1.4072141664345255,3.2087924226516042,1.22617136590029e-07,3.934529387773218e-07
1,SmallMLPDigits,MLP width sweep hidden=8 samples=128 lr=3e-03,1.0,0.003,Muon,0,2,128,32,2.3024735755854016,0.8046875,full_layer_input_activation,"[[0.003000000000000003,0.0030000000000000022,0.003000000000000002,0.003000000000000001,0.0030000000000000005,0.0030000000000000005,0.0029999999999999996,0.0029999999999999996]]",8.0,7.999999999999998,7.999999999999989,0.9999999999999998,0.9999999999999987,0.9999999999999989,7.240938705574018e-05,0.7407077065440794,0.00853352810144588,2,4.38918325227032,1.5340002707151041,2.8612662827133772,0.00044511922571079,0.001273604632313769
