run_id,problem_family,setting,kappa,lr,algo,seed,step,num_samples,train_batch_size,loss,delta_loss,recovery_error,diagnostic_A_definition,nrG,stA,condition_score,delta_gd_pred,delta_spec_pred,sigma_G,sigma_A,sigma_update,nrUpdate,stUpdate,nrUpdateFrac,stUpdateFrac,update_flatness,update_grad_inner,update_grad_cosine,update_grad_per_update_norm,update_fro_norm,update_op_norm,relative_update_fro_norm,mean_relative_layer_update_norm,elapsed_s
0,SmallMLPDigits,MLP width sweep hidden=8 samples=128 lr=3e-03,1.0,0.003,Adam,0,0,128,32,2.3025407266205056,0.0002583246599483502,0.9140625,full_layer_input_activation,3.2894973765377054,1.5062800607233315,2.1558409526995908,0.0007584562327875672,0.0019578051082823223,"[[0.02345882407064861,0.005528194247865521,0.0036097516222870444,0.0024987905880142513,0.0016154826227535728,0.0009893823145638403,0.0006496534799892352,3.673798663215695e-20],[0.009211707245826409,0.007645954685370377,0.004712278809944777,0.0026839937164177888,0.0025087684861614984,0.0004183879848668245,7.185841614209679e-05,1.9218978123916212e-19]]","[[37.27316902417838,9.989306739407862,8.59407756015897,8.490419613138702,6.920265443389615,5.922554208656598,5.207288854125392,4.843319129030292,4.725283177507722,4.470028844882081,3.9637832064440928,3.64081394576259,3.4978975645527957,3.3523565254770316,3.0630953210534115,2.785640687023805,2.672757140605864,2.562500395800782,2.423334860511891,2.2837536804067957,2.269381696998064,2.1204273068506763,2.0215207913127244,1.966089779432288,1.8305740616826418,1.7829029462869612,1.7440066179843905,1.5729003993754536,1.5314262073466416,1.409748653000662,1.3952042702682184,1.2911685333048202,1.232254867574216,1.2084490212656358,1.129459682615861,1.03980746854664,0.99211271720542,0.9763191318884166,0.9054089329754051,0.8467020576525917,0.8216375839140552,0.7906525849921877,0.6833601429486846,0.5901152037072692,0.574902212127047,0.5291858157728061,0.523459786549654,0.4653056798630904,0.2575357814113343,0.2395889443334397,0.13551207342603405,0.09739974631527588,0.047641565121418275,0.04594292838786716,0.04070770784384863,0.04040234207807829,4.517150037886157e-16,2.3070293890566414e-16,1.3072167270560434e-16,8.966881216275366e-17,7.8680618920833e-17,3.9632508869675395e-17,3.787665397958969e-28,0.0],[0.48621451020456397,0.23140686972056332,0.19132868346238074,0.1564186541121058,0.1228504095390393,0.10968710721026276,0.031185373838207284,0.019695838942099093]]","[[0.008814608630728249,0.004426221296431852,0.0031819755366980554,0.002539769698559323,0.0015412507436471995,0.0013557915031355988,0.0012034035730182592,1.4646244008508463e-20],[0.0031678737231143482,0.0022366615428132367,0.001926415363539203,0.0017018288392990036,0.0014853472660865156,0.0007145344218770465,0.000334431450603619,3.47943256162427e-20]]",4.958512501561623,1.9885591234502602,0.6198140626952029,0.24856989043128253,0.3958920447737908,0.00023369093387444579,0.6957918855137463,0.019474244489537145,0.012000000000000002,0.008814608630728249,0.05063232452286833,0.0516828481578287,0.019993415800854564
1,SmallMLPDigits,MLP width sweep hidden=8 samples=128 lr=3e-03,1.0,0.003,Muon,0,0,128,32,2.3025407266205056,0.00020019676751248383,0.9140625,full_layer_input_activation,3.2894973765377054,1.5062800607233315,2.1558409526995908,0.0007584562327875672,0.0019578051082823223,"[[0.02345882407064861,0.005528194247865521,0.0036097516222870444,0.0024987905880142513,0.0016154826227535728,0.0009893823145638403,0.0006496534799892352,3.673798663215695e-20],[0.009211707245826409,0.007645954685370377,0.004712278809944777,0.0026839937164177888,0.0025087684861614984,0.0004183879848668245,7.185841614209679e-05,1.9218978123916212e-19]]","[[37.27316902417838,9.989306739407862,8.59407756015897,8.490419613138702,6.920265443389615,5.922554208656598,5.207288854125392,4.843319129030292,4.725283177507722,4.470028844882081,3.9637832064440928,3.64081394576259,3.4978975645527957,3.3523565254770316,3.0630953210534115,2.785640687023805,2.672757140605864,2.562500395800782,2.423334860511891,2.2837536804067957,2.269381696998064,2.1204273068506763,2.0215207913127244,1.966089779432288,1.8305740616826418,1.7829029462869612,1.7440066179843905,1.5729003993754536,1.5314262073466416,1.409748653000662,1.3952042702682184,1.2911685333048202,1.232254867574216,1.2084490212656358,1.129459682615861,1.03980746854664,0.99211271720542,0.9763191318884166,0.9054089329754051,0.8467020576525917,0.8216375839140552,0.7906525849921877,0.6833601429486846,0.5901152037072692,0.574902212127047,0.5291858157728061,0.523459786549654,0.4653056798630904,0.2575357814113343,0.2395889443334397,0.13551207342603405,0.09739974631527588,0.047641565121418275,0.04594292838786716,0.04070770784384863,0.04040234207807829,4.517150037886157e-16,2.3070293890566414e-16,1.3072167270560434e-16,8.966881216275366e-17,7.8680618920833e-17,3.9632508869675395e-17,3.787665397958969e-28,0.0],[0.48621451020456397,0.23140686972056332,0.19132868346238074,0.1564186541121058,0.1228504095390393,0.10968710721026276,0.031185373838207284,0.019695838942099093]]","[[0.003000000000000002,0.003000000000000001,0.003000000000000001,0.0030000000000000005,0.003,0.003,0.002999999999999999,0.002999999999999999],[0.0030000000000000022,0.0030000000000000014,0.0030000000000000014,0.0030000000000000014,0.0030000000000000014,0.0030000000000000005,0.0030000000000000005,0.0029999999999999996]]",7.999999999999998,7.999999999999993,0.9999999999999998,0.9999999999999991,0.9999999999999993,0.00019680908487255556,0.5859797895423816,0.016400757072712963,0.012000000000000002,0.0030000000000000022,0.05063232452286833,0.06510010490370735,0.020770040806382895
0,SmallMLPDigits,MLP width sweep hidden=8 samples=128 lr=3e-03,1.0,0.003,Adam,0,1,128,32,2.302502839566923,0.00015132260466854675,0.8359375,full_layer_input_activation,4.930131919670892,1.4421452710904723,3.425558340186305,0.0004836055025117856,0.0015179619155204765,"[[0.00895526829502032,0.008095286240687841,0.0044627539267133075,0.0028213728825311085,0.002380568276570231,0.002012108567961071,0.0016193338860290458,0.0008865670718833971],[0.009204432004109421,0.007011251751123394,0.0042419681721402305,0.003389200497947082,0.0020712982690854675,0.0017279670490832483,0.0003725363429428419,0.00012016908576911861]]","[[37.27316902417838,9.989306739407862,8.59407756015897,8.490419613138702,6.920265443389615,5.922554208656598,5.207288854125392,4.843319129030292,4.725283177507722,4.470028844882081,3.9637832064440928,3.64081394576259,3.4978975645527957,3.3523565254770316,3.0630953210534115,2.785640687023805,2.672757140605864,2.562500395800782,2.423334860511891,2.2837536804067957,2.269381696998064,2.1204273068506763,2.0215207913127244,1.966089779432288,1.8305740616826418,1.7829029462869612,1.7440066179843905,1.5729003993754536,1.5314262073466416,1.409748653000662,1.3952042702682184,1.2911685333048202,1.232254867574216,1.2084490212656358,1.129459682615861,1.03980746854664,0.99211271720542,0.9763191318884166,0.9054089329754051,0.8467020576525917,0.8216375839140552,0.7906525849921877,0.6833601429486846,0.5901152037072692,0.574902212127047,0.5291858157728061,0.523459786549654,0.4653056798630904,0.2575357814113343,0.2395889443334397,0.13551207342603405,0.09739974631527588,0.047641565121418275,0.04594292838786716,0.04070770784384863,0.04040234207807829,4.517150037886157e-16,2.3070293890566414e-16,1.3072167270560434e-16,8.966881216275366e-17,7.8680618920833e-17,3.9632508869675395e-17,3.787665397958969e-28,0.0],[0.594354298525784,0.2460571439877913,0.20136160807499748,0.17772344160301962,0.13031468442242816,0.12020888766141803,0.06357987561848849,0.019489827493451316]]","[[0.0074871484081055345,0.004580364714599077,0.0038955595309531506,0.0032697052669773373,0.0023724959963779065,0.002096778982227375,0.00157419230823634,0.0012520986088029617],[0.0030554659811281608,0.002450848248634208,0.0021010391330684992,0.001381622914513018,0.0013500407824257115,0.00112327193289821,0.0008757203368926193,0.0001977508600534839]]",6.082660077864112,2.4120516964982937,0.760332509733014,0.3015064620622867,0.3960090557528808,0.00014643595890553868,0.6486990107148788,0.012265735329183573,0.011938620472033755,0.0074871484081055345,0.05027813404153536,0.05161542346624888,0.022309707943350077
1,SmallMLPDigits,MLP width sweep hidden=8 samples=128 lr=3e-03,1.0,0.003,Muon,0,1,128,32,2.3024806378122684,0.00017282417458330812,0.84375,full_layer_input_activation,4.543385026208415,1.4834825520782737,3.0635391988755107,0.0005153875420065701,0.0015699826928855317,"[[0.011864930045792196,0.007782379944502531,0.0035082183788808893,0.0024034167064250576,0.00209557787214798,0.001708754975798216,0.001285172139285519,0.0008706652805033835],[0.007482054527743074,0.006952685270339855,0.0038429477573791856,0.003159318294500748,0.0018800599384460044,0.0016588293869553396,0.000321061800020438,7.309185708390974e-05]]","[[37.27316902417838,9.989306739407862,8.59407756015897,8.490419613138702,6.920265443389615,5.922554208656598,5.207288854125392,4.843319129030292,4.725283177507722,4.470028844882081,3.9637832064440928,3.64081394576259,3.4978975645527957,3.3523565254770316,3.0630953210534115,2.785640687023805,2.672757140605864,2.562500395800782,2.423334860511891,2.2837536804067957,2.269381696998064,2.1204273068506763,2.0215207913127244,1.966089779432288,1.8305740616826418,1.7829029462869612,1.7440066179843905,1.5729003993754536,1.5314262073466416,1.409748653000662,1.3952042702682184,1.2911685333048202,1.232254867574216,1.2084490212656358,1.129459682615861,1.03980746854664,0.99211271720542,0.9763191318884166,0.9054089329754051,0.8467020576525917,0.8216375839140552,0.7906525849921877,0.6833601429486846,0.5901152037072692,0.574902212127047,0.5291858157728061,0.523459786549654,0.4653056798630904,0.2575357814113343,0.2395889443334397,0.13551207342603405,0.09739974631527588,0.047641565121418275,0.04594292838786716,0.04070770784384863,0.04040234207807829,4.517150037886157e-16,2.3070293890566414e-16,1.3072167270560434e-16,8.966881216275366e-17,7.8680618920833e-17,3.9632508869675395e-17,3.787665397958969e-28,0.0],[0.5127628327215291,0.22897873293826002,0.19563932477362964,0.15927769584859675,0.12709690249992522,0.11550815939384378,0.035098145447647666,0.01923259035857524]]","[[0.003000000000000001,0.0030000000000000005,0.003,0.003,0.003,0.003,0.0029999999999999983,0.0029999999999999983],[0.0029999999999999996,0.002999999999999999,0.0029999999999999988,0.0029999999999999983,0.0029999999999999983,0.002999999999999998,0.002999999999999998,0.0029999999999999975]]",8.0,7.999999999999994,1.0,0.9999999999999992,0.9999999999999992,0.00017066749252741295,0.7448244132166791,0.014222291043951086,0.011999999999999995,0.003000000000000001,0.050278134041535354,0.06403441396355267,0.022886999882757664
0,SmallMLPDigits,MLP width sweep hidden=8 samples=128 lr=3e-03,1.0,0.003,Adam,0,2,128,32,2.3025214361331416,0.00011706391200494437,0.796875,full_layer_input_activation,4.26373937593964,1.3795112428878729,3.089319343472934,0.0003295213009925067,0.0009943645970548537,"[[0.011357495210362181,0.006442271271737806,0.005265324365425726,0.0033175918444508213,0.0016438076188564391,0.001195273847348368,0.0011158399422569857,0.0005838900627645434],[0.010833552610510626,0.004896593256533886,0.003982113329228548,0.0031477245653577994,0.0025706959803865914,0.000785476262674699,0.00037585170755481255,8.635498810274857e-05]]","[[37.27316902417838,9.989306739407862,8.59407756015897,8.490419613138702,6.920265443389615,5.922554208656598,5.207288854125392,4.843319129030292,4.725283177507722,4.470028844882081,3.9637832064440928,3.64081394576259,3.4978975645527957,3.3523565254770316,3.0630953210534115,2.785640687023805,2.672757140605864,2.562500395800782,2.423334860511891,2.2837536804067957,2.269381696998064,2.1204273068506763,2.0215207913127244,1.966089779432288,1.8305740616826418,1.7829029462869612,1.7440066179843905,1.5729003993754536,1.5314262073466416,1.409748653000662,1.3952042702682184,1.2911685333048202,1.232254867574216,1.2084490212656358,1.129459682615861,1.03980746854664,0.99211271720542,0.9763191318884166,0.9054089329754051,0.8467020576525917,0.8216375839140552,0.7906525849921877,0.6833601429486846,0.5901152037072692,0.574902212127047,0.5291858157728061,0.523459786549654,0.4653056798630904,0.2575357814113343,0.2395889443334397,0.13551207342603405,0.09739974631527588,0.047641565121418275,0.04594292838786716,0.04070770784384863,0.04040234207807829,4.517150037886157e-16,2.3070293890566414e-16,1.3072167270560434e-16,8.966881216275366e-17,7.8680618920833e-17,3.9632508869675395e-17,3.787665397958969e-28,0.0],[0.7278394915238484,0.27221295994182293,0.2052392779724335,0.18180288254438293,0.13539089216981062,0.11825361909507202,0.06851237841305052,0.00930960070342305]]","[[0.0074414906913641,0.004524737826999625,0.003519401352177529,0.002838229793582007,0.002653908069597509,0.002119435148495559,0.0018585625561081327,0.0015623143502176853],[0.0029999183485527633,0.002488748920004337,0.0023075125539837736,0.001954944818479013,0.0015128495356399592,0.0013927852416513698,0.0008363687728137898,0.00015632895921122638]]",6.271958012645597,2.6542521505698695,0.7839947515806996,0.3317815188212337,0.4219285182777178,0.0001295180607585299,0.5488205132027892,0.010830336722861714,0.011958821232688984,0.0074414906913641,0.050143610701368496,0.052898866164957745,0.02403908292762935
1,SmallMLPDigits,MLP width sweep hidden=8 samples=128 lr=3e-03,1.0,0.003,Muon,0,2,128,32,2.3024735755854016,0.0001563992262720859,0.8046875,full_layer_input_activation,4.452320703286709,1.470607218574815,3.035029352682491,0.00044524184284738,0.0012739980852525465,"[[0.00952468790791789,0.006349426002386312,0.005099309644168155,0.002991630057143241,0.0014574164412751423,0.0012490576491130244,0.0007699185152809954,0.0002932117721056737],[0.00892956008374991,0.0046812310480462424,0.004069060729776151,0.002956105251266395,0.002237713731287253,0.0008106569597898128,0.0003120179883845724,0.00014011655961304647]]","[[37.27316902417838,9.989306739407862,8.59407756015897,8.490419613138702,6.920265443389615,5.922554208656598,5.207288854125392,4.843319129030292,4.725283177507722,4.470028844882081,3.9637832064440928,3.64081394576259,3.4978975645527957,3.3523565254770316,3.0630953210534115,2.785640687023805,2.672757140605864,2.562500395800782,2.423334860511891,2.2837536804067957,2.269381696998064,2.1204273068506763,2.0215207913127244,1.966089779432288,1.8305740616826418,1.7829029462869612,1.7440066179843905,1.5729003993754536,1.5314262073466416,1.409748653000662,1.3952042702682184,1.2911685333048202,1.232254867574216,1.2084490212656358,1.129459682615861,1.03980746854664,0.99211271720542,0.9763191318884166,0.9054089329754051,0.8467020576525917,0.8216375839140552,0.7906525849921877,0.6833601429486846,0.5901152037072692,0.574902212127047,0.5291858157728061,0.523459786549654,0.4653056798630904,0.2575357814113343,0.2395889443334397,0.13551207342603405,0.09739974631527588,0.047641565121418275,0.04594292838786716,0.04070770784384863,0.04040234207807829,4.517150037886157e-16,2.3070293890566414e-16,1.3072167270560434e-16,8.966881216275366e-17,7.8680618920833e-17,3.9632508869675395e-17,3.787665397958969e-28,0.0],[0.5460640469239558,0.2327108898433366,0.20694005923306164,0.16504999522399055,0.14049212399771568,0.11778843986916802,0.036293651301823146,0.009052324622070273]]","[[0.0030000000000000014,0.0030000000000000014,0.0030000000000000014,0.0030000000000000005,0.0030000000000000005,0.0030000000000000005,0.0029999999999999996,0.0029999999999999996],[0.003000000000000003,0.0030000000000000022,0.003000000000000002,0.003000000000000001,0.0030000000000000005,0.0030000000000000005,0.0029999999999999996,0.0029999999999999996]]",7.999999999999998,7.999999999999993,0.9999999999999998,0.9999999999999991,0.9999999999999993,0.0001556133610239115,0.7448824620304232,0.012967780085325956,0.012000000000000002,0.003000000000000003,0.05014361070136848,0.06378941991023011,0.024554790928959846
0,SmallMLPDigits,MLP width sweep hidden=8 samples=128 lr=3e-03,1.0,0.003,Adam,0,3,128,32,2.3024848358231544,0.00014168868931685452,0.7890625,full_layer_input_activation,3.7238896151959624,1.336172532826944,2.7685810613495345,0.0004266561008745462,0.0010336763386310428,"[[0.01081886102415373,0.008159893957187542,0.0042001044602301705,0.003769218534199608,0.0021859055544139016,0.0011110419537755686,0.000980239659311028,5.0217741021333414e-20],[0.016369246226500975,0.0055566401234696805,0.0031931946665041074,0.002759667714055101,0.0018344738191117564,0.0015700427130501734,0.0001550535680593429,2.5039372937871776e-19]]","[[37.27316902417838,9.989306739407862,8.59407756015897,8.490419613138702,6.920265443389615,5.922554208656598,5.207288854125392,4.843319129030292,4.725283177507722,4.470028844882081,3.9637832064440928,3.64081394576259,3.4978975645527957,3.3523565254770316,3.0630953210534115,2.785640687023805,2.672757140605864,2.562500395800782,2.423334860511891,2.2837536804067957,2.269381696998064,2.1204273068506763,2.0215207913127244,1.966089779432288,1.8305740616826418,1.7829029462869612,1.7440066179843905,1.5729003993754536,1.5314262073466416,1.409748653000662,1.3952042702682184,1.2911685333048202,1.232254867574216,1.2084490212656358,1.129459682615861,1.03980746854664,0.99211271720542,0.9763191318884166,0.9054089329754051,0.8467020576525917,0.8216375839140552,0.7906525849921877,0.6833601429486846,0.5901152037072692,0.574902212127047,0.5291858157728061,0.523459786549654,0.4653056798630904,0.2575357814113343,0.2395889443334397,0.13551207342603405,0.09739974631527588,0.047641565121418275,0.04594292838786716,0.04070770784384863,0.04040234207807829,4.517150037886157e-16,2.3070293890566414e-16,1.3072167270560434e-16,8.966881216275366e-17,7.8680618920833e-17,3.9632508869675395e-17,3.787665397958969e-28,0.0],[0.8695690791719327,0.29859259148367906,0.2092581782686497,0.18580445422408418,0.1376616900202858,0.10422028759028402,0.05653676497880272,7.194710457216048e-18]]","[[0.006492554246062507,0.005129254126311628,0.0038936788114149338,0.003261458592971084,0.002603877639509665,0.002215690119387374,0.0019085693817635697,0.0015754411080514486],[0.00332227589166086,0.0028064654740423633,0.0021165451968990947,0.0020466937567948534,0.0012620040421347865,0.0011310053095376557,0.0010775398139763524,0.00011032002170499526]]",6.314264121283313,2.762099388545904,0.7892830151604141,0.345262423568238,0.4386101245656695,0.0001439971972695829,0.5145706442239014,0.012012200378249866,0.011987578689605805,0.006492554246062507,0.04997093490307019,0.05344072648640934,0.02563533280044794
1,SmallMLPDigits,MLP width sweep hidden=8 samples=128 lr=3e-03,1.0,0.003,Muon,0,3,128,32,2.3024440852911585,0.00016613415723831793,0.8203125,full_layer_input_activation,4.0194500163169105,1.4737011481299356,2.7396567687268436,0.0005481860140807373,0.0013536372265267771,"[[0.011882018373235182,0.006746769351807458,0.00384150962918335,0.0032684773704963147,0.0014474961418161816,0.0013233505886260878,0.0010966966537754683,0.0007662936379241784],[0.010832545405076222,0.004552656041227634,0.003985762410968585,0.002524834698145642,0.0019780425877317146,0.001163688512273524,5.256328281791486e-05,5.212272006399981e-06]]","[[37.27316902417838,9.989306739407862,8.59407756015897,8.490419613138702,6.920265443389615,5.922554208656598,5.207288854125392,4.843319129030292,4.725283177507722,4.470028844882081,3.9637832064440928,3.64081394576259,3.4978975645527957,3.3523565254770316,3.0630953210534115,2.785640687023805,2.672757140605864,2.562500395800782,2.423334860511891,2.2837536804067957,2.269381696998064,2.1204273068506763,2.0215207913127244,1.966089779432288,1.8305740616826418,1.7829029462869612,1.7440066179843905,1.5729003993754536,1.5314262073466416,1.409748653000662,1.3952042702682184,1.2911685333048202,1.232254867574216,1.2084490212656358,1.129459682615861,1.03980746854664,0.99211271720542,0.9763191318884166,0.9054089329754051,0.8467020576525917,0.8216375839140552,0.7906525849921877,0.6833601429486846,0.5901152037072692,0.574902212127047,0.5291858157728061,0.523459786549654,0.4653056798630904,0.2575357814113343,0.2395889443334397,0.13551207342603405,0.09739974631527588,0.047641565121418275,0.04594292838786716,0.04070770784384863,0.04040234207807829,4.517150037886157e-16,2.3070293890566414e-16,1.3072167270560434e-16,8.966881216275366e-17,7.8680618920833e-17,3.9632508869675395e-17,3.787665397958969e-28,0.0],[0.5497055968791865,0.2379176014958726,0.211701202410982,0.16123154868049133,0.14219290224810655,0.11968031557140206,0.03563799695524292,0.001398930992588553]]","[[0.0030000000000000027,0.0030000000000000022,0.0030000000000000022,0.003000000000000002,0.0030000000000000014,0.0030000000000000014,0.003,0.003],[0.0030000000000000014,0.0030000000000000005,0.0030000000000000005,0.0030000000000000005,0.0029999999999999996,0.002999999999999999,0.002999999999999999,0.002999999999999998]]",8.0,7.999999999999993,1.0,0.9999999999999991,0.9999999999999991,0.00016640375087133562,0.7082189632033664,0.013866979239277969,0.012,0.0030000000000000027,0.0499709349030702,0.0631492851058444,0.026160915847867727
0,SmallMLPDigits,MLP width sweep hidden=8 samples=128 lr=3e-03,1.0,0.003,Adam,0,4,128,32,2.3021213737471466,0.0001466944841199691,0.796875,full_layer_input_activation,4.260903612801554,1.318246387838199,3.243357634653897,0.00027853955206981186,0.0009491797195070084,"[[0.012208863059645164,0.008002418225173263,0.005073827298229079,0.0030601530047399917,0.0023436499725730192,0.001995019782248336,0.0007665253398486009,1.0477699611109222e-19],[0.013160011298380124,0.007183739479563737,0.004479961585362785,0.004029968312309198,0.0025980147864968655,0.0013414513330059163,0.0008635391603470739,3.9052006585171884e-19]]","[[37.27316902417838,9.989306739407862,8.59407756015897,8.490419613138702,6.920265443389615,5.922554208656598,5.207288854125392,4.843319129030292,4.725283177507722,4.470028844882081,3.9637832064440928,3.64081394576259,3.4978975645527957,3.3523565254770316,3.0630953210534115,2.785640687023805,2.672757140605864,2.562500395800782,2.423334860511891,2.2837536804067957,2.269381696998064,2.1204273068506763,2.0215207913127244,1.966089779432288,1.8305740616826418,1.7829029462869612,1.7440066179843905,1.5729003993754536,1.5314262073466416,1.409748653000662,1.3952042702682184,1.2911685333048202,1.232254867574216,1.2084490212656358,1.129459682615861,1.03980746854664,0.99211271720542,0.9763191318884166,0.9054089329754051,0.8467020576525917,0.8216375839140552,0.7906525849921877,0.6833601429486846,0.5901152037072692,0.574902212127047,0.5291858157728061,0.523459786549654,0.4653056798630904,0.2575357814113343,0.2395889443334397,0.13551207342603405,0.09739974631527588,0.047641565121418275,0.04594292838786716,0.04070770784384863,0.04040234207807829,4.517150037886157e-16,2.3070293890566414e-16,1.3072167270560434e-16,8.966881216275366e-17,7.8680618920833e-17,3.9632508869675395e-17,3.787665397958969e-28,0.0],[0.9856050905484911,0.32641230855357406,0.2171337533496027,0.19398544600060091,0.1401138946514726,0.09034223969298097,0.06007653603217655,6.405837303021832e-18]]","[[0.006903858835588307,0.005092013318942222,0.0036182437277434655,0.00304279534875114,0.0027535649871454774,0.002165966642124222,0.001974581562301948,0.0013357732619894962],[0.002922459964639027,0.002655921352112907,0.0023984979461306594,0.0021339934825879326,0.0013092699343276789,0.0011368175103241415,0.0009217811704862547,0.00044413941084996085]]",6.409068232862781,2.948470264093894,0.8011335291078476,0.3685587830117367,0.459243514708645,0.00014708446693614892,0.5333561894211946,0.012263263881954143,0.011993908665097655,0.006903858835588307,0.04960203208573043,0.052325454581524794,0.027223915793001652
1,SmallMLPDigits,MLP width sweep hidden=8 samples=128 lr=3e-03,1.0,0.003,Muon,0,4,128,32,2.302206368813448,0.00019869634687319504,0.78125,full_layer_input_activation,4.24297131088547,1.4984305583894582,2.82927252205015,0.0005961399180920819,0.001709517987526702,"[[0.015098904212980971,0.0063883158869532265,0.004516923028802279,0.003882943441529169,0.0023512922172307478,0.0016011497109804146,0.0012766681770570764,1.2688323082044483e-19],[0.009997841100854872,0.006641918235354205,0.004952291963313437,0.003602484127770464,0.002824227585011907,0.0010126677932909061,0.0004596610571675152,4.995738975436119e-19]]","[[37.27316902417838,9.989306739407862,8.59407756015897,8.490419613138702,6.920265443389615,5.922554208656598,5.207288854125392,4.843319129030292,4.725283177507722,4.470028844882081,3.9637832064440928,3.64081394576259,3.4978975645527957,3.3523565254770316,3.0630953210534115,2.785640687023805,2.672757140605864,2.562500395800782,2.423334860511891,2.2837536804067957,2.269381696998064,2.1204273068506763,2.0215207913127244,1.966089779432288,1.8305740616826418,1.7829029462869612,1.7440066179843905,1.5729003993754536,1.5314262073466416,1.409748653000662,1.3952042702682184,1.2911685333048202,1.232254867574216,1.2084490212656358,1.129459682615861,1.03980746854664,0.99211271720542,0.9763191318884166,0.9054089329754051,0.8467020576525917,0.8216375839140552,0.7906525849921877,0.6833601429486846,0.5901152037072692,0.574902212127047,0.5291858157728061,0.523459786549654,0.4653056798630904,0.2575357814113343,0.2395889443334397,0.13551207342603405,0.09739974631527588,0.047641565121418275,0.04594292838786716,0.04070770784384863,0.04040234207807829,4.517150037886157e-16,2.3070293890566414e-16,1.3072167270560434e-16,8.966881216275366e-17,7.8680618920833e-17,3.9632508869675395e-17,3.787665397958969e-28,0.0],[0.5658271848468621,0.2522633972903317,0.2274442698318222,0.1826740106425832,0.15306777654731749,0.12238442823232208,0.04045245566007872,9.616080156024489e-18]]","[[0.003000000000000002,0.0030000000000000005,0.0030000000000000005,0.003,0.0029999999999999996,0.0029999999999999996,0.002999999999999999,0.0029999999999999983],[0.0030000000000000014,0.0030000000000000014,0.003000000000000001,0.0030000000000000005,0.0029999999999999996,0.002999999999999999,0.002999999999999999,0.0029999999999999983]]",7.999999999999999,7.999999999999993,0.9999999999999999,0.9999999999999991,0.9999999999999991,0.00019382186561489161,0.7189050367894881,0.0161518221345743,0.012,0.003000000000000002,0.04960203208573043,0.062102170712693215,0.02774954098276794
