group_type,group,predictor,outcome,points,spearman,spearman_ci95_low,spearman_ci95_high,ci95_excludes_zero
All,All,nrUpdateFrac,delta_loss,3000,-0.26543701597789865,-0.29840227576308154,-0.2318392143306706,True
All,All,nrUpdateFrac,relative_loss_decrease,3000,-0.26531811850212567,-0.298285755265196,-0.2317181803400974,True
All,All,nrUpdateFrac,norm_rank_movement,3000,0.03958815312930561,0.003792582700551264,0.07528240151556206,True
All,All,nrUpdateFrac,norm_condition_movement,3000,0.001017194469015015,-0.034785017911293535,0.036816799360034964,False
All,All,stUpdateFrac,delta_loss,3000,-0.2150413779209056,-0.24892592137460284,-0.18063105381666292,True
All,All,stUpdateFrac,relative_loss_decrease,3000,-0.21480798654221905,-0.24869637521482546,-0.18039433268798022,True
All,All,stUpdateFrac,norm_rank_movement,3000,-0.0051745544922950975,-0.04096791065613993,0.030632065849590787,False
All,All,stUpdateFrac,norm_condition_movement,3000,-0.040168343383842516,-0.07586019714476842,-0.004373687398327704,True
All,All,update_flatness,delta_loss,3000,-0.17000450487534272,-0.20456042985429065,-0.13502536711174704,True
All,All,update_flatness,relative_loss_decrease,3000,-0.16969124382544865,-0.20425134070780682,-0.13470866776429385,True
All,All,update_flatness,norm_rank_movement,3000,-0.03443602555085493,-0.0701504866958727,0.001366604888302432,False
All,All,update_flatness,norm_condition_movement,3000,-0.0563485101631903,-0.09196393419540766,-0.020589099539435572,True
All,All,relative_update_fro_norm,delta_loss,3000,0.6913480869011404,0.672184318381118,0.7095861264389357,True
All,All,relative_update_fro_norm,relative_loss_decrease,3000,0.6907347639217521,0.6715403102356924,0.7090028090580296,True
All,All,relative_update_fro_norm,norm_rank_movement,3000,-0.14697385702014254,-0.18181811155448607,-0.1117609756333303,True
All,All,relative_update_fro_norm,norm_condition_movement,3000,-0.16547313286092458,-0.20008873389720858,-0.1304449554907664,True
All,All,update_grad_inner,delta_loss,3000,0.9989978336664259,0.998923452365593,0.9990670781803526,True
All,All,update_grad_inner,relative_loss_decrease,3000,0.9990033185559241,0.9989293441283748,0.999072184268234,True
All,All,update_grad_inner,norm_rank_movement,3000,-0.15952904261433803,-0.19422073717829463,-0.12443880314781655,True
All,All,update_grad_inner,norm_condition_movement,3000,-0.07006321267369028,-0.10559928053854521,-0.034348424200537256,True
All,All,update_grad_cosine,delta_loss,3000,-0.26447683105768477,-0.29746125861895106,-0.23086180519645405,True
All,All,update_grad_cosine,relative_loss_decrease,3000,-0.26422963013935147,-0.2972189820967794,-0.2306101808616675,True
All,All,update_grad_cosine,norm_rank_movement,3000,-0.104404806880217,-0.13968364426857632,-0.06886125019782352,True
All,All,update_grad_cosine,norm_condition_movement,3000,-0.18885215538327896,-0.22314440257435028,-0.15409304604978805,True
All,All,update_grad_per_update_norm,delta_loss,3000,0.8673844858774546,0.8582344533451677,0.8759833583813026,True
All,All,update_grad_per_update_norm,relative_loss_decrease,3000,0.8677710141453733,0.8586456320254439,0.8763464835070199,True
All,All,update_grad_per_update_norm,norm_rank_movement,3000,-0.14936015410213377,-0.18417626600213086,-0.1141697006627758,True
All,All,update_grad_per_update_norm,norm_condition_movement,3000,-0.01088540995356402,-0.046668168627181636,0.024925249245592238,False
family,SmallMLPDigits,nrUpdateFrac,delta_loss,3000,-0.26543701597789865,-0.29840227576308154,-0.2318392143306706,True
