group_type,problem_family,base_setting,source_algo,comparison,metric,n_pairs,numerator_better_pairs,mean_signed_ratio,signed_ratio_ci95_low,signed_ratio_ci95_high,geomean_ratio,ratio_ci95_low,ratio_ci95_high,positive_ratio_pairs,mean_delta,delta_ci95_low,delta_ci95_high
setting_source_all_checkpoints,MatrixFactorizationInput,MF input kappa=1e+02,Adam,switched_fresh_over_own_fresh,total_decrease,15,0,0.25184983000174976,0.16897131868936782,0.3347283413141317,0.20626330723207187,0.14340403023063192,0.2966761243870837,15,-9.497345497850772e-05,-0.00011098102787242445,-7.8965882084591e-05
setting_source_all_checkpoints,MatrixFactorizationInput,MF input kappa=1e+02,Adam,switched_fresh_over_own_fresh,loss_after,15,0,6.779018267916412,5.684176138875139,7.873860396957686,6.4112362629860575,5.249103936997371,7.830660416173809,15,9.497345497850772e-05,7.8965882084591e-05,0.00011098102787242445
setting_source_all_checkpoints,MatrixFactorizationInput,MF input kappa=1e+02,Adam,switched_fresh_over_own_fresh,recovery_after,15,0,2.5654651810342775,2.3623500696303936,2.7685802924381613,2.5339476520447746,2.31118954455419,2.7781757313815496,15,0.5198991526690814,0.45845928450282114,0.5813390208353416
setting_source_all_checkpoints,MatrixFactorizationInput,MF input kappa=1e+02,Adam,own_fresh_over_own_preserved,total_decrease,15,5,0.9977631736955667,0.9929290956167072,1.0025972517744262,0.9977201126510237,0.9924088281925976,1.003059822635097,15,-3.031456065128959e-07,-9.114706901524235e-07,3.051794771266318e-07
setting_source_all_checkpoints,MatrixFactorizationInput,MF input kappa=1e+02,Adam,own_fresh_over_own_preserved,loss_after,15,5,1.0140877843831317,0.9812577436136081,1.0469178251526554,1.0122651177105553,0.9785355159092536,1.0471573610503373,15,3.0314560651289693e-07,-3.0517947712662967e-07,9.114706901524235e-07
setting_source_all_checkpoints,MatrixFactorizationInput,MF input kappa=1e+02,Adam,own_fresh_over_own_preserved,recovery_after,15,5,1.0011008632219107,0.987869246478806,1.0143324799650155,1.0007866255408255,0.9865619370137901,1.0152164119498082,15,0.0006785573143456847,-0.0038785516706753946,0.005235666299366764
setting_source_all_checkpoints,MatrixFactorizationInput,MF input kappa=1e+02,Muon,switched_fresh_over_own_fresh,total_decrease,15,15,10.512317949248805,9.93658050247075,11.08805539602686,10.456532457140428,9.859627151025558,11.08957462107056,15,0.00012338223880677267,0.00012174717965291991,0.00012501729796062544
setting_source_all_checkpoints,MatrixFactorizationInput,MF input kappa=1e+02,Muon,switched_fresh_over_own_fresh,loss_after,15,15,0.12177594083877444,0.10958904429490524,0.13396283738264364,0.11978234822372946,0.10817792355441082,0.13263159870853125,15,-0.00012338223880677267,-0.00012501729796062544,-0.00012174717965291991
setting_source_all_checkpoints,MatrixFactorizationInput,MF input kappa=1e+02,Muon,switched_fresh_over_own_fresh,recovery_after,15,15,0.35606608752059493,0.3398547716315341,0.37227740340965576,0.35479106648173925,0.33817588757578865,0.3722225784859947,15,-0.6165104183176542,-0.6321498018242034,-0.6008710348111049
setting_source_all_checkpoints,MatrixFactorizationInput,MF input kappa=1e+02,Muon,own_fresh_over_own_preserved,total_decrease,15,0,1.0,1.0,1.0,1.0,1.0,1.0,15,0.0,0.0,0.0
setting_source_all_checkpoints,MatrixFactorizationInput,MF input kappa=1e+02,Muon,own_fresh_over_own_preserved,loss_after,15,0,1.0,1.0,1.0,1.0,1.0,1.0,15,0.0,0.0,0.0
setting_source_all_checkpoints,MatrixFactorizationInput,MF input kappa=1e+02,Muon,own_fresh_over_own_preserved,recovery_after,15,0,1.0,1.0,1.0,1.0,1.0,1.0,15,0.0,0.0,0.0
setting_source_all_checkpoints,MatrixFactorizationInput,MF input kappa=1e+05,Adam,switched_fresh_over_own_fresh,total_decrease,15,0,0.23870570494636534,0.15737043835741882,0.32004097153531186,0.18943451602513836,0.12704201341709492,0.2824690422991172,15,-9.030624510445697e-05,-0.00010536325738380054,-7.52492328251134e-05
setting_source_all_checkpoints,MatrixFactorizationInput,MF input kappa=1e+05,Adam,switched_fresh_over_own_fresh,loss_after,15,0,8.960245369304305,7.511707562726172,10.408783175882439,8.506730423962553,7.038843317206494,10.280732109645736,15,9.030624510445697e-05,7.52492328251134e-05,0.00010536325738380054
setting_source_all_checkpoints,MatrixFactorizationInput,MF input kappa=1e+05,Adam,switched_fresh_over_own_fresh,recovery_after,15,0,2.99912866143232,2.7763163142224467,3.221941008642193,2.9676476303255805,2.727703291850422,3.2286988412887747,15,0.5696062594108081,0.5077350098402111,0.6314775089814051
setting_source_all_checkpoints,MatrixFactorizationInput,MF input kappa=1e+05,Adam,own_fresh_over_own_preserved,total_decrease,15,5,0.9999330457689495,0.992346874961314,1.007519216576585,0.999828502813767,0.9915811923374337,1.0081444089135538,15,-7.523615568051612e-08,-8.236267055460262e-07,6.731543941849939e-07
setting_source_all_checkpoints,MatrixFactorizationInput,MF input kappa=1e+05,Adam,own_fresh_over_own_preserved,loss_after,15,5,1.02124293668289,0.9492534029766199,1.09323247038916,1.012464510624,0.9396848632598458,1.0908810233645692,15,7.523615568051567e-08,-6.731543941849949e-07,8.236267055460263e-07
setting_source_all_checkpoints,MatrixFactorizationInput,MF input kappa=1e+05,Adam,own_fresh_over_own_preserved,recovery_after,15,5,1.0004014116335618,0.974899324721687,1.0259034985454365,0.9992135582808703,0.9716493395547781,1.027559732104393,15,-0.00039203203598022764,-0.007584227983777838,0.006800163911817382
setting_source_all_checkpoints,MatrixFactorizationInput,MF input kappa=1e+05,Muon,switched_fresh_over_own_fresh,total_decrease,15,15,12.990625675050103,11.955553795345509,14.025697554754696,12.84997007054135,11.821759626302136,13.967610240224346,15,0.00011877568487309976,0.00011624759251098303,0.0001213037772352165
setting_source_all_checkpoints,MatrixFactorizationInput,MF input kappa=1e+05,Muon,switched_fresh_over_own_fresh,loss_after,15,15,0.08175265680323358,0.07072277232666352,0.09278254127980365,0.07901451807475546,0.06791954375265442,0.09192190821131446,15,-0.00011877568487309976,-0.0001213037772352165,-0.00011624759251098303
setting_source_all_checkpoints,MatrixFactorizationInput,MF input kappa=1e+05,Muon,switched_fresh_over_own_fresh,recovery_after,15,15,0.28797107829091123,0.2714927191738795,0.30444943740794295,0.2862629820313787,0.2689119619840189,0.30473354281788106,15,-0.6864653635435081,-0.7034033207940276,-0.6695274062929886
setting_source_all_checkpoints,MatrixFactorizationInput,MF input kappa=1e+05,Muon,own_fresh_over_own_preserved,total_decrease,15,0,1.0,1.0,1.0,1.0,1.0,1.0,15,0.0,0.0,0.0
