run_id,problem_family,setting,kappa,lr,algo,seed,step,num_samples,train_batch_size,loss,delta_loss,recovery_error,diagnostic_A_definition,nrG,stA,condition_score,delta_gd_pred,delta_spec_pred,sigma_G,sigma_A,sigma_update,nrUpdate,stUpdate,nrUpdateFrac,stUpdateFrac,update_flatness,update_grad_inner,update_grad_cosine,update_grad_per_update_norm,update_fro_norm,update_op_norm,relative_update_fro_norm,mean_relative_layer_update_norm,elapsed_s,filters,kernel_size,stride
0,MNISTPatchClassifier,MNIST patch filters=16 kernel=5 stride=2 lr=3e-03,1.0,0.003,Adam,0,0,512,64,2.302608185233685,5.3153569490316244e-05,0.921875,full_patch_and_classifier_activation,1.9619368244807986,1.4010899407330044,1.3976246538522399,3.788011494785123e-05,5.258356359246644e-05,"[[0.002713090124039969,0.0006311382556221938,0.00036926149608135537,0.00021071555044575177,0.00013860304495573922,9.736205025443198e-05,8.03927414716356e-05,5.3662549773046555e-05,4.485077777952613e-05,4.089344539272923e-05,3.5748926272728296e-05,2.424132162115283e-05,1.9876450792649016e-05,1.4775450855833148e-05,1.2814724244473194e-05,4.545979004716907e-06],[0.0040133971852713965,0.0002890601646633408,0.00015048367665029737,0.0001284199059421552,6.712712415310378e-05,5.3274745962441433e-05,2.843561799191253e-05,1.980884766489411e-05,1.2407180566818698e-05,1.6194180708946867e-19]]","[[395.31136966712677,195.45029926973734,165.68082986607993,123.29519539466884,97.27393037028926,93.04241616052647,74.42487988933318,61.26353996202877,50.047678244470596,49.44139343827181,45.49281440429085,37.896204647816965,35.80561069723701,30.139722484383505,30.030811852001257,28.715711501690123,25.87090471024154,24.38340032625083,23.78212810168266,21.516353767964723,19.78051422772709,18.79389441253032,16.790303168534358,15.691367805256563,13.979570025804959],[0.6547431028310383,0.030688302579284045,0.026920043265603016,0.019207895121904673,0.013670849387123495,0.010939908370277657,0.009190408323025746,0.007398747931022547,0.006698172593123833,0.005208495005493353,0.005019374414764948,0.004503816424353507,0.0038184876385234973,0.0030719487531786793,0.0026749563513426794,0.0026383831452815357]]","[[0.012396666707427485,0.003035222420287944,0.0016813853062933527,0.001184005776964553,5.283938833710709e-07,3.267358847654854e-07,3.006962250795889e-07,1.5382828702954957e-07,1.2804961563914784e-07,1.0247822697898248e-07,4.912151177687254e-08,2.5819819507747346e-08,1.5842492022863224e-08,1.322446875848426e-08,7.804233339318067e-09,5.50736529697778e-09],[0.0077056688947321145,0.002230920766582331,0.001589594823368436,4.889325512945395e-07,3.4115838320116405e-07,6.323784481199059e-08,3.8196841827821294e-08,1.595384320640571e-08,7.422194636587634e-09,1.0964787956429588e-09]]",1.9952016114649345,1.1069204435349131,0.16195133736574274,0.09030206183124775,0.5548426593734818,5.489567395230697e-05,0.729147729157789,0.003588642470444107,0.015297058540778358,0.012396666707427485,0.06274127699601431,0.06391748852462073,0.053126333048567176,16,5,2
1,MNISTPatchClassifier,MNIST patch filters=16 kernel=5 stride=2 lr=3e-03,1.0,0.003,Muon,0,0,512,64,2.302608185233685,2.739254755068643e-05,0.921875,full_patch_and_classifier_activation,1.9619368244807986,1.4010899407330044,1.3976246538522399,3.788011494785123e-05,5.258356359246644e-05,"[[0.002713090124039969,0.0006311382556221938,0.00036926149608135537,0.00021071555044575177,0.00013860304495573922,9.736205025443198e-05,8.03927414716356e-05,5.3662549773046555e-05,4.485077777952613e-05,4.089344539272923e-05,3.5748926272728296e-05,2.424132162115283e-05,1.9876450792649016e-05,1.4775450855833148e-05,1.2814724244473194e-05,4.545979004716907e-06],[0.0040133971852713965,0.0002890601646633408,0.00015048367665029737,0.0001284199059421552,6.712712415310378e-05,5.3274745962441433e-05,2.843561799191253e-05,1.980884766489411e-05,1.2407180566818698e-05,1.6194180708946867e-19]]","[[395.31136966712677,195.45029926973734,165.68082986607993,123.29519539466884,97.27393037028926,93.04241616052647,74.42487988933318,61.26353996202877,50.047678244470596,49.44139343827181,45.49281440429085,37.896204647816965,35.80561069723701,30.139722484383505,30.030811852001257,28.715711501690123,25.87090471024154,24.38340032625083,23.78212810168266,21.516353767964723,19.78051422772709,18.79389441253032,16.790303168534358,15.691367805256563,13.979570025804959],[0.6547431028310383,0.030688302579284045,0.026920043265603016,0.019207895121904673,0.013670849387123495,0.010939908370277657,0.009190408323025746,0.007398747931022547,0.006698172593123833,0.005208495005493353,0.005019374414764948,0.004503816424353507,0.0038184876385234973,0.0030719487531786793,0.0026749563513426794,0.0026383831452815357]]","[[0.0030000000000000027,0.0030000000000000022,0.0030000000000000022,0.003000000000000002,0.0030000000000000014,0.0030000000000000014,0.0030000000000000014,0.0030000000000000014,0.0030000000000000005,0.0030000000000000005,0.0030000000000000005,0.003,0.003,0.0029999999999999996,0.0029999999999999996,0.002999999999999999],[0.0030000000000000014,0.0030000000000000014,0.0030000000000000005,0.0030000000000000005,0.0030000000000000005,0.0030000000000000005,0.0030000000000000005,0.0030000000000000005,0.002999999999999999,0.002999999999999999]]",13.0,12.99999999999999,0.9999999999999999,0.9999999999999991,0.9999999999999993,2.776316201242288e-05,0.3687621460515325,0.001814934677697207,0.01529705854077836,0.0030000000000000027,0.06274127699601433,0.06702630215430147,0.08257975010201335,16,5,2
0,MNISTPatchClassifier,MNIST patch filters=16 kernel=5 stride=2 lr=3e-03,1.0,0.003,Adam,0,1,512,64,2.3025546894036375,5.731529004426861e-05,0.921875,full_patch_and_classifier_activation,1.7492571439111808,1.400831282466556,1.2851216017025915,3.404526761385193e-05,4.814420086668462e-05,"[[0.003714953358814515,0.000584569683986381,0.0003450086367693994,0.0002846733476064071,0.00014265852542507055,6.772701528640987e-05,6.448415696928702e-05,5.428893503036138e-05,5.150039252484996e-05,4.1956210750083525e-05,3.196164530613775e-05,2.669570305663996e-05,2.0138090300530118e-05,1.4755949685949791e-05,1.1326115508721065e-05,7.957388171503267e-06],[0.0038623958960118314,0.0002345483723352203,0.00016831608463966844,0.0001556240054966064,6.80566177675819e-05,4.9992304720467506e-05,3.791828132261194e-05,2.8124901190908638e-05,1.905623318750477e-05,2.575980127221133e-19]]","[[395.31136966712677,195.45029926973734,165.68082986607993,123.29519539466884,97.27393037028926,93.04241616052647,74.42487988933318,61.26353996202877,50.047678244470596,49.44139343827181,45.49281440429085,37.896204647816965,35.80561069723701,30.139722484383505,30.030811852001257,28.715711501690123,25.87090471024154,24.38340032625083,23.78212810168266,21.516353767964723,19.78051422772709,18.79389441253032,16.790303168534358,15.691367805256563,13.979570025804959],[0.664552837218659,0.030917098968012462,0.024343243111792853,0.019388193826416898,0.012235012725036102,0.010616683764068697,0.008630954613004697,0.007941649227160015,0.006952816027109978,0.00510961078295271,0.00483806303961164,0.004691223164255238,0.004052026179562314,0.0034095635877514512,0.003056703864519527,0.002518584036837751]]","[[0.012903532079416937,0.0019660686937672534,0.0012694940414708835,0.0007265689611410409,0.0004630666147058392,0.0003227742219738782,0.00021389427981515714,0.0001755058647855628,0.00015076392703906391,0.00012500753250768433,7.753996114945566e-05,5.164963764520964e-05,3.963059949700558e-05,3.329897025960709e-05,8.983542265534527e-06,6.954288369255296e-06],[0.0076945060096084575,0.001157111342232936,0.0011089768948791096,0.0007356685167071769,0.00037306747570708905,0.0002402330031376307,9.976635071274898e-05,4.3414380844991714e-05,2.2478188858187255e-05,1.2181359802944765e-05]]",2.0484259572229155,1.0474013980309431,0.16759908332633053,0.08526379839251888,0.5116622201778831,5.7338829024352326e-05,0.6889314064479305,0.0037365916267241847,0.0153452222646606,0.012903532079416937,0.0628688958755774,0.06328839291391514,0.11478800000622869,16,5,2
1,MNISTPatchClassifier,MNIST patch filters=16 kernel=5 stride=2 lr=3e-03,1.0,0.003,Muon,0,1,512,64,2.3025709338958693,3.021338310738031e-05,0.921875,full_patch_and_classifier_activation,1.7691145510467066,1.401070400750068,1.30296790605321,3.4011023351062705e-05,4.9175043511493226e-05,"[[0.003744311806996428,0.0005678736684606532,0.00041480965534040806,0.0002812386975880684,0.0001199699105664476,8.294529555095456e-05,7.02742825242637e-05,4.490523161119032e-05,4.4666138614131216e-05,3.9454205747962496e-05,3.728727769462947e-05,2.3017763863635715e-05,1.7972536365419347e-05,1.3456533303534906e-05,1.1211120083233774e-05,7.270797482761896e-06],[0.003769441822080134,0.00025062943533547724,0.0001772233674032101,0.00016428217232076323,7.271470849152278e-05,4.8023785937820064e-05,3.992333101749579e-05,2.9009468619716097e-05,1.6090740091687425e-05,2.209752335546249e-19]]","[[395.31136966712677,195.45029926973734,165.68082986607993,123.29519539466884,97.27393037028926,93.04241616052647,74.42487988933318,61.26353996202877,50.047678244470596,49.44139343827181,45.49281440429085,37.896204647816965,35.80561069723701,30.139722484383505,30.030811852001257,28.715711501690123,25.87090471024154,24.38340032625083,23.78212810168266,21.516353767964723,19.78051422772709,18.79389441253032,16.790303168534358,15.691367805256563,13.979570025804959],[0.6493341205437164,0.03035120126663297,0.025306000797354355,0.02055835767404552,0.01348073503237751,0.010760121013048166,0.008871275123437616,0.0073598909240314,0.0070471578422606025,0.005320494292383968,0.005107655192069301,0.004336288186224338,0.00388447202427155,0.003097649833730608,0.002795010456657845,0.0026370698952610993]]","[[0.003000000000000003,0.0030000000000000014,0.0030000000000000014,0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003,0.003,0.0029999999999999988,0.0029999999999999988,0.0029999999999999988,0.0029999999999999983,0.0029999999999999983,0.0029999999999999983,0.0029999999999999983],[0.0030000000000000022,0.0030000000000000014,0.003000000000000001,0.0030000000000000005,0.0030000000000000005,0.003,0.003,0.0029999999999999996,0.0029999999999999996,0.0029999999999999996]]",13.0,12.999999999999979,0.9999999999999999,0.9999999999999984,0.9999999999999984,3.0264011259274654e-05,0.36758573578144693,0.00197842030731581,0.015297058540778358,0.003000000000000003,0.0628688958755774,0.06714153981584231,0.14308091602288187,16,5,2
0,MNISTPatchClassifier,MNIST patch filters=16 kernel=5 stride=2 lr=3e-03,1.0,0.003,Adam,0,2,512,64,2.302584327825583,4.942365049220854e-05,0.884765625,full_patch_and_classifier_activation,1.82753573115171,1.4003431987484969,1.310282228748139,3.298030398771049e-05,4.382271328255918e-05,"[[0.0030637107170131423,0.0006885589834147875,0.0002733258204064179,0.00021705833794063997,0.000163910830899189,0.000112186271958755,8.726308335338287e-05,5.4753513345013845e-05,4.41814320026139e-05,3.278256589335279e-05,2.3757613991214933e-05,2.0656607251013583e-05,1.5482013464676224e-05,1.024731847019591e-05,9.336004683615305e-06,8.425804693736439e-06],[0.004303378840113729,0.00024045146052544791,0.00018422758260890445,8.317448330015035e-05,5.446579424504435e-05,4.30063475003105e-05,3.557096318668492e-05,2.853929195393628e-05,1.3473221342168359e-05,3.420880144710503e-19]]","[[395.31136966712677,195.45029926973734,165.68082986607993,123.29519539466884,97.27393037028926,93.04241616052647,74.42487988933318,61.26353996202877,50.047678244470596,49.44139343827181,45.49281440429085,37.896204647816965,35.80561069723701,30.139722484383505,30.030811852001257,28.715711501690123,25.87090471024154,24.38340032625083,23.78212810168266,21.516353767964723,19.78051422772709,18.79389441253032,16.790303168534358,15.691367805256563,13.979570025804959],[0.7514829915771412,0.036689658200892816,0.020336750360032824,0.018770334935015186,0.011789648093889877,0.010390434031401517,0.007786179493157682,0.007423818017734798,0.00676994327304865,0.005191013268543066,0.004919531551748054,0.004303182256954805,0.004051353080347836,0.0031256587832527182,0.003054606309983122,0.0020928510812263782]]","[[0.012779701649738151,0.0015879566092779818,0.0012450179756101948,0.0007869870439375887,0.0005695318717362189,0.00043194714879359866,0.00031019995176472567,0.00022479257014253184,0.0001738923712856324,0.0001464332256201026,8.359588320291375e-05,6.873900148111787e-05,5.090014806428356e-05,4.151820718488386e-05,3.206792787221682e-05,1.6539915986084697e-05],[0.00806268089922642,0.0011908631684985813,0.0007350295139206668,0.0005990232127177675,0.0004765992657726335,0.0004016891336043003,0.00019063266066167967,0.00013585441127019542,5.5158077293595186e-05,3.329614094902138e-05]]",2.0610091178513956,1.037850885204926,0.16786543318081237,0.08441310668800672,0.5035966967805356,5.0355987009779004e-05,0.611611458758652,0.003274359246493889,0.015378882773385076,0.012779701649738151,0.06274648101287693,0.06400462648966006,0.17425654106773436,16,5,2
1,MNISTPatchClassifier,MNIST patch filters=16 kernel=5 stride=2 lr=3e-03,1.0,0.003,Muon,0,2,512,64,2.3026235187038817,2.864426968152145e-05,0.921875,full_patch_and_classifier_activation,1.7528906576335017,1.4009490660503443,1.2841991198081066,3.2944185479346713e-05,4.615988817697169e-05,"[[0.0035538989739356793,0.000582393820876059,0.0003018380688305074,0.0002166893721490304,0.0001742464645629745,0.0001234579662878075,6.643411210720047e-05,6.190199087621279e-05,4.592834508989052e-05,3.168538664453106e-05,2.6047032824616248e-05,2.153244607622292e-05,1.8400500294618494e-05,1.3448737790153225e-05,8.955578308292977e-06,6.867854847119588e-06],[0.00376509024666639,0.00027442640465161016,0.0001522420012273685,9.37570773697962e-05,6.510691290034647e-05,5.115747958465919e-05,4.518796965900543e-05,2.59332207924371e-05,1.5330938686831288e-05,2.2685161490405115e-19]]","[[395.31136966712677,195.45029926973734,165.68082986607993,123.29519539466884,97.27393037028926,93.04241616052647,74.42487988933318,61.26353996202877,50.047678244470596,49.44139343827181,45.49281440429085,37.896204647816965,35.80561069723701,30.139722484383505,30.030811852001257,28.715711501690123,25.87090471024154,24.38340032625083,23.78212810168266,21.516353767964723,19.78051422772709,18.79389441253032,16.790303168534358,15.691367805256563,13.979570025804959],[0.6586772778111735,0.030668543689698496,0.02389843753778687,0.021051136177799468,0.013566190369824836,0.010642188554839555,0.008639877018094858,0.007437575468966355,0.0071250717760515895,0.005488904785305469,0.005159732792471445,0.004229132123186334,0.003695025290830049,0.0031928936468654844,0.002803284184718674,0.002667613617016792]]","[[0.0030000000000000027,0.0030000000000000027,0.0030000000000000027,0.0030000000000000014,0.0030000000000000014,0.0030000000000000014,0.0030000000000000014,0.003000000000000001,0.0030000000000000005,0.0030000000000000005,0.0030000000000000005,0.003,0.0029999999999999996,0.0029999999999999996,0.0029999999999999996,0.0029999999999999975],[0.003000000000000001,0.0030000000000000005,0.0030000000000000005,0.0030000000000000005,0.003,0.003,0.003,0.003,0.0029999999999999988,0.0029999999999999988]]",13.000000000000002,12.999999999999988,1.0000000000000002,0.9999999999999991,0.9999999999999989,2.922587670911808e-05,0.364599303787792,0.001910555328739102,0.015297058540778355,0.0030000000000000027,0.06274648101287691,0.06687519630805351,0.20131533313542604,16,5,2
0,MNISTPatchClassifier,MNIST patch filters=16 kernel=5 stride=2 lr=3e-03,1.0,0.003,Adam,0,3,512,64,2.30248225764372,5.532270528663119e-05,0.884765625,full_patch_and_classifier_activation,1.690134094565379,1.399642026774723,1.2381640630577446,3.112190829451546e-05,4.189852171951411e-05,"[[0.003201099523072561,0.0005421991618132357,0.00025794824435952814,0.00017736000174415652,0.00010530837233349458,9.828763373020848e-05,5.751604828041045e-05,5.358191877074614e-05,3.938114754003248e-05,3.2546747890380495e-05,2.1461358667646442e-05,1.8544505488278606e-05,1.69510156764858e-05,1.559951038419881e-05,1.0212491902071794e-05,5.606692081510607e-06],[0.004793150470428593,0.0002848677370522962,0.00018907790245695515,0.00012105071325990084,8.67415788465301e-05,4.972721430484104e-05,2.9970851133155247e-05,1.959715300783552e-05,1.3613450034787732e-05,3.133421091027028e-19]]","[[395.31136966712677,195.45029926973734,165.68082986607993,123.29519539466884,97.27393037028926,93.04241616052647,74.42487988933318,61.26353996202877,50.047678244470596,49.44139343827181,45.49281440429085,37.896204647816965,35.80561069723701,30.139722484383505,30.030811852001257,28.715711501690123,25.87090471024154,24.38340032625083,23.78212810168266,21.516353767964723,19.78051422772709,18.79389441253032,16.790303168534358,15.691367805256563,13.979570025804959],[0.8618585791228817,0.03696432858929281,0.017618127420177272,0.015959252708342118,0.011506063320793064,0.010225175795258374,0.008510614173466519,0.006842014041247676,0.005844656483354597,0.005009737954602656,0.004814249124067161,0.004085899129856494,0.003296570361744153,0.003131765229418945,0.0026322735205028987,0.001853663517231761]]","[[0.012933133126885949,0.0020536153753094415,0.0016950804088862988,0.0012959412659033992,0.0007694064139276286,0.0003518354174974907,0.00022746576046042677,0.0001858606819122346,0.00013721893586525317,0.00012140945003908475,6.672383136679739e-05,5.118620159334079e-05,3.8805011234752615e-05,3.339890798334782e-05,2.746924577981422e-05,1.5439382211371662e-05],[0.007768184010263694,0.0014812816128640307,0.001170919571770368,0.0005710066802259473,0.00043005567468002576,0.00027334678467132384,0.0002182324712564907,0.000165022475692847,0.00010094918102057764,4.7002037239425216e-05]]",2.2883804160489394,1.0638626477225475,0.18642005823913976,0.08655829432666595,0.4649263223955661,5.2522467210159486e-05,0.5814881283383068,0.003380008564398367,0.01553915210848241,0.012933133126885949,0.06299078938199434,0.06355310524019053,0.233280458021909,16,5,2
1,MNISTPatchClassifier,MNIST patch filters=16 kernel=5 stride=2 lr=3e-03,1.0,0.003,Muon,0,3,512,64,2.3025343417919855,2.821920136186762e-05,0.921875,full_patch_and_classifier_activation,1.958809352416959,1.4010500418274219,1.4236017999381485,3.211977887739097e-05,4.863117368172812e-05,"[[0.0029536286820862154,0.0006105221981207197,0.00027465528243669887,0.00025463933528781826,0.00020971088973691654,0.00010027945224868617,7.43982668102707e-05,6.409258947233811e-05,4.751624409187935e-05,2.9585906693508846e-05,2.8577710846067845e-05,2.2623759533852886e-05,1.8788590149310293e-05,1.5341578686527304e-05,1.0019796353922648e-05,5.950628067034338e-06],[0.003641131584167795,0.0003077357910509542,0.0002161486715528796,0.00014141977652068203,0.00010375690891778545,3.9465484341355667e-05,3.4377651449401144e-05,2.605709834201524e-05,1.3485192972820265e-05,1.533215777228463e-19]]","[[395.31136966712677,195.45029926973734,165.68082986607993,123.29519539466884,97.27393037028926,93.04241616052647,74.42487988933318,61.26353996202877,50.047678244470596,49.44139343827181,45.49281440429085,37.896204647816965,35.80561069723701,30.139722484383505,30.030811852001257,28.715711501690123,25.87090471024154,24.38340032625083,23.78212810168266,21.516353767964723,19.78051422772709,18.79389441253032,16.790303168534358,15.691367805256563,13.979570025804959],[0.6467117560598145,0.030866022319181723,0.023441883260534674,0.02182930248046183,0.013130225844738741,0.01010249247814214,0.008322951440021417,0.007388981539438296,0.007048918526877317,0.00542932527455029,0.004992408895894213,0.004130867000275789,0.0038112956745727216,0.0033022581895618287,0.0029594954769054356,0.0025880217529970755]]","[[0.0030000000000000022,0.0030000000000000014,0.003000000000000001,0.003000000000000001,0.003000000000000001,0.0030000000000000005,0.003,0.003,0.003,0.003,0.0029999999999999996,0.002999999999999999,0.002999999999999999,0.002999999999999999,0.0029999999999999975,0.0029999999999999975],[0.003000000000000002,0.003000000000000001,0.0030000000000000005,0.003,0.003,0.003,0.003,0.0029999999999999996,0.002999999999999999,0.0029999999999999988]]",13.000000000000004,12.999999999999982,1.0000000000000002,0.9999999999999987,0.9999999999999984,2.773172720981237e-05,0.38017122582435603,0.0018128797203649392,0.015297058540778355,0.0030000000000000022,0.06299078938199436,0.06701779693660645,0.26156683312729,16,5,2
0,MNISTPatchClassifier,MNIST patch filters=16 kernel=5 stride=2 lr=3e-03,1.0,0.003,Adam,0,4,512,64,2.3025027608172595,6.682775799005114e-05,0.8828125,full_patch_and_classifier_activation,1.4601552108283207,1.3989533113660855,1.0794528826068654,3.6268003481935496e-05,4.371179377077287e-05,"[[0.004538743013456825,0.0004965203569757225,0.00030502993004086584,0.00022333399727702966,0.00010166042666887635,7.470885329369634e-05,7.15283565405851e-05,4.3921185945962114e-05,3.745847292151203e-05,2.9941730642105672e-05,2.1611765833925603e-05,1.8838381665982786e-05,1.3873121624579744e-05,1.1541424951359188e-05,7.062526345452032e-06,3.9312350079068455e-06],[0.006253480357675065,0.00020491637756506512,0.00015297382310779236,0.00011031967349457296,5.760696226593768e-05,3.945123124467443e-05,2.7376279717654126e-05,1.926513812089708e-05,1.3705018854581694e-05,4.772263160928108e-19]]","[[395.31136966712677,195.45029926973734,165.68082986607993,123.29519539466884,97.27393037028926,93.04241616052647,74.42487988933318,61.26353996202877,50.047678244470596,49.44139343827181,45.49281440429085,37.896204647816965,35.80561069723701,30.139722484383505,30.030811852001257,28.715711501690123,25.87090471024154,24.38340032625083,23.78212810168266,21.516353767964723,19.78051422772709,18.79389441253032,16.790303168534358,15.691367805256563,13.979570025804959],[1.0395019168423558,0.033713316486175544,0.01580045333707154,0.013537647558996493,0.011282665341259213,0.009951436679144813,0.008912589448872575,0.006694599329151836,0.0052836834305344865,0.0050320036982068675,0.004598563362450913,0.0035643442887926266,0.0029694043868724977,0.002477660260565362,0.0019995783868266242,0.0016426065239228814]]","[[0.012672937323301424,0.002158981337743952,0.0018593138495362838,0.0010975727505499928,0.0008092117657591612,0.00036086218162140177,0.00027064885276540523,0.0002371207309673945,0.00016110714206856268,0.00012298277972908617,9.944500931694715e-05,7.550012366450696e-05,5.035738790862453e-05,3.5170232249255056e-05,3.0899420660047354e-05,1.5198137078840552e-05],[0.00818937016677581,0.0018213818241672214,0.0009464880350194373,0.0006452197465130616,0.00043603501957118303,0.00027097847700934924,0.0002105999110661017,0.00014559016997215413,8.934260748560987e-05,4.266203108969186e-05]]",2.3137969226394053,1.0691055596016876,0.18724313765219797,0.086958168335484,0.46223331860752354,6.291578334437635e-05,0.5202278735159,0.004036575369635451,0.015586426012914597,0.012672937323301424,0.062446027613194365,0.06413089378220856,0.2936039580963552,16,5,2
1,MNISTPatchClassifier,MNIST patch filters=16 kernel=5 stride=2 lr=3e-03,1.0,0.003,Muon,0,4,512,64,2.3025630566697135,3.1059228848384635e-05,0.921875,full_patch_and_classifier_activation,1.8624298799294188,1.4009402914834057,1.3472011891928106,3.6908538944088176e-05,5.2051066766674526e-05,"[[0.0034542060538384337,0.00060844255986146,0.00047664312795110453,0.0002917205460241732,0.00017651172567162773,0.00011028361281650555,6.94022762050055e-05,6.330275380146616e-05,4.071525875476796e-05,2.734016624670509e-05,2.099637352361254e-05,1.9711497667209632e-05,1.6913552243315376e-05,1.1861337992472494e-05,9.883646020692873e-06,7.734343981956106e-06],[0.004104485333928106,0.00037433067359009134,0.00014452217814391995,0.00012592151426853556,5.488176957550375e-05,4.6463925668627855e-05,3.306203742519284e-05,1.6488797390279208e-05,1.4929713575809102e-05,3.671557521113751e-19]]","[[395.31136966712677,195.45029926973734,165.68082986607993,123.29519539466884,97.27393037028926,93.04241616052647,74.42487988933318,61.26353996202877,50.047678244470596,49.44139343827181,45.49281440429085,37.896204647816965,35.80561069723701,30.139722484383505,30.030811852001257,28.715711501690123,25.87090471024154,24.38340032625083,23.78212810168266,21.516353767964723,19.78051422772709,18.79389441253032,16.790303168534358,15.691367805256563,13.979570025804959],[0.6792815094676015,0.03225477524706751,0.02533840338734751,0.02132580763983713,0.013303897930799797,0.010387523763266477,0.008044025358712742,0.007170897609152328,0.007116662646684361,0.005394443285508478,0.004840293839736685,0.004291715374378583,0.003912217214783684,0.003213719670822667,0.002847019355713021,0.002545862327517219]]","[[0.0030000000000000022,0.0030000000000000022,0.003000000000000002,0.0030000000000000014,0.003000000000000001,0.003000000000000001,0.0030000000000000005,0.003,0.003,0.0029999999999999996,0.0029999999999999996,0.002999999999999999,0.0029999999999999988,0.0029999999999999988,0.0029999999999999988,0.0029999999999999983],[0.0030000000000000022,0.0030000000000000014,0.003000000000000001,0.0030000000000000005,0.0030000000000000005,0.003,0.0029999999999999996,0.0029999999999999996,0.0029999999999999996,0.002999999999999999]]",12.999999999999996,12.999999999999984,0.9999999999999998,0.9999999999999988,0.999999999999999,3.096226432849973e-05,0.37140137267241685,0.0020240665384107424,0.015297058540778357,0.0030000000000000022,0.06244602761319437,0.06627158306535912,0.3213136661797762,16,5,2
