filters,kernel_size,stride,lr,seed,step,delta_loss_Adam,delta_loss_Muon,recovery_error_Adam,recovery_error_Muon,relative_update_fro_norm_Adam,relative_update_fro_norm_Muon,update_grad_cosine_Adam,update_grad_cosine_Muon,update_grad_inner_Adam,update_grad_inner_Muon,delta_loss_ratio,delta_loss_muon_higher,update_grad_inner_ratio,update_grad_inner_muon_higher,update_grad_cosine_ratio,update_grad_cosine_muon_higher
16,5,2,0.003,0,0,5.3153569490316244e-05,2.739254755068643e-05,0.921875,0.921875,0.06274127699601431,0.06274127699601433,0.729147729157789,0.3687621460515325,5.489567395230697e-05,2.776316201242288e-05,0.5153472817225742,False,0.5057440780587438,False,0.5057440780587437,False
16,5,2,0.003,0,1,5.731529004426861e-05,3.021338310738031e-05,0.921875,0.921875,0.0628688958755774,0.0628688958755774,0.6889314064479305,0.36758573578144693,5.7338829024352326e-05,3.0264011259274654e-05,0.5271435088969174,False,0.5278100682248194,False,0.5335592663378297,False
16,5,2,0.003,0,2,4.942365049220854e-05,2.864426968152145e-05,0.884765625,0.921875,0.06274648101287693,0.06274648101287691,0.611611458758652,0.364599303787792,5.0355987009779004e-05,2.922587670911808e-05,0.5795660457342607,False,0.5803853413387069,False,0.596128961559673,False
16,5,2,0.003,0,3,5.532270528663119e-05,2.821920136186762e-05,0.884765625,0.921875,0.06299078938199434,0.06299078938199436,0.5814881283383068,0.38017122582435603,5.2522467210159486e-05,2.773172720981237e-05,0.5100835401244709,False,0.527997420586674,False,0.653790176096552,False
16,5,2,0.003,0,4,6.682775799005114e-05,3.1059228848384635e-05,0.8828125,0.921875,0.062446027613194365,0.06244602761319437,0.5202278735159,0.37140137267241685,6.291578334437635e-05,3.096226432849973e-05,0.464765387655359,False,0.4921223687071402,False,0.7139205559331981,False
16,5,2,0.003,1,0,2.3509132715204828e-05,1.525151399084379e-05,0.923828125,0.923828125,0.06566581690556583,0.06566581690556583,0.7069523624290712,0.4346202724638783,2.5161306999802328e-05,1.5468671844064385e-05,0.6487484747142408,False,0.6147801401646548,False,0.6147801401646549,False
16,5,2,0.003,1,1,3.5346464362095986e-05,2.4010707606159087e-05,0.8984375,0.923828125,0.0654841191393998,0.06548411913939979,0.6216347632088849,0.38002594645240473,3.636307070409276e-05,2.4390258432193104e-05,0.6792958797855643,False,0.6707425407130955,False,0.611333163690375,False
16,5,2,0.003,1,2,4.0199496458726e-05,2.5331094906988483e-05,0.8984375,0.923828125,0.065530824687024,0.06553082468702401,0.5633079805713429,0.3854227672143876,3.854166395581032e-05,2.4789459578698078e-05,0.6301346319846732,False,0.6431860234970723,False,0.6842132199573442,False
16,5,2,0.003,1,3,3.614538798357714e-05,2.5206006614819643e-05,0.8984375,0.923828125,0.06492778324131883,0.06492778324131883,0.4596991912183696,0.3824907102580889,3.371257171049373e-05,2.506262991691723e-05,0.6973505617444786,False,0.7434208856014378,False,0.8320456454238037,False
16,5,2,0.003,1,4,4.210538588012014e-05,1.927475413809887e-05,0.8984375,0.8984375,0.06470181619816585,0.06470181619816585,0.5681714642460189,0.3882707351730433,3.916589012111917e-05,1.900636904021381e-05,0.4577740765273299,False,0.48527861824248775,False,0.6833689468869939,False
16,5,2,0.003,2,0,4.225545590275104e-05,2.500116559467358e-05,0.900390625,0.900390625,0.06440360352459318,0.06440360352459319,0.6544987984121907,0.397586318489891,4.1037721904120636e-05,2.4929055348388526e-05,0.5916671601464341,False,0.6074668424975456,False,0.6074668424975455,False
16,5,2,0.003,2,1,4.72535310001021e-05,2.528537221779814e-05,0.90234375,0.900390625,0.0644020540237922,0.06440205402379222,0.6862390474661206,0.39760247498840284,4.531427248343842e-05,2.5140743484778513e-05,0.5351001646362366,False,0.554808498668207,False,0.5793935458154359,False
16,5,2,0.003,2,2,3.0051468576708373e-05,2.447257752757892e-05,0.876953125,0.884765625,0.06432358085864658,0.06432358085864659,0.38273954509150393,0.40759229479783604,2.754066311842028e-05,2.4648483807520568e-05,0.8143554603699662,False,0.8949851244153483,False,1.0649338434584552,True
16,5,2,0.003,2,3,5.460175726135219e-05,2.9810520774997684e-05,0.888671875,0.90234375,0.06390918108910613,0.06390918108910615,0.5531612177907609,0.3885362319973184,5.13269776144158e-05,2.982359998527119e-05,0.545962662562473,False,0.5810511620090967,False,0.7023923939372886,False
16,5,2,0.003,2,4,5.230785543375305e-05,2.1973816825227033e-05,0.888671875,0.888671875,0.06348470653866606,0.06348470653866607,0.5842718804107827,0.40351405883518493,4.850056028997674e-05,2.2200617592937654e-05,0.4200863645242821,False,0.45773940466262397,False,0.6906272103177158,False
16,5,2,0.01,0,0,0.00017698857181080996,8.712547529432513e-05,0.921875,0.921875,0.20913758998671436,0.20913758998671442,0.729147729157789,0.36876214605153257,0.0001829855798410232,9.254387337474294e-05,0.4922661073702373,False,0.5057440780587439,False,0.5057440780587437,False
16,5,2,0.01,0,1,0.00022305278507506188,0.00010393292361987605,0.884765625,0.921875,0.2073722882145656,0.2073722882145656,0.5686747548138531,0.36052107749430257,0.00018904204036922153,0.00010114891203004788,0.4659566280909717,False,0.5350604121310374,False,0.6339670865331688,False
16,5,2,0.01,0,2,0.0002669604951095472,9.834217152393521e-05,0.884765625,0.884765625,0.2011033015665632,0.20110330156656325,0.4477877571716598,0.3631771643466457,0.00020999128510254628,0.00010082142004438605,0.3683772442944433,False,0.4801219250368001,False,0.8110475521719578,False
16,5,2,0.01,0,3,0.00043146393196691335,0.00011839127360691037,0.8984375,0.884765625,0.19629636436438444,0.1962963643643844,0.5046971430545526,0.37951832164850063,0.00035294298876968253,0.00010824788727904834,0.2743943695761554,False,0.3067007724289627,False,0.7519723994305999,False
16,5,2,0.01,0,4,0.0006654487863295699,0.00013927053600770734,0.8984375,0.8984375,0.1838454784699803,0.18384547846998037,0.5138982032712078,0.36067476303898294,0.0005691008018139378,0.0001313704375987126,0.20928813586975611,False,0.23083860922350785,False,0.7018408718752382,False
16,5,2,0.01,1,0,7.091708740958325e-05,4.929294506261783e-05,0.923828125,0.923828125,0.2188860563518861,0.21888605635188613,0.7069523624290711,0.4346202724638783,8.38710233326744e-05,5.156223948021462e-05,0.6950785327367621,False,0.6147801401646551,False,0.614780140164655,False
16,5,2,0.01,1,1,0.000127564736298158,8.267964706432096e-05,0.8984375,0.8984375,0.2134015488396107,0.21340154883961068,0.4993847076840999,0.38181249412089585,0.000102693502217554,8.34213603505115e-05,0.6481387369552758,False,0.812333385746112,False,0.7645658512283124,False
16,5,2,0.01,1,2,0.00020605053535494022,0.00010072232325075703,0.8984375,0.8984375,0.206462981070564,0.206462981070564,0.4493961225104416,0.38366588471019203,0.00015996974767974276,9.054349570466993e-05,0.4888233999356223,False,0.5660038664681573,False,0.8537365266236308,False
16,5,2,0.01,1,3,0.00027092934062178387,0.00011278735615949387,0.8984375,0.859375,0.19389927131765117,0.19389927131765108,0.38075050050435266,0.36210292330103255,0.00020794898489187542,0.00010723106123670271,0.4162980498924423,False,0.5156604216772603,False,0.9510241557696733,False
16,5,2,0.01,1,4,0.0003880251440349092,0.0001033634288205576,0.8984375,0.8984375,0.18321695799135598,0.18321695799135604,0.5500114183833322,0.3675936839357456,0.0003341467431848374,9.508611329835619e-05,0.2663833269816617,False,0.2845639385620411,False,0.6683382774419967,False
16,5,2,0.01,2,0,0.0001561394839093566,8.25217649031984e-05,0.900390625,0.900390625,0.21467867841531063,0.21467867841531066,0.6544987984121906,0.3975863184898909,0.0001367924063470688,8.309685116129507e-05,0.5285131142812322,False,0.6074668424975455,False,0.6074668424975453,False
16,5,2,0.01,2,1,0.0002250915861958802,8.803743771990113e-05,0.888671875,0.888671875,0.21128100038868147,0.21128100038868147,0.6265537899447569,0.38834121039042835,0.00017470798543457852,8.351625285386413e-05,0.39111829636887807,False,0.47803340325927907,False,0.6198050616287364,False
16,5,2,0.01,2,2,0.00021082276043982162,9.128401125435559e-05,0.888671875,0.888671875,0.20463541699887902,0.20463541699887902,0.374674838774188,0.38253289641850563,0.00016667370981084475,9.438900025909496e-05,0.43298935591165544,False,0.5663100699337374,False,1.020973006007093,True
16,5,2,0.01,2,3,0.000420103716505249,0.00012047651812707727,0.888671875,0.888671875,0.19597623406063722,0.19597623406063722,0.5030088066344947,0.37250498133106114,0.0003561505081673886,0.00011517854239139391,0.2867780345513129,False,0.3233985063900588,False,0.7405535975073642,False
16,5,2,0.01,2,4,0.0005311867563784212,0.00011199275641926576,0.888671875,0.888671875,0.1874709473529709,0.18747094735297093,0.5256544714550829,0.3736700038620774,0.0004479917951623519,0.00010389963025122151,0.21083499367119263,False,0.23192306504981494,False,0.7108662137462811,False
16,7,2,0.003,0,0,0.00010274195360082672,5.9328424148130665e-05,0.8828125,0.8828125,0.048968978829925854,0.04896897882992587,0.6270567463649892,0.37502505939440905,0.00010017740516436517,5.9913297384214944e-05,0.5774508082514529,False,0.5980719632926481,False,0.5980719632926479,False
16,7,2,0.003,0,1,7.497587596549948e-05,4.7334981831514966e-05,0.900390625,0.912109375,0.04873982365038845,0.04873982365038845,0.5365968229099201,0.37476362600070817,7.144054082713683e-05,4.7987644924761015e-05,0.6313361627584904,False,0.6717144686918833,False,0.6984082089200531,False
16,7,2,0.003,0,2,9.450081147477363e-05,5.537800954868999e-05,0.900390625,0.89453125,0.04863054723412005,0.04863054723412006,0.5930511607127669,0.3877062559869313,9.107914072078351e-05,5.532866354734648e-05,0.5860056510040952,False,0.6074789804722096,False,0.6537484144217188,False
16,7,2,0.003,0,3,7.607347545812715e-05,4.9907844821284186e-05,0.900390625,0.90234375,0.04835848227094821,0.04835848227094821,0.47455791700722816,0.39568930430575755,7.210638153919786e-05,5.005482455061557e-05,0.6560479131619901,False,0.6941802304058925,False,0.8338061385660765,False
16,7,2,0.003,0,4,8.458729481608529e-05,4.953977337285309e-05,0.900390625,0.8828125,0.04819775238380603,0.04819775238380602,0.4542197271180223,0.38912634440821353,7.792666616950815e-05,4.931288683643364e-05,0.5856644721948538,False,0.6328114528750267,False,0.8566918633789431,False
16,7,2,0.003,1,0,2.468495399332582e-05,2.0186293451907034e-05,0.916015625,0.916015625,0.050549092773404795,0.05054909277340481,0.6053187092587917,0.4802144789165186,2.6379209432829917e-05,2.0927286928777753e-05,0.8177569809271222,False,0.793325022952847,False,0.7933250229528469,False
16,7,2,0.003,1,1,4.840526449489957e-05,3.365896221607656e-05,0.916015625,0.916015625,0.05061806619320897,0.05061806619320897,0.5523918612055212,0.3973735926983722,4.612976010239365e-05,3.34383592733609e-05,0.6953574692195553,False,0.7248760713070737,False,0.7193690215332963,False
16,7,2,0.003,1,2,4.817296026127238e-05,3.969774416434646e-05,0.88671875,0.916015625,0.05038249968384578,0.0503824996838458,0.46860085494982123,0.4001736453104315,4.5884361208820554e-05,3.8754764366536654e-05,0.8240669443820876,False,0.8446181519268193,False,0.8539754912595773,False
16,7,2,0.003,1,3,7.303433877448029e-05,4.394474013080796e-05,0.88671875,0.88671875,0.050131455396627084,0.0501314553966271,0.5331824768064133,0.4076865796455198,6.757863886179438e-05,4.438340170905328e-05,0.6016997054837876,False,0.6567667306798253,False,0.7646286166181372,False
16,7,2,0.003,1,4,5.49276072612237e-05,2.9673106942684768e-05,0.88671875,0.88671875,0.04980860734509247,0.04980860734509248,0.501247892840366,0.4198961541472673,4.973040092830974e-05,2.861729509787703e-05,0.5402220927186207,False,0.57544871072186,False,0.8377015846747767,False
16,7,2,0.003,2,0,6.788484798470051e-05,4.705238117086452e-05,0.880859375,0.880859375,0.04959321763097808,0.049593217630978084,0.5598390839214711,0.3782315099608859,6.793875799048238e-05,4.589993760280558e-05,0.6931205205242399,False,0.6756075465676861,False,0.675607546567686,False
16,7,2,0.003,2,1,6.813827186258337e-05,4.666754489113245e-05,0.888671875,0.888671875,0.04962894206798532,0.0496289420679853,0.5321582899789636,0.39034076832406994,6.47129172760148e-05,4.5135345608014525e-05,0.6848947532049005,False,0.6974704202485937,False,0.7335050034445583,False
16,7,2,0.003,2,2,6.578486235042647e-05,5.40896596121776e-05,0.888671875,0.888671875,0.04955812048133588,0.049558120481335864,0.4120810956364644,0.3951923046278093,5.88475625392155e-05,5.232324051278993e-05,0.8222204574062919,False,0.8891318222045675,False,0.9590158558897973,False
16,7,2,0.003,2,3,7.03917103010987e-05,4.940382708618074e-05,0.888671875,0.888671875,0.04907195139242067,0.049071951392420675,0.38753679783302997,0.37367939148575874,6.504335636659955e-05,4.8367508138462696e-05,0.7018415503026871,False,0.7436194999817064,False,0.9642423469854812,False
16,7,2,0.003,2,4,8.762898381275974e-05,4.744963333136454e-05,0.888671875,0.888671875,0.04900779858149712,0.0490077985814971,0.46987654261700634,0.3757642453045467,8.047094623507081e-05,4.610115632031444e-05,0.5414833228324548,False,0.5728919377391719,False,0.7997084579104643,False
16,7,2,0.01,0,0,0.0003741039449778327,0.00019325852137130894,0.8828125,0.8828125,0.1632299294330863,0.16322992943308626,0.627056746364989,0.375025059394409,0.00033392468388121737,0.00019971099128071644,0.5165904395441763,False,0.5980719632926478,False,0.598071963292648,False
16,7,2,0.01,0,1,0.00036032239367855823,0.00016985910296662965,0.900390625,0.900390625,0.15929090468093954,0.1592909046809396,0.512405851887153,0.38367550545752116,0.0002962529637950782,0.00016733472151253526,0.4714086771919041,False,0.5648372909723284,False,0.7487726848639072,False
16,7,2,0.01,0,2,0.000494213002645072,0.00020786823766760776,0.900390625,0.900390625,0.15543115244313985,0.1554311524431399,0.4949509022239204,0.39656941246655175,0.00042040085043110637,0.00020247615062061292,0.4206045501738693,False,0.4816264058766311,False,0.8012298001371054,False
16,7,2,0.01,0,3,0.0005476878740182656,0.0002073376034554819,0.900390625,0.814453125,0.14921432622828254,0.1492143262282825,0.4222503449513661,0.40495640394423765,0.00046491497953697847,0.00019841769926062943,0.3785689135935975,False,0.4267827624273131,False,0.959043394010441,False
16,7,2,0.01,0,4,0.0007707588686725053,0.0002324368477815142,0.8984375,0.8828125,0.14483823616189073,0.1448382361618907,0.41518130165338024,0.3905978559143267,0.0006680739886681209,0.0002177408198441752,0.3015688268133005,False,0.32592321140696634,False,0.9407886491006348,False
16,7,2,0.01,1,0,7.656192701377407e-05,6.131045107471422e-05,0.916015625,0.916015625,0.16849697591134935,0.16849697591134935,0.6053187092587918,0.4802144789165186,8.793069810943309e-05,6.975762309592584e-05,0.8007955581327519,False,0.7933250229528467,False,0.7933250229528467,False
