group_type,problem_family,setting,comparison,metric,n_pairs,geomean_ratio,ratio_ci95_low,ratio_ci95_high,ratio_ci95_above_one,ratio_ci95_below_one,numerator_higher_rate
family,MatrixFactorizationInput,All,PolarMuon/GD,mean_update_grad_cosine,10,0.22920868728639374,0.20985436241248623,0.25034801146657476,False,True,0.0
family,MatrixFactorizationInput,All,PolarMuon/GD,mean_nrUpdate,10,4.009360920209755,3.622333334112617,4.437740402607974,True,False,1.0
family,MatrixFactorizationInput,All,PolarMuon/GD,mean_stUpdate,10,4.919781154089006,4.839984627777555,5.0008932807796045,True,False,1.0
family,MatrixSensing,All,FreshAdamSign/GD,final_loss,10,1.0289706154987164,1.028062900360983,1.0298791320920522,True,False,1.0
family,MatrixSensing,All,FreshAdamSign/GD,total_decrease,10,0.8027292852140916,0.800468860900127,0.8049960926846393,False,True,0.0
family,MatrixSensing,All,FreshAdamSign/GD,mean_delta_loss,10,0.8027292852140915,0.800468860900127,0.8049960926846393,False,True,0.0
family,MatrixSensing,All,FreshAdamSign/GD,mean_update_grad_inner,10,0.8018158801115609,0.7995428207457113,0.8040954016689864,False,True,0.0
family,MatrixSensing,All,FreshAdamSign/GD,mean_update_grad_cosine,10,0.7962306023518511,0.7937967893489027,0.7986718775237233,False,True,0.0
family,MatrixSensing,All,FreshAdamSign/GD,mean_nrUpdate,10,1.036316189003547,1.0313872917766302,1.0412686409398026,True,False,1.0
family,MatrixSensing,All,FreshAdamSign/GD,mean_stUpdate,10,1.4819754548103785,1.4064769934430332,1.5615266078999557,True,False,1.0
family,MatrixSensing,All,PolarMuon/FreshAdamSign,final_loss,10,0.9960866044365264,0.9957746479895737,0.9963986586132466,False,True,0.0
family,MatrixSensing,All,PolarMuon/FreshAdamSign,total_decrease,10,1.034149017438059,1.0316036469403604,1.0367006683623436,True,False,1.0
family,MatrixSensing,All,PolarMuon/FreshAdamSign,mean_delta_loss,10,1.0341490174380592,1.0316036469403604,1.0367006683623436,True,False,1.0
family,MatrixSensing,All,PolarMuon/FreshAdamSign,mean_update_grad_inner,10,1.034381042538021,1.0318124577979477,1.036956021490063,True,False,1.0
family,MatrixSensing,All,PolarMuon/FreshAdamSign,mean_update_grad_cosine,10,1.0358254633300241,1.0330395313601424,1.0386189084847408,True,False,1.0
family,MatrixSensing,All,PolarMuon/FreshAdamSign,mean_nrUpdate,10,1.4146918687884444,1.4083429291533018,1.4210694300282096,True,False,1.0
family,MatrixSensing,All,PolarMuon/FreshAdamSign,mean_stUpdate,10,5.552606520047008,5.25937601418607,5.862185758026649,True,False,1.0
family,MatrixSensing,All,PolarMuon/GD,final_loss,10,1.0249438464570788,1.0241941654340254,1.0256940762253366,True,False,1.0
family,MatrixSensing,All,PolarMuon/GD,total_decrease,10,0.8301417015729082,0.8283060962084859,0.831981374814012,False,True,0.0
family,MatrixSensing,All,PolarMuon/GD,mean_delta_loss,10,0.8301417015729082,0.8283060962084859,0.831981374814012,False,True,0.0
family,MatrixSensing,All,PolarMuon/GD,mean_update_grad_inner,10,0.8293831459933374,0.827515821194857,0.8312546844899897,False,True,0.0
family,MatrixSensing,All,PolarMuon/GD,mean_update_grad_cosine,10,0.8247559325986503,0.8227597135739053,0.826756994945606,False,True,0.0
family,MatrixSensing,All,PolarMuon/GD,mean_nrUpdate,10,1.4660680860771471,1.459011290042826,1.4731590136981183,True,False,1.0
family,MatrixSensing,All,PolarMuon/GD,mean_stUpdate,10,8.228826572929735,7.911837984323799,8.558515341380794,True,False,1.0
family,SmallMLPDigits,All,FreshAdamSign/GD,final_loss,10,1.0002073012616604,1.0001129374209625,1.0003016740058872,True,False,1.0
family,SmallMLPDigits,All,FreshAdamSign/GD,total_decrease,10,0.6414629214192085,0.5978644346826343,0.6882407711274707,False,True,0.0
family,SmallMLPDigits,All,FreshAdamSign/GD,mean_delta_loss,10,0.6166632247471671,0.5974195514807171,0.6365267621607948,False,True,0.0
family,SmallMLPDigits,All,FreshAdamSign/GD,mean_update_grad_inner,10,0.618934909251919,0.5999579151027997,0.6385121560152136,False,True,0.0
family,SmallMLPDigits,All,FreshAdamSign/GD,mean_update_grad_cosine,10,0.6237875336142524,0.603863395375545,0.6443690577577774,False,True,0.0
family,SmallMLPDigits,All,FreshAdamSign/GD,mean_nrUpdate,10,1.957248169151598,1.7123392782397102,2.237185378113487,True,False,1.0
family,SmallMLPDigits,All,FreshAdamSign/GD,mean_stUpdate,10,1.6464501020839197,1.5965818689066817,1.697875938243285,True,False,1.0
family,SmallMLPDigits,All,PolarMuon/FreshAdamSign,final_loss,10,1.0000605873222204,0.9999992037790958,1.0001219746332874,False,False,0.5
family,SmallMLPDigits,All,PolarMuon/FreshAdamSign,total_decrease,10,0.9258588439665423,0.7914270793604408,1.0831251814681206,False,False,0.5
family,SmallMLPDigits,All,PolarMuon/FreshAdamSign,mean_delta_loss,10,0.8681637847263146,0.7552133529373211,0.9980071911849163,False,True,0.4
family,SmallMLPDigits,All,PolarMuon/FreshAdamSign,mean_update_grad_inner,10,0.8652623897295214,0.7532874321402558,0.9938822435325649,False,True,0.4
family,SmallMLPDigits,All,PolarMuon/FreshAdamSign,mean_update_grad_cosine,10,0.8682614958556879,0.7594417913517819,0.9926738741144048,False,True,0.4
family,SmallMLPDigits,All,PolarMuon/FreshAdamSign,mean_nrUpdate,10,1.717711785215249,1.4558144117666012,2.026723841459259,True,False,1.0
family,SmallMLPDigits,All,PolarMuon/FreshAdamSign,mean_stUpdate,10,6.185405260301162,4.4690634282477095,8.56090741347175,True,False,1.0
family,SmallMLPDigits,All,PolarMuon/GD,final_loss,10,1.0002679011437092,1.000113708383557,1.0004221176765655,True,False,1.0
family,SmallMLPDigits,All,PolarMuon/GD,total_decrease,10,0.5939041188725893,0.5000765737468259,0.7053361843588368,False,True,0.0
family,SmallMLPDigits,All,PolarMuon/GD,mean_delta_loss,10,0.5353646790980345,0.46003670397453517,0.6230271131618377,False,True,0.0
family,SmallMLPDigits,All,PolarMuon/GD,mean_update_grad_inner,10,0.5355410986663399,0.46082697077951834,0.6223686688207565,False,True,0.0
family,SmallMLPDigits,All,PolarMuon/GD,mean_update_grad_cosine,10,0.541610697032041,0.46922502820260403,0.6251630443993981,False,True,0.0
family,SmallMLPDigits,All,PolarMuon/GD,mean_nrUpdate,10,3.3619882467426687,2.4988994933176416,4.523177103145337,True,False,1.0
family,SmallMLPDigits,All,PolarMuon/GD,mean_stUpdate,10,10.183961122253265,7.195137131135153,14.414327656212922,True,False,1.0
setting,MatrixFactorizationInput,MF input kappa=1e+02,FreshAdamSign/GD,final_loss,5,1.005639322739459,1.0055381420803926,1.0057405135796667,True,False,1.0
setting,MatrixFactorizationInput,MF input kappa=1e+02,FreshAdamSign/GD,total_decrease,5,0.5402067266668901,0.5170622878474249,0.5643871432802455,False,True,0.0
setting,MatrixFactorizationInput,MF input kappa=1e+02,FreshAdamSign/GD,mean_delta_loss,5,0.5402067266668901,0.5170622878474249,0.5643871432802455,False,True,0.0
setting,MatrixFactorizationInput,MF input kappa=1e+02,FreshAdamSign/GD,mean_update_grad_inner,5,0.537193698430763,0.514478842363227,0.5609114425544897,False,True,0.0
setting,MatrixFactorizationInput,MF input kappa=1e+02,FreshAdamSign/GD,mean_update_grad_cosine,5,0.5494611850958281,0.5185413329046268,0.5822247423089038,False,True,0.0
setting,MatrixFactorizationInput,MF input kappa=1e+02,FreshAdamSign/GD,mean_nrUpdate,5,1.6590357200918957,1.4450127396636017,1.9047579616367896,True,False,1.0
setting,MatrixFactorizationInput,MF input kappa=1e+02,FreshAdamSign/GD,mean_stUpdate,5,1.2308086692811435,1.1956564470363091,1.2669943645874187,True,False,1.0
setting,MatrixFactorizationInput,MF input kappa=1e+02,PolarMuon/FreshAdamSign,final_loss,5,1.0038045699856972,1.003412138537159,1.0041971549129864,True,False,1.0
setting,MatrixFactorizationInput,MF input kappa=1e+02,PolarMuon/FreshAdamSign,total_decrease,5,0.4244771476481182,0.40671801666273005,0.4430117218655128,False,True,0.0
setting,MatrixFactorizationInput,MF input kappa=1e+02,PolarMuon/FreshAdamSign,mean_delta_loss,5,0.42447714764811834,0.40671801666273016,0.4430117218655129,False,True,0.0
setting,MatrixFactorizationInput,MF input kappa=1e+02,PolarMuon/FreshAdamSign,mean_update_grad_inner,5,0.4321182593821091,0.4161401332416322,0.44870988202188367,False,True,0.0
