group_type,problem_family,setting,comparison,metric,n_pairs,geomean_ratio,ratio_ci95_low,ratio_ci95_high,ratio_ci95_above_one,ratio_ci95_below_one,numerator_higher_rate
setting,SmallMLPDigits,Small MLP digits hidden=16,PolarMuon/FreshAdamSign,final_loss,5,0.999982496138647,0.9999688496380693,0.9999961428254573,False,True,0.0
setting,SmallMLPDigits,Small MLP digits hidden=16,PolarMuon/FreshAdamSign,total_decrease,5,1.1213334334389067,1.0159942369645427,1.2375942925666106,True,False,1.0
setting,SmallMLPDigits,Small MLP digits hidden=16,PolarMuon/FreshAdamSign,mean_delta_loss,5,1.040577873222299,0.9728027637455695,1.1130748704606304,False,False,0.8
setting,SmallMLPDigits,Small MLP digits hidden=16,PolarMuon/FreshAdamSign,mean_update_grad_inner,5,1.0357864770418854,0.9668462120136732,1.109642477461212,False,False,0.8
setting,SmallMLPDigits,Small MLP digits hidden=16,PolarMuon/FreshAdamSign,mean_update_grad_cosine,5,1.031401881422525,0.9522716112823545,1.1171075861112738,False,False,0.8
setting,SmallMLPDigits,Small MLP digits hidden=16,PolarMuon/FreshAdamSign,mean_nrUpdate,5,1.381387742449903,1.3280936211365948,1.4368204655314563,True,False,1.0
setting,SmallMLPDigits,Small MLP digits hidden=16,PolarMuon/FreshAdamSign,mean_stUpdate,5,4.031592557305694,3.755713595208344,4.327736430397593,True,False,1.0
setting,SmallMLPDigits,Small MLP digits hidden=16,PolarMuon/GD,final_loss,5,1.000066702199188,1.0000439221682524,1.0000894827490308,True,False,1.0
setting,SmallMLPDigits,Small MLP digits hidden=16,PolarMuon/GD,total_decrease,5,0.7180868707264243,0.6457772710791456,0.79849319107806,False,True,0.0
setting,SmallMLPDigits,Small MLP digits hidden=16,PolarMuon/GD,mean_delta_loss,5,0.6542838385158685,0.6380614460773919,0.6709186771506257,False,True,0.0
setting,SmallMLPDigits,Small MLP digits hidden=16,PolarMuon/GD,mean_update_grad_inner,5,0.6533092716496468,0.63712716375635,0.6699023816642885,False,True,0.0
setting,SmallMLPDigits,Small MLP digits hidden=16,PolarMuon/GD,mean_update_grad_cosine,5,0.6549377226729903,0.6429303251569354,0.6671693709195944,False,True,0.0
setting,SmallMLPDigits,Small MLP digits hidden=16,PolarMuon/GD,mean_nrUpdate,5,2.2689853894646776,2.2212257658429078,2.317771915296736,True,False,1.0
setting,SmallMLPDigits,Small MLP digits hidden=16,PolarMuon/GD,mean_stUpdate,5,6.445439143969304,6.088879267717626,6.822878880005142,True,False,1.0
setting,SmallMLPDigits,Small MLP digits hidden=64,FreshAdamSign/GD,final_loss,5,1.0003304101396127,1.0002907273020398,1.0003700945514553,True,False,1.0
setting,SmallMLPDigits,Small MLP digits hidden=64,FreshAdamSign/GD,total_decrease,5,0.6425410824355706,0.5716323711472032,0.7222457359944681,False,True,0.0
setting,SmallMLPDigits,Small MLP digits hidden=64,FreshAdamSign/GD,mean_delta_loss,5,0.6047898490892184,0.5838151367077947,0.6265181194581316,False,True,0.0
setting,SmallMLPDigits,Small MLP digits hidden=64,FreshAdamSign/GD,mean_update_grad_inner,5,0.607353267177656,0.5862340572073192,0.6292333013005438,False,True,0.0
setting,SmallMLPDigits,Small MLP digits hidden=64,FreshAdamSign/GD,mean_update_grad_cosine,5,0.6127753634212783,0.5914299055689949,0.6348912060083093,False,True,0.0
setting,SmallMLPDigits,Small MLP digits hidden=64,FreshAdamSign/GD,mean_nrUpdate,5,2.332253157135908,2.265696618723755,2.4007648438096596,True,False,1.0
setting,SmallMLPDigits,Small MLP digits hidden=64,FreshAdamSign/GD,mean_stUpdate,5,1.6955916501135884,1.6212959889548395,1.7732918995181723,True,False,1.0
setting,SmallMLPDigits,Small MLP digits hidden=64,PolarMuon/FreshAdamSign,final_loss,5,1.0001386846041336,1.0000956639650669,1.0001817070937986,True,False,1.0
setting,SmallMLPDigits,Small MLP digits hidden=64,PolarMuon/FreshAdamSign,total_decrease,5,0.7644600378338453,0.6744707451527905,0.8664558895175475,False,True,0.0
setting,SmallMLPDigits,Small MLP digits hidden=64,PolarMuon/FreshAdamSign,mean_delta_loss,5,0.7243171092773215,0.7058134419343262,0.7433058703926909,False,True,0.0
setting,SmallMLPDigits,Small MLP digits hidden=64,PolarMuon/FreshAdamSign,mean_update_grad_inner,5,0.7228121043041643,0.7035542345829949,0.7425971054502726,False,True,0.0
setting,SmallMLPDigits,Small MLP digits hidden=64,PolarMuon/FreshAdamSign,mean_update_grad_cosine,5,0.7309255865868663,0.7091523341335049,0.7533673477647703,False,True,0.0
setting,SmallMLPDigits,Small MLP digits hidden=64,PolarMuon/FreshAdamSign,mean_nrUpdate,5,2.1359200508284233,2.071192336613748,2.2026705984195036,True,False,1.0
setting,SmallMLPDigits,Small MLP digits hidden=64,PolarMuon/FreshAdamSign,mean_stUpdate,5,9.48985734305698,8.849487031642829,10.17656640091761,True,False,1.0
setting,SmallMLPDigits,Small MLP digits hidden=64,PolarMuon/GD,final_loss,5,1.0004691405665456,1.0004012082718303,1.0005370774742066,True,False,1.0
setting,SmallMLPDigits,Small MLP digits hidden=64,PolarMuon/GD,total_decrease,5,0.4911969801884961,0.3925826759444635,0.6145825787290462,False,True,0.0
setting,SmallMLPDigits,Small MLP digits hidden=64,PolarMuon/GD,mean_delta_loss,5,0.43805963521257013,0.43257987280765237,0.44360881322811135,False,True,0.0
setting,SmallMLPDigits,Small MLP digits hidden=64,PolarMuon/GD,mean_update_grad_inner,5,0.4390022931046909,0.4341567583524459,0.44390190787891765,False,True,0.0
setting,SmallMLPDigits,Small MLP digits hidden=64,PolarMuon/GD,mean_update_grad_cosine,5,0.447893191954678,0.44481791523374414,0.45098972979524415,False,True,0.0
setting,SmallMLPDigits,Small MLP digits hidden=64,PolarMuon/GD,mean_nrUpdate,5,4.981506281934479,4.894996122372812,5.069545351329839,True,False,1.0
setting,SmallMLPDigits,Small MLP digits hidden=64,PolarMuon/GD,mean_stUpdate,5,16.090922871656527,14.683963893535639,17.63269105936601,True,False,1.0
