run_id,problem_family,setting,kappa,seed,candidate,steps,target_relative_update_norm,initial_loss,final_loss,total_decrease,final_recovery_error,mean_delta_loss,mean_update_grad_inner,mean_update_grad_cosine,mean_nrUpdate,mean_stUpdate
0,MatrixFactorizationInput,MF input kappa=1e+02,100.0,0,GD,10,0.001,0.0001532792239327137,0.00015131952243291192,1.959701499801769e-06,0.9937416922960236,1.9597014998017688e-07,1.9206612159708714e-07,1.0,1.291985864841629,1.0148042153543009
1,MatrixFactorizationInput,MF input kappa=1e+02,100.0,0,FreshAdamSign,10,0.001,0.0001532792239327137,0.00015219095692788244,1.0882670048312497e-06,0.9961737044144185,1.0882670048312497e-07,1.0635794737724484e-07,0.5755559659574541,2.4889291229282087,1.2921547951261814
2,MatrixFactorizationInput,MF input kappa=1e+02,100.0,0,PolarMuon,10,0.001,0.0001532792239327137,0.00015280892258174035,4.70301350973337e-07,0.9980361603385264,4.70301350973337e-08,4.6797678280001785e-08,0.27554983134338384,5.0,4.9999999999995595
3,MatrixFactorizationInput,MF input kappa=1e+02,100.0,1,GD,10,0.001,0.0001604720091443568,0.00015844241408920394,2.0295950551528746e-06,0.9935325609974235,2.0295950551528745e-07,1.999093015879025e-07,1.0,1.6183819421270829,1.076938586215838
4,MatrixFactorizationInput,MF input kappa=1e+02,100.0,1,FreshAdamSign,10,0.001,0.0001604720091443568,0.00015932922448557498,1.1427846587818346e-06,0.9961338772115939,1.1427846587818346e-07,1.1150941441035096e-07,0.5555767084012746,2.324025849962421,1.3007640900805044
5,MatrixFactorizationInput,MF input kappa=1e+02,100.0,1,PolarMuon,10,0.001,0.0001604720091443568,0.00015999346855409107,4.785405902657395e-07,0.9981328114460317,4.7854059026573947e-08,4.7576599516411594e-08,0.25682263340210354,5.0,4.9999999999995905
6,MatrixFactorizationInput,MF input kappa=1e+02,100.0,2,GD,10,0.001,0.0001493490238905777,0.00014765622294831684,1.692800942260862e-06,0.9939753802564162,1.6928009422608618e-07,1.6604885845803976e-07,1.0,1.3167823468690487,1.016557670107918
7,MatrixFactorizationInput,MF input kappa=1e+02,100.0,2,FreshAdamSign,10,0.001,0.0001493490238905777,0.00014847427799515148,8.747458954262266e-07,0.996431535283065,8.747458954262266e-08,8.564892883226622e-08,0.5217584884321051,2.2956048582541007,1.2625224082934692
8,MatrixFactorizationInput,MF input kappa=1e+02,100.0,2,PolarMuon,10,0.001,0.0001493490238905777,0.00014897683758081185,3.7218630976584887e-07,0.9980435911795982,3.721863097658489e-08,3.697651830284857e-08,0.2489735458354488,5.0,4.999999999999517
9,MatrixFactorizationInput,MF input kappa=1e+02,100.0,3,GD,10,0.001,0.00016144123210250178,0.00015952657833455413,1.9146537679476513e-06,0.9946832526339919,1.9146537679476513e-07,1.8807846651097e-07,1.0000000000000002,1.39249044613351,1.019616085631621
10,MatrixFactorizationInput,MF input kappa=1e+02,100.0,3,FreshAdamSign,10,0.001,0.00016144123210250178,0.0001604302737410593,1.010958361442497e-06,0.9970614548664423,1.0109583614424969e-07,9.813147397163244e-08,0.5247151070154671,2.326707282482686,1.2551597040181084
11,MatrixFactorizationInput,MF input kappa=1e+02,100.0,3,PolarMuon,10,0.001,0.00016144123210250178,0.00016103270702842832,4.085250740734679e-07,0.9988988212299048,4.0852507407346794e-08,4.06552625834238e-08,0.2376299705337878,5.0,4.999999999999634
12,MatrixFactorizationInput,MF input kappa=1e+02,100.0,4,GD,10,0.001,0.00014765915682122912,0.00014587497148938836,1.7841853318407573e-06,0.9958486016040397,1.7841853318407572e-07,1.7705395969595552e-07,1.0,1.4434327301271836,1.0313508142271757
13,MatrixFactorizationInput,MF input kappa=1e+02,100.0,4,FreshAdamSign,10,0.001,0.00014765915682122912,0.00014669705658399204,9.621002372370714e-07,0.9981411783005565,9.621002372370714e-08,9.528119365490742e-08,0.5720848024803135,2.2512714844649744,1.2389388832563983
14,MatrixFactorizationInput,MF input kappa=1e+02,100.0,4,PolarMuon,10,0.001,0.00014765915682122912,0.00014723303593663716,4.2612088459195404e-07,0.999865144610558,4.261208845919541e-08,4.2753485644070484e-08,0.2549304080783662,5.0,4.999999999999683
