problem_family,setting,kappa,seed,comparison,final_loss_ratio,final_loss_delta,total_decrease_ratio,total_decrease_delta,mean_delta_loss_ratio,mean_delta_loss_delta,mean_update_grad_inner_ratio,mean_update_grad_inner_delta,mean_update_grad_cosine_ratio,mean_update_grad_cosine_delta,mean_nrUpdate_ratio,mean_nrUpdate_delta,mean_stUpdate_ratio,mean_stUpdate_delta
SmallMLPDigits,Small MLP digits hidden=16,1.0,0,FreshAdamSign/GD,1.0000733637137291,0.00016889317987045516,0.6195654845361362,-0.00016889317987045516,0.6292031469859284,-2.6376389625237807e-05,0.6308752665423942,-2.614019314054886e-05,0.6521679070353174,-0.34783209296468265,1.573112601087252,3.292542453039461,1.5405955546528702,1.0868622094545786
SmallMLPDigits,Small MLP digits hidden=16,1.0,0,PolarMuon/FreshAdamSign,0.9999840988017297,-3.6609392150221964e-05,1.1330984818899763,3.6609392150221964e-05,1.0096649189852693,4.3258196984474344e-07,1.006129373812089,2.7383897178415075e-07,1.0023969716034686,0.0015632279538572158,1.4384412094089705,3.962439121622868,4.1971326340458734,9.902647322949
SmallMLPDigits,Small MLP digits hidden=16,1.0,1,PolarMuon/GD,1.0000718104622024,0.00016531003901842922,0.6693881229429135,-0.00016531003901842922,0.6622259802990026,-2.9265853003490608e-05,0.6629045291779224,-2.9190315324154154e-05,0.6671477492976632,-0.3328522507023367,2.214216339093876,7.128848310585591,6.042387311200835,10.848532487167457
SmallMLPDigits,Small MLP digits hidden=16,1.0,1,FreshAdamSign/GD,1.0001005821506053,0.00023154340929121275,0.5369246682143063,-0.00023154340929121275,0.603277876487146,-3.4373310772206625e-05,0.6068206080753918,-3.4046824780081945e-05,0.609282342918512,-0.39071765708148787,1.6471940686946522,3.7997745497955933,1.6001026611480575,1.2911013798243807
SmallMLPDigits,Small MLP digits hidden=16,1.0,1,PolarMuon/FreshAdamSign,0.9999712312052244,-6.623337027278353e-05,1.246707708865662,6.623337027278353e-05,1.0977130209964072,5.107457768716017e-06,1.0924225716071307,4.856509455927791e-06,1.0949730565011473,0.05786540637915116,1.344235255077485,3.3290737607899974,3.776249773164856,9.557431107343078
SmallMLPDigits,Small MLP digits hidden=16,1.0,2,PolarMuon/GD,1.0000787172246577,0.00018119932424998098,0.6918712924751209,-0.00018119932424998098,0.651198695682564,-2.8498239597807283e-05,0.6476842032946657,-2.878605364712669e-05,0.640360511842208,-0.359639488157792,2.286908530892862,7.3154700660789,6.389256103202361,10.965334337829333
SmallMLPDigits,Small MLP digits hidden=16,1.0,2,FreshAdamSign/GD,1.0000799624017425,0.00018406559967187874,0.6869972028789518,-0.00018406559967187874,0.6690013758511361,-2.70437007567903e-05,0.6696427837331316,-2.699192213094862e-05,0.669608839002758,-0.330391160997242,1.611854680074021,3.4781062440904904,1.6570743093148539,1.3369265346574157
SmallMLPDigits,Small MLP digits hidden=16,1.0,2,PolarMuon/FreshAdamSign,0.9999987549224747,-2.866275421897768e-06,1.007094773567845,2.866275421897768e-06,0.9733891725619809,-1.4545388410169821e-06,0.9672085162837849,-1.7941315161780716e-06,0.9563202791586364,-0.029248327160550036,1.4188056523729797,3.8373638219884096,3.8557450726781886,9.628407803171918
SmallMLPDigits,Small MLP digits hidden=16,1.0,3,PolarMuon/GD,1.0000397453753906,9.149961258936301e-05,0.8330643768783026,-9.149961258936301e-05,0.6528171668563294,-2.5273394920022337e-05,0.6534659327205091,-2.5213980189326248e-05,0.6548034150649086,-0.3451965849350913,2.3202190533186653,7.397080749162116,6.484386438892889,10.995184259527301
SmallMLPDigits,Small MLP digits hidden=16,1.0,3,FreshAdamSign/GD,1.0000663629949416,0.0001527772292435614,0.7212669951179093,-0.0001527772292435614,0.5921264333818821,-2.9691415422927744e-05,0.5937916018257555,-2.9555912308162017e-05,0.5893856194354476,-0.41061438056455224,1.7270057721227767,4.0733546360969655,1.6114945731963048,1.2259339455575673
SmallMLPDigits,Small MLP digits hidden=16,1.0,3,PolarMuon/FreshAdamSign,0.9999733841467568,-6.12776166541984e-05,1.1550013830067425,6.12776166541984e-05,1.1024962407569225,4.418020502905408e-06,1.100497094790951,4.341932118835769e-06,1.1109931994813895,0.06541779562946093,1.3434923558285106,3.3237261130651508,4.023833866242248,9.769250313969733
SmallMLPDigits,Small MLP digits hidden=16,1.0,4,PolarMuon/GD,1.0000857772579492,0.0001974623538756326,0.7049335510322905,-0.0001974623538756326,0.6704270186408058,-2.5590648651219187e-05,0.6682816499368188,-2.6011047872471624e-05,0.6589361791220764,-0.34106382087792364,2.2620840412747643,7.253087081294274,6.872163481234124,11.108310427203978
