score,score_family,checkpoint_transfer_pairs,mean_spearman,spearman_ci95_low,spearman_ci95_high,mean_pearson,pearson_ci95_low,pearson_ci95_high,mean_top5_overlap_fraction,top5_overlap_ci95_low,top5_overlap_ci95_high
source_observed_drift_positive_control,positive_control,6,0.980952380952381,0.9739145584324637,0.9879902034722984,0.9829464378552929,0.9784982608153361,0.9873946148952497,1.0,1.0,1.0
early_layer_prior,architecture_prior,6,0.9125541125541125,0.9028798968259986,0.9222283282822263,0.8353960178504115,0.8168756917113225,0.8539163439895006,1.0,1.0,1.0
gradient_nuclear_rank,condition_candidate,6,-0.0829004329004329,-0.16288177599582307,-0.0029190898050427405,-0.14367789819753365,-0.21701462475118938,-0.07034117164387792,0.0,0.0,0.0
alignment_ratio,condition_candidate,6,-0.07922077922077923,-0.1772764108135253,0.01883485237196683,-0.14172210221531883,-0.21796403910861673,-0.06548016532202096,0.0,0.0,0.0
step_size_ratio,condition_candidate,6,0.08463203463203463,-0.018805367863764993,0.18806943712783425,0.14520434676820657,0.05805478495966236,0.23235390857675076,0.19999999999999998,0.19999999999999996,0.2
scaled_jvp_ratio,condition_candidate,6,-0.3203463203463203,-0.35623432080156786,-0.2844583198910728,-0.25913981615680143,-0.32165282251261507,-0.19662680980098776,0.19999999999999998,0.19999999999999996,0.2
inverse_scaled_jvp_ratio,condition_candidate,6,0.3203463203463203,0.2844583198910728,0.35623432080156786,0.25913981615680143,0.19662680980098776,0.32165282251261507,0.0,0.0,0.0
early_plus_gradient_rank,condition_candidate,6,0.8004329004329005,0.7861289456605169,0.814736855205284,0.7491343339387159,0.7364324734525275,0.7618361944249042,0.6,0.6,0.6
early_minus_scaled_jvp,condition_candidate,6,0.8655844155844155,0.8577594713631372,0.8734093598056937,0.8278827355744669,0.8160818410918587,0.8396836300570751,0.6,0.6,0.6
early_plus_rank_minus_scaled_jvp,condition_candidate,6,0.587012987012987,0.5656453149247992,0.6083806591011748,0.5992737222188663,0.5730895036639168,0.6254579407738159,0.3333333333333333,0.2506924771475997,0.41597418951906695
