source_warmup_steps,target_warmup_steps,score,score_family,points,spearman_score_vs_target_observed,spearman_ci95_low,spearman_ci95_high,pearson_score_vs_target_observed,pearson_ci95_low,pearson_ci95_high,top5_risk_overlap_fraction
2000,5000,source_observed_drift_positive_control,positive_control,21,0.9766233766233766,0.9382845697005502,0.9912528636613431,0.9816395213990639,0.9513248511359528,0.9931407136593955,1.0
2000,5000,early_layer_prior,architecture_prior,21,0.916883116883117,0.790930483263557,0.9682994772889666,0.8651248718816538,0.6740752741272326,0.9476852256624767,1.0
2000,5000,gradient_nuclear_rank,condition_candidate,21,0.01038961038961039,-0.4500811905202852,0.4664958136486137,-0.10182856192990915,-0.5351788979006384,0.373951659720631,0.0
2000,5000,alignment_ratio,condition_candidate,21,0.045454545454545456,-0.42165745877423627,0.49350098787168734,-0.09502896520664957,-0.5302613369641275,0.3798424262894807,0.0
2000,5000,step_size_ratio,condition_candidate,21,-0.04935064935064935,-0.49644916689292024,0.41844156565368595,0.07865475028989283,-0.39387176991066636,0.5182978814152875,0.2
2000,5000,scaled_jvp_ratio,condition_candidate,21,-0.32857142857142857,-0.6839071451779433,0.15276093648656258,-0.2752009689829183,-0.6513698446024356,0.20955871591688818,0.2
2000,5000,inverse_scaled_jvp_ratio,condition_candidate,21,0.32857142857142857,-0.15276093648656258,0.6839071451779433,0.2752009689829183,-0.20955871591688818,0.6513698446024356,0.0
2000,5000,early_plus_gradient_rank,condition_candidate,21,0.7779220779220779,0.49668364269062637,0.9113235101349247,0.724135482922226,0.39785125612572664,0.8878075086039587,0.6
2000,5000,early_minus_scaled_jvp,condition_candidate,21,0.8610389610389609,0.6652404924452185,0.9460280253861115,0.8085709914796388,0.5564633926008928,0.9243451476378607,0.6
2000,5000,early_plus_rank_minus_scaled_jvp,condition_candidate,21,0.548051948051948,0.11982217589268537,0.8043396154624706,0.5681699447364247,0.14851749948860932,0.8144168895303422,0.2
2000,10000,source_observed_drift_positive_control,positive_control,21,0.974025974025974,0.9315747644984401,0.9902729604829006,0.977488598532628,0.9405261019431015,0.991578921884116,1.0
2000,10000,early_layer_prior,architecture_prior,21,0.9233766233766234,0.8062695512856355,0.9708371924237571,0.8179250360301648,0.5752432727865922,0.9282663524275954,1.0
2000,10000,gradient_nuclear_rank,condition_candidate,21,0.06883116883116883,-0.4021842102955634,0.5110369558909821,0.015237288811140183,-0.4462064537403459,0.4702805885128964,0.0
2000,10000,alignment_ratio,condition_candidate,21,0.10259740259740259,-0.3732831573356844,0.5357330917738798,0.022222667795260567,-0.44059246577607963,0.47570507121110034,0.0
