seed,geometry,dataset,model,updated_parameter_subset,head_classes,tail_classes,head_train_examples,tail_train_examples,tail_eval_examples,warmup_steps,head_loss_before,head_loss_after,actual_head_loss_decrease,actual_head_gain_relative_error,matched_first_order_head_gain,tail_loss_before,tail_loss_after,tail_loss_increase,tail_accuracy_before,tail_accuracy_after,tail_accuracy_drop,tail_margin_before,tail_margin_after,tail_margin_drop,tail_positive_margin_fraction_before,tail_margin_certified_preserved_fraction,tail_prediction_changed_fraction,tail_positive_margin_prediction_changed_fraction,tail_output_drift_fro,tail_output_drift_rms,centered_tail_output_drift_fro,true_logit_delta_fro,competitor_logit_delta_fro,margin_delta_fro,margin_delta_rms,tail_output_jvp_fro,tail_output_linearization_residual_fro,tail_output_linearization_relative_error,update_fro_norm,update_op_norm,step_size,alignment,nrG,stA_tail,condition_score_tail,mean_matrix_update_nuclear_rank,device,dtype,protocol_version,search_id,setting_id,setting_index,phase,multiplicity_family,planned_family_size,partition_id,head_train_per_class,tail_train_per_class,tail_eval_per_class,target_head_gain_fraction_registered,fresh_protocol_id,protocol_status
3,spectral,CIFAR10,resnet18_cifar_stem,conv_and_linear_weights_only,"1,4,5,7,9","0,2,3,6,8",1500,150,200,500,0.00012551588588394225,0.00012527609942480922,2.39786459133029e-07,0.044796372011641036,2.510317717678845e-07,4.276690483093262,4.277212142944336,0.0005216598510742188,0.04,0.04,0.0,-3.788991689682007,-3.7896177768707275,0.0006260871887207031,0.04,1.0,0.0,0.0,0.07234087586402893,0.001617591129615903,0.07219939678907394,0.01832738146185875,0.03558528795838356,0.043017156422138214,0.003041772171854973,,,,0.0001453344579716687,2.210165121141472e-06,2.2098066484858932e-06,0.11359897570218891,13.824800916060488,,,205.95238082279255,cuda,float32,nns_phase1_runner_v1,NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_b_w500_rho0p002_tail30,4,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar10_cross_b,300,30,40,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
4,frobenius,CIFAR10,resnet18_cifar_stem,conv_and_linear_weights_only,"1,4,5,7,9","0,2,3,6,8",1500,150,200,500,0.00012037487613270059,0.00012017140397801995,2.034721546806395e-07,0.1548396093204161,2.407497522654012e-07,4.222387313842773,4.223160266876221,0.0007729530334472656,0.095,0.095,0.0,-3.6412196159362793,-3.6419997215270996,0.0007801055908203125,0.095,1.0,0.0,0.0,0.09668967872858047,0.0021620469633489847,0.09644681215286255,0.022503139451146126,0.048138540238142014,0.057727571576833725,0.004081955645233393,,,,3.633014733849128e-05,1.2512567082012538e-05,3.633014616662078e-05,0.006626721267821267,13.056241822834878,,,13.056235480864396,cuda,float32,nns_phase1_runner_v1,NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_b_w500_rho0p002_tail30,4,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar10_cross_b,300,30,40,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
4,spectral,CIFAR10,resnet18_cifar_stem,conv_and_linear_weights_only,"1,4,5,7,9","0,2,3,6,8",1500,150,200,500,0.00012037487613270059,0.00012013788364129141,2.3699249140918255e-07,0.015606499366515045,2.407497522654012e-07,4.222387313842773,4.222719192504883,0.000331878662109375,0.095,0.095,0.0,-3.6412196159362793,-3.6415371894836426,0.00031757354736328125,0.095,1.0,0.0,0.0,0.07766424119472504,0.0017366253305226564,0.07744596153497696,0.019597109407186508,0.03828994184732437,0.046093910932540894,0.003259331686422229,,,,0.0001499221074184129,2.2799551970820175e-06,2.279560828303132e-06,0.10561233956832439,13.056241822834878,,,205.9523808184964,cuda,float32,nns_phase1_runner_v1,NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_b_w500_rho0p002_tail30,4,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar10_cross_b,300,30,40,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
0,frobenius,CIFAR10,resnet18_cifar_stem,conv_and_linear_weights_only,"1,4,5,7,9","0,2,3,6,8",1500,150,200,500,0.00012861352297477424,0.00012797521776519716,6.383052095770836e-07,0.0074057613641790344,6.430676148738713e-07,4.003568649291992,4.005908012390137,0.0023393630981445312,0.075,0.075,0.0,-3.462661027908325,-3.4654009342193604,0.0027399063110351562,0.075,0.9333333333333333,0.0,0.0,0.16126078367233276,0.0036059010308235884,0.1610822081565857,0.034441813826560974,0.08023503422737122,0.09613952785730362,0.0067980908788740635,,,,8.798108387285275e-05,2.980383942485787e-05,8.79810810076459e-05,0.007309157917916309,13.327526680725343,,,13.327522050123006,cuda,float32,nns_phase1_runner_v1,NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_b_w500_rho0p005_tail30,5,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar10_cross_b,300,30,40,0.005,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
0,spectral,CIFAR10,resnet18_cifar_stem,conv_and_linear_weights_only,"1,4,5,7,9","0,2,3,6,8",1500,150,200,500,0.00012861352297477424,0.00012797894305549562,6.345799192786217e-07,0.01319876075070945,6.430676148738713e-07,4.003568649291992,4.005112171173096,0.0015435218811035156,0.075,0.075,0.0,-3.462661027908325,-3.464545249938965,0.0018842220306396484,0.075,0.9333333333333333,0.0,0.0,0.10085587948560715,0.0022552059963345528,0.10070447623729706,0.024722624570131302,0.048501092940568924,0.06107620149850845,0.004318739753216505,,,,0.00036084053072424664,5.487546332005877e-06,5.486571004800743e-06,0.11720756266731769,13.327526680725343,,,205.95238081927403,cuda,float32,nns_phase1_runner_v1,NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_b_w500_rho0p005_tail30,5,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar10_cross_b,300,30,40,0.005,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
1,frobenius,CIFAR10,resnet18_cifar_stem,conv_and_linear_weights_only,"1,4,5,7,9","0,2,3,6,8",1500,150,200,500,0.00012986900401301682,0.00012916084961034358,7.081544026732445e-07,0.09056723435295749,6.493450200650841e-07,4.103543758392334,4.10646915435791,0.002925395965576172,0.05,0.05,0.0,-3.59977650642395,-3.6029317378997803,0.003155231475830078,0.05,1.0,0.005,0.0,0.14623476564884186,0.0032699089497327805,0.14599841833114624,0.03637871518731117,0.06905297935009003,0.08484536409378052,0.005999473389238119,,,,9.208872329856316e-05,3.2998847018461674e-05,9.208872503636752e-05,0.0070512977545149624,14.323660602753014,,,14.323632306264907,cuda,float32,nns_phase1_runner_v1,NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_b_w500_rho0p005_tail30,5,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar10_cross_b,300,30,40,0.005,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
1,spectral,CIFAR10,resnet18_cifar_stem,conv_and_linear_weights_only,"1,4,5,7,9","0,2,3,6,8",1500,150,200,500,0.00012986900401301682,0.00012917016283608973,6.988411769270897e-07,0.07622474236738513,6.493450200650841e-07,4.103543758392334,4.104896068572998,0.0013523101806640625,0.05,0.05,0.0,-3.59977650642395,-3.6011717319488525,0.0013952255249023438,0.05,1.0,0.0,0.0,0.09505395591259003,0.002125471131876111,0.094850093126297,0.022290663793683052,0.04707755520939827,0.05623306706547737,0.003976278472691774,,,,0.00036723672625167534,5.5847654039098416e-06,5.583824240128973e-06,0.11629037593957037,14.323660602753014,,,205.95238082068252,cuda,float32,nns_phase1_runner_v1,NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_b_w500_rho0p005_tail30,5,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar10_cross_b,300,30,40,0.005,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
2,frobenius,CIFAR10,resnet18_cifar_stem,conv_and_linear_weights_only,"1,4,5,7,9","0,2,3,6,8",1500,150,200,500,0.00011825245746877044,0.00011766440729843453,5.880501703359187e-07,0.005432643137723984,5.912622873438522e-07,3.9806106090545654,3.9826745986938477,0.0020639896392822266,0.135,0.14,-0.0050000000000000044,-3.3607287406921387,-3.362786293029785,0.0020575523376464844,0.135,0.9629629629629629,0.005,0.0,0.1449255794286728,0.003240634687244892,0.14462344348430634,0.0335562489926815,0.07492168247699738,0.09246042370796204,0.006537938956171274,,,,8.036691031062371e-05,2.5890536562656052e-05,8.036691142863413e-05,0.007357036332905409,11.850392671078595,,,11.850410513872209,cuda,float32,nns_phase1_runner_v1,NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_b_w500_rho0p005_tail30,5,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar10_cross_b,300,30,40,0.005,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
2,spectral,CIFAR10,resnet18_cifar_stem,conv_and_linear_weights_only,"1,4,5,7,9","0,2,3,6,8",1500,150,200,500,0.00011825245746877044,0.00011765277304220945,5.99684426560998e-07,0.014244336899924392,5.912622873438522e-07,3.9806106090545654,3.981843948364258,0.0012333393096923828,0.135,0.135,0.0,-3.3607287406921387,-3.3619744777679443,0.001245737075805664,0.135,1.0,0.0,0.0,0.09635253995656967,0.002154508139938116,0.09613870084285736,0.0241737961769104,0.047838304191827774,0.0597345344722271,0.004223869647830725,,,,0.00034677901862413893,5.273686383588938e-06,5.2727652726686656e-06,0.11213514290284365,11.850392671078595,,,205.95238082159563,cuda,float32,nns_phase1_runner_v1,NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_b_w500_rho0p005_tail30,5,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar10_cross_b,300,30,40,0.005,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
3,frobenius,CIFAR10,resnet18_cifar_stem,conv_and_linear_weights_only,"1,4,5,7,9","0,2,3,6,8",1500,150,200,500,0.00012551588588394225,0.0001249068882316351,6.089976523071527e-07,0.029608645920310123,6.275794294197112e-07,4.276690483093262,4.278420448303223,0.0017299652099609375,0.04,0.04,0.0,-3.788991689682007,-3.7909393310546875,0.001947641372680664,0.04,1.0,0.0,0.0,0.14555591344833374,0.0032547293230891228,0.14540411531925201,0.03010116145014763,0.07100873440504074,0.0839625746011734,0.005937050562351942,,,,9.011320480990715e-05,2.9182740036048926e-05,9.011320571070691e-05,0.006964344731386518,13.824800916060488,,,13.82474716903584,cuda,float32,nns_phase1_runner_v1,NNS-P1-cifar10lt-resnet18-cross-partitions,cifar10_cross_b_w500_rho0p005_tail30,5,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar10_cross_b,300,30,40,0.005,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
