mode,problem_family,base_setting,algo,lr,runs,mean_final_loss,final_loss_ci95_low,final_loss_ci95_high,mean_total_loss_decrease,total_loss_decrease_ci95_low,total_loss_decrease_ci95_high
equal_update,MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.0001,5,0.00015434335433057658,0.00014652639463551354,0.00016216031402563962,9.677484769925626e-08,8.408565720583864e-08,1.0946403819267388e-07
equal_update,MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.0003,5,0.00015414041522991527,0.0001463333215475131,0.00016194750891231744,2.9971394836053555e-07,2.6214102487861293e-07,3.372868718424582e-07
equal_update,MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.001,5,0.00015325152846573062,0.00014553837345282898,0.00016096468347863226,1.188600712545188e-06,1.0428567907831776e-06,1.3343446343071985e-06
equal_update,MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.003,5,0.0001483282002378094,0.00014128252651853765,0.00015537387395708117,6.111928940466402e-06,5.275995806017823e-06,6.947862074914981e-06
equal_update,MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.01,5,9.334989598947622e-05,9.06292496234236e-05,9.607054235552883e-05,6.10902331887996e-05,5.158747629136958e-05,7.059299008622961e-05
equal_update,MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.03,5,2.538262206090324e-05,1.599236709402348e-05,3.4772877027783e-05,0.0001290575071173726,0.00012024747312046963,0.0001378675411142756
equal_update,MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.0001,5,0.0001543931528197792,0.00014657572708290755,0.00016221057855665084,4.697635849661565e-08,4.0804032353972147e-08,5.314868463925915e-08
equal_update,MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.0003,5,0.00015429886968560362,0.0001464844650276286,0.00016211327434357864,1.4125949267220417e-07,1.2286571496662246e-07,1.5965327037778589e-07
equal_update,MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.001,5,0.00015395510501012665,0.00014616097865022281,0.0001617492313700305,4.850241681491588e-07,4.2328453300051303e-07,5.467638032978046e-07
equal_update,MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.003,5,0.00015267064185014594,0.000144997106215384,0.00016034417748490788,1.7694873281298956e-06,1.5173786982590075e-06,2.0215959580007837e-06
equal_update,MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.01,5,0.00014057658616330776,0.00013395949330609946,0.00014719367902051606,1.386354301496807e-05,1.1930689684926949e-05,1.579639634500919e-05
equal_update,MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.03,5,1.1894040870408227e-05,7.34060700876758e-06,1.6447474732048872e-05,0.0001425460883078676,0.00013079265069200577,0.00015429952592372942
equal_update,MatrixFactorizationInput,MF input kappa=1e+05,Adam,0.0001,5,0.00013995261370745225,0.0001330682803111717,0.0001468369471037328,8.77729761771613e-08,7.650535995814563e-08,9.904059239617697e-08
equal_update,MatrixFactorizationInput,MF input kappa=1e+05,Adam,0.0003,5,0.00013976459388448332,0.00013288471054849344,0.0001466444772204732,2.757927991460627e-07,2.46035592926119e-07,3.055500053660064e-07
equal_update,MatrixFactorizationInput,MF input kappa=1e+05,Adam,0.001,5,0.00013887728308466146,0.0001321033969121208,0.00014565116925720212,1.1631035989679618e-06,1.0340422996887064e-06,1.2921648982472172e-06
equal_update,MatrixFactorizationInput,MF input kappa=1e+05,Adam,0.003,5,0.0001334764879726517,0.00012743036287932928,0.00013952261306597412,6.563898710977703e-06,5.645737144345823e-06,7.482060277609582e-06
equal_update,MatrixFactorizationInput,MF input kappa=1e+05,Adam,0.01,5,7.393915591063237e-05,7.19059392208793e-05,7.597237260038544e-05,6.610123077299704e-05,5.867701357085174e-05,7.352544797514233e-05
equal_update,MatrixFactorizationInput,MF input kappa=1e+05,Adam,0.03,5,2.1061667527163387e-05,1.8980743846349714e-05,2.314259120797706e-05,0.00011897871915646601,0.00011181738487732598,0.00012614005343560605
equal_update,MatrixFactorizationInput,MF input kappa=1e+05,Muon,0.0001,5,0.00014000401369671178,0.0001331220242729302,0.00014688600312049338,3.6372986917613397e-08,3.195263363546545e-08,4.079334019976134e-08
equal_update,MatrixFactorizationInput,MF input kappa=1e+05,Muon,0.0003,5,0.0001399309405568683,0.00013304863242389345,0.00014681324868984317,1.0944612676109535e-07,9.664224044643101e-08,1.2225001307575968e-07
equal_update,MatrixFactorizationInput,MF input kappa=1e+05,Muon,0.001,5,0.0001396644786505826,0.00013279286509291043,0.0001465360922082548,3.7590803304676897e-07,3.335020367544663e-07,4.183140293390716e-07
equal_update,MatrixFactorizationInput,MF input kappa=1e+05,Muon,0.003,5,0.0001386730758902617,0.00013191371553666683,0.00014543243624385658,1.3673107933676878e-06,1.1549409577277618e-06,1.5796806290076138e-06
equal_update,MatrixFactorizationInput,MF input kappa=1e+05,Muon,0.01,5,0.0001293466163319929,0.00012353259206904414,0.00013516064059494165,1.069377035163651e-05,8.793723643872501e-06,1.2593817059400518e-05
equal_update,MatrixFactorizationInput,MF input kappa=1e+05,Muon,0.03,5,1.1517738942083795e-05,4.30987914528197e-06,1.872559873888562e-05,0.0001285226477415456,0.00011615029913529746,0.00014089499634779373
equal_update,MatrixSensing,Matrix sensing kappa=1e+02,Adam,0.0001,5,0.012331523721327968,0.011958204262288955,0.012704843180366982,0.00016586693760413246,0.00016369430309906186,0.00016803957210920307
equal_update,MatrixSensing,Matrix sensing kappa=1e+02,Adam,0.0003,5,0.012003362230216964,0.01163212626108501,0.012374598199348916,0.0004940284287151348,0.0004875387601928161,0.0005005180972374534
equal_update,MatrixSensing,Matrix sensing kappa=1e+02,Adam,0.001,5,0.01089279634923474,0.010529219664100933,0.011256373034368546,0.0016045943096973606,0.001583555660465902,0.0016256329589288193
equal_update,MatrixSensing,Matrix sensing kappa=1e+02,Adam,0.003,5,0.008048153996718632,0.007711481851694282,0.008384826141742982,0.004449236662213466,0.004392731421251187,0.004505741903175745
equal_update,MatrixSensing,Matrix sensing kappa=1e+02,Adam,0.01,5,0.0018253489568513463,0.0016526786928181703,0.0019980192208845222,0.010672041702080753,0.010458469599866174,0.010885613804295332
equal_update,MatrixSensing,Matrix sensing kappa=1e+02,Adam,0.03,5,0.008040197446296074,0.007820080074094533,0.008260314818497615,0.004457193212636027,0.004007890572691558,0.004906495852580495
equal_update,MatrixSensing,Matrix sensing kappa=1e+02,Muon,0.0001,5,0.012325624310205018,0.011952544658478182,0.012698703961931854,0.00017176634872708257,0.00016950238414366773,0.0001740303133104974
equal_update,MatrixSensing,Matrix sensing kappa=1e+02,Muon,0.0003,5,0.011986362979640623,0.011615847242801904,0.012356878716479341,0.0005110276792914786,0.0005043035354851772,0.0005177518230977799
equal_update,MatrixSensing,Matrix sensing kappa=1e+02,Muon,0.001,5,0.01084348943307966,0.010482207419512004,0.011204771446647317,0.0016539012258524396,0.0016322310816919497,0.0016755713700129294
equal_update,MatrixSensing,Matrix sensing kappa=1e+02,Muon,0.003,5,0.007951572651700035,0.007619811958803118,0.008283333344596952,0.004545818007232067,0.004485304367858547,0.004606331646605586
equal_update,MatrixSensing,Matrix sensing kappa=1e+02,Muon,0.01,5,0.0017414084517412974,0.0015564815236526952,0.0019263353798298997,0.010755982207190802,0.010550968440528425,0.010960995973853178
equal_update,MatrixSensing,Matrix sensing kappa=1e+02,Muon,0.03,5,0.0005358377649344853,0.00047195551350219316,0.0005997200163667774,0.011961552893997616,0.011563871874828612,0.01235923391316662
equal_update,MatrixSensing,Matrix sensing kappa=1e+05,Adam,0.0001,5,0.011298699750991377,0.010959994955271689,0.011637404546711066,0.00015906186556239078,0.00015559175473636787,0.0001625319763884137
equal_update,MatrixSensing,Matrix sensing kappa=1e+05,Adam,0.0003,5,0.010984149533073006,0.010649510704724908,0.011318788361421105,0.0004736120834807608,0.0004633014829292315,0.00048392268403229014
equal_update,MatrixSensing,Matrix sensing kappa=1e+05,Adam,0.001,5,0.009921625582209829,0.009600342747670337,0.010242908416749321,0.00153613603434394,0.0015032300959466267,0.0015690419727412534
equal_update,MatrixSensing,Matrix sensing kappa=1e+05,Adam,0.003,5,0.007213817139879909,0.006928614537198307,0.0074990197425615105,0.004243944476673859,0.004157849645836049,0.004330039307511669
equal_update,MatrixSensing,Matrix sensing kappa=1e+05,Adam,0.01,5,0.001487458122929496,0.0013354166641150842,0.001639499581743908,0.009970303493624271,0.009771617379066231,0.010168989608182312
equal_update,MatrixSensing,Matrix sensing kappa=1e+05,Adam,0.03,5,0.007788349939880704,0.007630230087030236,0.00794646979273117,0.0036694116766730644,0.003305235448170008,0.004033587905176121
equal_update,MatrixSensing,Matrix sensing kappa=1e+05,Muon,0.0001,5,0.011293199363967537,0.01095398747498836,0.011632411252946714,0.00016456225258623149,0.00016178536969123648,0.0001673391354812265
equal_update,MatrixSensing,Matrix sensing kappa=1e+05,Muon,0.0003,5,0.010968369101054186,0.010632269400817995,0.011304468801290378,0.0004893925154995829,0.0004811349376097043,0.0004976500933894614
equal_update,MatrixSensing,Matrix sensing kappa=1e+05,Muon,0.001,5,0.009876217744495739,0.009551080774576698,0.01020135471441478,0.0015815438720580299,0.0015548605475932706,0.0016082271965227892
equal_update,MatrixSensing,Matrix sensing kappa=1e+05,Muon,0.003,5,0.007129978295711716,0.00683841987750939,0.007421536713914042,0.0043277833208420526,0.004253171249961304,0.004402395391722801
equal_update,MatrixSensing,Matrix sensing kappa=1e+05,Muon,0.01,5,0.0014033972208943597,0.0012534836002238191,0.0015533108415649003,0.01005436439565941,0.009842275519747066,0.010266453271571753
equal_update,MatrixSensing,Matrix sensing kappa=1e+05,Muon,0.03,5,0.0005711408912811293,0.0005270891317618756,0.0006151926508003831,0.010886620725272637,0.010508108964158845,0.011265132486386428
equal_update,SmallMLPDigits,Small MLP digits hidden=16,Adam,0.0001,5,2.3025300064740923,2.3024503054167607,2.302609707531424,7.002787125802712e-05,-2.842961794392561e-05,0.00016848536045997985
equal_update,SmallMLPDigits,Small MLP digits hidden=16,Adam,0.0003,5,2.302407163141825,2.30232339011393,2.30249093616972,0.00019287120352506903,0.00010620533230447829,0.0002795370747456598
equal_update,SmallMLPDigits,Small MLP digits hidden=16,Adam,0.001,5,2.3019616809213272,2.301834698714266,2.3020886631283886,0.0006383534240234745,0.0005451072645098131,0.0007315995835371358
equal_update,SmallMLPDigits,Small MLP digits hidden=16,Adam,0.003,5,2.3001990155147807,2.2998208096373447,2.3005772213922167,0.0024010188305693347,0.002042793388231719,0.00275924427290695
equal_update,SmallMLPDigits,Small MLP digits hidden=16,Adam,0.01,5,2.287561716871242,2.2852643662938994,2.289859067448585,0.015038317474108175,0.012760657567398779,0.01731597738081757
equal_update,SmallMLPDigits,Small MLP digits hidden=16,Adam,0.03,5,2.184683076489951,2.169465583171707,2.199900569808195,0.11791695785539939,0.10270600538758018,0.1331279103232186
equal_update,SmallMLPDigits,Small MLP digits hidden=16,Muon,0.0001,5,2.302536409660351,2.302456718063913,2.3026161012567887,6.362468500009655e-05,-3.825282033342928e-05,0.0001655021903336224
equal_update,SmallMLPDigits,Small MLP digits hidden=16,Muon,0.0003,5,2.302424646524021,2.3023486905018338,2.302500602546208,0.00017538782132966446,8.225919539224356e-05,0.00026851644726708535
equal_update,SmallMLPDigits,Small MLP digits hidden=16,Muon,0.001,5,2.302014323256357,2.3019106337251696,2.3021180127875445,0.000585711088993257,0.0005020924123296653,0.0006693297656568488
equal_update,SmallMLPDigits,Small MLP digits hidden=16,Muon,0.003,5,2.3004356992747477,2.300259327290496,2.3006120712589992,0.002164335070602963,0.0020359255295832055,0.0022927446116227206
equal_update,SmallMLPDigits,Small MLP digits hidden=16,Muon,0.01,5,2.2889846171420682,2.2882951298195895,2.289674104464547,0.01361541720328221,0.01294333070926986,0.01428750369729456
equal_update,SmallMLPDigits,Small MLP digits hidden=16,Muon,0.03,5,2.2082253877262032,2.2031148845560637,2.2133358908963428,0.09437464661914712,0.08924907811516736,0.09950021512312687
equal_update,SmallMLPDigits,Small MLP digits hidden=64,Adam,0.0001,5,2.3023346729856113,2.302005854974988,2.3026634909962347,0.00025099935522998607,-7.306955939818656e-05,0.0005750682698581587
equal_update,SmallMLPDigits,Small MLP digits hidden=64,Adam,0.0003,5,2.3019238809027733,2.301575295952939,2.3022724658526075,0.0006617914380679047,0.0003362147650496656,0.0009873681110861437
equal_update,SmallMLPDigits,Small MLP digits hidden=64,Adam,0.001,5,2.3004204173683895,2.299996246128458,2.300844588608321,0.002165254972451791,0.0018447595688236365,0.0024857503760799455
equal_update,SmallMLPDigits,Small MLP digits hidden=64,Adam,0.003,5,2.2950602635550887,2.2942821344524322,2.2958383926577453,0.007525408785752763,0.006963923128753371,0.008086894442752155
equal_update,SmallMLPDigits,Small MLP digits hidden=64,Adam,0.01,5,2.2537736636534187,2.25183920721376,2.2557081200930775,0.04881200868742228,0.04700901285601295,0.050615004518831615
equal_update,SmallMLPDigits,Small MLP digits hidden=64,Adam,0.03,5,1.8386688389601737,1.8169966546601943,1.8603410232601532,0.46391683338066764,0.44219558888753935,0.4856380778737959
equal_update,SmallMLPDigits,Small MLP digits hidden=64,Muon,0.0001,5,2.3024109672075666,2.3020881433842497,2.3027337910308834,0.00017470513327477732,-0.0001464942872556522,0.0004959045538052069
equal_update,SmallMLPDigits,Small MLP digits hidden=64,Muon,0.0003,5,2.3021551992158398,2.301825393962482,2.3024850044691973,0.00043047312500146264,0.0001127280609202113,0.000748218189082714
equal_update,SmallMLPDigits,Small MLP digits hidden=64,Muon,0.001,5,2.301247143389053,2.300887164148232,2.3016071226298744,0.0013385289517881204,0.001032276497846753,0.0016447814057294879
equal_update,SmallMLPDigits,Small MLP digits hidden=64,Muon,0.003,5,2.2983967224522894,2.2978959506693766,2.2988974942352023,0.0041889498885519846,0.0038463393689362043,0.004531560408167765
equal_update,SmallMLPDigits,Small MLP digits hidden=64,Muon,0.01,5,2.2830899660773,2.2818074796971763,2.2843724524574234,0.019495706263541468,0.018434565337813315,0.02055684718926962
equal_update,SmallMLPDigits,Small MLP digits hidden=64,Muon,0.03,5,2.1893391875347943,2.1840105567866064,2.194667818282982,0.11324648480604704,0.10806070332699678,0.1184322662850973
raw,MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.0001,5,0.00015409096181652623,0.00014628638579898898,0.00016189553783406348,3.491673617495711e-07,2.9800152963955454e-07,4.003331938595877e-07
raw,MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.0003,5,0.00015321102031168565,0.00014552326229392898,0.00016089877832944232,1.2291088665901818e-06,1.0217565106417728e-06,1.4364612225385908e-06
raw,MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.001,5,0.00014666010305409158,0.00014012504337124082,0.00015319516273694234,7.780026124184228e-06,6.191359532246796e-06,9.368692716121661e-06
raw,MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.003,5,9.015349936290827e-05,8.420631217870217e-05,9.610068654711437e-05,6.428662981536756e-05,5.211534451524867e-05,7.645791511548644e-05
raw,MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.01,5,1.663215059218608e-05,1.3593005355183175e-05,1.9671295829188984e-05,0.00013780797858608976,0.00013257199848427966,0.00014304395868789985
raw,MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.03,5,1.3337150706456078e-05,4.631260003772263e-06,2.2043041409139893e-05,0.00014110297847181973,0.00013331108488289924,0.00014889487206074022
raw,MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.0001,5,0.0001543931528197792,0.00014657572708290755,0.00016221057855665084,4.697635849661565e-08,4.0804032353972147e-08,5.314868463925915e-08
raw,MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.0003,5,0.00015429886968560362,0.0001464844650276286,0.00016211327434357864,1.4125949267220417e-07,1.2286571496662246e-07,1.5965327037778589e-07
raw,MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.001,5,0.00015395510501012665,0.00014616097865022281,0.0001617492313700305,4.850241681491588e-07,4.2328453300051303e-07,5.467638032978046e-07
raw,MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.003,5,0.0001526706418501459,0.00014499710621538396,0.00016034417748490786,1.7694873281298956e-06,1.5173786982590266e-06,2.0215959580007647e-06
raw,MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.01,5,0.00014057658616330776,0.00013395949330609946,0.00014719367902051606,1.3863543014968081e-05,1.1930689684926956e-05,1.5796396345009207e-05
raw,MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.03,5,1.1894040870408222e-05,7.340607008767586e-06,1.644747473204886e-05,0.0001425460883078676,0.0001307926506920058,0.0001542995259237294
raw,MatrixFactorizationInput,MF input kappa=1e+05,Adam,0.0001,5,0.00013973097604951746,0.0001328432828583768,0.00014661866924065811,3.094106341119322e-07,2.7166129256015e-07,3.4715997566371443e-07
raw,MatrixFactorizationInput,MF input kappa=1e+05,Adam,0.0003,5,0.00013888680547726197,0.00013212493681984957,0.00014564867413467437,1.1535812063674298e-06,9.844663416365508e-07,1.3226960710983089e-06
raw,MatrixFactorizationInput,MF input kappa=1e+05,Adam,0.001,5,0.0001321220613361992,0.00012658380916620314,0.00013766031350619527,7.918325347430213e-06,6.193623752242094e-06,9.643026942618332e-06
raw,MatrixFactorizationInput,MF input kappa=1e+05,Adam,0.003,5,7.6895048693697e-05,7.048195411220776e-05,8.330814327518624e-05,6.31453379899324e-05,5.264256141699574e-05,7.364811456286905e-05
raw,MatrixFactorizationInput,MF input kappa=1e+05,Adam,0.01,5,1.1384797635377484e-05,9.125002409072218e-06,1.3644592861682751e-05,0.00012865558904825194,0.00012218329042085966,0.00013512788767564422
raw,MatrixFactorizationInput,MF input kappa=1e+05,Adam,0.03,5,8.164669253465543e-06,1.2983340278263541e-06,1.5031004479104732e-05,0.00013187571743016388,0.00012545742281407573,0.00013829401204625203
