mode,problem_family,base_setting,n_seed_pairs,muon_lower_final_loss_pairs,muon_higher_total_decrease_pairs,final_loss_ratio_muon_over_adam,final_loss_ratio_ci95_low,final_loss_ratio_ci95_high,final_loss_ratio_ci95_below_one,final_loss_ratio_ci95_above_one,total_decrease_ratio_muon_over_adam,total_decrease_ratio_ci95_low,total_decrease_ratio_ci95_high,total_decrease_ratio_ci95_above_one,total_decrease_ratio_ci95_below_one,relative_decrease_ratio_muon_over_adam,relative_decrease_ratio_ci95_low,relative_decrease_ratio_ci95_high,mean_final_loss_delta_muon_minus_adam,final_loss_delta_ci95_low,final_loss_delta_ci95_high,mean_total_decrease_delta_muon_minus_adam,total_decrease_delta_ci95_low,total_decrease_delta_ci95_high
equal_update,MatrixFactorizationInput,MF input kappa=1e+02,5,5,5,0.46819284666647853,0.28340152060983526,0.7734769425300442,True,False,1.10385690634298,1.0204387189195745,1.1940943116811802,True,False,1.10385690634298,1.0204387189195745,1.1940943116811802,-1.3488581190495016e-05,-2.428027285523962e-05,-2.6968895257504123e-06,1.3488581190495007e-05,2.6968895257504106e-06,2.4280272855239604e-05
equal_update,MatrixFactorizationInput,MF input kappa=1e+05,5,4,4,0.5070299846987361,0.29787832350691057,0.8630349545311458,True,False,1.0784925987858875,1.011485279087422,1.149938916249326,True,False,1.0784925987858875,1.0114852790874218,1.149938916249326,-9.543928585079594e-06,-1.739872077127478e-05,-1.6891363988844089e-06,9.543928585079584e-06,1.6891363988844004e-06,1.739872077127477e-05
equal_update,MatrixSensing,Matrix sensing kappa=1e+02,5,5,5,0.2930755197672499,0.24792350806825456,0.34645064905743767,True,False,1.1206235016806383,1.1048842498728377,1.1365869616328645,True,False,1.1206235016806383,1.1048842498728377,1.1365869616328645,-0.0012895111919168608,-0.0014809304269539187,-0.0010980919568798029,0.0012895111919168614,0.0010980919568798035,0.0014809304269539194
equal_update,MatrixSensing,Matrix sensing kappa=1e+05,5,5,5,0.3844055979484114,0.3227786355491866,0.4577987743292202,True,False,1.0916769657506658,1.074172388720564,1.1094667951482835,True,False,1.0916769657506658,1.0741723887205643,1.1094667951482835,-0.0009163172316483668,-0.0011090176616706646,-0.000723616801626069,0.0009163172316483659,0.0007236168016260678,0.001109017661670664
equal_update,SmallMLPDigits,Small MLP digits hidden=16,5,0,0,1.010787389460618,1.0050815140000375,1.0165256573334738,False,True,0.8032896199471896,0.7249695315444796,0.8900708035828818,False,True,0.8032896199471896,0.7249695315444796,0.8900708035828818,0.023542311236252278,0.011193821527657948,0.035890800944846604,-0.023542311236252278,-0.035890800944846604,-0.011193821527657948
equal_update,SmallMLPDigits,Small MLP digits hidden=64,5,0,0,1.1907606625801779,1.1774258772177855,1.204246469339417,False,True,0.24411709646341556,0.23140489762952768,0.25752763833518943,False,True,0.24411709646341556,0.23140489762952768,0.25752763833518943,0.3506703485746206,0.33000885135306496,0.37133184579617623,-0.3506703485746206,-0.37133184579617623,-0.33000885135306496
raw,MatrixFactorizationInput,MF input kappa=1e+02,5,2,2,0.9953550704277674,0.5167011261535384,1.9174173735628135,False,False,0.9999579282215987,0.9406539100222873,1.0630007992945467,False,False,0.9999579282215988,0.9406539100222874,1.0630007992945467,-1.6402862673413387e-07,-8.800854844543753e-06,8.472797591075486e-06,1.640286267341447e-07,-8.472797591075467e-06,8.800854844543758e-06
raw,MatrixFactorizationInput,MF input kappa=1e+05,5,2,2,1.689746452815326,0.7350600316918088,3.8843671968265925,False,False,0.9632532590857429,0.8936659903032627,1.0382590936737337,False,False,0.9632532590857429,0.8936659903032628,1.0382590936737337,4.649628342090226e-06,-4.3798525551116535e-06,1.3679109239292105e-05,-4.6496283420902234e-06,-1.36791092392921e-05,4.379852555111654e-06
raw,MatrixSensing,Matrix sensing kappa=1e+02,5,5,5,0.46946574535719776,0.4210622982625248,0.5234334372211473,True,False,1.0531652008607286,1.0449622451459217,1.0614325497943062,True,False,1.0531652008607286,1.0449622451459217,1.0614325497943062,-0.0006025807230006686,-0.0006785358629476612,-0.0005266255830536759,0.0006025807230006685,0.0005266255830536762,0.0006785358629476608
raw,MatrixSensing,Matrix sensing kappa=1e+05,5,5,5,0.48185947411959396,0.45659292237734606,0.5085242048647483,True,False,1.0598398093528252,1.052767649592246,1.0669594776436093,True,False,1.0598398093528252,1.052767649592246,1.0669594776436093,-0.000614201790916742,-0.0006796351683340914,-0.0005487684134993926,0.0006142017909167415,0.0005487684134993924,0.0006796351683340905
raw,SmallMLPDigits,Small MLP digits hidden=16,5,0,0,1.42022937329639,1.288616464809676,1.5652845729173324,False,True,0.12825582823345888,0.10713466174945745,0.15354094750697073,False,True,0.12825582823345888,0.10713466174945749,0.1535409475069707,0.6494289457531408,0.4977090660704758,0.8011488254358058,-0.6494289457531408,-0.8011488254358058,-0.4977090660704758
raw,SmallMLPDigits,Small MLP digits hidden=64,5,0,0,3.0609684906686874,2.542182144232365,3.6856242272505453,False,True,0.07175937996269259,0.06878728828682698,0.07485988677382152,False,True,0.07175937996269256,0.06878728828682694,0.07485988677382148,1.4674856883733267,1.3369331978852557,1.5980381788613978,-1.4674856883733267,-1.5980381788613978,-1.3369331978852557
equal_update,All,All,30,19,19,0.5640080809453283,0.4573355443328896,0.6955617583488912,True,False,0.8115071712823793,0.658215113550084,1.0004994955081958,False,False,0.8115071712823793,0.658215113550084,1.0004994955081958,0.06199729981292201,0.014830460234890194,0.10916413939095383,-0.06199729981292201,-0.10916413939095383,-0.014830460234890194
