mode,run_id,problem_family,base_setting,setting,kappa,lr,algo,seed,final_step,final_loss,final_recovery_error,initial_loss,initial_recovery_error,total_loss_decrease,relative_loss_decrease
raw,0,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=1e-04,100.0,0.0001,Adam,0,10,0.00015290861434211412,0.998344837022207,0.0001532792239327137,0.9994330499176829,3.706095905995678e-07,0.0024178723057878835
equal_update,0,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=1e-04,100.0,0.0001,Adam,0,10,0.00015317624231419287,0.9991349246137586,0.0001532792239327137,0.9994330499176829,1.0298161852082249e-07,0.0006718563408569267
raw,1,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=1e-04,100.0,0.0001,Adam,1,10,0.00016007529579956253,0.998353400995169,0.0001604720091443568,0.9995233235792307,3.967133447942866e-07,0.00247216537581587
equal_update,1,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=1e-04,100.0,0.0001,Muon,0,10,0.00015322860944562585,0.99928139842379,0.0001532792239327137,0.9994330499176829,5.0614487087842107e-08,0.0003302110083103029
raw,2,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=1e-04,100.0,0.0001,Adam,2,10,0.00014905692402225788,0.998311338369881,0.0001493490238905777,0.9992393357981618,2.920998683198211e-07,0.0019558204045165466
equal_update,2,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=1e-04,100.0,0.0001,Adam,1,10,0.00016036647990527692,0.9992131818940703,0.0001604720091443568,0.9995233235792307,1.0552923907988787e-07,0.0006576177343486507
raw,3,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=1e-04,100.0,0.0001,Adam,3,10,0.0001611173416788065,0.9991696392061391,0.00016144123210250178,1.0001224102346165,3.2389042369529723e-07,0.002006243507170793
equal_update,3,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=1e-04,100.0,0.0001,Muon,1,10,0.00016042086990780455,0.9993741165933098,0.0001604720091443568,0.9995233235792307,5.113923655226363e-08,0.00031868010393177037
raw,4,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=1e-04,100.0,0.0001,Adam,4,10,0.00014729663323989023,1.0000999607190748,0.00014765915682122912,1.001229148681757,3.6252358133888286e-07,0.0024551378264863724
equal_update,4,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=1e-04,100.0,0.0001,Adam,2,10,0.00014926699560230254,0.998980447311247,0.0001493490238905777,0.9992393357981618,8.202828827516833e-08,0.0005492388643615595
raw,5,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=1e-04,100.0,0.0001,Muon,0,10,0.00015322860944562585,0.99928139842379,0.0001532792239327137,0.9994330499176829,5.0614487087842107e-08,0.0003302110083103029
equal_update,5,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=1e-04,100.0,0.0001,Muon,2,10,0.00014930937676515985,0.99911410687467,0.0001493490238905777,0.9992393357981618,3.9647125417858467e-08,0.0002654662506994782
raw,6,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=1e-04,100.0,0.0001,Muon,1,10,0.00016042086990780455,0.9993741165933098,0.0001604720091443568,0.9995233235792307,5.113923655226363e-08,0.00031868010393177037
equal_update,6,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=1e-04,100.0,0.0001,Adam,3,10,0.00016135109294149305,0.9998629700474136,0.00016144123210250178,1.0001224102346165,9.013916100873319e-08,0.0005583403931871772
raw,7,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=1e-04,100.0,0.0001,Muon,2,10,0.00014930937676515985,0.99911410687467,0.0001493490238905777,0.9992393357981618,3.9647125417858467e-08,0.0002654662506994782
equal_update,7,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=1e-04,100.0,0.0001,Muon,3,10,0.0001613971824530889,0.999989441029431,0.00016144123210250178,1.0001224102346165,4.4049649412878505e-08,0.0002728525348772774
raw,8,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=1e-04,100.0,0.0001,Muon,3,10,0.0001613971824530889,0.999989441029431,0.00016144123210250178,1.0001224102346165,4.4049649412878505e-08,0.0002728525348772774
equal_update,8,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=1e-04,100.0,0.0001,Adam,4,10,0.00014755596088961745,1.0009119085225897,0.00014765915682122912,1.001229148681757,1.0319593161166947e-07,0.0006988793233907515
raw,9,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=1e-04,100.0,0.0001,Muon,4,10,0.00014760972552721688,1.0010713977517671,0.00014765915682122912,1.001229148681757,4.943129401223552e-08,0.00033476619450077157
equal_update,9,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=1e-04,100.0,0.0001,Muon,4,10,0.00014760972552721688,1.0010713977517671,0.00014765915682122912,1.001229148681757,4.943129401223552e-08,0.00033476619450077157
