filters,kernel_size,stride,lr,seed,step,delta_loss_Adam,delta_loss_Muon,recovery_error_Adam,recovery_error_Muon,relative_update_fro_norm_Adam,relative_update_fro_norm_Muon,update_grad_cosine_Adam,update_grad_cosine_Muon,update_grad_inner_Adam,update_grad_inner_Muon,delta_loss_ratio,delta_loss_muon_higher,update_grad_inner_ratio,update_grad_inner_muon_higher,update_grad_cosine_ratio,update_grad_cosine_muon_higher
16,5,2,0.003,0,0,3.290015900248022e-05,1.8568072073232855e-05,0.88671875,0.88671875,0.06271625068114343,0.06271625068114345,0.7009046210334506,0.4213952334137057,2.9649727547144465e-05,1.7825897398078987e-05,0.5643763627960909,False,0.6012162293813651,False,0.6012162293813649,False
16,5,2,0.003,0,1,3.8192367640466074e-05,1.9219669698422592e-05,0.892578125,0.875,0.06233758366903157,0.062337583669031575,0.6534257050930867,0.3966902676320457,3.397545574472909e-05,1.8739160240517915e-05,0.503233260617724,False,0.5515499300822502,False,0.6070931469944748,False
16,5,2,0.003,0,2,2.621591801998946e-05,1.8053108943316687e-05,0.892578125,0.890625,0.06218850882298844,0.06218850882298844,0.420953434095027,0.42600926676772927,2.239073154482273e-05,1.7357882868024768e-05,0.6886315760352666,False,0.7752262507938613,False,1.0120104321837198,True
16,5,2,0.003,0,3,1.0962969615224694e-05,1.5161744779224051e-05,0.892578125,0.892578125,0.061740141999085126,0.06174014199908513,0.23703767771170178,0.47330712859535945,1.0527493682883596e-05,1.5170698234348366e-05,1.3829961508028226,True,1.441055078381481,True,1.9967590518289735,True
16,5,2,0.003,0,4,4.220895156414883e-05,1.7959049264160143e-05,0.892578125,0.890625,0.06126553269216463,0.061265532692164636,0.6192931362350841,0.40459148477613716,3.847916988685797e-05,1.7388676995126832e-05,0.4254796340265908,False,0.4518984439179832,False,0.6533117535191831,False
16,5,2,0.003,1,0,2.6790982851743195e-05,1.884190190537538e-05,0.853515625,0.853515625,0.06311790470748711,0.0631179047074871,0.5474983650619061,0.3685213077171086,2.9110886528328494e-05,1.9594546133504806e-05,0.7032926716292308,False,0.6731002889395652,False,0.6731002889395653,False
16,5,2,0.003,1,1,3.425682276869679e-05,2.4755781107277386e-05,0.91015625,0.890625,0.06381445485738053,0.06381445485738055,0.5169058079957322,0.36105142690219094,3.6330324879878736e-05,2.559974197693301e-05,0.7226525727277525,False,0.7046383995071628,False,0.6984859162293877,False
16,5,2,0.003,1,2,2.8780051781307492e-05,2.667185773930214e-05,0.8828125,0.849609375,0.06420633382250296,0.06420633382250299,0.4033131694350216,0.36473298154248956,3.1912870815267825e-05,2.7295681976155193e-05,0.9267480803014186,False,0.8553189129915675,False,0.9043418593382982,False
16,5,2,0.003,1,3,2.6054662841001885e-05,2.408893602057205e-05,0.888671875,0.84375,0.0646978883186401,0.06469788831864007,0.4931651194423844,0.3913184477643687,2.9049955551184998e-05,2.5159844510810466e-05,0.9245537417841233,False,0.866088915918639,False,0.7934836271608737,False
16,5,2,0.003,1,4,2.237511942970727e-05,2.274411205549498e-05,0.853515625,0.849609375,0.06547641519902994,0.06547641519902991,0.4314942824360648,0.3525598674267573,2.5590129911282528e-05,2.3628510421983127e-05,1.016491202513887,True,0.9233446842161386,False,0.8170672979403769,False
16,5,2,0.003,2,0,6.814941145005804e-05,3.7053886338789255e-05,0.8828125,0.8828125,0.059432738272097725,0.05943273827209773,0.5726513111099947,0.3055295709690955,7.036583737470787e-05,3.7542643641736386e-05,0.5437154268888069,False,0.5335350937674,False,0.5335350937673999,False
16,5,2,0.003,2,1,6.692190864754366e-05,3.86069712732251e-05,0.8828125,0.8828125,0.05931319203215085,0.05931319203215083,0.5928006569744546,0.3198357581512307,6.817291837331515e-05,3.913763149021005e-05,0.5768958485113701,False,0.5740935319197021,False,0.5395334070370528,False
16,5,2,0.003,2,2,2.922244174774491e-05,3.1634716847861455e-05,0.88671875,0.8828125,0.0590662699849047,0.0590662699849047,0.3654227698845436,0.3488202894548056,3.082625265450307e-05,3.1828697467416756e-05,1.0825487178976994,True,1.032519191487495,True,0.9545663768161365,False
16,5,2,0.003,2,3,2.702199685966633e-05,3.046672496820335e-05,0.904296875,0.8828125,0.0588623353739126,0.05886233537391261,0.3640638801509543,0.34454537684753844,2.876521210642311e-05,3.06904059853866e-05,1.1274786658597649,True,1.066927852707667,True,0.946387146960795,False
16,5,2,0.003,2,4,5.161171595791103e-05,3.896047018470128e-05,0.884765625,0.8828125,0.05867745722962975,0.05867745722962974,0.5907153537150235,0.333916159547554,5.409112944254885e-05,3.930896968093647e-05,0.7548764744902737,False,0.7267174874336322,False,0.5652742178572928,False
16,5,2,0.01,0,0,0.0001469006974046394,6.740414311590115e-05,0.88671875,0.88671875,0.20905416893714485,0.20905416893714487,0.7009046210334506,0.42139523341370566,9.883242515714825e-05,5.941965799359663e-05,0.45884154606996713,False,0.601216229381365,False,0.6012162293813649,False
16,5,2,0.01,0,1,0.00026458995222666815,8.545038176865916e-05,0.892578125,0.890625,0.20198593622017683,0.20198593622017685,0.6510358337141098,0.37341335583023244,0.00018619484138037763,7.474205004368877e-05,0.32295399371573935,False,0.4014184791027489,False,0.5735680533895311,False
16,5,2,0.01,0,2,0.00020525294775008973,8.57306083386078e-05,0.892578125,0.869140625,0.19387873930330407,0.19387873930330402,0.39146775012223306,0.3918141072884708,0.00016082392963250294,8.251708303637436e-05,0.41768271432082427,False,0.5130895832786406,False,1.0008847655167754,True
16,5,2,0.01,0,3,8.745181993274898e-05,6.849189304736214e-05,0.892578125,0.892578125,0.18428277959515876,0.18428277959515876,0.17271853370993243,0.42053266597017763,6.837302833720632e-05,6.775268842491939e-05,0.7831957425246594,False,0.9909271253976422,False,2.4347859893045993,True
16,5,2,0.01,0,4,0.000396548608621039,9.823760341820531e-05,0.892578125,0.8828125,0.17876869304140244,0.17876869304140244,0.5672472986932786,0.38856105428393467,0.0003357214706481975,9.129391268901084e-05,0.2477315549279506,False,0.2719334944909667,False,0.6849941025352277,False
16,5,2,0.01,1,0,8.065343263297109e-05,5.688308278717358e-05,0.853515625,0.853515625,0.2103930156916235,0.21039301569162358,0.5474983650619064,0.36852130771710867,9.70362884277616e-05,6.531515377834934e-05,0.7052778899818307,False,0.6731002889395654,False,0.6731002889395651,False
16,5,2,0.01,1,1,9.44537267835166e-05,7.189859201384152e-05,0.9296875,0.916015625,0.21488659111436634,0.21488659111436637,0.44064962943964975,0.3651987389998713,0.00010471836620685939,8.064159103053598e-05,0.7612043956574592,False,0.7700806835664106,False,0.8287735075694374,False
16,5,2,0.01,1,2,8.935561468836895e-05,7.42253660188652e-05,0.9296875,0.833984375,0.21260163280957398,0.212601632809574,0.3112958291135059,0.37464082371446905,0.00010549267627141585,8.380358348130766e-05,0.8306737777780271,False,0.7944019096235116,False,1.2034880929222667,True
16,5,2,0.01,1,3,6.10098530651193e-05,5.940958507233418e-05,0.908203125,0.83203125,0.2084733088458376,0.20847330884583756,0.3439349787914284,0.4202494277654773,7.765489577281435e-05,7.310240125388445e-05,0.9737703352427834,False,0.9413753057856316,False,1.2218862682772607,True
16,5,2,0.01,1,4,6.252429942321669e-05,6.399609818652507e-05,0.908203125,0.84375,0.20857344394710367,0.20857344394710364,0.32041379424296745,0.4097785391010172,6.5752466796397e-05,6.34088641353023e-05,1.0235396282227174,True,0.9643571903035716,False,1.278904174738136,True
