run_id,problem_family,setting,kappa,lr,algo,seed,step,num_samples,train_batch_size,loss,recovery_error,diagnostic_A_definition,sigma_update,update_rank_ceiling,nrUpdate,stUpdate,nrUpdateFrac,stUpdateFrac,update_flatness,update_grad_inner,update_grad_cosine,update_grad_per_update_norm,layer,nrG,stA,condition_score,delta_gd_pred,delta_spec_pred,filters,kernel_size,stride
0,MNISTConvNet,MNIST conv filters=16 kernel=5 stride=2 lr=3e-03,1.0,0.003,Adam,0,0,512,64,2.302560293601273,0.88671875,full_conv_patch_and_classifier_activation,"[[0.011130864029905018,0.004318344564424318,0.0024563041733677545,0.002439547772479045,0.002291654135007289,0.001876585364470329,0.0013035503525574384,0.0010557528474720997,0.0009434253667474288,3.162342410632696e-06,6.354156559606526e-07,3.954189713076031e-07,2.3836593788371963e-07,1.111732295714734e-07,2.5091784635022097e-08,1.5002894108078236e-08]]",16.0,4.634476375314034,1.3479535062784254,0.28965477345712715,0.08424709414240159,0.29085346371780507,1.835135389025413e-05,0.713971344096116,0.0014200439186598224,1,3.092349238548529,1.7720502313789877,1.7450686124975705,2.4586516679616833e-11,4.290515854824732e-11,16,5,2
0,MNISTConvNet,MNIST conv filters=16 kernel=5 stride=2 lr=3e-03,1.0,0.003,Adam,0,0,512,64,2.302560293601273,0.88671875,full_conv_patch_and_classifier_activation,"[[0.007773580246101939,0.0019210073278970582,0.0012437555294900252,0.0011523785730900922,6.8445011086950935e-06,1.2786753491326705e-06,1.1997326355323278e-07,6.007700151281979e-08,2.0791805621028803e-08,5.8438120148220986e-09]]",10.0,2.185084440668891,1.1086443719808905,0.2185084440668891,0.11086443719808906,0.5073691210036331,1.1298373656890334e-05,0.718458722530748,0.001380380193252237,2,1.6186485423522898,1.0175466264116335,1.5907364835559774,3.532892171964115e-05,5.619900470412636e-05,16,5,2
1,MNISTConvNet,MNIST conv filters=16 kernel=5 stride=2 lr=3e-03,1.0,0.003,Muon,0,0,512,64,2.302560293601273,0.88671875,full_conv_patch_and_classifier_activation,"[[0.003000000000000001,0.003,0.003,0.003,0.003,0.003,0.003,0.0029999999999999996,0.0029999999999999996,0.0029999999999999988,0.0029999999999999988,0.0029999999999999988,0.0029999999999999988,0.0029999999999999988,0.0029999999999999988,0.0029999999999999988]]",16.0,16.0,15.999999999999982,1.0,0.9999999999999989,0.9999999999999989,1.0492682158626665e-05,0.43962691843116586,0.0008743901798855558,1,3.092349238548529,1.7720502313789877,1.7450686124975705,2.4586516679616833e-11,4.290515854824732e-11,16,5,2
1,MNISTConvNet,MNIST conv filters=16 kernel=5 stride=2 lr=3e-03,1.0,0.003,Muon,0,0,512,64,2.302560293601273,0.88671875,full_conv_patch_and_classifier_activation,"[[0.0030000000000000014,0.0030000000000000005,0.0030000000000000005,0.0030000000000000005,0.0030000000000000005,0.0030000000000000005,0.0029999999999999996,0.0029999999999999996,0.002999999999999999,0.002999999999999998]]",10.0,10.000000000000002,9.999999999999991,1.0000000000000002,0.9999999999999991,0.9999999999999989,7.333215239452322e-06,0.40232431474524266,0.0007729887576308796,2,1.6186485423522898,1.0175466264116335,1.5907364835559774,3.532892171964115e-05,5.619900470412636e-05,16,5,2
0,MNISTConvNet,MNIST conv filters=16 kernel=5 stride=2 lr=3e-03,1.0,0.003,Adam,0,1,512,64,2.302559405793324,0.892578125,full_conv_patch_and_classifier_activation,"[[0.012030562867840724,0.003584184203845616,0.002224186026268236,0.001989757920432161,0.0015125053122523446,0.001018386926166397,0.0004985308975106693,0.00047816808475270486,0.0004355089920735448,0.00019818957565598906,0.00017636754611133725,9.806085019701581e-05,8.940705089161421e-05,4.8107339373544545e-05,3.627302620854162e-05,9.078807627406253e-06]]",16.0,3.4982162681083975,1.1785052175387447,0.21863851675677484,0.07365657609617154,0.3368874669878549,2.086877954170717e-05,0.6720919424781745,0.00159788437299753,1,2.3381807240284123,1.7720502313789877,1.3194776776778325,3.5130823913036315e-11,4.635433795168202e-11,16,5,2
0,MNISTConvNet,MNIST conv filters=16 kernel=5 stride=2 lr=3e-03,1.0,0.003,Adam,0,1,512,64,2.302559405793324,0.892578125,full_conv_patch_and_classifier_activation,"[[0.007456107816583476,0.0020533361367663923,0.0013377055453609318,0.0006702753014946011,0.000354612152452617,0.00021995602832674903,0.00014482211742316116,0.00010294676489289749,6.449196676511809e-05,3.016335610327141e-05]]",10.0,2.483402588344589,1.1199003499524856,0.2483402588344589,0.11199003499524855,0.4509540077023918,1.3106676203021917e-05,0.6804388475009486,0.0016610805801736107,2,1.5826542615958072,1.0144557576250033,1.5601018079891862,3.727430296933936e-05,5.815170745400302e-05,16,5,2
1,MNISTConvNet,MNIST conv filters=16 kernel=5 stride=2 lr=3e-03,1.0,0.003,Muon,0,1,512,64,2.302573072482617,0.875,full_conv_patch_and_classifier_activation,"[[0.0030000000000000022,0.0030000000000000014,0.0030000000000000014,0.003000000000000001,0.003000000000000001,0.0030000000000000005,0.0030000000000000005,0.0030000000000000005,0.0030000000000000005,0.003,0.003,0.0029999999999999996,0.0029999999999999996,0.0029999999999999996,0.002999999999999999,0.002999999999999999]]",16.0,16.000000000000004,15.999999999999979,1.0000000000000002,0.9999999999999987,0.9999999999999984,1.0289323670627156e-05,0.39086398329758926,0.0008574436392189297,1,2.4443944550281294,1.7720502313789877,1.3794160073701363,2.9909893916264765e-11,4.125818644683827e-11,16,5,2
1,MNISTConvNet,MNIST conv filters=16 kernel=5 stride=2 lr=3e-03,1.0,0.003,Muon,0,1,512,64,2.302573072482617,0.875,full_conv_patch_and_classifier_activation,"[[0.003000000000000002,0.003000000000000002,0.0030000000000000005,0.0030000000000000005,0.003,0.003,0.0029999999999999996,0.002999999999999999,0.002999999999999999,0.0029999999999999983]]",10.0,9.999999999999998,9.99999999999999,0.9999999999999998,0.9999999999999989,0.9999999999999991,8.449836569890757e-06,0.40980226124717417,0.0008906909805679779,2,1.6793789332329727,1.0163214813811974,1.6524091677671415,3.686458255992647e-05,6.091537418793118e-05,16,5,2
0,MNISTConvNet,MNIST conv filters=16 kernel=5 stride=2 lr=3e-03,1.0,0.003,Adam,0,2,512,64,2.302570948962283,0.892578125,full_conv_patch_and_classifier_activation,"[[0.012258867770967755,0.0033405027817611063,0.0028346883322209224,0.0020373715482042976,0.0014327732033343004,0.0012837338026680566,0.0011782555079673405,0.0006235773854403572,0.0005753186021889832,0.00036239708227263123,0.00030748583482377004,0.00015794767346704783,0.00014723315895424498,0.00010065506886284162,6.973316166054701e-05,5.381619907913298e-05]]",16.0,3.985716622597638,1.1959320172723757,0.24910728891235237,0.07474575107952348,0.30005445206311304,1.3092836937590215e-05,0.5138760571960301,0.000976630205239483,1,2.868491435329555,1.7720502313789877,1.6187416048005199,2.2449080201460603e-11,3.633926011160792e-11,16,5,2
0,MNISTConvNet,MNIST conv filters=16 kernel=5 stride=2 lr=3e-03,1.0,0.003,Adam,0,2,512,64,2.302570948962283,0.892578125,full_conv_patch_and_classifier_activation,"[[0.00681419890481474,0.0018540854009892493,0.0015682234336481275,0.0012441321681321152,0.0007838758462582591,0.0005763923362655779,0.0004582664992106042,0.00031106547485949105,0.0001924543691463195,0.00011929815953995535]]",10.0,3.5123565711350015,1.188432679031032,0.35123565711350013,0.1188432679031032,0.3383576396535946,9.297894607232514e-06,0.4310379503401591,0.0012516488943211457,2,1.5925635639457394,1.009476924257861,1.577612648368904,3.0894932515630875e-05,4.8740236307162976e-05,16,5,2
