group_type,filters,kernel_size,lr,metric,n_pairs,muon_win_rate,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,ratio_ci95_above_one,ratio_ci95_below_one
setting,16,5,0.003,delta_loss,15,0.26666666666666666,0.7548591323341522,0.6258969400464356,0.9103931864980753,False,True
setting,16,5,0.003,update_grad_inner,15,0.2,0.7498263371372317,0.6317939279192106,0.889909685767877,False,True
setting,16,5,0.003,update_grad_cosine,15,0.13333333333333333,0.7692011044673451,0.636736805624041,0.9292227713048727,False,True
setting,16,5,0.01,delta_loss,15,0.2,0.65230507683492,0.5049055085897786,0.8427357317868346,False,True
setting,16,5,0.01,update_grad_inner,15,0.13333333333333333,0.6883630606696254,0.5540307457877695,0.8552660784568947,False,True
setting,16,5,0.01,update_grad_cosine,15,0.4666666666666667,0.9199913481491662,0.7242573461960983,1.1686233976288247,False,False
setting,16,7,0.003,delta_loss,15,0.2,0.7634785209028933,0.636144051993898,0.9163010328447759,False,True
setting,16,7,0.003,update_grad_inner,15,0.2,0.7899153548701738,0.6596336600893451,0.9459284836603981,False,True
setting,16,7,0.003,update_grad_cosine,15,0.2,0.8460361049107744,0.7078007948274152,1.0112691254989685,False,False
setting,16,7,0.01,delta_loss,15,0.0,0.5636959897666729,0.4739006220134965,0.6705059122500572,False,True
setting,16,7,0.01,update_grad_inner,15,0.06666666666666667,0.6374680483961747,0.5246724840800628,0.7745127199466745,False,True
setting,16,7,0.01,update_grad_cosine,15,0.3333333333333333,0.9393392125181824,0.7619028523285761,1.1580979825414222,False,False
setting,32,5,0.003,delta_loss,15,0.2,0.7009599258953476,0.5812708824581178,0.8452940488492713,False,True
setting,32,5,0.003,update_grad_inner,15,0.2,0.7094846172705116,0.5855403086867189,0.8596648508664859,False,True
setting,32,5,0.003,update_grad_cosine,15,0.2,0.7482911589106632,0.6162717828109445,0.9085920759666483,False,True
setting,32,5,0.01,delta_loss,15,0.06666666666666667,0.5157882431377863,0.4168419978310174,0.6382214679505793,False,True
setting,32,5,0.01,update_grad_inner,15,0.06666666666666667,0.5682364569034558,0.45743363868490566,0.7058787191132031,False,True
setting,32,5,0.01,update_grad_cosine,15,0.3333333333333333,0.8169923625177682,0.6495873253103656,1.0275393228977359,False,False
setting,32,7,0.003,delta_loss,15,0.2,0.7211393977749798,0.5744932533637167,0.9052186913916942,False,True
setting,32,7,0.003,update_grad_inner,15,0.2,0.7487786544808768,0.5962450143067897,0.9403340236866239,False,True
setting,32,7,0.003,update_grad_cosine,15,0.26666666666666666,0.8087688358067885,0.6498546584435728,1.0065435728950218,False,False
setting,32,7,0.01,delta_loss,15,0.06666666666666667,0.49036543838102886,0.3940779315400818,0.6101794693727007,False,True
setting,32,7,0.01,update_grad_inner,15,0.06666666666666667,0.5625872403419017,0.44524854453586427,0.7108488211352761,False,True
setting,32,7,0.01,update_grad_cosine,15,0.3333333333333333,0.8673109891865614,0.6699415913407754,1.1228267683132094,False,False
arch_all_lr,16,5,All,delta_loss,30,0.23333333333333334,0.7017110832221266,0.6032209451234397,0.8162820742506026,False,True
arch_all_lr,16,5,All,update_grad_inner,30,0.16666666666666666,0.7184377164392745,0.6304997128774572,0.8186407413999851,False,True
arch_all_lr,16,5,All,update_grad_cosine,30,0.3,0.84122432269683,0.7263548952050559,0.9742597809531698,False,True
arch_all_lr,16,7,All,delta_loss,30,0.1,0.656025746831595,0.5753163820125577,0.7480575800752324,False,True
arch_all_lr,16,7,All,update_grad_inner,30,0.13333333333333333,0.7096096107489396,0.6225998326249302,0.8087792082183392,False,True
arch_all_lr,16,7,All,update_grad_cosine,30,0.26666666666666666,0.8914678281064534,0.7824913423136473,1.0156213181848732,False,False
arch_all_lr,32,5,All,delta_loss,30,0.13333333333333333,0.6012876921138118,0.5200917389484495,0.6951598374135874,False,True
arch_all_lr,32,5,All,update_grad_inner,30,0.13333333333333333,0.6349448992985927,0.5508307178624341,0.7319036721659102,False,True
arch_all_lr,32,5,All,update_grad_cosine,30,0.26666666666666666,0.7818875633808108,0.678565051806934,0.9009425995954811,False,True
arch_all_lr,32,7,All,delta_loss,30,0.13333333333333333,0.5946611109899143,0.5042519436816925,0.701280067146319,False,True
arch_all_lr,32,7,All,update_grad_inner,30,0.13333333333333333,0.6490403044891117,0.5517967659202955,0.7634211413848101,False,True
arch_all_lr,32,7,All,update_grad_cosine,30,0.3,0.8375285660840766,0.7143344826379903,0.9819686940163177,False,True
filters_all,16,All,All,delta_loss,60,0.16666666666666666,0.6784839993918818,0.6154361507603755,0.7479907328518957,False,True
filters_all,16,All,All,update_grad_inner,60,0.15,0.7140100197545064,0.6527797626105286,0.7809836295645111,False,True
filters_all,16,All,All,update_grad_cosine,60,0.2833333333333333,0.8659817664967695,0.7870771573508958,0.9527965751527117,False,True
filters_all,32,All,All,delta_loss,60,0.13333333333333333,0.5979652222470474,0.5375340832328489,0.6651902049940748,False,True
filters_all,32,All,All,update_grad_inner,60,0.13333333333333333,0.6419539163947572,0.5781544581298518,0.7127936574381812,False,True
filters_all,32,All,All,update_grad_cosine,60,0.2833333333333333,0.8092299857255062,0.7294924197420743,0.8976833097578156,False,True
all,All,All,All,delta_loss,120,0.15,0.6369535583442738,0.592656027209478,0.6845620678114382,False,True
all,All,All,All,update_grad_inner,120,0.14166666666666666,0.6770240235962852,0.6321449558525131,0.7250892762536644,False,True
all,All,All,All,update_grad_cosine,120,0.2833333333333333,0.8371250877501698,0.7807219541531992,0.8976030567768782,False,True
