warmup_steps,seed,parameter,fc_gradient_nuclear_rank,tail_feature_stable_rank,condition_score_nrank_over_tail_srank,theory_ratio_tail_srank_over_nrank,tail_accuracy_before,tail_positive_margin_fraction_before,head_loss_before
250,0,fc.weight,13.056312850062717,1.663892787594609,7.846847433564186,0.12743971492584266,0.0305,0.0305,0.8727458715438843
250,1,fc.weight,10.670210066562857,1.6798228730648506,6.351985222760405,0.15743109672497418,0.023,0.023,0.8980149030685425
250,2,fc.weight,13.095493647043385,1.7022108804476124,7.693226378390792,0.12998447605920732,0.021500000000000002,0.021500000000000002,0.9614301323890686
250,3,fc.weight,11.726990782317621,1.6899993801706772,6.939050345174259,0.1441119389911109,0.01,0.01,1.0881030559539795
250,4,fc.weight,12.981600766748652,1.7042982499852908,7.616977114692626,0.13128567736813448,0.018000000000000002,0.018000000000000002,0.9214102625846863
250,5,fc.weight,10.44539492984694,1.673327546518975,6.242289473795196,0.16019763328790623,0.0175,0.0175,0.9590342044830322
250,6,fc.weight,9.737718614571838,1.637182660843851,5.947851053805285,0.16812794922970126,0.013000000000000001,0.013000000000000001,0.9805989861488342
250,7,fc.weight,14.90370188040514,1.7305129581729308,8.612302964862172,0.11611296119980419,0.019,0.019,0.9121120572090149
250,8,fc.weight,11.897965224687315,1.6721123202522228,7.115529908237633,0.1405376708264977,0.019,0.019,0.7965920567512512
250,9,fc.weight,10.626956408798302,1.647919209453421,6.448712016848831,0.15506972514623948,0.02,0.02,0.879934549331665
500,0,fc.weight,11.731389904299471,1.7617637407736675,6.658889403154423,0.15017519280711944,0.075,0.075,0.08196629583835602
500,1,fc.weight,10.593608603799595,1.7328901570772413,6.113260301314874,0.16357883530411987,0.0725,0.0725,0.10960645973682404
500,2,fc.weight,14.008947491895537,1.7275844401496014,8.108979894888623,0.12332007391340745,0.0575,0.0575,0.07360552996397018
500,3,fc.weight,10.154315021952907,1.7499862497995458,5.802511318655244,0.1723391726587367,0.0495,0.0495,0.08379334211349487
500,4,fc.weight,10.592450259024917,1.7230216875762825,6.147601237640233,0.1626650723337826,0.06,0.06,0.14027008414268494
500,5,fc.weight,11.172467657419134,1.7303448943879185,6.456786559520674,0.15487580250356547,0.067,0.067,0.08831018954515457
500,6,fc.weight,11.365209225651327,1.7421113881933572,6.523813174447776,0.1532845857568028,0.0605,0.0605,0.05706767365336418
500,7,fc.weight,10.374200269416841,1.750790775267159,5.925436903123851,0.16876392683766603,0.0475,0.0475,0.10521577298641205
500,8,fc.weight,12.224044578980077,1.7171325983990449,7.118870488148131,0.1404717225386882,0.0685,0.0685,0.06638854742050171
500,9,fc.weight,11.800913693750678,1.7355408835539012,6.799559610249984,0.14706834814604047,0.067,0.067,0.04932620748877525
1000,0,fc.weight,25.058018135549975,1.7344084887205928,14.447587346643076,0.06921570889359267,0.07050000000000001,0.07050000000000001,0.0013325416948646307
1000,1,fc.weight,24.934489525722434,1.7472137893357311,14.271000880322845,0.07007217001708835,0.0685,0.0685,0.0011665364727377892
1000,2,fc.weight,25.00499725002354,1.7388715018391059,14.380014407952038,0.06954095953109808,0.067,0.067,0.0013766963966190815
1000,3,fc.weight,14.435218724591069,1.7355672704540872,8.317291395345508,0.12023144945476076,0.0585,0.0585,0.005237581208348274
1000,4,fc.weight,19.490332787854122,1.7408114808470025,11.196119167579813,0.0893166627679047,0.067,0.067,0.0015192574355751276
1000,5,fc.weight,23.04745130250727,1.7448371276654888,13.208941360242425,0.07570629414783372,0.07,0.07,0.0013557977508753538
1000,6,fc.weight,22.63042140569729,1.733436125274986,13.055238134088896,0.07659760700870498,0.0615,0.0615,0.0012578921159729362
1000,7,fc.weight,26.09456195329086,1.7457188553710015,14.94774595176451,0.0668997187420057,0.066,0.066,0.001173884142190218
1000,8,fc.weight,22.052738122039603,1.733379257792661,12.722396453573724,0.07860154363599477,0.0745,0.0745,0.0014737073797732592
1000,9,fc.weight,24.241948678026915,1.7355739298038173,13.967684269587487,0.0715938290627995,0.0765,0.0765,0.0011597771663218737
2000,0,fc.weight,27.127515391057653,1.7278552714325848,15.700108591019847,0.0636938269695778,0.067,0.067,0.0003061338793486357
2000,1,fc.weight,26.040964809825763,1.7363116295026295,14.997863498319859,0.06667616358236794,0.0605,0.0605,0.00030966647318564355
2000,2,fc.weight,27.641272970126295,1.7316710920618652,15.962195763870147,0.06264802253982274,0.063,0.063,0.0003195036551915109
2000,3,fc.weight,25.68690730567255,1.743793031518805,14.730479386822541,0.0678864532334617,0.058,0.058,0.0002746646059677005
2000,4,fc.weight,13.043406494598619,1.7578892593191504,7.4199250182861185,0.13477225140894802,0.0655,0.0655,0.0008307168027386069
2000,5,fc.weight,29.245159460311616,1.7375508881082977,16.83125349620772,0.05941328138307178,0.0665,0.0665,0.00032705016201362014
2000,6,fc.weight,26.302874973597845,1.7258147161088533,15.240845224047115,0.06561315893571262,0.053,0.053,0.0003157202445436269
2000,7,fc.weight,30.400905736751557,1.7358607094286185,17.513447692907583,0.05709898002578726,0.0615,0.0615,0.0002827553544193506
2000,8,fc.weight,27.511983600359294,1.7248069303490314,15.950761280157876,0.06269293248366527,0.066,0.066,0.00030332017922773957
2000,9,fc.weight,27.700093850718655,1.7319918357332347,15.99320116829066,0.06252656922634577,0.0735,0.0735,0.0002839805674739182
