seed,geometry,dataset,model,updated_parameter_subset,warmup_steps,head_loss_before,head_loss_after,actual_head_loss_decrease,actual_head_gain_relative_error,matched_first_order_head_gain,tail_loss_before,tail_loss_after,tail_loss_increase,tail_accuracy_before,tail_accuracy_after,tail_accuracy_drop,tail_margin_before,tail_margin_after,tail_margin_drop,tail_positive_margin_fraction_before,tail_margin_certified_preserved_fraction,tail_prediction_changed_fraction,tail_positive_margin_prediction_changed_fraction,tail_output_drift_fro,tail_output_drift_rms,centered_tail_output_drift_fro,true_logit_delta_fro,competitor_logit_delta_fro,margin_delta_fro,margin_delta_rms,tail_output_jvp_fro,tail_output_linearization_residual_fro,tail_output_linearization_relative_error,update_fro_norm,update_op_norm,step_size,alignment,nrG,stA_tail,condition_score_tail,mean_matrix_update_nuclear_rank,device,dtype
0,frobenius,CIFAR100,resnet18_cifar_stem,final_linear_weight_only,250,0.8727458715438843,0.8684056997299194,0.004340171813964844,0.00539848872911978,0.004363729357719421,4.746901512145996,4.746330738067627,-0.0005707740783691406,0.0305,0.0315,-0.0010000000000000009,-3.4643585681915283,-3.463024616241455,-0.0013339519500732422,0.0305,0.9836065573770493,0.004,0.0,2.379847764968872,0.005321501288563013,2.379847764968872,0.09502682089805603,0.40427860617637634,0.3769337832927704,0.00842849537730217,,,,0.002954871393740177,0.002483633579686284,0.0029548714238826447,1.4767916202545166,13.056312850062717,1.663892787594609,7.846847433564186,13.056269648285125,cuda,float32
0,spectral,CIFAR100,resnet18_cifar_stem,final_linear_weight_only,250,0.8727458715438843,0.8683949112892151,0.0043509602546691895,0.0029261904218792108,0.004363729357719421,4.746901512145996,4.748049736022949,0.001148223876953125,0.0305,0.0305,0.0,-3.4643585681915283,-3.465662717819214,0.0013041496276855469,0.0305,1.0,0.001,0.0,0.988491415977478,0.0022103339433670044,0.9884368777275085,0.09590031951665878,0.26699331402778625,0.2835407853126526,0.006340164691209793,,,,0.00817771628499031,0.0008177884737960994,0.0008177667606194629,5.336153984069824,13.056312850062717,1.663892787594609,7.846847433564186,99.99999999400654,cuda,float32
1,frobenius,CIFAR100,resnet18_cifar_stem,final_linear_weight_only,250,0.8980149030685425,0.8935598731040955,0.0044550299644470215,0.007804892942409423,0.004490074515342712,4.616981506347656,4.614650249481201,-0.002331256866455078,0.023,0.0235,-0.0005000000000000004,-3.2956459522247314,-3.290290594100952,-0.005355358123779297,0.023,0.8478260869565217,0.007,0.0,2.1281380653381348,0.004758661147207022,2.1281380653381348,0.06327898055315018,0.7011748552322388,0.6726085543632507,0.01503998413681984,,,,0.0026118685491383076,0.002329866401851177,0.0026118686000838227,1.719104290008545,10.670210066562857,1.6798228730648506,6.351985222760405,10.670215028843126,cuda,float32
1,spectral,CIFAR100,resnet18_cifar_stem,final_linear_weight_only,250,0.8980149030685425,0.8935384154319763,0.004476487636566162,0.003025980689212032,0.004490074515342712,4.616981506347656,4.617677211761475,0.0006957054138183594,0.023,0.0235,-0.0005000000000000004,-3.2956459522247314,-3.295701742172241,5.5789947509765625e-05,0.023,0.9565217391304348,0.004,0.0,0.9403281807899475,0.0021026376634836197,0.9402633905410767,0.09159939736127853,0.32565730810165405,0.3343468904495239,0.007476223632693291,,,,0.007995892316102982,0.0007996071362867951,0.0007995848664619891,5.615507125854492,10.670210066562857,1.6798228730648506,6.351985222760405,99.99999999344004,cuda,float32
2,frobenius,CIFAR100,resnet18_cifar_stem,final_linear_weight_only,250,0.9614301323890686,0.9566513299942017,0.004778802394866943,0.005897103933690218,0.004807150661945343,4.709607124328613,4.709495544433594,-0.00011157989501953125,0.021500000000000002,0.021,0.0005000000000000004,-3.3785436153411865,-3.3774306774139404,-0.0011129379272460938,0.021500000000000002,0.9302325581395349,0.005,0.046511627906976744,2.4216084480285645,0.005414881277829409,2.4216084480285645,0.07158075273036957,0.42441850900650024,0.40985286235809326,0.009164588525891304,,,,0.003159215673804283,0.0026391753926873207,0.0031592156351209696,1.5216279029846191,13.095493647043385,1.7022108804476124,7.693226378390792,13.09548741350789,cuda,float32
2,spectral,CIFAR100,resnet18_cifar_stem,final_linear_weight_only,250,0.9614301323890686,0.9566378593444824,0.004792273044586182,0.0030948930885266878,0.004807150661945343,4.709607124328613,4.711145401000977,0.0015382766723632812,0.021500000000000002,0.021,0.0005000000000000004,-3.3785436153411865,-3.3801627159118652,0.001619100570678711,0.021500000000000002,0.9302325581395349,0.004,0.046511627906976744,1.0248310565948486,0.0022915920708328485,1.02476167678833,0.10105082392692566,0.27799153327941895,0.3066205680370331,0.006856244057416916,,,,0.008730138652026653,0.000873030221555382,0.0008730098447493804,5.506410598754883,13.095493647043385,1.7022108804476124,7.693226378390792,99.99999999511681,cuda,float32
3,frobenius,CIFAR100,resnet18_cifar_stem,final_linear_weight_only,250,1.0881030559539795,1.0826870203018188,0.0054160356521606445,0.004499505350215303,0.005440515279769897,4.784337043762207,4.7830634117126465,-0.0012736320495605469,0.01,0.01,0.0,-3.475257396697998,-3.472764015197754,-0.0024933815002441406,0.01,0.9500000000000001,0.006500000000000001,0.0,2.382438898086548,0.005327295046299696,2.382438898086548,0.06875435262918472,0.45528271794319153,0.4304311275482178,0.009624732658267021,,,,0.0030958913266658783,0.002624673768877983,0.00309589102612283,1.7573342323303223,11.726990782317621,1.6899993801706772,6.939050345174259,11.726946579272653,cuda,float32
3,spectral,CIFAR100,resnet18_cifar_stem,final_linear_weight_only,250,1.0881030559539795,1.082676887512207,0.005426168441772461,0.002637036615039732,0.005440515279769897,4.784337043762207,4.785093307495117,0.0007562637329101562,0.01,0.01,0.0,-3.475257396697998,-3.4758288860321045,0.0005714893341064453,0.01,0.9500000000000001,0.0055,0.0,1.0448304414749146,0.002336312085390091,1.044763445854187,0.09664856642484665,0.30403932929039,0.3110700249671936,0.006955737713724375,,,,0.009040533564984798,0.000904069805983454,0.0009040487874373719,6.0179443359375,11.726990782317621,1.6899993801706772,6.939050345174259,99.99999999501178,cuda,float32
4,frobenius,CIFAR100,resnet18_cifar_stem,final_linear_weight_only,250,0.9214102625846863,0.9168314337730408,0.004578828811645508,0.00612593595360121,0.004607051312923431,4.777194499969482,4.77720308303833,8.58306884765625e-06,0.018000000000000002,0.018000000000000002,0.0,-3.4900131225585938,-3.4890756607055664,-0.0009374618530273438,0.018000000000000002,1.0,0.006,0.0,2.6632845401763916,0.005955285392701626,2.6632845401763916,0.0793621614575386,0.4893527626991272,0.4722704291343689,0.010560288093984127,,,,0.0034156176261603832,0.002865780144929886,0.003415617686239965,1.348819375038147,12.981600766748652,1.7042982499852908,7.616977114692626,12.981517215178544,cuda,float32
4,spectral,CIFAR100,resnet18_cifar_stem,final_linear_weight_only,250,0.9214102625846863,0.9168182015419006,0.0045920610427856445,0.003253766697960745,0.004607051312923431,4.777194499969482,4.7785563468933105,0.001361846923828125,0.018000000000000002,0.018000000000000002,0.0,-3.4900131225585938,-3.491347074508667,0.0013339519500732422,0.018000000000000002,1.0,0.0045000000000000005,0.0,1.127808928489685,0.0025218576192855835,1.1277494430541992,0.10968919843435287,0.3025796115398407,0.3222980797290802,0.00720680458471179,,,,0.009479975327849388,0.0009480167645961046,0.0009479919839980204,4.859799861907959,12.981600766748652,1.7042982499852908,7.616977114692626,99.99999999592818,cuda,float32
