split_id,split_role,split_display_name,source_warmup_steps,target_warmup_steps,score,score_family,points,spearman_score_vs_target_residual,spearman_ci95_low,spearman_ci95_high,pearson_score_vs_target_residual,pearson_ci95_low,pearson_ci95_high,top5_residual_risk_overlap_fraction,threshold_below_one_accuracy,target_observed_below_one_fraction,predicted_below_one_fraction,frozen_depth_intercept,frozen_depth_slope
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,2000,2000,condition_score_v2_calibrated_residual,primary_candidate,37,-0.3748221906116643,-0.6306826467683181,-0.04546337082609223,-0.3572972383404712,-0.6183388856633341,-0.02525173632446117,0.0,0.972972972972973,1.0,0.972972972972973,0.2972580720705022,0.6284144899585095
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,2000,2000,early_layer_prior,baseline,37,-0.42366050260787097,-0.6644122531471549,-0.10324857161003473,-0.5459741585708716,-0.7447915064578992,-0.2581269839080393,0.0,,1.0,,0.2972580720705022,0.6284144899585095
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,2000,2000,legacy_scaled_jvp_ratio,baseline,37,0.4480796586059744,0.13297566670922967,0.6809171270409122,0.32037235946588943,-0.016463567508887375,0.5919022132508431,0.6,1.0,1.0,1.0,0.2972580720705022,0.6284144899585095
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,2000,2000,theory_sign_composite,baseline,37,-0.4971550497866287,-0.7133869208740722,-0.19448373930078827,-0.20432777013388712,-0.5048335519621995,0.14034972563553472,0.0,,1.0,,0.2972580720705022,0.6284144899585095
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,2000,2000,source_observed_drift_positive_control,positive_control,21,0.4701298701298702,0.015043833334449351,0.7638648342928185,0.508390702161068,0.06527214740370159,0.7840315099730852,0.6,1.0,1.0,1.0,0.2972580720705022,0.6284144899585095
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,2000,5000,condition_score_v2_calibrated_residual,primary_candidate,37,0.5301090564248458,0.23716667385561585,0.7346814224016027,0.32962765118317566,-0.006116522741147129,0.5985839402191954,0.6,0.972972972972973,1.0,0.972972972972973,0.2972580720705022,0.6284144899585095
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,2000,5000,early_layer_prior,baseline,37,0.22901849217638687,-0.1148644691355848,0.5238857367886578,-0.0630949642884729,-0.3899202222838605,0.27784766981765585,0.0,,1.0,,0.2972580720705022,0.6284144899585095
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,2000,5000,legacy_scaled_jvp_ratio,baseline,37,-0.4881460407776197,-0.7074950552357355,-0.1830111741295088,-0.33989820580861996,-0.6059550712877649,-0.0054503217652947635,0.2,1.0,1.0,1.0,0.2972580720705022,0.6284144899585095
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,2000,5000,theory_sign_composite,baseline,37,0.3169748696064485,-0.020243808453118666,0.589440043238894,0.34295891786562527,0.008914735726407788,0.6081429297445572,0.0,,1.0,,0.2972580720705022,0.6284144899585095
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,2000,5000,source_observed_drift_positive_control,positive_control,21,0.7857142857142857,0.511633280003051,0.9146596422739907,0.8398505614444985,0.6202886131581153,0.9373623639228319,0.6,1.0,1.0,1.0,0.2972580720705022,0.6284144899585095
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,2000,10000,condition_score_v2_calibrated_residual,primary_candidate,37,0.3688952110004741,0.03859743846913135,0.6265223966946966,0.11153238702890704,-0.23221431157552191,0.43051232666829375,0.4,0.972972972972973,1.0,0.972972972972973,0.2972580720705022,0.6284144899585095
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,2000,10000,early_layer_prior,baseline,37,-0.17211948790896156,-0.47953257926324083,0.17292185009573274,-0.4873407900434689,-0.7069669348950609,-0.18198975402326903,0.0,,1.0,,0.2972580720705022,0.6284144899585095
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,2000,10000,legacy_scaled_jvp_ratio,baseline,37,-0.36083451872925554,-0.6208407990868539,-0.029309553510600383,-0.164548613950176,-0.47351020928642906,0.18047024368830536,0.6,1.0,1.0,1.0,0.2972580720705022,0.6284144899585095
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,2000,10000,theory_sign_composite,baseline,37,0.28781412991939304,-0.05229797176187846,0.5680969109838154,0.29134881708902316,-0.04844953263253424,0.5707042336854988,0.2,,1.0,,0.2972580720705022,0.6284144899585095
