group_type,problem_family,base_setting,source_algo,checkpoint_step,metric,n_pairs,switched_better_pairs,mean_signed_switched_over_own,signed_ratio_ci95_low,signed_ratio_ci95_high,geomean_switched_over_own,ratio_ci95_low,ratio_ci95_high,positive_ratio_pairs,mean_delta_switched_minus_own,delta_ci95_low,delta_ci95_high
setting_source_checkpoint,MatrixFactorizationInput,MF input kappa=1e+02,Adam,0,total_decrease,5,0,0.10045459311879143,0.0890571458052195,0.11185204043236335,0.10011592182526305,0.08929296726521911,0.11225069689028422,5,-0.00012394443557112167,-0.00012785032954692782,-0.00012003854159531552
setting_source_checkpoint,MatrixFactorizationInput,MF input kappa=1e+02,Adam,0,loss_after,5,0,8.565523538803768,7.346052901157335,9.784994176450203,8.521132592353212,7.399794159994005,9.812394654032241,5,0.00012394443557112167,0.00012003854159531552,0.00012785032954692782
setting_source_checkpoint,MatrixFactorizationInput,MF input kappa=1e+02,Adam,0,recovery_after,5,0,2.8724651236150103,2.6586615828157445,3.086268664414276,2.8682999590564626,2.6611268135048896,3.0916018783364856,5,0.6231237728507664,0.5978307989656612,0.6484167467358716
setting_source_checkpoint,MatrixFactorizationInput,MF input kappa=1e+02,Adam,1,total_decrease,5,0,0.19128213656172144,0.16041347174949622,0.22215080137394666,0.18991561692828157,0.16041225880426604,0.22484529438152012,5,-0.00010831649199231742,-0.00011086938497436539,-0.00010576359901026946
setting_source_checkpoint,MatrixFactorizationInput,MF input kappa=1e+02,Adam,1,loss_after,5,0,7.624396849345945,6.433957262324973,8.814836436366916,7.5758968935052655,6.4740281561086785,8.86530184254257,5,0.00010831649199231742,0.00010576359901026946,0.00011086938497436539
setting_source_checkpoint,MatrixFactorizationInput,MF input kappa=1e+02,Adam,1,recovery_after,5,0,2.721850646309418,2.5043727142963825,2.939328578322453,2.717294041038879,2.5068965481611483,2.945349663862859,5,0.5728126786057051,0.5394312355461331,0.606194121665277
setting_source_checkpoint,MatrixFactorizationInput,MF input kappa=1e+02,Adam,3,total_decrease,5,0,0.4622114802726857,0.3766527324892243,0.5477702280561472,0.45838276817240714,0.384368023801015,0.5466499530308845,5,-5.356887419162271e-05,-6.515482052109481e-05,-4.19829278621506e-05
setting_source_checkpoint,MatrixFactorizationInput,MF input kappa=1e+02,Adam,3,loss_after,5,0,4.319273725007184,3.1902172236672035,5.4483302263471645,4.2342527718527405,3.1850901640797726,5.629007535842421,5,5.356887419162271e-05,4.198292786215061e-05,6.51548205210948e-05
setting_source_checkpoint,MatrixFactorizationInput,MF input kappa=1e+02,Adam,3,recovery_after,5,0,2.1018346673292467,1.8306945485816044,2.372974786076889,2.092455311260699,1.8329447620303527,2.388707679752002,5,0.3657966784938097,0.29166762287997117,0.43992573410764824
setting_source_checkpoint,MatrixFactorizationInput,MF input kappa=1e+02,Muon,0,total_decrease,5,5,10.022535695745631,8.868909826063216,11.176161565428046,9.98842123978388,8.908630660684604,11.199090260152149,5,0.00012394443557112167,0.00012003854159531552,0.00012785032954692782
