alpha_scope,seed_count,family_size,one_sided_alpha,log_ratio_sd,true_tail_drift_ratio,true_log_ratio,power
raw_single_setting,3,1,0.05,0.05,1.05,0.04879016416943205,0.31239027746940934
raw_single_setting,3,1,0.05,0.05,1.1,0.09531017980432493,0.6804743354115643
raw_single_setting,3,1,0.05,0.05,1.25,0.22314355131420976,0.9969167393453465
raw_single_setting,3,1,0.05,0.05,1.5,0.4054651081081644,0.9999999934721178
raw_single_setting,3,1,0.05,0.05,2.0,0.6931471805599453,1.0
raw_single_setting,3,1,0.05,0.05,3.0,1.0986122886681098,1.0
raw_single_setting,3,1,0.05,0.1,1.05,0.04879016416943205,0.14791971774829274
raw_single_setting,3,1,0.05,0.1,1.1,0.09531017980432493,0.30360751525620266
raw_single_setting,3,1,0.05,0.1,1.25,0.22314355131420976,0.7822612418100908
raw_single_setting,3,1,0.05,0.1,1.5,0.4054651081081644,0.9916943244910917
raw_single_setting,3,1,0.05,0.1,2.0,0.6931471805599453,0.9999989826114027
raw_single_setting,3,1,0.05,0.1,3.0,1.0986122886681098,0.999999999999999
raw_single_setting,3,1,0.05,0.2,1.05,0.04879016416943205,0.09017433562129877
raw_single_setting,3,1,0.05,0.2,1.1,0.09531017980432493,0.14483463367796595
raw_single_setting,3,1,0.05,0.2,1.25,0.22314355131420976,0.36802923596873194
raw_single_setting,3,1,0.05,0.2,1.5,0.4054651081081644,0.7210474578814061
raw_single_setting,3,1,0.05,0.2,2.0,0.6931471805599453,0.9706536833971359
raw_single_setting,3,1,0.05,0.2,3.0,1.0986122886681098,0.9998342237982478
raw_single_setting,3,1,0.05,0.35,1.05,0.04879016416943205,0.0708963968673561
raw_single_setting,3,1,0.05,0.35,1.1,0.09531017980432493,0.09596276543630786
raw_single_setting,3,1,0.05,0.35,1.25,0.22314355131420976,0.19207851780231633
raw_single_setting,3,1,0.05,0.35,1.5,0.4054651081081644,0.3854291150823957
raw_single_setting,3,1,0.05,0.35,2.0,0.6931471805599453,0.705693868072461
raw_single_setting,3,1,0.05,0.35,3.0,1.0986122886681098,0.9457072303779865
raw_single_setting,3,1,0.05,0.5,1.05,0.04879016416943205,0.0640683230407212
raw_single_setting,3,1,0.05,0.5,1.1,0.09531017980432493,0.07994046750453516
raw_single_setting,3,1,0.05,0.5,1.25,0.22314355131420976,0.136796777947828
raw_single_setting,3,1,0.05,0.5,1.5,0.4054651081081644,0.2506662274809601
raw_single_setting,3,1,0.05,0.5,2.0,0.6931471805599453,0.4793730385010061
raw_single_setting,3,1,0.05,0.5,3.0,1.0986122886681098,0.772653182450223
raw_single_setting,3,1,0.05,0.75,1.05,0.04879016416943205,0.05909434634330053
raw_single_setting,3,1,0.05,0.75,1.1,0.09531017980432493,0.06883352937353246
raw_single_setting,3,1,0.05,0.75,1.25,0.22314355131420976,0.1013109611500728
raw_single_setting,3,1,0.05,0.75,1.5,0.4054651081081644,0.1627455337795885
raw_single_setting,3,1,0.05,0.75,2.0,0.6931471805599453,0.29254418246251174
raw_single_setting,3,1,0.05,0.75,3.0,1.0986122886681098,0.5116091722102545
holm_bonferroni_worst_case,3,8,0.00625,0.05,1.05,0.04879016416943205,0.04675119191567659
holm_bonferroni_worst_case,3,8,0.00625,0.05,1.1,0.09531017980432493,0.1375573999845909
holm_bonferroni_worst_case,3,8,0.00625,0.05,1.25,0.22314355131420976,0.5298983596914731
holm_bonferroni_worst_case,3,8,0.00625,0.05,1.5,0.4054651081081644,0.9148376128014493
holm_bonferroni_worst_case,3,8,0.00625,0.05,2.0,0.6931471805599453,0.9992340023996455
holm_bonferroni_worst_case,3,8,0.00625,0.05,3.0,1.0986122886681098,0.9999999848256863
holm_bonferroni_worst_case,3,8,0.00625,0.1,1.05,0.04879016416943205,0.019896610258604043
holm_bonferroni_worst_case,3,8,0.00625,0.1,1.1,0.09531017980432493,0.04517517497895608
holm_bonferroni_worst_case,3,8,0.00625,0.1,1.25,0.22314355131420976,0.1797413699744757
holm_bonferroni_worst_case,3,8,0.00625,0.1,1.5,0.4054651081081644,0.4648632399610183
holm_bonferroni_worst_case,3,8,0.00625,0.1,2.0,0.6931471805599453,0.8351990615238953
holm_bonferroni_worst_case,3,8,0.00625,0.1,3.0,1.0986122886681098,0.9890053833231037
holm_bonferroni_worst_case,3,8,0.00625,0.2,1.05,0.04879016416943205,0.011648861137865353
holm_bonferroni_worst_case,3,8,0.00625,0.2,1.1,0.09531017980432493,0.01944152280749321
holm_bonferroni_worst_case,3,8,0.00625,0.2,1.25,0.22314355131420976,0.05717423238717635
holm_bonferroni_worst_case,3,8,0.00625,0.2,1.5,0.4054651081081644,0.15273513385258852
holm_bonferroni_worst_case,3,8,0.00625,0.2,2.0,0.6931471805599453,0.3688352319223488
holm_bonferroni_worst_case,3,8,0.00625,0.2,3.0,1.0986122886681098,0.6792269664089903
holm_bonferroni_worst_case,3,8,0.00625,0.35,1.05,0.04879016416943205,0.009022500474672386
holm_bonferroni_worst_case,3,8,0.00625,0.35,1.1,0.09531017980432493,0.012449963748336953
holm_bonferroni_worst_case,3,8,0.00625,0.35,1.25,0.22314355131420976,0.02659432954435425
holm_bonferroni_worst_case,3,8,0.00625,0.35,1.5,0.4054651081081644,0.06060118526428045
holm_bonferroni_worst_case,3,8,0.00625,0.35,2.0,0.6931471805599453,0.14677880073111615
holm_bonferroni_worst_case,3,8,0.00625,0.35,3.0,1.0986122886681098,0.31596332219941364
