problem_family,base_setting,seed,source_algo,checkpoint_step,checkpoint_loss,continuation_horizon,continuation_variant,continuation_algo,continuation_lr,loss_before,loss_after,total_decrease,recovery_after,finite
MatrixFactorizationInput,MF input kappa=1e+02,2,Muon,3,0.0001477952429329342,30,own_fresh,Muon,0.003,0.0001477952429329342,0.00012955161574857137,1.824362718436283e-05,0.933616135502681,True
MatrixFactorizationInput,MF input kappa=1e+02,2,Muon,3,0.0001477952429329342,30,own_fresh,Muon,0.01,0.0001477952429329342,2.1029010834033707e-06,0.00014569234184953083,0.12995565329531764,True
MatrixFactorizationInput,MF input kappa=1e+02,2,Muon,3,0.0001477952429329342,30,own_fresh,Muon,0.03,0.0001477952429329342,5.073080949266787e-06,0.0001427221619836674,0.1787281193246279,True
MatrixFactorizationInput,MF input kappa=1e+02,2,Muon,3,0.0001477952429329342,30,switched_fresh,Adam,0.003,0.0001477952429329342,1.0769352580818323e-05,0.00013702589035211588,0.2888743117782659,True
MatrixFactorizationInput,MF input kappa=1e+02,2,Muon,3,0.0001477952429329342,30,switched_fresh,Adam,0.01,0.0001477952429329342,1.854115146031144e-06,0.00014594112778690307,0.1163707757931146,True
MatrixFactorizationInput,MF input kappa=1e+02,2,Muon,3,0.0001477952429329342,30,switched_fresh,Adam,0.03,0.0001477952429329342,8.37581046410096e-06,0.00013941943246883323,0.25210511687360143,True
MatrixFactorizationInput,MF input kappa=1e+02,3,Adam,3,0.00012099468907843818,30,own_fresh,Adam,0.003,0.00012099468907843818,5.237243313821032e-06,0.00011575744576461715,0.19719006777161766,True
MatrixFactorizationInput,MF input kappa=1e+02,3,Adam,3,0.00012099468907843818,30,own_fresh,Adam,0.01,0.00012099468907843818,1.971058650536952e-06,0.00011902363042790122,0.1159898818304406,True
MatrixFactorizationInput,MF input kappa=1e+02,3,Adam,3,0.00012099468907843818,30,own_fresh,Adam,0.03,0.00012099468907843818,3.947639548940312e-06,0.00011704704952949786,0.16262083175404538,True
MatrixFactorizationInput,MF input kappa=1e+02,3,Adam,3,0.00012099468907843818,30,switched_fresh,Muon,0.003,0.00012099468907843818,5.565163488824545e-05,6.534305419019273e-05,0.625825548368112,True
MatrixFactorizationInput,MF input kappa=1e+02,3,Adam,3,0.00012099468907843818,30,switched_fresh,Muon,0.01,0.00012099468907843818,8.273357298245969e-07,0.00012016735334861358,0.06986907940616813,True
MatrixFactorizationInput,MF input kappa=1e+02,3,Adam,3,0.00012099468907843818,30,switched_fresh,Muon,0.03,0.00012099468907843818,4.801562824812074e-06,0.0001161931262536261,0.1689902426109079,True
MatrixFactorizationInput,MF input kappa=1e+02,3,Muon,3,0.0001598111868880388,30,own_fresh,Muon,0.003,0.0001598111868880388,0.00014044458100446707,1.936660588357174e-05,0.9370191675325465,True
MatrixFactorizationInput,MF input kappa=1e+02,3,Muon,3,0.0001598111868880388,30,own_fresh,Muon,0.01,0.0001598111868880388,1.6565403089369862e-06,0.00015815464657910181,0.11152224436277175,True
MatrixFactorizationInput,MF input kappa=1e+02,3,Muon,3,0.0001598111868880388,30,own_fresh,Muon,0.03,0.0001598111868880388,3.710727799850513e-06,0.0001561004590881883,0.14745164266364313,True
MatrixFactorizationInput,MF input kappa=1e+02,3,Muon,3,0.0001598111868880388,30,switched_fresh,Adam,0.003,0.0001598111868880388,1.4902714685282611e-05,0.0001449084722027562,0.3277033709107503,True
MatrixFactorizationInput,MF input kappa=1e+02,3,Muon,3,0.0001598111868880388,30,switched_fresh,Adam,0.01,0.0001598111868880388,2.8013753404336575e-06,0.00015700981154760516,0.1392067697000836,True
MatrixFactorizationInput,MF input kappa=1e+02,3,Muon,3,0.0001598111868880388,30,switched_fresh,Adam,0.03,0.0001598111868880388,1.738513571759359e-05,0.0001424260511704452,0.3237088965582304,True
MatrixFactorizationInput,MF input kappa=1e+02,4,Adam,3,0.00011761284773264642,30,own_fresh,Adam,0.003,0.00011761284773264642,3.991288215481253e-06,0.00011362155951716517,0.1701699673756167,True
MatrixFactorizationInput,MF input kappa=1e+02,4,Adam,3,0.00011761284773264642,30,own_fresh,Adam,0.01,0.00011761284773264642,1.495381304949426e-06,0.00011611746642769699,0.10433471693887393,True
MatrixFactorizationInput,MF input kappa=1e+02,4,Adam,3,0.00011761284773264642,30,own_fresh,Adam,0.03,0.00011761284773264642,7.223514209364509e-06,0.00011038933352328191,0.22871230669498266,True
MatrixFactorizationInput,MF input kappa=1e+02,4,Adam,3,0.00011761284773264642,30,switched_fresh,Muon,0.003,0.00011761284773264642,6.182264241356178e-05,5.5790205319084643e-05,0.686688717685185,True
MatrixFactorizationInput,MF input kappa=1e+02,4,Adam,3,0.00011761284773264642,30,switched_fresh,Muon,0.01,0.00011761284773264642,9.118402550417005e-07,0.00011670100747760472,0.07731848274616326,True
MatrixFactorizationInput,MF input kappa=1e+02,4,Adam,3,0.00011761284773264642,30,switched_fresh,Muon,0.03,0.00011761284773264642,6.887111489974848e-06,0.00011072573624267157,0.20829722640728443,True
