group_type,problem_family,base_setting,source_algo,metric,n_pairs,switched_better_pairs,mean_switched_over_own,ratio_ci95_low,ratio_ci95_high,geomean_switched_over_own,geomean_ci95_low,geomean_ci95_high,mean_delta_switched_minus_own,delta_ci95_low,delta_ci95_high,mean_best_lr_own,mean_best_lr_switched
setting_source,MatrixFactorizationInput,MF input kappa=1e+02,Adam,loss_after,5,5,0.5106882917750639,0.3309377925877891,0.6904387909623387,0.49326545941746835,0.3396036742417035,0.7164551855854078,-8.79004955874023e-07,-1.385743323349222e-06,-3.722665883988239e-07,0.01,0.01
setting_source,MatrixFactorizationInput,MF input kappa=1e+02,Adam,recovery_after,5,5,0.6661357587718828,0.546067505713882,0.7862040118298836,0.6604909376779857,0.5508377646548235,0.7919723496592778,-0.03721693708189838,-0.05366982369272011,-0.020764050471076653,0.01,0.01
setting_source,MatrixFactorizationInput,MF input kappa=1e+02,Muon,loss_after,5,2,1.06251713108651,0.5490038589348362,1.576030403238184,0.9988397763378893,0.6094395729342523,1.6370464654784678,-3.7906438342202696e-08,-1.1656060716998834e-06,1.089793195015478e-06,0.014000000000000002,0.01
setting_source,MatrixFactorizationInput,MF input kappa=1e+02,Muon,recovery_after,5,3,0.9743803193457655,0.7546913224942442,1.1940693161972868,0.9623132519875961,0.7753012961958717,1.1944347307230436,-0.005070337971501046,-0.03217169652806798,0.022031020585065883,0.014000000000000002,0.01
setting_source,MatrixFactorizationInput,MF input kappa=1e+05,Adam,loss_after,5,2,1.130100744706389,0.6849015652310206,1.5752999241817576,1.0858309645508162,0.7337482870847629,1.6068574255372046,7.181714016162637e-08,-2.433008271043898e-07,3.869351074276425e-07,0.01,0.01
setting_source,MatrixFactorizationInput,MF input kappa=1e+05,Adam,recovery_after,5,3,1.0055533079417078,0.807427541784206,1.2036790740992098,0.9955060827593821,0.817863011698313,1.2117339293202982,3.52752268415385e-05,-0.01452478130017221,0.014595331753855287,0.01,0.01
setting_source,MatrixFactorizationInput,MF input kappa=1e+05,Muon,loss_after,5,2,0.9949246797008691,0.5135365751876063,1.476312784214132,0.9276068619992062,0.5417236338160432,1.5883643184749898,-2.043718885103972e-07,-9.939997841326077e-07,5.852560071118132e-07,0.014000000000000002,0.01
setting_source,MatrixFactorizationInput,MF input kappa=1e+05,Muon,recovery_after,5,3,0.9551148191785224,0.7276164089587542,1.1826132293982905,0.9408492374257014,0.7385639571971933,1.1985384325059611,-0.007884195137626476,-0.032990147407776074,0.017221757132523118,0.014000000000000002,0.01
setting_source,MatrixSensing,Matrix sensing kappa=1e+02,Adam,loss_after,5,5,0.29219750878031325,0.1889372202454861,0.3954577973151404,0.2821558214056326,0.19421363309448073,0.4099192537856381,-2.3231398053981163e-05,-2.948117963198852e-05,-1.6981616475973804e-05,0.003,0.003
setting_source,MatrixSensing,Matrix sensing kappa=1e+02,Adam,recovery_after,5,3,0.9976984352934679,0.993794485615078,1.0016023849718578,0.9976944664318853,0.9937944020544621,1.001609836291123,-0.0026426139889712983,-0.0071485777399792755,0.0018633497620366788,0.003,0.003
setting_source,MatrixSensing,Matrix sensing kappa=1e+02,Muon,loss_after,5,0,5.595766914555254,4.153452093537323,7.038081735573185,5.509534868958691,4.340767634550421,6.992996867802985,4.608371798118175e-05,3.6714996087326894e-05,5.5452439875036607e-05,0.003,0.003
setting_source,MatrixSensing,Matrix sensing kappa=1e+02,Muon,recovery_after,5,5,0.9605220351200112,0.9578998069238988,0.9631442633161237,0.9605201754688687,0.9578992690745838,0.9631482529202255,-0.04568871437361151,-0.04832731271196329,-0.043050116035259725,0.003,0.003
setting_source,MatrixSensing,Matrix sensing kappa=1e+05,Adam,loss_after,5,5,0.23548822443954598,0.21628760258266114,0.2546888462964308,0.23509212738304627,0.21700579289350694,0.2546858663105308,-2.6804585185249243e-05,-3.243943633327334e-05,-2.1169734037225148e-05,0.003,0.003
setting_source,MatrixSensing,Matrix sensing kappa=1e+05,Adam,recovery_after,5,5,0.9914517145615358,0.9869946722863013,0.9959087568367703,0.9914465226873697,0.9870040616817822,0.9959089790106589,-0.009951837152846598,-0.01522137710917391,-0.004682297196519286,0.003,0.003
setting_source,MatrixSensing,Matrix sensing kappa=1e+05,Muon,loss_after,5,0,4.310135404590533,2.9943460360756893,5.625924773105377,4.176735265737644,2.8811704805516167,6.054871656437539,3.058068451727827e-05,2.0699877857115165e-05,4.0461491177441375e-05,0.003,0.003
setting_source,MatrixSensing,Matrix sensing kappa=1e+05,Muon,recovery_after,5,5,0.9583432263017959,0.9547624667905299,0.9619239858130619,0.9583397524948329,0.9547639684946324,0.9619289285287068,-0.0491543263264143,-0.05321740010875261,-0.045091252544075984,0.003,0.003
setting_source,SmallMLPDigits,Small MLP digits hidden=16,Adam,loss_after,5,0,4.15914623195327,3.04459365910233,5.2736988048042095,4.080555612446972,3.1064769351605293,5.360070090271581,1.0915413145979513,1.0181803389377677,1.164902290258135,0.03,0.03
setting_source,SmallMLPDigits,Small MLP digits hidden=16,Adam,recovery_after,5,0,1.313383649851221,1.0910206790252885,1.5357466206771535,1.3033046213972008,1.0954492304508734,1.5505994152336726,0.0326171875,0.005149624132392828,0.06008475086760717,0.03,0.03
setting_source,SmallMLPDigits,Small MLP digits hidden=16,Muon,loss_after,5,5,0.19004628292962286,0.13299940806901184,0.24709315779023389,0.1856951474127838,0.13787781276913008,0.2500959877452883,-1.2230977429131897,-1.2904949513699704,-1.155700534456409,0.03,0.03
setting_source,SmallMLPDigits,Small MLP digits hidden=16,Muon,recovery_after,5,5,0.8136516942506926,0.694000289642372,0.9333030988590132,0.809256997505534,0.7012605449826768,0.9338852623283547,-0.0212890625,-0.03905346174723699,-0.0035246632527630058,0.03,0.03
setting_source,SmallMLPDigits,Small MLP digits hidden=64,Adam,loss_after,5,0,9.062520039337006,5.631340375419839,12.493699703254173,8.78197663652887,6.291340247673379,12.258614318794805,1.1021214648319861,1.0778776914806414,1.126365238183331,0.03,0.03
setting_source,SmallMLPDigits,Small MLP digits hidden=64,Adam,recovery_after,5,0,2.191541160422419,1.7066689274336813,2.6764133934111567,2.1646075088751777,1.7424369410158733,2.6890646985176136,0.0564453125,0.03289913871730894,0.07999148628269105,0.03,0.03
setting_source,SmallMLPDigits,Small MLP digits hidden=64,Muon,loss_after,5,5,0.1038267696941235,0.07711160080831997,0.13054193857992702,0.10196539835950469,0.07800805426259654,0.13328037163462014,-1.3181998411099731,-1.3530866105275674,-1.2833130716923788,0.03,0.03
setting_source,SmallMLPDigits,Small MLP digits hidden=64,Muon,recovery_after,5,5,0.4843253968253968,0.35596221295914676,0.6126885806916469,0.475726174640714,0.36608696109684113,0.6182011852053365,-0.0521484375,-0.07603855018560404,-0.028258324814395958,0.03,0.03
source_all,All,All,Adam,loss_after,30,17,2.5650235068319307,1.3351416178310593,3.794905395832802,1.0410708055195597,0.6193993404569981,1.7498055798791892,0.3656019893764805,0.17722739176234595,0.553976586990615,0.014333333333333339,0.014333333333333339
source_all,All,All,Adam,recovery_after,30,16,1.1942940044737056,1.0076039045303413,1.3809841044170699,1.106455085095111,0.9587111344369809,1.2769673902366703,0.0065477311671875435,-0.005375168617023502,0.01847063095139859,0.014333333333333339,0.014333333333333339
source_all,All,All,Muon,loss_after,30,14,2.0428695304261524,1.2392150556273824,2.8465240052249223,0.8596945501614492,0.48805975884670516,1.5143119386112567,-0.42353686031649856,-0.6419301275462931,-0.20514359308670402,0.015666666666666672,0.014333333333333339
source_all,All,All,Muon,recovery_after,30,26,0.8577229151703638,0.7829753559910548,0.9324704743496728,0.8274040991856737,0.7422330181449175,0.9223485436693301,-0.030205845634858886,-0.038959197327585036,-0.021452493942132736,0.015666666666666672,0.014333333333333339
all,All,All,All,loss_after,60,31,2.3039465186290418,1.57257141847434,3.0353216187837435,0.9460459279746176,0.6512286511519516,1.3743297323516004,-0.028967435470009035,-0.20383777164899214,0.14590290070897405,0.015000000000000003,0.014333333333333335
all,All,All,All,recovery_after,60,42,1.026008459822035,0.91746026884805,1.1345566507960199,0.9568100506226552,0.8700212623740422,1.0522564362098772,-0.011829057233835672,-0.020532840695057224,-0.0031252737726141216,0.015000000000000003,0.014333333333333335
