problem_family,base_setting,eval_algo,target_layer_relative_norm,budget,step,update_source,points,mean_delta_loss,mean_update_grad_inner,mean_update_grad_cosine
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.001,op,0,own_update,5,5.724140503542315e-09,5.723106049266027e-09,0.07112458460804319
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.001,op,1,other_update,5,3.174512563066853e-08,3.168852356160748e-08,0.07683867358091616
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.001,op,1,own_update,5,5.02927653454042e-08,5.021290550049023e-08,0.2646291378141842
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.001,op,3,other_update,5,3.2521685220835244e-07,3.243826481084851e-07,0.25850493299768745
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.001,op,3,own_update,5,2.8814005028403255e-07,2.874561626135265e-07,0.4834915958723357
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.001,op,10,other_update,5,1.8436944046434964e-07,1.941822619050854e-07,0.19378900464320434
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.001,op,10,own_update,5,-5.85632123101027e-08,-5.650442744187331e-08,-0.11597192062942159
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.003,fro,0,other_update,5,2.5012532541994264e-08,2.5025054517189392e-08,0.0504078366139165
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.003,fro,0,own_update,5,3.114243196834115e-08,3.113181311139827e-08,0.06281417743759088
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.003,fro,1,other_update,5,8.283382088443663e-08,8.252671229423691e-08,0.0680959571339361
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.003,fro,1,own_update,5,2.9323425204942046e-07,2.9073313237618966e-07,0.24246248614731902
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.003,fro,3,other_update,5,8.301183546497581e-07,8.25027252026829e-07,0.23362835724371514
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.003,fro,3,own_update,5,1.571295362886972e-06,1.5520909399913362e-06,0.4379511695505597
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.003,fro,10,other_update,5,4.058748429979112e-07,4.7070697667305365e-07,0.1743269650314144
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.003,fro,10,own_update,5,-4.030417492551164e-07,-3.371457160142147e-07,-0.13029407878562135
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.003,op,0,other_update,5,2.7079427358377583e-08,2.7093503335751027e-08,0.05457257114830159
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.003,op,0,own_update,5,1.717874214552783e-08,1.716931814779808e-08,0.0711245846080432
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.003,op,1,other_update,5,9.557633463763097e-08,9.506557068482243e-08,0.07683867358091614
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.003,op,1,own_update,5,1.513593966993127e-07,1.506387165014707e-07,0.26462913781418423
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.003,op,3,other_update,5,9.806328954783451e-07,9.731479443254554e-07,0.25850493299768745
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.003,op,3,own_update,5,8.684996386535928e-07,8.623684878405793e-07,0.48349159587233564
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.003,op,10,other_update,5,4.924792584249438e-07,5.825467857152561e-07,0.19378900464320434
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.003,op,10,own_update,5,-1.8788319452907965e-07,-1.695132823256199e-07,-0.11597192062942159
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.01,fro,0,other_update,5,8.330269676576503e-08,8.341684839063131e-08,0.05040783661391651
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.01,fro,0,own_update,5,1.0392468741372233e-07,1.0377271037132756e-07,0.06281417743759087
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.01,fro,1,other_update,5,2.7852277778045335e-07,2.7508904098078974e-07,0.0680959571339361
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.01,fro,1,own_update,5,9.974060418491115e-07,9.691104412539655e-07,0.24246248614731902
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.01,fro,3,other_update,5,2.8059141317346967e-06,2.7500908400894297e-06,0.23362835724371517
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.01,fro,3,own_update,5,5.379173227387232e-06,5.173636466637787e-06,0.4379511695505597
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.01,fro,10,other_update,5,8.055846064616031e-07,1.5690232555768452e-06,0.17432696503141443
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.01,fro,10,own_update,5,-1.8147252645091927e-06,-1.1238190533807156e-06,-0.13029407878562135
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.01,op,0,other_update,5,9.018482870597742e-08,9.031167778583675e-08,0.05457257114830159
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.01,op,0,own_update,5,5.7340127607407836e-08,5.7231060492660273e-08,0.07112458460804319
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.01,op,1,other_update,5,3.2261108010047637e-07,3.1688523561607475e-07,0.07683867358091614
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.01,op,1,own_update,5,5.102125603351226e-07,5.021290550049023e-07,0.2646291378141842
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.01,op,3,other_update,5,3.3259987544733706e-06,3.2438264810848507e-06,0.25850493299768745
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.01,op,3,own_update,5,2.94165956767977e-06,2.8745616261352647e-06,0.48349159587233564
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.01,op,10,other_update,5,8.697185849962456e-07,1.941822619050854e-06,0.19378900464320434
MatrixFactorizationInput,MF input kappa=1e+02,Adam,0.01,op,10,own_update,5,-7.631800166802282e-07,-5.65044274418733e-07,-0.11597192062942159
