problem_family,base_setting,seed,step,eval_algo,update_source,source_algo,budget,target_layer_relative_norm,loss_before,loss_after,delta_loss,update_grad_inner,update_grad_cosine,update_fro_norm
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Adam,own_update,Adam,fro,0.0001,0.0001532792239327137,0.00015327791735986906,1.3065728446273826e-09,1.3064876197962888e-09,0.0804343524067116,0.0006329184407616908
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Adam,own_update,Adam,op,0.0001,0.0001532792239327137,0.00015327850728651967,7.166461940208164e-10,7.166225137977743e-10,0.0871977908547107,0.0003202351399956023
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Adam,own_update,Adam,fro,0.0003,0.0001532792239327137,0.00015327530370338004,3.920229333645095e-09,3.919462859388866e-09,0.08043435240671164,0.0018987553222850717
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Adam,own_update,Adam,op,0.0003,0.0001532792239327137,0.00015327707385214215,2.1500805715370976e-09,2.1498675413933224e-09,0.08719779085471066,0.0009607054199868069
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Adam,own_update,Adam,fro,0.001,0.0001532792239327137,0.00015326615056148517,1.3073371228514239e-08,1.3064876197962886e-08,0.08043435240671158,0.006329184407616907
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Adam,own_update,Adam,op,0.001,0.0001532792239327137,0.00015327205534416017,7.16858855351961e-09,7.166225137977745e-09,0.0871977908547107,0.0032023513999560236
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Adam,own_update,Adam,fro,0.003,0.0001532792239327137,0.0001532399533965857,3.927053612799562e-08,3.919462859388867e-08,0.08043435240671164,0.018987553222850718
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Adam,own_update,Adam,op,0.003,0.0001532792239327137,0.00015325770407866217,2.151985405152157e-08,2.1498675413933227e-08,0.08719779085471069,0.00960705419986807
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Adam,own_update,Adam,fro,0.01,0.0001532792239327137,0.0001531477528918979,1.3147104081578454e-07,1.3064876197962884e-07,0.0804343524067116,0.06329184407616906
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Adam,own_update,Adam,op,0.01,0.0001532792239327137,0.0001532073299303265,7.189400238718146e-08,7.166225137977745e-08,0.08719779085471069,0.03202351399956024
