problem_family,base_setting,seed,step,layer,adam_loss,muon_loss,top_k,grad_left_overlap,grad_right_overlap,grad_mean_overlap,param_left_overlap,param_right_overlap,param_mean_overlap
MatrixFactorizationInput,MF input kappa=1e+02,0,0,1,0.0001532792239327137,0.0001532792239327137,5,0.9999999999999993,0.9999999999999993,0.9999999999999993,0.9999999999999997,1.0000000000000009,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,0,0,2,0.0001532792239327137,0.0001532792239327137,5,1.0000000000000002,1.0000000000000009,1.0000000000000004,1.0000000000000002,1.0000000000000002,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,0,0,3,0.0001532792239327137,0.0001532792239327137,5,1.0000000000000002,1.0000000000000009,1.0000000000000004,1.0000000000000002,1.0000000000000002,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,0,0,4,0.0001532792239327137,0.0001532792239327137,5,1.0000000000000002,1.0000000000000009,1.0000000000000004,1.0000000000000002,1.0000000000000002,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,0,0,5,0.0001532792239327137,0.0001532792239327137,5,1.0000000000000002,1.0000000000000009,1.0000000000000004,1.0000000000000002,1.0000000000000002,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,0,0,6,0.0001532792239327137,0.0001532792239327137,5,1.0000000000000002,1.0000000000000009,1.0000000000000004,1.0000000000000002,1.0000000000000002,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,0,0,7,0.0001532792239327137,0.0001532792239327137,5,1.0000000000000002,1.0000000000000009,1.0000000000000004,1.0000000000000002,1.0000000000000002,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,0,0,8,0.0001532792239327137,0.0001532792239327137,5,1.0000000000000002,1.0000000000000009,1.0000000000000004,1.0000000000000002,1.0000000000000002,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,0,0,9,0.0001532792239327137,0.0001532792239327137,5,1.0000000000000002,1.0000000000000009,1.0000000000000004,1.0000000000000002,1.0000000000000002,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,0,0,10,0.0001532792239327137,0.0001532792239327137,5,1.0000000000000002,0.9999999999999997,1.0,1.0000000000000009,1.0000000000000002,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,0,1,1,0.00014960484497871958,0.00015276069255121483,5,0.7162789278359227,1.0000000000000002,0.8581394639179615,0.7345036492174072,1.0000000000000002,0.8672518246087038
MatrixFactorizationInput,MF input kappa=1e+02,0,1,2,0.00014960484497871958,0.00015276069255121483,5,1.0000000000000009,1.0000000000000009,1.0000000000000009,1.0000000000000002,1.0000000000000004,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,0,1,3,0.00014960484497871958,0.00015276069255121483,5,1.0000000000000004,1.0000000000000002,1.0000000000000004,1.0000000000000002,1.0000000000000004,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,0,1,4,0.00014960484497871958,0.00015276069255121483,5,1.0000000000000002,0.9999999999999997,1.0,1.0000000000000002,1.0000000000000004,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,0,1,5,0.00014960484497871958,0.00015276069255121483,5,0.9999999999999997,0.9999999999999997,0.9999999999999997,1.0000000000000002,1.0000000000000004,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,0,1,6,0.00014960484497871958,0.00015276069255121483,5,1.0000000000000004,0.9999999999999997,1.0,1.0000000000000002,1.0000000000000004,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,0,1,7,0.00014960484497871958,0.00015276069255121483,5,0.9999999999999997,0.9999999999999997,0.9999999999999997,1.0000000000000002,1.0000000000000004,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,0,1,8,0.00014960484497871958,0.00015276069255121483,5,1.0000000000000002,1.0000000000000009,1.0000000000000004,1.0000000000000002,1.0000000000000004,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,0,1,9,0.00014960484497871958,0.00015276069255121483,5,1.0000000000000004,1.0000000000000002,1.0000000000000004,1.0000000000000002,1.0000000000000004,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,0,1,10,0.00014960484497871958,0.00015276069255121483,5,0.9999999999999997,0.9755516726251603,0.9877758363125799,1.0000000000000009,0.6869000240494066,0.8434500120247037
MatrixFactorizationInput,MF input kappa=1e+02,0,2,1,0.00013747500060262135,0.00015214966120431802,5,0.7297801812587763,1.0000000000000002,0.8648900906293883,0.7104320573418395,0.9999999999999997,0.8552160286709196
MatrixFactorizationInput,MF input kappa=1e+02,0,2,2,0.00013747500060262135,0.00015214966120431802,5,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.9999999999999997,1.0000000000000002,1.0
MatrixFactorizationInput,MF input kappa=1e+02,0,2,3,0.00013747500060262135,0.00015214966120431802,5,0.9999999999999997,1.0000000000000002,1.0,1.0000000000000009,1.0000000000000004,1.0000000000000007
MatrixFactorizationInput,MF input kappa=1e+02,0,2,4,0.00013747500060262135,0.00015214966120431802,5,0.9999999999999997,0.9999999999999997,0.9999999999999997,1.0000000000000009,1.0000000000000009,1.0000000000000009
