problem_family,base_setting,seed,step,layer,top_k,update_left_overlap,update_right_overlap,update_mean_overlap
MatrixFactorizationInput,MF input kappa=1e+02,0,3,10,5,1.0000000000000004,0.41980485498703646,0.7099024274935184
MatrixFactorizationInput,MF input kappa=1e+02,0,4,1,5,0.3918186980688694,0.9999999999999993,0.6959093490344344
MatrixFactorizationInput,MF input kappa=1e+02,0,4,2,5,0.9999999999999993,1.0000000000000009,1.0
MatrixFactorizationInput,MF input kappa=1e+02,0,4,3,5,1.0000000000000002,1.0000000000000004,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,0,4,4,5,0.9999999999999997,1.0000000000000004,1.0
MatrixFactorizationInput,MF input kappa=1e+02,0,4,5,5,1.0000000000000002,1.0000000000000002,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,0,4,6,5,1.0000000000000004,0.9999999999999997,1.0
MatrixFactorizationInput,MF input kappa=1e+02,0,4,7,5,0.9999999999999993,1.0000000000000002,0.9999999999999998
MatrixFactorizationInput,MF input kappa=1e+02,0,4,8,5,1.0000000000000002,0.9999999999999993,0.9999999999999998
MatrixFactorizationInput,MF input kappa=1e+02,0,4,9,5,0.9999999999999993,0.9999999999999997,0.9999999999999996
MatrixFactorizationInput,MF input kappa=1e+02,0,4,10,5,0.9999999999999997,0.4133488042137496,0.7066744021068746
MatrixFactorizationInput,MF input kappa=1e+02,0,5,1,5,0.3818224183633091,1.0000000000000002,0.6909112091816547
MatrixFactorizationInput,MF input kappa=1e+02,0,5,2,5,1.0000000000000004,0.9999999999999997,1.0
MatrixFactorizationInput,MF input kappa=1e+02,0,5,3,5,0.9999999999999997,1.0000000000000004,1.0
MatrixFactorizationInput,MF input kappa=1e+02,0,5,4,5,1.0000000000000004,1.0000000000000004,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,0,5,5,5,1.0000000000000002,1.0000000000000002,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,0,5,6,5,1.0000000000000004,1.0000000000000004,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,0,5,7,5,1.0000000000000002,1.0000000000000002,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,0,5,8,5,1.0000000000000009,1.0000000000000004,1.0000000000000007
MatrixFactorizationInput,MF input kappa=1e+02,0,5,9,5,1.0000000000000009,1.0000000000000002,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,0,5,10,5,0.9999999999999997,0.4390341663318222,0.7195170831659109
MatrixFactorizationInput,MF input kappa=1e+02,0,6,1,5,0.4062332265763441,1.0000000000000009,0.7031166132881725
MatrixFactorizationInput,MF input kappa=1e+02,0,6,2,5,1.0000000000000009,1.0000000000000004,1.0000000000000007
MatrixFactorizationInput,MF input kappa=1e+02,0,6,3,5,1.0000000000000002,1.0000000000000002,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,0,6,4,5,1.0000000000000002,1.0000000000000002,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,0,6,5,5,1.0000000000000013,1.0000000000000002,1.0000000000000009
MatrixFactorizationInput,MF input kappa=1e+02,0,6,6,5,1.0000000000000002,1.0000000000000002,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,0,6,7,5,1.0000000000000002,1.0000000000000004,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,0,6,8,5,1.0000000000000004,1.0000000000000004,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,0,6,9,5,0.9999999999999997,1.0000000000000002,1.0
MatrixFactorizationInput,MF input kappa=1e+02,0,6,10,5,1.0000000000000004,0.3879501672231436,0.693975083611572
MatrixFactorizationInput,MF input kappa=1e+02,0,7,1,5,0.41666653977586304,1.0000000000000002,0.7083332698879317
MatrixFactorizationInput,MF input kappa=1e+02,0,7,2,5,1.0000000000000002,0.9999999999999997,1.0
MatrixFactorizationInput,MF input kappa=1e+02,0,7,3,5,1.0000000000000002,0.9999999999999997,1.0
MatrixFactorizationInput,MF input kappa=1e+02,0,7,4,5,0.9999999999999993,0.9999999999999997,0.9999999999999996
MatrixFactorizationInput,MF input kappa=1e+02,0,7,5,5,1.0000000000000002,0.9999999999999989,0.9999999999999996
MatrixFactorizationInput,MF input kappa=1e+02,0,7,6,5,0.9999999999999997,0.9999999999999993,0.9999999999999996
MatrixFactorizationInput,MF input kappa=1e+02,0,7,7,5,1.0000000000000004,0.9999999999999993,0.9999999999999999
MatrixFactorizationInput,MF input kappa=1e+02,0,7,8,5,0.9999999999999993,1.0000000000000002,0.9999999999999998
MatrixFactorizationInput,MF input kappa=1e+02,0,7,9,5,0.9999999999999997,1.0000000000000002,1.0
MatrixFactorizationInput,MF input kappa=1e+02,0,7,10,5,0.9999999999999997,0.3482685620226357,0.6741342810113177
MatrixFactorizationInput,MF input kappa=1e+02,0,8,1,5,0.39290896108159173,1.0000000000000002,0.696454480540796
MatrixFactorizationInput,MF input kappa=1e+02,0,8,2,5,1.0000000000000004,0.9999999999999997,1.0
MatrixFactorizationInput,MF input kappa=1e+02,0,8,3,5,1.0000000000000002,1.0000000000000002,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,0,8,4,5,1.0000000000000002,1.0000000000000002,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,0,8,5,5,1.0000000000000002,1.0000000000000002,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,0,8,6,5,1.0000000000000002,1.0000000000000004,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,0,8,7,5,1.0000000000000002,0.9999999999999997,1.0
MatrixFactorizationInput,MF input kappa=1e+02,0,8,8,5,0.9999999999999993,1.0000000000000002,0.9999999999999998
MatrixFactorizationInput,MF input kappa=1e+02,0,8,9,5,1.0000000000000002,1.0000000000000004,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,0,8,10,5,0.9999999999999997,0.31631607950093027,0.6581580397504649
MatrixFactorizationInput,MF input kappa=1e+02,0,9,1,5,0.33523301709167086,1.0000000000000004,0.6676165085458357
MatrixFactorizationInput,MF input kappa=1e+02,0,9,2,5,1.0000000000000002,1.0000000000000004,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,0,9,3,5,0.9999999999999997,1.0000000000000004,1.0
MatrixFactorizationInput,MF input kappa=1e+02,0,9,4,5,1.0000000000000004,1.0000000000000002,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,0,9,5,5,1.0000000000000002,1.0000000000000002,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,0,9,6,5,1.0000000000000002,1.0000000000000002,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,0,9,7,5,1.0000000000000009,1.0000000000000002,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,0,9,8,5,1.0000000000000004,1.0000000000000002,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,0,9,9,5,1.0000000000000002,1.0000000000000002,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,0,9,10,5,1.0000000000000002,0.3042859331889394,0.6521429665944698
MatrixFactorizationInput,MF input kappa=1e+02,1,0,1,5,0.37150064974140146,1.0000000000000002,0.6857503248707009
MatrixFactorizationInput,MF input kappa=1e+02,1,0,2,5,0.9999999999999993,0.9999999999999997,0.9999999999999996
MatrixFactorizationInput,MF input kappa=1e+02,1,0,3,5,0.9999999999999993,0.9999999999999997,0.9999999999999996
MatrixFactorizationInput,MF input kappa=1e+02,1,0,4,5,0.9999999999999993,0.9999999999999997,0.9999999999999996
MatrixFactorizationInput,MF input kappa=1e+02,1,0,5,5,0.9999999999999993,0.9999999999999997,0.9999999999999996
MatrixFactorizationInput,MF input kappa=1e+02,1,0,6,5,0.9999999999999993,0.9999999999999997,0.9999999999999996
MatrixFactorizationInput,MF input kappa=1e+02,1,0,7,5,0.9999999999999993,0.9999999999999997,0.9999999999999996
MatrixFactorizationInput,MF input kappa=1e+02,1,0,8,5,0.9999999999999993,0.9999999999999997,0.9999999999999996
MatrixFactorizationInput,MF input kappa=1e+02,1,0,9,5,0.9999999999999993,0.9999999999999997,0.9999999999999996
MatrixFactorizationInput,MF input kappa=1e+02,1,0,10,5,1.0000000000000002,0.4421252102064345,0.7210626051032174
MatrixFactorizationInput,MF input kappa=1e+02,1,1,1,5,0.3267253495334087,1.0000000000000002,0.6633626747667045
MatrixFactorizationInput,MF input kappa=1e+02,1,1,2,5,1.0000000000000002,1.0000000000000004,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,1,1,3,5,1.0000000000000002,0.9999999999999997,1.0
MatrixFactorizationInput,MF input kappa=1e+02,1,1,4,5,0.9999999999999997,0.9999999999999997,0.9999999999999997
MatrixFactorizationInput,MF input kappa=1e+02,1,1,5,5,1.0000000000000002,1.0000000000000002,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,1,1,6,5,0.9999999999999997,1.0000000000000002,1.0
MatrixFactorizationInput,MF input kappa=1e+02,1,1,7,5,1.0000000000000002,0.9999999999999997,1.0
MatrixFactorizationInput,MF input kappa=1e+02,1,1,8,5,1.0000000000000002,1.0000000000000004,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,1,1,9,5,0.9999999999999993,1.0000000000000002,0.9999999999999998
MatrixFactorizationInput,MF input kappa=1e+02,1,1,10,5,1.0000000000000004,0.4402183937338135,0.720109196866907
MatrixFactorizationInput,MF input kappa=1e+02,1,2,1,5,0.3512087700360666,1.0000000000000004,0.6756043850180335
MatrixFactorizationInput,MF input kappa=1e+02,1,2,2,5,1.0000000000000002,0.9999999999999993,0.9999999999999998
MatrixFactorizationInput,MF input kappa=1e+02,1,2,3,5,1.0000000000000002,0.9999999999999997,1.0
MatrixFactorizationInput,MF input kappa=1e+02,1,2,4,5,1.0000000000000002,0.9999999999999997,1.0
MatrixFactorizationInput,MF input kappa=1e+02,1,2,5,5,1.0000000000000004,1.0000000000000004,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,1,2,6,5,1.0000000000000004,1.0000000000000002,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,1,2,7,5,1.0000000000000002,1.0000000000000002,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,1,2,8,5,1.0000000000000002,0.9999999999999997,1.0
MatrixFactorizationInput,MF input kappa=1e+02,1,2,9,5,1.0000000000000002,1.0000000000000004,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,1,2,10,5,0.9999999999999997,0.3760839244805513,0.6880419622402755
MatrixFactorizationInput,MF input kappa=1e+02,1,3,1,5,0.3684671930070921,1.0000000000000002,0.6842335965035462
MatrixFactorizationInput,MF input kappa=1e+02,1,3,2,5,0.9999999999999997,1.0000000000000013,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,1,3,3,5,1.0000000000000002,0.9999999999999997,1.0
MatrixFactorizationInput,MF input kappa=1e+02,1,3,4,5,1.0000000000000002,0.9999999999999997,1.0
MatrixFactorizationInput,MF input kappa=1e+02,1,3,5,5,1.0000000000000009,0.9999999999999997,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,1,3,6,5,1.0000000000000002,1.0000000000000002,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,1,3,7,5,1.0000000000000004,1.0000000000000002,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,1,3,8,5,1.0000000000000004,1.0000000000000002,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,1,3,9,5,1.0000000000000004,1.0000000000000002,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,1,3,10,5,1.0000000000000002,0.3684283887511183,0.6842141943755593
MatrixFactorizationInput,MF input kappa=1e+02,1,4,1,5,0.3834218605123998,1.0000000000000002,0.6917109302562
MatrixFactorizationInput,MF input kappa=1e+02,1,4,2,5,1.0000000000000002,1.0000000000000002,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,1,4,3,5,0.9999999999999997,0.9999999999999997,0.9999999999999997
MatrixFactorizationInput,MF input kappa=1e+02,1,4,4,5,0.9999999999999993,0.9999999999999997,0.9999999999999996
MatrixFactorizationInput,MF input kappa=1e+02,1,4,5,5,1.0000000000000002,1.0000000000000004,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,1,4,6,5,1.0000000000000002,1.0000000000000002,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,1,4,7,5,1.0000000000000009,1.0000000000000002,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,1,4,8,5,0.9999999999999993,1.0000000000000002,0.9999999999999998
MatrixFactorizationInput,MF input kappa=1e+02,1,4,9,5,0.9999999999999997,0.9999999999999997,0.9999999999999997
MatrixFactorizationInput,MF input kappa=1e+02,1,4,10,5,0.9999999999999997,0.37990531296654195,0.6899526564832708
MatrixFactorizationInput,MF input kappa=1e+02,1,5,1,5,0.3388935544482307,0.9999999999999997,0.6694467772241152
MatrixFactorizationInput,MF input kappa=1e+02,1,5,2,5,1.0000000000000002,0.9999999999999997,1.0
MatrixFactorizationInput,MF input kappa=1e+02,1,5,3,5,0.9999999999999997,1.0000000000000002,1.0
MatrixFactorizationInput,MF input kappa=1e+02,1,5,4,5,0.9999999999999997,1.0000000000000002,1.0
MatrixFactorizationInput,MF input kappa=1e+02,1,5,5,5,0.9999999999999997,0.9999999999999997,0.9999999999999997
MatrixFactorizationInput,MF input kappa=1e+02,1,5,6,5,0.9999999999999997,0.9999999999999997,0.9999999999999997
MatrixFactorizationInput,MF input kappa=1e+02,1,5,7,5,0.9999999999999997,0.9999999999999997,0.9999999999999997
MatrixFactorizationInput,MF input kappa=1e+02,1,5,8,5,1.0000000000000009,0.9999999999999997,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,1,5,9,5,0.9999999999999997,1.0000000000000002,1.0
MatrixFactorizationInput,MF input kappa=1e+02,1,5,10,5,1.0000000000000004,0.3563580789353441,0.6781790394676723
MatrixFactorizationInput,MF input kappa=1e+02,1,6,1,5,0.3622883925830041,1.0000000000000002,0.6811441962915021
MatrixFactorizationInput,MF input kappa=1e+02,1,6,2,5,0.9999999999999997,1.0000000000000002,1.0
MatrixFactorizationInput,MF input kappa=1e+02,1,6,3,5,1.0000000000000002,1.0000000000000002,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,1,6,4,5,0.9999999999999997,0.9999999999999997,0.9999999999999997
MatrixFactorizationInput,MF input kappa=1e+02,1,6,5,5,1.0000000000000009,0.9999999999999997,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,1,6,6,5,0.9999999999999993,0.9999999999999997,0.9999999999999996
MatrixFactorizationInput,MF input kappa=1e+02,1,6,7,5,1.0000000000000002,1.0000000000000002,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,1,6,8,5,0.9999999999999997,1.0000000000000004,1.0
MatrixFactorizationInput,MF input kappa=1e+02,1,6,9,5,1.0000000000000002,1.0000000000000002,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,1,6,10,5,1.0000000000000009,0.4271550617031753,0.7135775308515881
MatrixFactorizationInput,MF input kappa=1e+02,1,7,1,5,0.3597453558495313,1.0000000000000004,0.6798726779247659
MatrixFactorizationInput,MF input kappa=1e+02,1,7,2,5,1.0000000000000004,1.0000000000000002,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,1,7,3,5,1.0000000000000009,1.0000000000000004,1.0000000000000007
MatrixFactorizationInput,MF input kappa=1e+02,1,7,4,5,1.0000000000000002,1.0000000000000004,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,1,7,5,5,1.0000000000000004,0.9999999999999993,0.9999999999999999
MatrixFactorizationInput,MF input kappa=1e+02,1,7,6,5,1.0000000000000004,1.0000000000000002,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,1,7,7,5,1.0000000000000009,0.9999999999999997,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,1,7,8,5,1.0000000000000004,1.0000000000000002,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,1,7,9,5,0.9999999999999997,1.0000000000000002,1.0
MatrixFactorizationInput,MF input kappa=1e+02,1,7,10,5,1.0000000000000002,0.45067340754996765,0.7253367037749839
MatrixFactorizationInput,MF input kappa=1e+02,1,8,1,5,0.3378961315729151,1.0000000000000002,0.6689480657864577
MatrixFactorizationInput,MF input kappa=1e+02,1,8,2,5,0.9999999999999993,1.0000000000000002,0.9999999999999998
MatrixFactorizationInput,MF input kappa=1e+02,1,8,3,5,1.0000000000000004,0.9999999999999997,1.0
MatrixFactorizationInput,MF input kappa=1e+02,1,8,4,5,1.0000000000000002,1.0000000000000004,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,1,8,5,5,1.0000000000000004,0.9999999999999993,0.9999999999999999
MatrixFactorizationInput,MF input kappa=1e+02,1,8,6,5,1.0000000000000002,0.9999999999999993,0.9999999999999998
MatrixFactorizationInput,MF input kappa=1e+02,1,8,7,5,1.0000000000000002,1.0000000000000002,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,1,8,8,5,0.9999999999999997,0.9999999999999997,0.9999999999999997
MatrixFactorizationInput,MF input kappa=1e+02,1,8,9,5,1.0000000000000002,0.9999999999999997,1.0
MatrixFactorizationInput,MF input kappa=1e+02,1,8,10,5,0.9999999999999997,0.42881209833613526,0.7144060491680675
MatrixFactorizationInput,MF input kappa=1e+02,1,9,1,5,0.3163554673027028,1.0000000000000002,0.6581777336513515
MatrixFactorizationInput,MF input kappa=1e+02,1,9,2,5,1.0000000000000002,0.9999999999999997,1.0
MatrixFactorizationInput,MF input kappa=1e+02,1,9,3,5,1.0000000000000002,1.0000000000000004,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,1,9,4,5,0.9999999999999997,0.9999999999999997,0.9999999999999997
MatrixFactorizationInput,MF input kappa=1e+02,1,9,5,5,0.9999999999999997,1.0000000000000002,1.0
MatrixFactorizationInput,MF input kappa=1e+02,1,9,6,5,0.9999999999999993,0.9999999999999997,0.9999999999999996
MatrixFactorizationInput,MF input kappa=1e+02,1,9,7,5,1.0000000000000004,1.0000000000000002,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,1,9,8,5,1.0000000000000002,1.0000000000000004,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,1,9,9,5,1.0000000000000002,1.0000000000000002,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,1,9,10,5,1.0000000000000002,0.4004116536074117,0.7002058268037059
MatrixFactorizationInput,MF input kappa=1e+02,2,0,1,5,0.3315329055128976,1.0000000000000002,0.6657664527564489
MatrixFactorizationInput,MF input kappa=1e+02,2,0,2,5,1.0000000000000004,1.0000000000000002,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,2,0,3,5,1.0000000000000004,1.0000000000000002,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,2,0,4,5,1.0000000000000004,1.0000000000000002,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,2,0,5,5,1.0000000000000004,1.0000000000000002,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,2,0,6,5,1.0000000000000004,1.0000000000000002,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,2,0,7,5,1.0000000000000004,1.0000000000000002,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,2,0,8,5,1.0000000000000004,1.0000000000000002,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,2,0,9,5,1.0000000000000004,1.0000000000000002,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,2,0,10,5,1.0000000000000002,0.4414927716271098,0.720746385813555
MatrixFactorizationInput,MF input kappa=1e+02,2,1,1,5,0.3572706616950396,1.0000000000000002,0.6786353308475199
MatrixFactorizationInput,MF input kappa=1e+02,2,1,2,5,1.0000000000000004,1.0000000000000004,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,2,1,3,5,0.9999999999999993,0.9999999999999997,0.9999999999999996
MatrixFactorizationInput,MF input kappa=1e+02,2,1,4,5,0.9999999999999993,0.9999999999999997,0.9999999999999996
MatrixFactorizationInput,MF input kappa=1e+02,2,1,5,5,1.0000000000000002,0.9999999999999993,0.9999999999999998
MatrixFactorizationInput,MF input kappa=1e+02,2,1,6,5,0.9999999999999993,0.9999999999999997,0.9999999999999996
MatrixFactorizationInput,MF input kappa=1e+02,2,1,7,5,1.0000000000000002,1.0000000000000002,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,2,1,8,5,1.0000000000000002,1.0000000000000002,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,2,1,9,5,0.9999999999999997,1.0000000000000002,1.0
MatrixFactorizationInput,MF input kappa=1e+02,2,1,10,5,1.0000000000000002,0.36940891284249583,0.684704456421248
MatrixFactorizationInput,MF input kappa=1e+02,2,2,1,5,0.3314868173895606,0.9999999999999997,0.6657434086947801
MatrixFactorizationInput,MF input kappa=1e+02,2,2,2,5,1.0000000000000004,1.0000000000000002,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,2,2,3,5,1.0000000000000004,1.0000000000000002,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,2,2,4,5,0.9999999999999997,1.0000000000000009,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,2,2,5,5,1.0000000000000002,1.0000000000000002,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,2,2,6,5,0.9999999999999997,1.0000000000000002,1.0
MatrixFactorizationInput,MF input kappa=1e+02,2,2,7,5,1.0000000000000009,1.0000000000000002,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,2,2,8,5,1.0000000000000002,0.9999999999999997,1.0
MatrixFactorizationInput,MF input kappa=1e+02,2,2,9,5,0.9999999999999997,0.9999999999999993,0.9999999999999996
MatrixFactorizationInput,MF input kappa=1e+02,2,2,10,5,1.0000000000000002,0.3776009619793999,0.6888004809897
MatrixFactorizationInput,MF input kappa=1e+02,2,3,1,5,0.39785759745794486,0.9999999999999993,0.6989287987289721
MatrixFactorizationInput,MF input kappa=1e+02,2,3,2,5,1.0000000000000002,0.9999999999999997,1.0
MatrixFactorizationInput,MF input kappa=1e+02,2,3,3,5,1.0000000000000004,1.0000000000000002,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,2,3,4,5,1.0000000000000002,1.0000000000000002,1.0000000000000002
MatrixFactorizationInput,MF input kappa=1e+02,2,3,5,5,0.9999999999999997,0.9999999999999997,0.9999999999999997
MatrixFactorizationInput,MF input kappa=1e+02,2,3,6,5,1.0000000000000002,1.0000000000000004,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,2,3,7,5,0.9999999999999997,0.9999999999999993,0.9999999999999996
MatrixFactorizationInput,MF input kappa=1e+02,2,3,8,5,1.0000000000000002,1.0000000000000004,1.0000000000000004
MatrixFactorizationInput,MF input kappa=1e+02,2,3,9,5,1.0000000000000004,1.0000000000000002,1.0000000000000004
