problem_family,base_setting,step,layers,mean_grad_overlap,mean_grad_left_overlap,mean_grad_right_overlap,mean_param_overlap,mean_adam_loss,mean_muon_loss,mean_update_overlap,mean_update_left_overlap,mean_update_right_overlap
MatrixFactorizationInput,MF input kappa=1e+02,0,50,1.0000000000000002,1.0,1.0000000000000004,1.0000000000000002,0.00015444012917827582,0.00015444012917827582,0.9425241576024913,0.9390910028416536,0.9459573123633289
MatrixFactorizationInput,MF input kappa=1e+02,1,50,0.9891371132555448,0.9811745531085081,0.9970996734025813,0.9738178994236166,0.0001506294005269159,0.00015397079803747382,0.9408308385827461,0.9353016824119031,0.9463599947535891
MatrixFactorizationInput,MF input kappa=1e+02,2,50,0.9833195545677108,0.9791990748806912,0.9874400342547304,0.9689374000432356,0.00013773578349697004,0.0001534265521564987,0.9417788351209577,0.9384670883116432,0.9450905819302722
MatrixFactorizationInput,MF input kappa=1e+02,3,50,0.9765738474579101,0.9754967718586407,0.9776509230571794,0.965468779627215,0.00011570471688630393,0.0001527380338672079,0.9409952001519976,0.9395337072414549,0.9424566930625404
MatrixFactorizationInput,MF input kappa=1e+02,4,50,0.972394702246978,0.9708054754348455,0.9739839290591106,0.9630710499196086,8.476961178071322e-05,0.00015185863595719535,0.9408299698305508,0.9397778137066913,0.9418821259544103
MatrixFactorizationInput,MF input kappa=1e+02,5,50,0.9688969921458558,0.9674994395912258,0.9702945447004856,0.9609481628323533,5.9781669199181084e-05,0.00015075249628930824,0.9403817482744131,0.9395915946284767,0.9411719019203493
MatrixFactorizationInput,MF input kappa=1e+02,6,50,0.9667878077868899,0.9661019377287662,0.9674736778450135,0.959954693155603,5.192388393936675e-05,0.00014938521910035267,0.9398186111958873,0.940507606854774,0.9391296155370006
MatrixFactorizationInput,MF input kappa=1e+02,7,50,0.9644240766693349,0.9643190164950985,0.9645291368435711,0.9595568882224668,3.4017157765268626e-05,0.00014772075116799288,0.939915012075906,0.9414407693928148,0.938389254758997
MatrixFactorizationInput,MF input kappa=1e+02,8,50,0.9606592085852297,0.960071734856981,0.9612466823134784,0.9589498729737167,1.9116423718270023e-05,0.0001457225961032003,0.939392608719507,0.9408461239033019,0.9379390935357123
MatrixFactorizationInput,MF input kappa=1e+02,9,50,0.9589832457061439,0.9595196984802105,0.9584467929320774,0.9581501216644627,1.538846839568502e-05,0.0001433535930465427,0.9372616516028923,0.938601725838599,0.9359215773671856
MatrixFactorizationInput,MF input kappa=1e+02,10,50,0.9562474289484925,0.9547936712634835,0.9577011866335016,0.9574010438042113,1.663215059218608e-05,0.00014057658616330773,,,
MatrixSensing,Matrix sensing kappa=1e+02,0,5,1.0000000000000007,1.0000000000000004,1.0000000000000009,1.0000000000000004,0.0124973906589321,0.0124973906589321,0.07712364898092186,0.08116165727937871,0.07308564068246501
MatrixSensing,Matrix sensing kappa=1e+02,1,5,0.11628789194152896,0.1225183565220479,0.11005742736100999,0.35716291431873026,0.002729712703730563,0.009333299772420638,0.1105532653429917,0.11338223983656492,0.10772429084941845
MatrixSensing,Matrix sensing kappa=1e+02,2,5,0.6361470956966906,0.6365397014153537,0.6357544899780276,0.23237219091961642,0.004664921888097845,0.006715966110456573,0.08312029133026307,0.09226567418444018,0.07397490847608594
MatrixSensing,Matrix sensing kappa=1e+02,3,5,0.6907487652949074,0.6898901521686363,0.6916073784211784,0.24026612079510606,0.0051041315720881265,0.004606652268487577,0.09143783793200996,0.09135337525795201,0.09152230060606792
MatrixSensing,Matrix sensing kappa=1e+02,4,5,0.49310340477065673,0.4938211162117893,0.4923856933295241,0.27282633429855685,0.003712448573916233,0.0029642372191422497,0.08577658554811196,0.08581803751121528,0.08573513358500864
MatrixSensing,Matrix sensing kappa=1e+02,5,5,0.17143208755885314,0.17304708627162865,0.16981708884607763,0.30938838696778614,0.002401746962617549,0.0017414084517412976,,,
SmallMLPDigits,Small MLP digits hidden=16,0,10,1.0000000000000004,1.0000000000000004,1.0000000000000004,1.0000000000000004,2.3026000343453505,2.3026000343453505,0.3592019439421534,0.4235221903316807,0.29488169755262605
SmallMLPDigits,Small MLP digits hidden=16,1,10,0.6562213224509345,0.6460494695284353,0.6663931753734336,0.614476966359445,2.30039190868047,2.302027134655606,0.37644000402375444,0.4289357240661279,0.32394428398138103
SmallMLPDigits,Small MLP digits hidden=16,2,10,0.6809520659639954,0.6829299461048393,0.6789741858231514,0.496659188507471,2.29523992343297,2.3013026864931865,0.3555949548251268,0.40292577284068065,0.308264136809573
SmallMLPDigits,Small MLP digits hidden=16,3,10,0.7291365450572359,0.7361299316251202,0.7221431584893516,0.46239524815916155,2.288576114422857,2.300550530880762,0.34381755060401864,0.39328358861981394,0.29435151258822334
SmallMLPDigits,Small MLP digits hidden=16,4,10,0.7520542916484981,0.7659901059367195,0.7381184773602769,0.4560432948404336,2.2784576594422985,2.299465106223262,0.3470247856907184,0.3797528496728563,0.31429672170858053
SmallMLPDigits,Small MLP digits hidden=16,5,10,0.7470253405735463,0.752608989508077,0.7414416916390156,0.4643759158843198,2.262933447522179,2.298235717043913,0.3514749879713771,0.3981541456487241,0.30479583029403007
SmallMLPDigits,Small MLP digits hidden=16,6,10,0.71390537174276,0.7302179635666686,0.6975927799188517,0.47556620618589485,2.2425353339680534,2.2965509840775318,0.36611660403536744,0.3932919709390555,0.33894123713167934
SmallMLPDigits,Small MLP digits hidden=16,7,10,0.7615411477844354,0.7602275285144146,0.7628547670544564,0.48253805799684013,2.220521454328815,2.2947975543807626,0.3623556399347681,0.4107798764708096,0.3139314033987266
SmallMLPDigits,Small MLP digits hidden=16,8,10,0.7660038889381363,0.7631766060976203,0.7688311717786523,0.4920546941622147,2.1973848794652264,2.2931547377958177,0.36149569757289407,0.4103420580496174,0.3126493370961708
SmallMLPDigits,Small MLP digits hidden=16,9,10,0.727998093959728,0.728786324797839,0.727209863121617,0.5040110544094196,2.1689260649142055,2.2910061234586725,0.37684794021124846,0.4210575038263776,0.33263837659611933
SmallMLPDigits,Small MLP digits hidden=16,10,10,0.7481687155532082,0.7542024903956235,0.7421349407107931,0.5081558831272981,2.1386250176025308,2.2889844691696375,,,
SmallMLPDigits,Small MLP digits hidden=64,0,10,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,2.3025856723408413,2.3025856723408413,0.23751359142526782,0.2931801223147015,0.1818470605358341
SmallMLPDigits,Small MLP digits hidden=64,1,10,0.6082815078825812,0.6052157542939823,0.6113472614711801,0.4535209991423862,2.2942539341317323,2.3013986179419295,0.21258805887170823,0.2794060033081579,0.1457701144352585
SmallMLPDigits,Small MLP digits hidden=64,2,10,0.6540456488782791,0.6475455974125959,0.6605457003439621,0.3332905935911346,2.272053192261572,2.2999432929705526,0.2310641633483809,0.3064649952724353,0.15566333142432648
SmallMLPDigits,Small MLP digits hidden=64,3,10,0.6655481936216349,0.6545253668419282,0.6765710204013415,0.3199897495061645,2.247179906367376,2.2984707226476417,0.24676198696396673,0.3228178569800657,0.1707061169478677
SmallMLPDigits,Small MLP digits hidden=64,4,10,0.7180127336301476,0.7092885676606877,0.7267368995996076,0.327308632135216,2.2046529843484044,2.296847592340065,0.22955092780675151,0.28917774499905335,0.16992411061444967
SmallMLPDigits,Small MLP digits hidden=64,5,10,0.7230345082950603,0.7105775754693568,0.7354914411207638,0.3371941740068354,2.154964133275583,2.2950741839115847,0.20272669096122037,0.2509313843389811,0.1545219975834596
