problem_family,base_setting,step,initial_grad_overlap,mean_grad_overlap,grad_overlap_drop,mean_param_overlap,mean_adam_loss,mean_muon_loss
MatrixSensing,Matrix sensing kappa=1e+02,5,1.0000000000000007,0.17143208755885314,0.8285679124411476,0.30938838696778614,0.002401746962617549,0.0017414084517412976
MatrixFactorizationInput,MF input kappa=1e+02,10,1.0000000000000002,0.9562474289484925,0.04375257105150776,0.9574010438042113,1.663215059218608e-05,0.00014057658616330773
SmallMLPDigits,Small MLP digits hidden=16,10,1.0000000000000004,0.7481687155532082,0.25183128444679226,0.5081558831272981,2.1386250176025308,2.2889844691696375
SmallMLPDigits,Small MLP digits hidden=64,10,1.0000000000000002,0.7409766340931497,0.2590233659068505,0.40795542659923545,1.7472196372491513,2.2830891762708836
