group_type,group,points,positive_points,spearman_delta_vs_first_order,spearman_ci95_low,spearman_ci95_high,pearson_log_positive,geomean_observed_over_first_order,ratio_ci95_low,ratio_ci95_high,median_abs_log10_ratio,within_factor_2,slope_through_origin
All,All,1000,1000,0.9998999318999319,0.9998866885082459,0.999911627525628,0.9999488203249666,1.0063571999104022,1.0049907984975468,1.0077254591042681,0.0017547436952622686,1.0,1.0457978109200878
family,SmallMLPDigits,1000,1000,0.9998999318999319,0.9998866885082459,0.999911627525628,0.9999488203249666,1.0063571999104022,1.0049907984975468,1.0077254591042681,0.0017547436952622686,1.0,1.0457978109200878
algo,Adam,500,500,0.9998512954051815,0.9998226350522436,0.9998753248283259,0.999933682423906,1.0070262295041181,1.00476022425617,1.0092973452049485,0.002512728377743559,1.0,1.0508711195041902
algo,Muon,500,500,0.9998633914535658,0.9998370622240931,0.999885466368049,0.9999661611015128,1.005688614794282,1.0041553425522272,1.0072242282316366,0.0009383702684696893,1.0,1.0276032896295002
SmallMLPDigits:Adam,SmallMLPDigits:Adam,500,500,0.9998512954051815,0.9998226350522436,0.9998753248283259,0.999933682423906,1.0070262295041181,1.00476022425617,1.0092973452049485,0.002512728377743559,1.0,1.0508711195041902
SmallMLPDigits:Muon,SmallMLPDigits:Muon,500,500,0.9998633914535658,0.9998370622240931,0.999885466368049,0.9999661611015128,1.005688614794282,1.0041553425522272,1.0072242282316366,0.0009383702684696893,1.0,1.0276032896295002
